sample	clade	PC1	PC2
DVIT0367.D__BIvDNAara1088H04_A01	Vv	-29.68942144731757	-0.32951391412178255
9.4.78__EXTvDNAbar0004E09_C12	Vv	-32.88244384086021	-0.9439554513238908
60__EXTvDNAels0022A01_H04	Mus	41.5183834644356	-44.47701122315592
Plate1_C1_Crimson_Seedless__EXTvDNAmej0013A04_C01	Vv	-33.47934537660543	-0.9062421733418894
A2Y1_C323L__vDNAlon918B05_A06	Vv	-29.93888339249736	-1.0058105259836803
DVIT2242_02__Muscadine_Plate1_F06	Mus	36.63124931812978	-38.16690124936834
PinotNoir__vDNAlon1140F08_B12	Vv	-29.831731560583005	-0.3276206013335358
2242.0004A__BIvDNAara0066F06_B05	Mus	38.58573855582028	-39.74526202933795
S1823__vDNAhei1333F07_B06	NA2	23.588509651322514	19.798509260724433
E047__vDNAlon1138F06_D06	NA1	35.72129351332702	35.03934533976433
CH1037-11__vDNAwor1521F05_C12	Mus	36.48743726204498	-38.86105633123831
AB_001__vDNAfen201A01_D01	Vv	-28.00684643314069	-0.5354184050647968
d17s6__vDNAdia1374E11_F01	Mus	36.54461285156821	-35.55193804585701
AM90__Muscadine_Plate3_E02	Mus	38.637909061633295	-41.8757412455667
B23_12__vDNAled565B03_H03	Vv	-25.03163506890543	-1.2845102947018419
E005__vDNAlon1138F06_E01	NA1	40.16500676204647	39.935981967037364
NC8__EXTvDNAWOR0047A01_G02	Mus	37.05615259454902	-39.23067784127897
S2816__vDNAhei1335F09_F07	NA2	21.972853021996333	16.252160168496978
0357.0000C__BIvDNAara0048D12_A11	Vv	-14.289557641985274	-1.2862173653119169
Chaouch__vDNAlon508A12_C12	Vv	-24.879373410099564	-1.0019785950797822
588575__vDNAlon096H12_F08	NA2	28.35492895225791	24.26114067331546
DVIT2675.0000C__BIvDNAara1092H08_A11	Vv	-27.627627462741515	-0.04415457111323931
2215.0010A__BIvDNAara0068A02_E01	NA2	28.706464095546316	24.28509116017191
160x271_854__vDNAlon506A10_E02	NA1	36.835817847250865	35.90438326496296
A2Y1_C202L__vDNAlon918B05_B01	Vv	-29.345979382934704	-1.3987646377797098
E090__vDNAlon1139F07_D10	NA1	40.867165210545615	40.329157036319664
S4117__vDNAhei1337F11_C08	NA1	35.90309245937185	34.55759236716642
E086__vDNAlon1138F06_F11	NA1	37.46911017616907	36.915043663642976
0493.0000C__BIvDNAara0048D12_A02	Vv	-15.77392736034292	-0.9735599739940314
H4146__vDNAhei1346G08_D02	Mus	39.700699894417795	-40.8212323681688
A31_29__vDNAled565B03_A03	Vv	-31.590323124564414	-0.6298797496030474
9.2.62__EXTvDNAbar0004E09_B10	Vv	-30.276555511355276	-0.38152474710869816
1702.0000C__BIvDNAara0070A04_H08	NA2	20.81088454313481	14.515721081655029
L0527__vDNAhei1313D11_E07	Vv	-26.609212505524727	-1.0855364716203695
