sample	clade	PC1	PC2
0042.0000B__BIvDNAara0070A04_F01	NA2	-4.809713992975601	-12.556896750080051
0087.0000C__BIvDNAara0070A04_E02	NA2	-5.374578758598264	-15.233246451797756
0102.0000C__BIvDNAara0070A04_F02	NA2	-5.345257293425155	-14.339671010846086
0353.0000C__BIvDNAara0051E03_E06	Vv	-10.88717929540774	16.865663760456304
0357.0000C__BIvDNAara0048D12_A11	Vv	-13.323904543334367	20.30893824504513
0367.0000C__BIvDNAara0050E02_E11	Vv	-9.521640722542445	13.468438139682755
0414.0000W__BIvDNAara0048D12_D05	Vv	-12.873557674966428	19.646330253459443
0608.0000C__BIvDNAara0050E02_H04	Vv	-12.882147276153702	20.064243311290827
0671.0000C__BIvDNAara0045D09_C03	Vv	-3.2474371108403246	5.114699959191341
0679.0000C__BIvDNAara0041D05_C07	Vv	-11.401712580352541	18.038399350559466
0699.0000E__BIvDNAara0053E05_F10	Vv	-10.78438578592001	15.780460547219175
0737.0000C__BIvDNAara0045D09_H04	Vv	-10.018362317957903	15.698591224038005
0766.0000C__BIvDNAara0042D06_H01	Vv	-8.221856780943394	13.042759971922454
0799.0000C__BIvDNAara0042D06_B05	Vv	-8.836934802343622	14.321776862913241
0900.0000C__BIvDNAara0043D07_E01	Vv	-3.2202590092431675	5.202261819003082
1006.0000C__BIvDNAara0044D08_D03	Vv	-10.216198407712444	15.454836848969768
1012.0000C__BIvDNAara0044D08_A04	Vv	-10.267374247064566	15.56837277199581
1021.0000C__BIvDNAara0044D08_A05	Vv	-10.449867810558949	15.76368385315767
1033.0000C__BIvDNAara0044D08_C06	Vv	-10.67914183456306	16.47973362998945
1121.0000A__BIvDNAara0053E05_D10	Vv	-10.114964603616816	16.14665778162377
1130.0000A__BIvDNAara0050E02_F03	Vv	-8.92527314055863	14.006755755240142
1156.0002A__BIvDNAara0065F05_D08	EA	-5.719459644158731	4.009347671672661
1156.0003A__BIvDNAara0065F05_E08	EA	-17.73438749404196	8.212353312264813
1156.0005A__BIvDNAara0065F05_G08	EA	-17.17172797235229	8.203741426257098
1156.0006A__BIvDNAara0065F05_H08	EA	-4.534901978350565	3.413787011863555
1156.0010B__BIvDNAara0065F05_B09	EA	-17.322179147856097	8.021424028474486
1156.0011A__BIvDNAara0065F05_C09	EA	-16.844427841610234	7.878877459239459
1156.0012A__BIvDNAara0065F05_D09	EA	-16.97022151097389	7.602435266044987
1159.0003A__BIvDNAara0065F05_E07	EA	-16.403952474300997	7.629850471772045
1159.0004A__BIvDNAara0065F05_F07	EA	-5.784685940489581	4.164416930376532
1159.0006A__BIvDNAara0065F05_G07	EA	-16.683467583252625	7.762620162361032
1159.0010A__BIvDNAara0053E05_H11	EA	-16.71093523319719	8.24301527402034
116__EXTvDNAels0022A01_G11	Mus	53.417792620597986	14.732731067167638
1268.0000C__BIvDNAara0071A05_E07	NA1	-1.3370877738279487	-14.259602567284917
127__EXTvDNAels0023A02_B01	Mus	53.64320884817152	14.869115597558967
129__EXTvDNAels0023A02_D01	Mus	53.22469964537844	14.459214975239783
1391.0000C__BIvDNAara0070A04_F03	NA2	-1.8320961469380885	-6.4212801833637005
1400.0000C__BIvDNAara0072A06_D03	NA1	-1.4281804892531005	-14.690103238091233
1601.0000C__BIvDNAara0071A05_B03	NA2	-1.319804080973075	-5.655555494109705
160x271_763__vDNAlon505A09_E02	NA1	-3.664811831595812	-33.167832255717606
160x271_768__vDNAlon505A09_B03	NA1	-4.852720191406601	-36.32151943122611
160x271_785__vDNAlon505A09_C05	NA1	-3.4831740513036586	-32.12129688283075
160x271_794__vDNAlon505A09_D06	NA1	-3.501586601326196	-33.97910163388204
160x271_810__vDNAlon505A09_D08	NA1	-3.995357303026501	-35.878544030554515
160x271_822__vDNAlon505A09_E10	NA1	-3.52396638949533	-33.7193922273304
160x271_829__vDNAlon505A09_D11	NA1	-4.893458387759174	-40.432697425430355
160x271_838__vDNAlon505A09_E12	NA1	-4.05116117971025	-36.352833103976955
160x271_851__vDNAlon506A10_B02	NA1	-3.8907446754185795	-36.03862803548057
160x271_854__vDNAlon506A10_E02	NA1	-3.851276565251407	-35.166386931375776
160x271_856__vDNAlon506A10_G02	NA1	-4.264571624840542	-35.975319902999274
160x271_877__vDNAlon506A10_D05	NA1	-3.82024991649537	-35.18334756115041
160x271_880__vDNAlon506A10_G05	NA1	-4.5652974569430755	-39.36456008428568
160x271_894__vDNAlon506A10_E07	NA1	-3.616529346724015	-32.364942491092144
160x271_900__vDNAlon506A10_C08	NA1	-4.826339993505306	-39.07210968225121
160x271_902__vDNAlon506A10_E08	NA1	-3.946541168988083	-34.47186752727112
160x271_903__vDNAlon506A10_F08	NA1	-3.1627335341321543	-31.537399633808416
160x271_920__vDNAlon506A10_D11	NA1	-3.5907010298450914	-35.89565092323473
160x271_924__vDNAlon506A10_H11	NA1	-3.6253919356805913	-34.98852947100363
160x271_926__vDNAlon506A10_B12	NA1	-4.158702358277128	-36.661757024572
160x271_930__vDNAlon506A10_F12	NA1	-3.7465222689119027	-33.77221046244677
160x271_940__vDNAfen201A01_H05	NA1	-3.1322193827842675	-31.5770695732774
161__EXTvDNAels0023A02_E05	Mus	53.5830975815234	14.692186138190356
