sample,EA,Mus,NA1,NA2,Vv,missingness,warning
0473.0000C__BIvDNAara0047D11_H12,0.0,0.0,0.0,0.0,100.0,0.48,
DVIT0692_0000D__BIvDNAara1102A06_F07,0.0,0.0,0.0,0.0,100.0,0.3,
SH11005__vDNAhei1346G08_F08,0.0,0.0,40.2,9.0,50.8,0.13,
PI_588342__BIvDNAgut0026C02_C07,0.0,0.0,50.0,50.0,0.0,0.12,
1875.0000E__BIvDNAara0068A02_B05,0.0,0.0,37.5,3.7,58.8,0.1,
H3617__vDNAhei1328F02_G08,0.0,0.0,0.0,43.0,57.0,0.23,
DVIT2905.A__BIvDNAara1089H05_C12,0.0,0.0,0.0,0.0,100.0,0.3,
S4403__vDNAhei1338F12_B01,0.0,100.0,0.0,0.0,0.0,0.46,
0882.0000C__BIvDNAara0043D07_A03,0.0,0.0,0.0,0.0,100.0,0.66,Warning: 66% markers missing. Results may be unreliable.
Mission__BIvDNAara0046D10_H10,38.8,17.3,5.8,8.7,29.4,0.99,Warning: 99% markers missing. Results may be unreliable.
L0881__vDNAhei1315E01_C02,0.0,0.0,0.0,0.0,100.0,0.2,
1986.0000C__BIvDNAara0056E08_C01,0.2,0.0,77.8,0.0,22.1,0.68,Warning: 68% markers missing. Results may be unreliable.
PI_597178__BIvDNAgut0030C06_C01,0.0,0.0,50.0,0.0,50.0,0.32,
H2441__vDNAhei1325E11_G05,0.0,0.0,53.0,47.0,0.0,0.28,
K0479__vDNAhei1305D03_B09,0.0,0.0,0.0,0.0,100.0,0.14,
S3902__vDNAhei1337F11_D03,0.0,0.0,97.7,2.0,0.3,0.23,
0213.0000C__BIvDNAara0056E08_H05,0.0,0.0,44.5,0.0,55.5,0.68,Warning: 68% markers missing. Results may be unreliable.
L1509__vDNAhei1317E03_H08,0.0,0.0,0.0,0.0,100.0,0.17,
H0933__vDNAhei1321E07_B01,0.0,0.0,17.4,54.3,28.3,0.33,
0572.0000C__BIvDNAara0047D11_H01,37.7,7.2,10.7,2.6,41.8,1.0,Warning: 100% markers missing. Results may be unreliable.
DVIT0543_0000C__BIvDNAara1075G03_E10,0.0,0.0,0.0,0.0,100.0,0.43,
Seyval_blanc__BIvDNAnae0001A01_D01,0.0,0.0,36.7,22.1,41.2,0.1,
2672.0000A__BIvDNAara0045D09_B12,0.0,0.0,0.0,0.0,100.0,0.68,Warning: 68% markers missing. Results may be unreliable.
S1302__vDNAhei1331F05_G11,0.0,0.0,100.0,0.0,0.0,0.2,
1193.0000C__BIvDNAara0058E10_D11,13.5,0.0,84.9,0.3,1.3,0.71,Warning: 71% markers missing. Results may be unreliable.
H3239__vDNAhei1327F01_H08,0.0,0.0,0.0,5.1,94.9,0.28,
PI_588229__BIvDNAgut0030C06_C12,0.0,0.0,100.0,0.0,0.0,0.17,
L1247__vDNAhei1316E02_F08,0.0,0.0,0.0,0.0,100.0,0.2,
S-40-07__BIvDNAara0072A06_G01,0.0,0.0,100.0,0.0,0.0,0.67,Warning: 67% markers missing. Results may be unreliable.
2148.0000C__BIvDNAara0057E09_A03,0.0,0.0,0.0,0.0,100.0,0.67,Warning: 67% markers missing. Results may be unreliable.
S4724__vDNAhei1338F12_H06,0.0,100.0,0.0,0.0,0.0,0.42,
S1506__vDNAhei1332F06_D06,0.0,0.0,0.0,100.0,0.0,0.2,
DVIT1047.0000C__BIvDNAara1091H07_B11,0.0,0.0,11.9,0.4,87.8,0.72,Warning: 72% markers missing. Results may be unreliable.
S2519__vDNAhei1334F08_H12,0.0,0.0,0.2,60.1,39.7,0.25,
0124.0999D__BIvDNAara0070A04_H02,0.0,0.0,0.0,55.5,44.5,0.64,Warning: 64% markers missing. Results may be unreliable.
A90-89__BIvDNAnae0008A08_B10,0.0,0.0,5.1,0.0,94.9,0.67,Warning: 67% markers missing. Results may be unreliable.
H0531__vDNAhei1319E05_H11,50.8,10.7,14.7,3.0,20.9,1.0,Warning: 100% markers missing. Results may be unreliable.
PI_588215__BIvDNAgut0026C02_C01,0.0,0.0,51.2,11.7,37.0,0.94,Warning: 94% markers missing. Results may be unreliable.
2051.0000C__BIvDNAara0050E02_D09,0.0,0.0,0.0,0.0,100.0,0.69,Warning: 69% markers missing. Results may be unreliable.
DVIT1027.0000C__BIvDNAara1091H07_G03,0.0,0.0,13.4,0.0,86.6,0.69,Warning: 69% markers missing. Results may be unreliable.
S2206__vDNAhei1334F08_E03,0.0,0.0,0.0,100.0,0.0,0.21,
2500.0000D__BIvDNAara0052E04_A01,0.0,0.0,0.0,0.0,100.0,0.61,Warning: 61% markers missing. Results may be unreliable.
K1375__vDNAhei1310D08_F04,0.0,0.0,0.0,64.8,35.2,0.24,
Mission__BIvDNAara0051E03_H03,0.0,0.0,0.0,0.0,100.0,0.71,Warning: 71% markers missing. Results may be unreliable.
K1211__vDNAhei1309D07_H07,0.0,0.0,0.0,0.0,100.0,0.18,
DVIT0517_0000C__BIvDNAara1075G03_A08,0.0,0.0,0.0,0.0,100.0,0.36,
PI_588308__BIvDNAgut0028C04_G10,0.0,0.0,15.2,27.8,57.0,0.09,
18MM961__BIvDNAnae0010A10_H12,0.0,0.0,12.3,7.4,80.4,0.65,Warning: 65% markers missing. Results may be unreliable.
PI_588358__BIvDNAgut0028C04_E11,0.0,0.0,50.5,31.8,17.7,0.31,
2587.0000A__BIvDNAara0054E06_H11,0.0,0.0,0.0,40.3,59.7,0.67,Warning: 67% markers missing. Results may be unreliable.
