sample,EA,Mus,NA1,NA2,Vv,missingness,warning
0473.0000C__BIvDNAara0047D11_H12,0.0,0.0,0.0,0.0,100.0,0.49,
DVIT0692_0000D__BIvDNAara1102A06_F07,0.0,0.0,0.0,0.0,100.0,0.31,
SH11005__vDNAhei1346G08_F08,0.0,0.0,37.5,12.5,50.1,0.14,
PI_588342__BIvDNAgut0026C02_C07,0.0,0.0,50.0,50.0,0.0,0.13,
1875.0000E__BIvDNAara0068A02_B05,0.0,0.0,34.8,5.1,60.2,0.1,
H3617__vDNAhei1328F02_G08,0.0,0.0,0.0,50.0,50.0,0.24,
DVIT2905.A__BIvDNAara1089H05_C12,11.2,0.3,0.4,0.2,87.9,0.31,
S4403__vDNAhei1338F12_B01,0.0,84.6,11.6,0.0,3.8,0.46,
0882.0000C__BIvDNAara0043D07_A03,0.0,0.0,0.0,0.0,100.0,0.66,Warning: 66% markers missing. Results may be unreliable.
Mission__BIvDNAara0046D10_H10,34.5,24.0,5.8,14.9,20.7,0.99,Warning: 99% markers missing. Results may be unreliable.
L0881__vDNAhei1315E01_C02,0.2,0.0,0.0,0.0,99.8,0.21,
1986.0000C__BIvDNAara0056E08_C01,0.0,0.0,75.2,0.1,24.7,0.68,Warning: 68% markers missing. Results may be unreliable.
PI_597178__BIvDNAgut0030C06_C01,0.0,0.0,49.9,0.1,50.0,0.32,
H2441__vDNAhei1325E11_G05,0.0,0.0,50.0,50.0,0.0,0.29,
K0479__vDNAhei1305D03_B09,0.0,0.0,0.0,0.0,100.0,0.15,
S3902__vDNAhei1337F11_D03,0.5,0.0,73.0,25.3,1.3,0.23,
0213.0000C__BIvDNAara0056E08_H05,0.0,0.0,50.0,0.0,50.0,0.69,Warning: 69% markers missing. Results may be unreliable.
L1509__vDNAhei1317E03_H08,0.0,0.0,0.0,0.0,100.0,0.18,
H0933__vDNAhei1321E07_B01,0.0,0.0,24.4,47.2,28.4,0.33,
0572.0000C__BIvDNAara0047D11_H01,29.8,29.2,13.0,0.0,28.0,1.0,Warning: 100% markers missing. Results may be unreliable.
DVIT0543_0000C__BIvDNAara1075G03_E10,0.0,0.0,0.0,0.0,100.0,0.44,
Seyval_blanc__BIvDNAnae0001A01_D01,0.0,0.0,37.0,23.7,39.3,0.11,
2672.0000A__BIvDNAara0045D09_B12,0.0,0.0,0.0,0.0,100.0,0.68,Warning: 68% markers missing. Results may be unreliable.
S1302__vDNAhei1331F05_G11,0.0,0.0,99.2,0.8,0.0,0.21,
1193.0000C__BIvDNAara0058E10_D11,40.5,0.4,52.5,6.6,0.0,0.71,Warning: 71% markers missing. Results may be unreliable.
H3239__vDNAhei1327F01_H08,0.0,0.0,0.0,8.2,91.8,0.29,
PI_588229__BIvDNAgut0030C06_C12,0.0,0.0,99.3,0.7,0.0,0.18,
L1247__vDNAhei1316E02_F08,0.0,0.0,0.1,0.0,99.9,0.21,
S-40-07__BIvDNAara0072A06_G01,0.0,0.0,99.7,0.3,0.0,0.67,Warning: 67% markers missing. Results may be unreliable.
2148.0000C__BIvDNAara0057E09_A03,0.0,0.0,0.0,0.0,100.0,0.67,Warning: 67% markers missing. Results may be unreliable.
S4724__vDNAhei1338F12_H06,0.0,80.8,10.7,2.0,6.4,0.43,
S1506__vDNAhei1332F06_D06,0.0,0.0,0.3,99.7,0.0,0.2,
DVIT1047.0000C__BIvDNAara1091H07_B11,0.0,0.0,36.9,3.3,59.7,0.73,Warning: 73% markers missing. Results may be unreliable.
S2519__vDNAhei1334F08_H12,0.0,0.0,1.1,70.7,28.2,0.26,
0124.0999D__BIvDNAara0070A04_H02,0.0,0.0,0.5,58.2,41.3,0.65,Warning: 65% markers missing. Results may be unreliable.
A90-89__BIvDNAnae0008A08_B10,0.0,0.0,20.3,2.2,77.5,0.67,Warning: 67% markers missing. Results may be unreliable.
H0531__vDNAhei1319E05_H11,31.9,34.8,20.1,0.0,13.3,1.0,Warning: 100% markers missing. Results may be unreliable.
PI_588215__BIvDNAgut0026C02_C01,0.8,0.0,35.2,26.9,37.1,0.94,Warning: 94% markers missing. Results may be unreliable.
2051.0000C__BIvDNAara0050E02_D09,0.0,0.0,0.0,0.0,100.0,0.69,Warning: 69% markers missing. Results may be unreliable.
DVIT1027.0000C__BIvDNAara1091H07_G03,0.0,0.0,41.9,0.2,57.9,0.69,Warning: 69% markers missing. Results may be unreliable.
S2206__vDNAhei1334F08_E03,0.0,0.1,0.0,99.9,0.0,0.21,
2500.0000D__BIvDNAara0052E04_A01,0.0,0.0,0.0,0.0,100.0,0.62,Warning: 62% markers missing. Results may be unreliable.
K1375__vDNAhei1310D08_F04,0.0,0.0,6.1,57.2,36.7,0.25,
Mission__BIvDNAara0051E03_H03,0.0,0.0,0.0,0.0,100.0,0.71,Warning: 71% markers missing. Results may be unreliable.
K1211__vDNAhei1309D07_H07,0.5,0.0,0.1,0.0,99.4,0.19,
DVIT0517_0000C__BIvDNAara1075G03_A08,0.0,0.0,0.0,0.0,100.0,0.36,
PI_588308__BIvDNAgut0028C04_G10,0.0,0.0,15.5,28.7,55.8,0.1,
18MM961__BIvDNAnae0010A10_H12,0.0,0.6,29.2,17.6,52.6,0.65,Warning: 65% markers missing. Results may be unreliable.
PI_588358__BIvDNAgut0028C04_E11,0.0,0.0,50.0,32.4,17.6,0.32,
2587.0000A__BIvDNAara0054E06_H11,0.0,0.0,0.2,58.1,41.7,0.67,Warning: 67% markers missing. Results may be unreliable.
