sample,EA,Mus,NA1,NA2,Vv,missingness,warning
Mission__BIvDNAara0046D10_H10,27.5,37.9,8.1,7.1,19.4,0.99,Warning: 99% markers missing. Results may be unreliable.
DVIT2905.A__BIvDNAara1089H05_C12,0.3,0.0,0.2,0.0,99.5,0.3,
0882.0000C__BIvDNAara0043D07_A03,0.0,0.0,0.0,0.0,100.0,0.66,Warning: 66% markers missing. Results may be unreliable.
L0881__vDNAhei1315E01_C02,0.0,0.0,0.0,0.0,100.0,0.2,
1986.0000C__BIvDNAara0056E08_C01,0.2,0.0,77.5,0.0,22.3,0.68,Warning: 68% markers missing. Results may be unreliable.
PI_588342__BIvDNAgut0026C02_C07,0.0,0.0,50.0,50.0,0.0,0.12,
1875.0000E__BIvDNAara0068A02_B05,0.0,0.0,37.0,4.4,58.5,0.1,
H3617__vDNAhei1328F02_G08,0.0,0.0,0.0,47.7,52.3,0.23,
DVIT0692_0000D__BIvDNAara1102A06_F07,0.0,0.0,0.0,0.0,100.0,0.3,
0473.0000C__BIvDNAara0047D11_H12,0.0,0.0,0.0,0.0,100.0,0.48,
SH11005__vDNAhei1346G08_F08,0.0,0.0,38.7,10.8,50.5,0.13,
S4403__vDNAhei1338F12_B01,0.0,100.0,0.0,0.0,0.0,0.46,
PI_597178__BIvDNAgut0030C06_C01,0.0,0.0,50.0,0.0,50.0,0.32,
H2441__vDNAhei1325E11_G05,0.0,0.0,55.1,44.9,0.0,0.28,
K0479__vDNAhei1305D03_B09,0.0,0.0,0.0,0.0,100.0,0.14,
S3902__vDNAhei1337F11_D03,0.0,0.0,96.4,3.6,0.0,0.23,
0213.0000C__BIvDNAara0056E08_H05,0.0,0.0,46.7,0.0,53.3,0.68,Warning: 68% markers missing. Results may be unreliable.
L1509__vDNAhei1317E03_H08,0.0,0.0,0.0,0.0,100.0,0.17,
H0933__vDNAhei1321E07_B01,0.0,0.0,17.2,55.2,27.6,0.33,
0572.0000C__BIvDNAara0047D11_H01,31.7,29.4,13.7,0.0,25.2,1.0,Warning: 100% markers missing. Results may be unreliable.
DVIT0543_0000C__BIvDNAara1075G03_E10,0.0,0.0,0.0,0.0,100.0,0.43,
Seyval_blanc__BIvDNAnae0001A01_D01,0.0,0.0,37.6,22.7,39.7,0.1,
2672.0000A__BIvDNAara0045D09_B12,0.0,0.0,0.0,0.0,100.0,0.68,Warning: 68% markers missing. Results may be unreliable.
S1302__vDNAhei1331F05_G11,0.0,0.0,99.4,0.6,0.0,0.2,
1193.0000C__BIvDNAara0058E10_D11,18.9,0.0,76.5,1.9,2.7,0.71,Warning: 71% markers missing. Results may be unreliable.
H3239__vDNAhei1327F01_H08,0.0,0.0,0.0,6.2,93.8,0.28,
PI_588229__BIvDNAgut0030C06_C12,0.0,0.0,100.0,0.0,0.0,0.17,
L1247__vDNAhei1316E02_F08,0.0,0.0,0.0,0.0,100.0,0.2,
2148.0000C__BIvDNAara0057E09_A03,0.0,0.0,0.0,0.0,100.0,0.67,Warning: 67% markers missing. Results may be unreliable.
S-40-07__BIvDNAara0072A06_G01,0.0,0.0,100.0,0.0,0.0,0.67,Warning: 67% markers missing. Results may be unreliable.
S4724__vDNAhei1338F12_H06,0.0,100.0,0.0,0.0,0.0,0.42,
S1506__vDNAhei1332F06_D06,0.0,0.0,0.0,100.0,0.0,0.2,
DVIT1047.0000C__BIvDNAara1091H07_B11,0.0,0.0,8.4,0.7,90.9,0.72,Warning: 72% markers missing. Results may be unreliable.
S2519__vDNAhei1334F08_H12,0.0,0.0,0.0,59.3,40.7,0.25,
0124.0999D__BIvDNAara0070A04_H02,0.0,0.0,0.0,54.9,45.1,0.64,Warning: 64% markers missing. Results may be unreliable.
A90-89__BIvDNAnae0008A08_B10,0.0,0.0,4.7,0.5,94.8,0.67,Warning: 67% markers missing. Results may be unreliable.
H0531__vDNAhei1319E05_H11,33.3,30.9,21.1,0.0,14.7,1.0,Warning: 100% markers missing. Results may be unreliable.
PI_588215__BIvDNAgut0026C02_C01,0.6,0.0,50.3,5.7,43.4,0.94,Warning: 94% markers missing. Results may be unreliable.
2051.0000C__BIvDNAara0050E02_D09,0.0,0.0,0.0,0.0,100.0,0.69,Warning: 69% markers missing. Results may be unreliable.
DVIT1027.0000C__BIvDNAara1091H07_G03,0.4,0.0,27.5,0.7,71.4,0.69,Warning: 69% markers missing. Results may be unreliable.
S2206__vDNAhei1334F08_E03,0.0,0.0,0.0,100.0,0.0,0.21,
2500.0000D__BIvDNAara0052E04_A01,0.0,0.0,0.0,0.0,100.0,0.61,Warning: 61% markers missing. Results may be unreliable.
K1375__vDNAhei1310D08_F04,0.0,0.0,0.0,60.9,39.1,0.24,
Mission__BIvDNAara0051E03_H03,0.0,0.0,0.0,0.0,100.0,0.71,Warning: 71% markers missing. Results may be unreliable.
K1211__vDNAhei1309D07_H07,0.0,0.0,0.0,0.0,100.0,0.18,
DVIT0517_0000C__BIvDNAara1075G03_A08,0.0,0.0,0.0,0.0,100.0,0.36,
18MM961__BIvDNAnae0010A10_H12,0.1,0.0,12.8,6.4,80.6,0.65,Warning: 65% markers missing. Results may be unreliable.
PI_588308__BIvDNAgut0028C04_G10,0.0,0.0,15.0,28.9,56.1,0.09,
PI_588358__BIvDNAgut0028C04_E11,0.0,0.0,50.0,32.7,17.3,0.31,
2587.0000A__BIvDNAara0054E06_H11,0.0,0.0,0.2,47.6,52.2,0.67,Warning: 67% markers missing. Results may be unreliable.
