Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA1,NA1}",0.9234093031251966,0.9179385390627107,NA1,NA1,chr01,89866,False,2.9621794983594728e-05,1.2570535781932682e-05,0.040874778774517305,1.4931624036230623e-05,5.969032668214186e-05,1.3961562478040239e-06,0.00033935838017817345,2.5171358567023954e-06,2.641404170914135e-05,0.9234093031251966,0.002854282114117772,0.03213826041909299,2.700716848989535e-06,3.189947329453678e-05,0.000202275381456106
rh_chr1_268616,"{NA1,NA1}",0.9268370853668245,0.9216111628930262,NA1,NA1,chr01,263248,False,1.1340583536639768e-05,3.9245362489629524e-06,0.03887271801127756,5.169941900768658e-06,3.168611392759615e-05,3.1782172458576334e-07,0.00014951956314464008,6.904069402853226e-07,9.034295613060743e-06,0.9268370853668245,0.0015393063350180166,0.0323561579369688,9.026140029850447e-07,1.2165383353928083e-05,0.00016998108951760165
rh_chr1_334737,"{NA1,NA1}",0.9287578440997354,0.9236691186782879,NA1,NA1,chr01,329439,False,4.617529621960617e-06,9.227631427114857e-07,0.038197005065067506,1.7407994545246262e-06,1.5155892230866875e-05,1.5716651726138872e-07,7.295143319029853e-05,3.746232422476762e-07,2.5801803222267273e-06,0.9287578440997354,0.0010681872532919247,0.031795421877286095,5.340221893160945e-07,4.5738398657719725e-06,7.79334548418353e-05
rh_chr1_443667,"{NA1,NA1}",0.936765662716339,0.9322489243389346,NA1,NA1,chr01,438310,False,3.456543602739371e-06,3.743634635292119e-07,0.0332670161259194,1.0272224236832293e-06,1.1592282133146627e-05,7.119234070752097e-08,4.641088752650593e-05,1.9630919516586843e-07,1.0506332025789789e-06,0.936765662716339,0.000785228492372418,0.02906177824986572,3.139416021258941e-07,2.544982740878648e-06,5.327605727243134e-05
rh_chr1_547952,"{NA1,NA1}",0.9442041958177941,0.9402187812333509,NA1,NA1,chr01,544389,False,2.1683484268533274e-06,3.531968281390129e-07,0.02811257447744321,9.218746334123385e-07,8.07670890004232e-06,3.2266679716849695e-08,7.51723125371025e-05,1.2054343611506e-07,7.665194593470259e-07,0.9442041958177941,0.0007817566053540569,0.026777447204660052,2.0214564775291108e-07,1.9513766311798684e-06,3.426060156889616e-05
rh_chr1_631086,"{NA1,NA1}",0.9476205395037347,0.9438791494682872,NA1,NA1,chr01,627268,True,2.145434005785186e-06,5.745657187750937e-07,0.025688217555180016,1.3373398916785524e-06,8.159690820417397e-06,2.5356579103795005e-08,9.416862815792273e-05,1.1406500818119406e-07,8.867108950067063e-07,0.9476205395037347,0.0008089430619782751,0.025742483286729907,1.8681990237465677e-07,2.161101012412475e-06,3.0056880385327213e-05
rh_chr1_741516,"{NA1,NA1}",0.9522148366350411,0.9488016106804013,NA1,NA1,chr01,737678,False,1.9853933703831265e-06,7.33185701960962e-07,0.022460487024875183,1.6846555547620684e-06,7.908226805958544e-06,1.7489662688486526e-08,0.00010118760137356685,1.0425449140596089e-07,9.249865035725531e-07,0.9522148366350411,0.0008277116284991524,0.024355384034184534,1.6524541726558038e-07,2.28334079360343e-06,2.458629772472074e-05
rh_chr1_1060803,"{NA1,NA1}",0.9752258464386077,0.9734562640413653,NA1,NA1,chr01,1049416,False,2.504633457944e-07,6.138540879068454e-08,0.006642200696222461,3.0648641886417723e-07,1.4505331429701696e-06,1.5662096910508868e-09,2.956867336954109e-05,7.620202685469447e-09,1.100040843969887e-07,0.9752258464386077,0.00048548646917448874,0.01761024294551825,2.737765653158274e-08,4.7441578422394226e-07,3.964924853609552e-06
rh_chr1_1170229,"{NA1,NA1}",0.98109927263355,0.9797492206788035,NA1,NA1,chr01,1140710,False,6.326479084519524e-08,2.49693526898659e-08,0.002435499465342451,6.913550278953207e-08,1.806841219374694e-07,5.161834454349493e-10,1.9283761804362334e-05,2.1330780374297635e-09,1.8841205894109102e-08,0.98109927263355,0.00036365899828410533,0.01608161867611026,3.907169593012642e-09,6.329211520534743e-08,2.3972138813704653e-07
rh_chr1_1304008,"{NA1,NA1}",0.9987438618107368,0.9986541376543608,NA1,NA1,chr01,1265000,False,4.194888543349066e-09,1.8058093651218162e-09,0.0002034427427846421,3.322128766519821e-09,1.2015023792385733e-08,1.2095129185016022e-10,1.705162873959381e-05,2.1689658838024877e-10,5.632399676277516e-09,0.9987438618107368,2.3477467792626303e-05,0.001012118569784174,2.169973696113356e-10,6.290492478249326e-09,1.3964574418838007e-08
rh_chr1_1400565,"{NA1,NA1}",0.9997007655845067,0.9996793916976857,NA1,NA1,chr01,1361620,False,1.3308154120553614e-09,4.229343171644918e-10,8.5098702241062e-05,6.494182224736964e-10,3.174101182956058e-09,4.845547758987363e-11,3.7002811465718057e-06,8.824944219192982e-11,2.5927156814046283e-09,0.9997007655845067,4.175314675810852e-06,0.0002062434743397008,7.146665952638804e-11,2.489896679071352e-09,5.77503709966211e-09
rh_chr1_1482273,"{NA1,NA1}",0.9997387163999165,0.9997200532856249,NA1,NA1,chr01,1441962,False,1.2123316342746172e-09,7.670643200569853e-10,6.031129440403425e-05,9.259159706365626e-10,3.301635918064107e-09,7.559369750714084e-11,1.0514061063161666e-05,1.3696988096398636e-10,2.9796646826316323e-09,0.9997387163999165,9.434162605303469e-06,0.00018100661304854435,9.160249638466417e-11,2.7080710063918885e-09,5.270112792971283e-09
rh_chr1_1623606,"{NA1,NA1}",0.9997229890953435,0.9997032026021537,NA1,NA1,chr01,1583376,True,1.4810085638959384e-09,1.5744669916484395e-09,6.552783821091859e-05,1.7650680604389902e-09,5.546559024725805e-09,2.993014879379968e-10,2.5080101577802932e-05,6.034171626290338e-10,4.477930118890874e-09,0.9997229890953435,2.8289441753524568e-05,0.00015808757971871263,3.677897497898546e-10,4.5873875133339516e-09,5.240466991419567e-09
rh_chr1_1879893,"{NA1,NA1}",0.9998242513903428,0.9998116979182244,NA1,NA1,chr01,1839399,False,5.826524475089172e-10,7.571151332863187e-10,4.252954212867637e-05,9.414824597807878e-10,2.6611941930797752e-09,1.7929292270623096e-10,1.868928928044956e-05,4.930797264583855e-10,1.9423684025798482e-09,0.9998242513903428,2.973856870667375e-05,8.477893318715885e-05,3.1975558562723185e-10,2.370275850784013e-09,2.0291376456956196e-09
rh_chr1_1999515,"{NA1,NA1}",0.9999280520631769,0.9999229129248324,NA1,NA1,chr01,1959058,False,1.4217536358122563e-10,1.8509533066952936e-10,2.3032762704579627e-05,2.5675341671336844e-10,5.716179889594372e-10,4.3086292317743275e-11,4.139955389434837e-06,1.3360987330822925e-10,3.723896641691384e-10,0.9999280520631769,1.8875426851756616e-05,2.5897109144515467e-05,9.030909194162448e-11,5.170863025251144e-10,3.7060960914451233e-10
rh_chr1_2145831,"{NA1,NA1}",0.9999269101529478,0.9999216894495869,NA1,NA1,chr01,2106048,False,1.8298168729890512e-10,2.5426099653877534e-10,2.169042427035321e-05,3.954512476074477e-10,5.146636803053958e-10,5.3822692571913074e-11,9.204811924895188e-06,2.0419947328891695e-10,2.9895625240908786e-10,0.9999269101529478,2.1580976796884666e-05,2.06109104439085e-05,1.513690592153755e-10,4.5577881314533083e-10,2.1213221934227694e-10
rh_chr1_2306205,"{NA1,NA1}",0.9999759943782814,0.9999742796910158,NA1,NA1,chr01,2265211,False,2.7605748712445925e-11,2.5670140016912742e-11,5.298160138297659e-06,5.305043400976662e-11,5.10550457204857e-11,5.150566732464305e-12,1.97210572324972e-06,2.2982531653097656e-11,2.3276437081672286e-11,0.9999759943782814,1.2481765901593831e-05,4.2532843967546565e-06,2.9115518062883624e-11,5.03125044225863e-11,1.7339751203298506e-11
rh_chr1_2424927,"{NA1,NA1}",0.9999711540911457,0.9999690936690847,NA1,NA1,chr01,2384046,False,5.2877588174403335e-11,3.077507082144716e-11,7.622795005856659e-06,9.946024112541039e-11,6.599037124565049e-11,7.290857153013632e-12,1.4724390950544366e-06,2.992468917229016e-11,2.1531818475102163e-11,0.9999711540911457,1.4897885956617563e-05,4.852294603523634e-06,8.826656732724468e-11,8.283613882458554e-11,1.523990119230907e-11
rh_chr1_2618562,"{NA1,NA1}",0.9999629470488969,0.9999603004095323,NA1,NA1,chr01,2577582,False,3.9491765000455734e-10,2.913460981936875e-11,2.654906715454812e-05,1.7068885372655728e-10,7.756882812061977e-11,9.481245488015125e-12,1.1730201813617871e-06,3.3752198963466446e-11,1.7893953547193384e-11,0.9999629470488969,7.518454644133571e-06,1.8114849565335153e-06,7.129842902263008e-11,7.185473518206284e-11,4.757603758281622e-11
rh_chr1_2718543,"{NA1,NA1}",0.99993651320868,0.9999319784378715,NA1,NA1,chr01,2677534,False,7.843834595292345e-10,1.14491216487479e-10,3.852169716527283e-05,4.336018375390876e-10,3.8038497990902274e-10,2.4302864952988546e-11,4.544880765387493e-06,7.801872527762404e-11,3.778663929601697e-11,0.99993651320868,1.355742989257994e-05,6.8604036249284735e-06,1.6318497899847603e-10,1.9194446555123117e-10,1.7177277067192398e-10
rh_chr1_2822616,"{NA1,NA1}",0.9998479922528105,0.9998371345565827,NA1,NA1,chr01,2781082,True,1.6877460301787882e-09,5.740477466185724e-10,5.57983297400417e-05,1.9886629766281013e-09,2.354587438162764e-09,1.8095744268436718e-10,1.842203367827121e-05,4.683016768341955e-10,2.677401722385426e-10,0.9998479922528105,4.7959902247308366e-05,2.9816152992472726e-05,9.537820583988392e-10,1.2873434983056116e-09,1.5653623530442258e-09
