Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9762461822369498,0.9745494809681605,Vv,Vv,chr01,89866,True,6.291870280424069e-05,5.1689390537380334e-05,4.2971624691930446e-05,4.5405281254564834e-05,0.008231310106938257,3.745984802099605e-05,3.5121523544218454e-05,3.678263990664964e-05,0.006054043717708762,2.314234946276674e-05,2.999253671293912e-05,0.004350019162843964,2.5885701075282968e-05,0.0047270751775482294,0.9762461822369498
rh_chr1_268616,"{Vv,Vv}",0.9847849081461791,0.9836981158709063,Vv,Vv,chr01,263248,False,2.901481164888922e-05,1.7732622192568845e-05,1.2611648470473613e-05,1.426216600345207e-05,0.0062202827545550935,1.2927964413535902e-05,9.452113927200456e-06,1.0309787007713197e-05,0.0039906893481667155,6.0064769853082944e-06,7.1671396422980565e-06,0.0022457047627543665,7.106624735125494e-06,0.002631823633318153,0.9847849081461791
rh_chr1_334737,"{Vv,Vv}",0.985813852922504,0.9848005567026828,Vv,Vv,chr01,329439,True,2.261390812503357e-05,1.4308396872315247e-05,1.000968211645347e-05,1.1310598766868607e-05,0.0057184872388343685,1.0714688536879719e-05,7.614118423751986e-06,8.33835586964901e-06,0.00386121238354266,4.673568048180398e-06,5.680541327260312e-06,0.002071484874919929,5.535150525546273e-06,0.002434163571587139,0.985813852922504
rh_chr1_443667,"{Vv,Vv}",0.9875416190885545,0.986651734737737,Vv,Vv,chr01,438310,True,1.3130849441600285e-05,8.792462891799525e-06,5.9282534263762926e-06,6.684728672549795e-06,0.004884065750259717,7.230088931931375e-06,4.654559431891789e-06,5.162326286514892e-06,0.0036388771501494215,2.694643597801568e-06,3.346302324512018e-06,0.001775196920431175,3.1912785075863386e-06,0.0020994255970926477,0.9875416190885545
rh_chr1_547952,"{Vv,Vv}",0.9892655067243322,0.9884987572046416,Vv,Vv,chr01,544389,False,5.349379130870884e-06,3.8035655264277122e-06,2.457379335451941e-06,2.746119388942024e-06,0.004060364166598105,4.063862701815133e-06,1.9804636794724568e-06,2.2886538690389365e-06,0.0034110610219292205,1.0712181369552392e-06,1.3583425287408606e-06,0.0014748988936637579,1.2513141663447398e-06,0.0017617988950125584,0.9892655067243322
rh_chr1_631086,"{Vv,Vv}",0.9899615539054092,0.9892445220415098,Vv,Vv,chr01,627268,True,4.619658754760456e-06,3.441197856154255e-06,2.2173582617682253e-06,2.469321681751262e-06,0.003774892926015517,3.5666234630244627e-06,1.8032576775932984e-06,2.0739405466812255e-06,0.003211666156713673,9.301180038707136e-07,1.2258032516378038e-06,0.0013842366189208523,1.0843507193302971e-06,0.0016442187627242085,0.9899615539054092
rh_chr1_741516,"{Vv,Vv}",0.990920079721993,0.9902715139878496,Vv,Vv,chr01,737678,True,3.712898264268525e-06,2.9442667129001918e-06,1.8875436348850783e-06,2.0928442662993905e-06,0.003387564396928011,2.938701599579637e-06,1.5543515410611168e-06,1.7770041195309907e-06,0.0029384867986377602,7.520721371438529e-07,1.0433673141501898e-06,0.001254989130376358,8.739301504525924e-07,0.0014793029723245534,0.990920079721993
rh_chr1_1060803,"{Vv,Vv}",0.9938240237565691,0.993382882596324,Vv,Vv,chr01,1049416,True,1.4723726028881685e-06,1.2792300436807576e-06,7.651658595570939e-07,8.366788194090577e-07,0.002249204227452084,1.3284229020503188e-06,6.747070241384908e-07,7.580263291663283e-07,0.0021195438849996658,2.9590408971193596e-07,4.128297965318707e-07,0.0008371937124189203,3.372144900541088e-07,0.0009618738666029774,0.9938240237565691
rh_chr1_1170229,"{Vv,Vv}",0.9947267556095792,0.9943500952959777,Vv,Vv,chr01,1140710,True,1.0130470268000895e-06,9.251285374492614e-07,5.38901012741958e-07,5.873811078734623e-07,0.0019040355919974737,9.710964222493045e-07,4.856946000322692e-07,5.432856928805274e-07,0.0018669203041534377,2.0188626849867527e-07,2.882392942013177e-07,0.0007003208361470537,2.281101396678014e-07,0.0007961848880204383,0.9947267556095792
rh_chr1_1304008,"{Vv,Vv}",0.9959956270972802,0.9957096004613716,Vv,Vv,chr01,1265000,False,4.886529622180789e-07,4.66263433339377e-07,2.5140224949390803e-07,2.731014561199137e-07,0.001425004901622728,5.423740839955871e-07,2.3842404141373794e-07,2.6509944615005095e-07,0.001513284908588823,9.520861918747867e-08,1.3077254036978513e-07,0.0005031852782850775,1.0551206081238028e-07,0.0005600410033301348,0.9959956270972802
rh_chr1_1400565,"{Vv,Vv}",0.9960571218340611,0.9957754876793512,Vv,Vv,chr01,1361620,False,4.267504261904437e-07,4.233474598828746e-07,2.412532288279385e-07,2.5827313969060804e-07,0.0014089943542119842,4.486573551831786e-07,2.2602409429502804e-07,2.464237297546147e-07,0.0014408071052716678,8.760234957854408e-08,1.2657089203326132e-07,0.0005231434117997177,9.498108547525563e-08,0.0005673534108944494,0.9960571218340611
rh_chr1_1482273,"{Vv,Vv}",0.996053121183281,0.9957712012678012,Vv,Vv,chr01,1441962,True,3.8618641880674274e-07,4.043254179408294e-07,2.3380720858686676e-07,2.533797492317074e-07,0.0014084769667814918,3.988468789550397e-07,2.2001600331713285e-07,2.419181230348409e-07,0.001412667779862697,8.144322919973305e-08,1.2536501966611473e-07,0.0005391941024816044,8.988155537906843e-08,0.0005841047979890164,0.996053121183281
rh_chr1_1623606,"{Vv,Vv}",0.9960876982340375,0.9958082481078974,Vv,Vv,chr01,1583376,True,3.0742169419543934e-07,3.466731447475464e-07,2.0554844323569563e-07,2.292810604550689e-07,0.001397440573316873,3.056017398541695e-07,1.9313226418291294e-07,2.1730406735678712e-07,0.0013530431290042335,6.768341664813643e-08,1.149205441803915e-07,0.0005567851442573067,7.767262778246436e-08,0.0006029676803814395,0.9960876982340375
rh_chr1_1879893,"{Vv,Vv}",0.9962856022660974,0.9960202881422472,Vv,Vv,chr01,1839399,True,1.3956457440342507e-07,1.6176419133299589e-07,1.0065495135630473e-07,1.3074377934737193e-07,0.0013445450097303228,1.2009049500024247e-07,8.910450353295198e-08,1.1605547376938612e-07,0.0012122559249424076,3.117218666501905e-08,6.390094035915404e-08,0.0005539950428945254,4.2824683981509324e-08,0.0006026058805555798,0.9962856022660974
rh_chr1_1999515,"{Vv,Vv}",0.9964376900681695,0.9961832393587531,Vv,Vv,chr01,1959058,False,5.373113211494483e-08,5.645744764152855e-08,3.707821110826594e-08,6.961156598743498e-08,0.0013053111818270599,3.2599753577411625e-08,2.7594678973262866e-08,5.535796456477169e-08,0.0011320197492309604,9.845846070424453e-09,3.104349158720542e-08,0.0005373919269087209,2.16183680446657e-08,0.0005871921354040764,0.9964376900681695
rh_chr1_2145831,"{Vv,Vv}",0.9964738730565049,0.9962220068462553,Vv,Vv,chr01,2106048,True,8.330981516045696e-08,1.0895111021948521e-07,7.522197263494132e-08,1.024053251414754e-07,0.0013036093647165528,4.6655141547317795e-08,5.5265932606552635e-08,7.737833067215595e-08,0.001084127372993894,1.850424153961042e-08,4.733754623112261e-08,0.0005456911023509031,2.8484448519708655e-08,0.0005920555895694456,0.9964738730565049
