Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.987389723455094,0.9864889894161721,Vv,Vv,chr01,89866,True,2.121032492780422e-05,2.427526964287237e-05,2.4212366092524146e-05,2.4947945248662807e-05,0.003633133616399458,1.6681883565837698e-05,2.2397338453161286e-05,2.2802269114882505e-05,0.0028413252863077765,1.6378666752290625e-05,2.2678629421694078e-05,0.002856093877608564,1.725003909131101e-05,0.0030668890322791994,0.987389723455094
rh_chr1_268616,"{Vv,Vv}",0.9960749244791344,0.9957945619419297,Vv,Vv,chr01,263248,False,7.241180914743272e-06,7.132165236104165e-06,7.036100742800732e-06,7.321432353251166e-06,0.0015111403517061612,6.154042207478469e-06,6.9393075340885025e-06,6.885300396282137e-06,0.0007002872934258786,5.784347882455664e-06,6.726903465259151e-06,0.0007154125318646479,5.736243019576283e-06,0.0009312783201169213,0.9960749244791344
rh_chr1_334737,"{Vv,Vv}",0.9965140569509123,0.9962650610188346,Vv,Vv,chr01,329439,True,6.121558000465674e-06,6.176431882411181e-06,6.083596538786819e-06,6.313899004967681e-06,0.0013339999644856736,5.242845632325841e-06,6.003182989488687e-06,5.9494304436697224e-06,0.0006292320167065982,4.896350143226168e-06,5.7996480193717595e-06,0.0006394214831785408,4.829678000590409e-06,0.0008258729640616007,0.9965140569509123
rh_chr1_443667,"{Vv,Vv}",0.9972664196423685,0.9970711639025377,Vv,Vv,chr01,438310,True,4.5428802074387496e-06,4.7280412031746564e-06,4.642460280868807e-06,4.791562991409011e-06,0.0010352001227225717,3.951670578488398e-06,4.588541937019253e-06,4.535135791086905e-06,0.0005041727603326566,3.6441562525370455e-06,4.40041911420916e-06,0.0005062718077975791,3.5542590318186804e-06,0.0006445565393906366,0.9972664196423685
rh_chr1_547952,"{Vv,Vv}",0.9980343470227919,0.9978939432387056,Vv,Vv,chr01,544389,False,3.3773509766523696e-06,3.6042139554773535e-06,3.52935387856812e-06,3.6190193775467084e-06,0.0007352151397478824,2.9871753423409897e-06,3.493270730298342e-06,3.441853951082896e-06,0.000372534003172445,2.7188439319265354e-06,3.3235094656438386e-06,0.0003667854277511709,2.6171899449172495e-06,0.0004584066249821457,0.9980343470227919
rh_chr1_631086,"{Vv,Vv}",0.9981654437540023,0.9980344040221453,Vv,Vv,chr01,627268,True,2.775845872090332e-06,3.076760805187735e-06,3.012333929430085e-06,3.077143251207299e-06,0.0006753686252452764,2.4803257775780615e-06,2.9779549311550733e-06,2.9303401643072054e-06,0.0003568877717574572,2.2402376241189245e-06,2.824803699914496e-06,0.0003478484897012605,2.1369445562601095e-06,0.0004269186686824005,0.9981654437540023
rh_chr1_741516,"{Vv,Vv}",0.9983691336460733,0.9982526431922214,Vv,Vv,chr01,737678,True,2.066080406376372e-06,2.425585780965224e-06,2.3762490851297594e-06,2.412007999429905e-06,0.0005884081271307134,1.8772610729706524e-06,2.343704441703413e-06,2.3012436253910898e-06,0.00032853968665544884,1.675328710206583e-06,2.2134644476257726e-06,0.00031511545853698397,1.5724652535448838e-06,0.00037753969078020965,0.9983691336460733
rh_chr1_1060803,"{Vv,Vv}",0.9991268445902656,0.9990644763467131,Vv,Vv,chr01,1049416,True,5.134168528694304e-07,6.088163928750032e-07,6.067331020695493e-07,5.672389342243969e-07,0.00029782505833110545,5.28479343591898e-07,5.883920635184103e-07,5.584941936478046e-07,0.00020195443392504136,4.3782741610591236e-07,5.240788002558861e-07,0.00017612962223841544,3.498545373195255e-07,0.00019196296360333645,0.9991268445902656
rh_chr1_1170229,"{Vv,Vv}",0.999397365479395,0.9993543201564946,Vv,Vv,chr01,1140710,True,2.9332490333306376e-07,3.5724288714157677e-07,3.729845558910189e-07,3.2988210273499636e-07,0.00020030494470688477,3.170210666363518e-07,3.4534249796093527e-07,3.2238627129614796e-07,0.00015193913022444624,2.603134971224842e-07,3.058593545869817e-07,0.00012248438770346256,1.843615563840443e-07,0.00012481733927707426,0.999397365479395
rh_chr1_1304008,"{Vv,Vv}",0.9998023920430672,0.9997882771890005,Vv,Vv,chr01,1265000,False,1.1247473173349722e-07,9.392971398365755e-08,1.356394429517266e-07,9.316554260406218e-08,5.834923879455614e-05,1.2164458749272694e-07,9.087914116834666e-08,7.856336228598861e-08,7.434606970536783e-05,1.1212767007279122e-07,8.75323019460227e-08,3.9945777084141316e-05,5.66962327967559e-08,2.3984218621722314e-05,0.9998023920430672
rh_chr1_1400565,"{Vv,Vv}",0.9998253438473886,0.9998128684079164,Vv,Vv,chr01,1361620,False,7.742617986441242e-08,6.39009182938561e-08,9.810696543138385e-08,6.296699783853396e-08,5.632575992451863e-05,8.611824407953847e-08,5.969951916822814e-08,5.691558896551316e-08,5.152138057963167e-05,7.960257355705997e-08,5.7223142123010804e-08,4.579063542248369e-05,4.006559857294805e-08,2.0336350956812938e-05,0.9998253438473886
rh_chr1_1482273,"{Vv,Vv}",0.9997893563419463,0.9997743103663711,Vv,Vv,chr01,1441962,True,6.245452840716174e-08,5.4287146482632003e-08,8.231449682512284e-08,5.312824410304767e-08,6.41901104735534e-05,6.878313056768358e-08,5.0618691801145026e-08,4.7985647070836333e-08,5.934484803426647e-05,6.363089201905541e-08,4.820547367652049e-08,5.436957818923501e-05,3.2118122266274584e-08,3.2175594983385974e-05,0.9997893563419463
rh_chr1_1623606,"{Vv,Vv}",0.9997659271924626,0.9997492077062099,Vv,Vv,chr01,1583376,True,3.974884690846601e-08,3.8118124567927476e-08,5.6391484864675354e-08,3.692369145718239e-08,6.80690647351678e-05,4.271003232838918e-08,3.538368109919331e-08,3.327200466881278e-08,6.314142106925064e-05,3.960178457494138e-08,3.3386589538127176e-08,5.948654091419247e-05,2.021072858871688e-08,4.3000033850154506e-05,0.9997659271924626
rh_chr1_1879893,"{Vv,Vv}",0.9998532432391958,0.999842760613424,Vv,Vv,chr01,1839399,True,9.955598754251088e-09,9.63278091809183e-09,1.361515424477205e-08,9.27509793383941e-09,4.270976604361146e-05,9.325277355520182e-09,8.58124248021489e-09,8.018123961139747e-09,3.7599060239176586e-05,8.756089325562696e-09,8.069663101686031e-09,3.630495925566639e-05,4.6678578031419754e-09,3.0053078379917623e-05,0.9998532432391958
