Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA2,Vv}",0.8658415255436517,0.8562587773681982,NA2,Vv,chr01,89866,False,0.0003161555400171368,0.0004141346146319965,0.0006004236734011019,0.07573982372257393,0.00281796393639186,7.00438870755642e-05,9.16561266278134e-05,0.006508704374266088,0.004548569333079095,0.00021422239355225954,0.0070427670820795,0.0023850773365165262,0.028828787082094413,0.8658415255436517,0.004580145354040936
rh_chr1_268616,"{NA2,Vv}",0.8845148521850271,0.8762659130553863,NA2,Vv,chr01,263248,False,0.00015402451361847433,0.00014461609431986835,0.0005261886644747216,0.07573517447481166,0.001754333575386034,2.534432318611052e-05,3.9625005855530715e-05,0.0028203176307779274,0.0018883228225665912,0.00019664664329089974,0.005286784847271783,0.0013998848176515867,0.023374530880253236,0.8845148521850271,0.002139353521508407
rh_chr1_334737,"{NA2,Vv}",0.8933415240352538,0.8857230614663434,NA2,Vv,chr01,329439,False,7.020635433577647e-05,4.675585195894602e-05,0.00023071609700868,0.07540352376481066,0.00107671064415927,1.800298509218349e-05,2.7412281213551256e-05,0.0014443904869170983,0.0008664041868723378,0.00014216117756847218,0.004031292585750402,0.0007271274361302378,0.021365367812027754,0.8933415240352538,0.0012084043009008543
rh_chr1_443667,"{NA2,Vv}",0.8988542330572672,0.8916295354185005,NA2,Vv,chr01,438310,True,6.0951059117978856e-05,3.264920718395987e-05,0.00018170759550055997,0.07167115953686252,0.0010108779248142836,1.2112922031593835e-05,1.90381098448065e-05,0.0012188253638945338,0.0007186553674697968,0.00010204704327048467,0.0037536920612411453,0.0006497358762152832,0.020640619489786502,0.8988542330572672,0.0010736953854993349
rh_chr1_547952,"{NA2,Vv}",0.9043043407282038,0.897468936494504,NA2,Vv,chr01,544389,False,5.1916687920822875e-05,1.9755636711242415e-05,0.0001376609895790133,0.06805061379694377,0.0009300139233232032,7.556235192487166e-06,1.1872137633860617e-05,0.0009804217109200448,0.0005684487005694597,6.794349344561398e-05,0.0034611672496679576,0.0005622661754961,0.019911253581819666,0.9043043407282038,0.0009347689525728381
rh_chr1_631086,"{NA2,Vv}",0.9160997894909505,0.9101069173117327,NA2,Vv,chr01,627268,False,4.030605442192457e-05,1.5415305808799518e-05,0.00010552052273348405,0.05937791540235146,0.0009070085595592792,4.865140302677437e-06,8.428005367928134e-06,0.0008642696851354131,0.00047728412800469963,4.7172310235189495e-05,0.0030178678753311227,0.0005074571622836208,0.01767396208995751,0.9160997894909505,0.0008527382675562986
rh_chr1_741516,"{NA2,Vv}",0.9319464453694146,0.9270854771815157,NA2,Vv,chr01,737678,False,2.6733031405038302e-05,1.0020890682650803e-05,6.886225302548668e-05,0.0478782799737527,0.0008390943963094217,2.124151603698864e-06,4.530460727605245e-06,0.0006686051747905725,0.0003503303954304286,2.4927736443813826e-05,0.002383234943246298,0.0004202819224648231,0.014640003318520774,0.9319464453694146,0.0007365259821821461
rh_chr1_1060803,"{NA2,Vv}",0.9762679119978092,0.9745727628547955,NA2,Vv,chr01,1049416,False,3.7341983916809314e-06,8.730057487035463e-07,9.961599009264008e-06,0.01599574749063817,0.0004378366740031274,1.8720356722244946e-07,3.5713062927910723e-07,0.0001651519164480864,9.337716866280739e-05,3.874471457093633e-06,0.000982806799742742,0.00021041129407544436,0.0054573373868909356,0.9762679119978092,0.00037043166292635455
rh_chr1_1170229,"{NA2,Vv}",0.99146372290606,0.9908539888279214,NA2,Vv,chr01,1140710,False,5.5945240656687e-07,1.816737950720221e-07,1.90385289002462e-06,0.005266114948136678,0.0002675399834196742,3.070126362948647e-08,7.61370734004733e-08,7.249225042192069e-05,5.530758950022274e-05,7.063188742586023e-07,0.0003565301915159628,0.0001264372148195206,0.002119237673730447,0.99146372290606,0.00026915910609254934
rh_chr1_1304008,"{NA2,Vv}",0.9991134051678489,0.9990500769655524,NA2,Vv,chr01,1265000,False,7.440777096242517e-08,1.9299229955325438e-08,2.177841172877607e-07,0.0006020697658244233,1.8175543093116012e-05,2.417344648166064e-09,8.53546960740808e-09,2.4473956728466806e-05,3.948277007947781e-06,1.387171349877457e-07,5.953672662551479e-05,9.938016525327954e-06,0.00013834802436659137,0.9991134051678489,2.9643360912332034e-05
rh_chr1_1400565,"{NA2,Vv}",0.9994332191967565,0.9993927348536678,NA2,Vv,chr01,1361620,False,3.483974678359406e-08,1.0573179602645913e-08,9.004101773954624e-08,0.0004191890443616948,7.300900038333644e-06,1.4482817808010483e-09,3.7635871030354515e-09,6.060764585779358e-06,1.8077509943487224e-06,6.932694987390296e-08,5.612067221582183e-05,5.688220370931237e-06,5.298136086181382e-05,0.9994332191967565,1.7422097051829308e-05
rh_chr1_1482273,"{NA2,Vv}",0.9994176798494748,0.9993760855530087,NA2,Vv,chr01,1441962,False,3.497001280661342e-08,1.5569808799907758e-08,7.955414883409887e-08,0.0003604310817665961,1.6612490968093762e-05,1.4495223138588752e-09,3.874746670749901e-09,9.848756734307583e-06,8.486369999623582e-06,6.024485385216012e-08,5.824851102427553e-05,1.9723346796664533e-05,6.0279359314413e-05,0.9994176798494748,4.849457082798346e-05
rh_chr1_1623606,"{NA2,Vv}",0.9994116609103951,0.999369636689709,NA2,Vv,chr01,1583376,True,3.216193258918689e-08,1.9696949271182916e-08,6.153722070598697e-08,0.0002863967079721889,3.2830112620098796e-05,1.7512457603930906e-09,5.254872217876998e-09,1.6468230909495567e-05,2.1502780658887907e-05,3.702970541582864e-08,5.1825617039724565e-05,2.9212677278799485e-05,6.847646057865543e-05,0.9994116609103951,8.146907062096745e-05
rh_chr1_1879893,"{NA2,Vv}",0.9995652191949986,0.9995341634232128,NA2,Vv,chr01,1839399,False,1.4448213173878953e-08,8.67069098766857e-09,1.9799051107603953e-08,0.00013788928570009112,4.514854384317614e-05,7.869239839496387e-10,2.498941252599855e-09,1.1263065822143987e-05,2.8650443442042907e-05,8.876657300573617e-09,2.340903855300443e-05,2.9871650233145667e-05,4.9540200127856205e-05,0.9995652191949986,0.000108953496802171
rh_chr1_1999515,"{NA2,Vv}",0.9996347514374808,0.9996086622544438,NA2,Vv,chr01,1959058,False,7.315374930200791e-09,3.5195242372423996e-09,7.149507474175062e-09,7.794106567742261e-05,4.082419713838644e-05,2.0973062684470707e-10,7.619932698923866e-10,3.8099625626446233e-06,2.0950161040493296e-05,2.6082455416525587e-09,7.384019558919102e-06,2.3152080610966783e-05,3.1597813959262766e-05,0.9996347514374808,0.00015956769759491326
rh_chr1_2145831,"{NA2,Vv}",0.9996614411145942,0.9996372583370652,NA2,Vv,chr01,2106048,False,4.4127241745644875e-09,1.8097792355757944e-09,3.1029190162848606e-09,7.289872331385623e-05,2.8401326843621637e-05,1.352398116611526e-10,5.135749243895635e-10,2.914852724631092e-06,5.3553276051872005e-06,1.7692404891399496e-09,4.815088592276885e-06,8.700444597648425e-06,5.075871389405781e-05,0.9996614411145942,0.0001647026643567744
rh_chr1_2306205,"{NA2,Vv}",0.9993408401890024,0.9992937573453597,NA2,Vv,chr01,2265211,False,8.64084282797124e-09,2.0804606681574e-09,3.5495000397784512e-09,4.569306688173893e-05,6.261009561631773e-05,2.2855721792954093e-10,7.17498404519314e-10,3.171637615093256e-06,5.88636862175134e-06,2.7640413325701844e-09,1.1210564765846034e-05,1.7409936580807665e-05,6.370459845092766e-05,0.9993408401890024,0.00044945556156468367
rh_chr1_2424927,"{NA2,Vv}",0.9992146135400778,0.9991585145072263,NA2,Vv,chr01,2384046,False,8.797734819058993e-09,2.8543382947470348e-09,4.272160451273877e-09,2.7824102713952415e-05,7.306667624988838e-05,2.592201808900582e-10,6.343204563760208e-10,3.4513471777851117e-06,8.111306098228003e-06,4.216691095811019e-09,2.3252344187404547e-05,3.4499010870389295e-05,8.061744186970877e-05,0.9992146135400778,0.0005345431962895344
rh_chr1_2618562,"{NA2,Vv}",0.9988501049963607,0.998767969638958,NA2,Vv,chr01,2577582,False,8.283844648904974e-09,2.0758879475033565e-09,3.6264096736936585e-09,1.6248354965132138e-05,0.00013550201197891373,2.610682242321152e-10,7.385121468296059e-10,2.0889967242372537e-06,1.6369370113023317e-05,1.6342266001927079e-09,6.2153036531658635e-06,4.01880043815788e-05,3.5330642782461916e-05,0.9988501049963607,0.0008979356990915422
rh_chr1_2718543,"{NA2,Vv}",0.9987396693577782,0.9986496457404767,NA2,Vv,chr01,2677534,False,9.397641571031234e-09,2.387508714887552e-09,4.17587892153379e-09,1.8501829882775145e-05,0.00015961828531496722,5.030288962817668e-10,1.367815226524988e-09,2.9876183095061964e-06,1.569680754168269e-05,1.945286991129333e-09,5.695653250112005e-06,3.849291042162966e-05,4.053957009286873e-05,0.9987396693577782,0.000978778190247918
rh_chr1_2822616,"{NA2,Vv}",0.9986182519584516,0.9985195556697696,NA2,Vv,chr01,2781082,True,1.117194961117052e-08,4.5736067931527764e-09,7.1758487150558326e-09,2.1031308409351005e-05,0.00018716939872685988,9.66653063556106e-10,2.216420544623347e-09,7.383838232565672e-06,2.719962138338534e-05,2.6261892881080286e-09,1.036449673042921e-05,5.724875845013205e-05,4.354475719269168e-05,0.9986182519584516,0.0010277771317549846
rh_chr1_2955463,"{NA2,Vv}",0.9985134959702043,0.9984073171109332,NA2,Vv,chr01,2913710,True,1.1192284432277863e-08,5.3441177050411845e-09,8.654896632249374e-09,1.9184398027835776e-05,0.00021730680002116665,1.2448502188233073e-09,2.611809681334628e-09,7.971455720217905e-06,3.6423053571353225e-05,2.851599042932571e-09,1.128383775258125e-05,7.588241537600199e-05,3.753416412112877e-05,0.9985134959702043,0.0010808860056477857
rh_chr1_3008587,"{NA2,Vv}",0.9984874794828801,0.9983794423030858,NA2,Vv,chr01,2966940,True,1.0053482617845005e-08,4.72878410773326e-09,8.137446618810298e-09,1.6836393685244238e-05,0.00022778353045501266,1.1312474805297829e-09,2.3293521658909083e-09,6.614954921139361e-06,3.838659241596498e-05,2.492642567179782e-09,1.0055018925384578e-05,8.166340370123459e-05,3.201081927233746e-05,0.9984874794828801,0.0010991409307880646
rh_chr1_3077430,"{NA2,Vv}",0.998467505458853,0.9983580415630567,NA2,Vv,chr01,3035452,False,7.8091174700679e-09,3.0691911121590845e-09,6.415260783159907e-09,1.245963806013576e-05,0.00023989732206533408,8.871389627691501e-10,1.5406913491854798e-09,3.526362805928831e-06,3.9446236656573286e-05,1.7527672504503946e-09,7.126026995540617e-06,8.766908377252013e-05,2.2277974846039592e-05,0.998467505458853,0.0011200704217780378
rh_chr1_3142598,"{NA2,Vv}",0.998444053861713,0.9983329148518353,NA2,Vv,chr01,3100650,False,4.683301544554938e-09,2.3225981874985965e-09,3.765313268799561e-09,6.731576358158299e-06,0.0002505108315181474,5.778796387769508e-10,1.0440355210701769e-09,2.392259424502924e-06,4.97190650290902e-05,8.056134341881007e-10,3.258927828881687e-06,9.352164385232569e-05,9.58325102208256e-06,0.998444053861713,0.0011402153845122564
rh_chr1_3325315,"{NA2,Vv}",0.9980897246405773,0.9979532764006186,NA2,Vv,chr01,3282755,False,1.0806252450760987e-08,9.866291533406307e-09,9.247741289629641e-09,1.4430439774188644e-05,0.0002852410606129599,3.1874758294467713e-09,4.629356073728586e-09,1.1376378686648078e-05,6.872139167230195e-05,1.8364477393155799e-09,6.502648450572292e-06,9.955390292643443e-05,1.3972813163467372e-05,0.9980897246405773,0.0014104371505710988
rh_chr1_3523735,"{NA2,Vv}",0.9979799052261579,0.997835612742312,NA2,Vv,chr01,3481846,False,8.37555401048172e-09,9.711513154923318e-09,9.241261086945545e-09,1.2185187788912542e-05,0.00027776454980324124,3.505179737550658e-09,5.798778254434042e-09,1.1780060625080193e-05,6.188977022545349e-05,2.6415746681564005e-09,8.388629942077095e-06,9.47361316943406e-05,1.5688550974737168e-05,0.9979799052261579,0.0015376226189274171
