Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9289036682916357,0.9238253588838954,Vv,Vv,chr01,89866,True,0.00020156047107793443,0.00023280202942807762,0.00019752047880846116,0.00019877607869498654,0.01879100503349966,0.00019100574243493968,0.000215304467509629,0.0002131116729645919,0.01739711138049783,0.0001733724627566246,0.00018440311937170263,0.016574401051957083,0.00017335469662573344,0.01635260302273707,0.9289036682916357
rh_chr1_268616,"{Vv,Vv}",0.9368237400647492,0.9323111500693742,Vv,Vv,chr01,263248,True,0.00012098637987201351,0.000152811039906789,0.00011859770826136909,0.0001203778354973847,0.017036782317487544,0.00011629581781718716,0.0001398772870369888,0.00013811838757347617,0.015609281901902075,0.00010238568825809964,0.00011065080744667439,0.014766944231714258,0.00010334219937616853,0.014539808333100809,0.9368237400647492
rh_chr1_334737,"{Vv,Vv}",0.9398876358333114,0.9355938955356907,Vv,Vv,chr01,329439,True,9.318299651795888e-05,0.00012586586766054515,9.207777284509365e-05,9.406396477699165e-05,0.01634877367189297,9.075299000230781e-05,0.00011472923344194285,0.00011314126948840054,0.014908264217585112,7.827799595458873e-05,8.616588605916182e-05,0.014058330157791803,7.961009146263372e-05,0.013829128051209158,0.9398876358333114
rh_chr1_443667,"{Vv,Vv}",0.9450042736842955,0.9410760075188881,Vv,Vv,chr01,438310,True,4.986391226844416e-05,8.267932467962006e-05,4.9609847526761444e-05,5.1941521687351734e-05,0.015193874327767722,5.1182782846275935e-05,7.4559953496208e-05,7.325906003761175e-05,0.013731751364878178,4.108742032203701e-05,4.711363308671323e-05,0.012869197808145768,4.3042440520031835e-05,0.012636562918441644,0.9450042736842955
rh_chr1_547952,"{Vv,Vv}",0.9500702126012887,0.9465037992156664,Vv,Vv,chr01,544389,False,1.1060660015440824e-05,4.349681824762042e-05,1.1151725154443343e-05,1.3828203185285849e-05,0.014040875329732238,1.6067968959288975e-05,3.839417704245292e-05,3.7380403357698314e-05,0.012557430433478317,8.31354970929664e-06,1.2069312330086542e-05,0.011682429299638294,1.0881503401866863e-05,0.011446408014458911,0.9500702126012887
rh_chr1_631086,"{Vv,Vv}",0.9535367770738257,0.9502179754362418,Vv,Vv,chr01,627268,True,9.793857435799742e-06,3.856228342214408e-05,1.0176295990324751e-05,1.247749178562474e-05,0.013144455301325277,1.4267566121066145e-05,3.383146874218504e-05,3.292213107274079e-05,0.011823590128427248,7.239392064262959e-06,1.0818916291390152e-05,0.010774313909092814,9.387826702680642e-06,0.010541386357700811,0.9535367770738257
rh_chr1_741516,"{Vv,Vv}",0.9582012449623436,0.955215619602511,Vv,Vv,chr01,737678,True,8.153210227004328e-06,3.2214385999136415e-05,8.793386216852337e-06,1.0630844352312292e-05,0.011939101759614509,1.1951189448848434e-05,2.799568936241478e-05,2.7216688108701473e-05,0.010832850938631924,5.873813527653226e-06,9.12569591393066e-06,0.009553162580945504,7.519638734716786e-06,0.00932416521657291,0.9582012449623436
rh_chr1_1060803,"{Vv,Vv}",0.9716823108280522,0.9696596187443417,Vv,Vv,chr01,1049416,True,3.7257695111685752e-06,1.3890213996723324e-05,3.874086376228119e-06,4.482573674368544e-06,0.008462462699109073,5.778679609624023e-06,1.1227241976101021e-05,1.0788220252474488e-05,0.007950628938561131,2.3422130742481993e-06,3.536832655626793e-06,0.006030581097078534,2.8501181054239616e-06,0.0058115204879670545,0.9716823108280522
rh_chr1_1170229,"{Vv,Vv}",0.975700607646902,0.9739649367645379,Vv,Vv,chr01,1140710,True,2.6974629317557905e-06,1.0117891760642114e-05,2.8087457453492572e-06,3.1996089405107626e-06,0.007425998025250469,4.334060672400044e-06,7.93963203866118e-06,7.575996464250933e-06,0.00708469966678544,1.6095754369303105e-06,2.452888614489446e-06,0.004980263068970948,1.9159857051047285e-06,0.004763779743780988,0.975700607646902
rh_chr1_1304008,"{Vv,Vv}",0.9812322563423861,0.9798917032239851,Vv,Vv,chr01,1265000,False,1.4353047136291014e-06,5.377731899363577e-06,1.415602339682e-06,1.5528216354510675e-06,0.005999901626473523,2.549474306964776e-06,3.882669609771433e-06,3.6148879198382884e-06,0.005888426536107432,7.753585346289688e-07,1.1038988917959683e-06,0.0035350216105378986,8.742311309691513e-07,0.0033218119035129316,0.9812322563423861
