Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA1,NA1}",0.9182495291902285,0.9124102098466734,NA1,NA1,chr01,89866,False,1.9604398523684038e-05,1.5947119254556535e-05,0.02264184193630171,2.1802494674416188e-05,1.7554321855501908e-05,1.1347725601554691e-05,0.014659447238029921,1.7273571070023052e-05,1.3567049674426814e-05,0.9182495291902285,0.02579549174794489,0.018480869189800853,2.236142482697034e-05,1.8817756568900573e-05,1.454483564405062e-05
rh_chr1_268616,"{NA1,NA1}",0.9248790542799324,0.9195132724427848,NA1,NA1,chr01,263248,True,1.3052773228608562e-05,1.0804211225069359e-05,0.020977364514353905,1.5161264288662684e-05,1.1955314843598199e-05,7.23524941061099e-06,0.012958618797496645,1.1765420285738925e-05,9.05384992571593e-06,0.9248790542799324,0.024206507910540995,0.01686213723510323,1.5010930337486249e-05,1.286896971130102e-05,9.409279315963761e-06
rh_chr1_334737,"{NA1,NA1}",0.9274384648049016,0.9222554980052516,NA1,NA1,chr01,329439,True,1.064009697267494e-05,8.898844743796635e-06,0.020334909043678934,1.2618929371201459e-05,9.847679897735475e-06,5.785282285327054e-06,0.012301620007758592,9.696874435069877e-06,7.400797548476e-06,0.9274384648049016,0.02359302202050182,0.016236680122881434,1.2269006390536152e-05,1.0604227973851877e-05,7.542260658862632e-06
rh_chr1_443667,"{NA1,NA1}",0.9316874713168595,0.9268080049823494,NA1,NA1,chr01,438310,True,6.716794539891766e-06,5.651618001174098e-06,0.019268810553813537,8.241938640955927e-06,6.236336678622092e-06,3.4895278024583516e-06,0.011210836412123414,6.155191038505936e-06,4.591726476195901e-06,0.9316874713168595,0.022574760750809435,0.0151980241487775,7.776013661003721e-06,6.708692605532001e-06,4.528978172345615e-06
rh_chr1_547952,"{NA1,NA1}",0.9358727494466855,0.9312922315500202,NA1,NA1,chr01,544389,False,2.9897643684992083e-06,2.4704722742405484e-06,0.018219057004792726,3.861589177495623e-06,2.660597937851429e-06,1.399444805021209e-06,0.010136094934744383,2.653816515522002e-06,1.8610669816613634e-06,0.9358727494466855,0.02157184508210643,0.01417437407567169,3.4588552853246706e-06,2.8230279464638618e-06,1.700820707271997e-06
rh_chr1_631086,"{NA1,NA1}",0.9381405285584178,0.9337219948840191,NA1,NA1,chr01,627268,True,2.9058894072985717e-06,2.7900723923402595e-06,0.017557177459425553,4.096973331993779e-06,2.8837183098291265e-06,1.4249662584767255e-06,0.009684160336854725,2.993208734051249e-06,2.1191455036769713e-06,0.9381405285584178,0.02095172153827743,0.013639080577653959,3.369840857642368e-06,3.0562110610955617e-06,1.6915035142961224e-06
rh_chr1_741516,"{NA1,NA1}",0.941198802227379,0.9369987166721917,NA1,NA1,chr01,737678,True,2.6989217133314224e-06,3.044487281936989e-06,0.016667330726908677,4.162962537170493e-06,2.980167122306349e-06,1.4064034470090202e-06,0.009071782630605407,3.254537871989411e-06,2.31372546490531e-06,0.941198802227379,0.020117660342923994,0.012916683895999046,3.1323911886126865e-06,3.144699113541308e-06,1.6018804430061503e-06
rh_chr1_1060803,"{NA1,NA1}",0.9500743511370309,0.9465082333611045,NA1,NA1,chr01,1049416,True,1.5634939976841592e-06,2.669241737451705e-06,0.014101760953022152,2.76003816114247e-06,1.968234614019316e-06,1.0606755497360373e-06,0.0072768047162033896,2.7747552815645983e-06,1.9105379990971497e-06,0.9500743511370309,0.017710664052514122,0.010817072982706349,1.7585523187874412e-06,1.9748864609934103e-06,9.057424029224561e-07
rh_chr1_1170229,"{NA1,NA1}",0.9527341211211237,0.9493579869154897,NA1,NA1,chr01,1140710,True,1.1303821904847728e-06,2.3987995399292315e-06,0.013337184776127171,2.086020621670473e-06,1.4733763151825853e-06,9.092845902589107e-07,0.006733814658010303,2.4350453899017726e-06,1.6529209659960722e-06,0.9527341211211237,0.01699280851399953,0.01018676676972432,1.2091985380105324e-06,1.3915738174211968e-06,6.175590460347746e-07
rh_chr1_1304008,"{NA1,NA1}",0.9564035725588004,0.9532895420272861,NA1,NA1,chr01,1265000,False,4.7302703859197984e-07,1.898873337865008e-06,0.012285441867254363,9.508047372891419e-07,6.361414566053528e-07,6.740003485177552e-07,0.005981098545537846,1.8119470842118214e-06,1.1886924718517796e-06,0.9564035725588004,0.01600490388249792,0.009316417003422657,3.591758104293156e-07,4.026372643138798e-07,1.7084293718023548e-07
rh_chr1_1400565,"{NA1,NA1}",0.9591374487805158,0.9562186951219812,NA1,NA1,chr01,1361620,False,6.139801624457245e-07,1.9134268565896825e-06,0.011447808563871176,1.37479143801422e-06,9.968811482127986e-07,6.074361749648875e-07,0.005393483669612872,1.9028364845875935e-06,1.2833273285740915e-06,0.9591374487805158,0.01521562455875482,0.00879510091323373,6.20190959427573e-07,8.842082554630814e-07,3.36435203328186e-07
rh_chr1_1482273,"{NA1,NA1}",0.9611877039696757,0.9584153971103668,NA1,NA1,chr01,1441962,False,7.053701183600408e-07,1.9607943236595983e-06,0.010812239618868794,1.6854068921089653e-06,1.20544599429368e-06,5.758475078773238e-07,0.005017787618921279,2.017388180948789e-06,1.3454746907460505e-06,0.9611877039696757,0.014666638702719786,0.008303706521171886,8.181342713448413e-07,1.189831569041704e-06,4.198750940899612e-07
