Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA2,NA2}",0.30689686384208753,0.2573894969736652,NA2,NA2,chr01,89866,False,0.00018279808663311037,8.190759178902986e-05,0.00022695388972023735,0.025837617155179262,0.005095235252431737,9.32090877982243e-06,2.890410546341e-05,0.0016736338588468804,0.0002614912089265944,0.00010443228649465694,0.006084970523599092,0.010235029709276398,0.30689686384208753,0.6392408326674938,0.004040008913278395
rh_chr1_268616,"{NA2,NA2}",0.31315391642652174,0.26409348188555903,NA2,NA2,chr01,263248,False,6.135853958613202e-05,2.6205389624760058e-05,0.00015974409302523933,0.026254419093686802,0.0019273675820207158,3.2084752844210516e-06,9.48446921303269e-06,0.0008799253019495499,7.091336940098729e-05,7.41071725628168e-05,0.005418894416091067,0.008941102205831955,0.31315391642652174,0.6416561444348807,0.0013632090303200936
rh_chr1_334737,"{NA2,NA2}",0.31875547962845774,0.27009515674477613,NA2,NA2,chr01,329439,False,1.8413562483317632e-05,8.516207250414385e-06,6.384811644011953e-05,0.02671560243064246,0.0009797774803496147,2.049180550395121e-06,6.4603665926124505e-06,0.000638137778075286,2.214284435468129e-05,6.991617513595127e-05,0.005298565927449501,0.0037413266073360427,0.31875547962845774,0.6432725065736952,0.0004072571211866033
rh_chr1_443667,"{NA2,NA2}",0.3539845400792017,0.30784057865628756,NA2,NA2,chr01,438310,True,1.3779473353589344e-05,6.124172025765928e-06,4.730523919764471e-05,0.023048231212155663,0.000840514523774087,1.1227489386977556e-06,4.932380221878908e-06,0.000602253160611605,1.608529326064714e-05,7.410810291762568e-05,0.004870450973591392,0.0027377274890844935,0.3539845400792017,0.6135059647998397,0.0002468603518255729
rh_chr1_547952,"{NA2,NA2}",0.3885407366303472,0.3448650749610863,NA2,NA2,chr01,544389,False,9.676490736147582e-06,3.96698025886307e-06,3.241186670324423e-05,0.01939133771566789,0.0007102580085374002,4.7353616586880445e-07,2.9904243120044002e-06,0.00046874489385006194,5.33390250796808e-06,7.804073491837785e-05,0.004289498644805133,0.0018324291110881216,0.3885407366303472,0.5845437383403956,9.036271970613539e-05
rh_chr1_631086,"{NA2,NA2}",0.5012298821253887,0.465603445134345,NA2,NA2,chr01,627268,False,7.265607439650906e-06,3.304736820566725e-06,2.469124314603703e-05,0.017010242358715857,0.0004967390104906926,2.8588844837023335e-07,2.773714458259891e-06,0.0006119275626272364,7.462666725422867e-06,9.596080633628894e-05,0.004644928576119317,0.0012707464482712085,0.5012298821253887,0.4745321134716054,6.167578340715017e-05
rh_chr1_741516,"{NA2,NA2}",0.6491308431553036,0.6240687605235395,NA2,NA2,chr01,737678,False,4.114774655521199e-06,2.12939376726356e-06,1.4309495923886104e-05,0.013613156272023967,0.0002543030513559055,1.160272249189261e-07,1.9015335990562243e-06,0.0004547274137086248,6.744979039743754e-06,4.5287141885596305e-05,0.0026757522620041857,0.000628130815820582,0.6491308431553036,0.3331398499332192,2.8633750467924825e-05
rh_chr1_1060803,"{NA2,NA2}",0.8655501792786371,0.8559466206556826,NA2,NA2,chr01,1049416,False,1.2569782092601707e-06,3.3841355733324093e-07,3.9022152740397765e-06,0.0070309733032294435,4.927472168088417e-05,2.3780242967081256e-08,2.9251667541802435e-07,0.000342016137927071,1.61931001961993e-06,7.470806055217363e-06,0.001799990091467666,9.378852714934455e-05,0.8655501792786371,0.12511307074185818,5.803178016443847e-06
rh_chr1_1170229,"{NA2,NA2}",0.9232905184458433,0.9178112697634035,NA2,NA2,chr01,1140710,False,6.60975540156486e-07,2.2885876932688823e-07,1.9388426480254445e-06,0.004668971709756237,2.4808467555037056e-05,9.661775636733204e-09,1.3838945775539547e-07,0.0003245754056141416,9.550062029525756e-07,1.910355390990601e-06,0.001023300508286571,3.346177390333107e-05,0.9232905184458433,0.07062619831330745,2.3232859491501696e-06
rh_chr1_1304008,"{NA2,NA2}",0.986348304582607,0.9853731834813647,NA2,NA2,chr01,1265000,False,7.176501698183251e-08,5.161317513300929e-08,2.0983330240091608e-07,0.0008308828761142761,2.35325721709079e-06,4.382227113386239e-09,4.044185007298614e-08,0.0002395057821844346,2.687402231970281e-07,2.541055207777208e-07,0.00021685090954998225,3.5048056203237486e-06,0.986348304582607,0.012357413846458295,2.8305893289583167e-07
