Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9754708856292763,0.9737188060313675,Vv,Vv,chr01,89866,False,9.475892191774428e-05,6.280474415834046e-05,7.718138057576504e-05,9.763609802123036e-05,0.00868815782192886,2.2507866988596512e-05,3.9998409703640994e-05,6.080156860442929e-05,0.002120530871177019,5.0666181858136595e-05,7.504857453512383e-05,0.0046969753720574915,9.057009921994862e-05,0.008351476459977367,0.9754708856292763
rh_chr1_268616,"{Vv,Vv}",0.9767566527720668,0.9750964136843573,Vv,Vv,chr01,263248,False,6.32949879836595e-05,4.295495125423337e-05,5.282901557220159e-05,6.689748574235081e-05,0.008527857454207687,1.4781162114736374e-05,2.71123942275984e-05,4.153877301344692e-05,0.0017027021136362523,3.362757159794702e-05,5.12796847821209e-05,0.004380175207029187,6.032000332598165e-05,0.00817797642344568,0.9767566527720668
rh_chr1_334737,"{Vv,Vv}",0.977271876558325,0.975648439169634,Vv,Vv,chr01,329439,True,5.178047442648907e-05,3.599525359196076e-05,4.409468159348782e-05,5.564607807680598e-05,0.008459579453493078,1.242240145715655e-05,2.2897466960809194e-05,3.48104512607772e-05,0.0015350550532166319,2.7677087340817155e-05,4.277535794186693e-05,0.00425151073176819,4.927367576233059e-05,0.008104605274784574,0.977271876558325
rh_chr1_443667,"{Vv,Vv}",0.9781536995175814,0.9765932494831229,Vv,Vv,chr01,438310,True,3.3227985848930816e-05,2.4713054304853656e-05,2.9830644859485188e-05,3.7152712463066394e-05,0.008338583540938334,9.059731109523199e-06,1.622725680752874e-05,2.391704031885373e-05,0.0012492889274426638,1.835557197398042e-05,2.889782972262751e-05,0.004030384158082553,3.149790496336882e-05,0.007975164123582824,0.9781536995175814
rh_chr1_547952,"{Vv,Vv}",0.9790519401200755,0.9775556501286523,Vv,Vv,chr01,544389,False,1.5706779764810398e-05,1.419754855046638e-05,1.6330849217503285e-05,1.9420098041471772e-05,0.008210307569449047,6.491926644307501e-06,1.0327636266746526e-05,1.3790665901293394e-05,0.0009588803528952505,9.921658789811808e-06,1.578490909494673e-05,0.0038035804307098584,1.4741306197366307e-05,0.00783857814840168,0.9790519401200755
rh_chr1_631086,"{Vv,Vv}",0.981360928311494,0.9800295660480293,Vv,Vv,chr01,627268,True,1.2811467253705203e-05,1.2087640943110263e-05,1.3905612190511663e-05,1.649272602903988e-05,0.007289203170688246,5.340356316158198e-06,8.787355969522248e-06,1.1725939597852087e-05,0.0008940306733408712,8.10968976095307e-06,1.3405468552505124e-05,0.003400850448674477,1.1953555958017696e-05,0.00694036758323097,0.981360928311494
rh_chr1_741516,"{Vv,Vv}",0.9844798251048638,0.9833712411837826,Vv,Vv,chr01,737678,True,9.405481907383626e-06,9.476501795055935e-06,1.0910123284834031e-05,1.2879080115322504e-05,0.006053117263806217,3.979114217694349e-06,6.884850015744592e-06,9.173820288882965e-06,0.0007928185205732057,5.978540020645936e-06,1.0469982763853453e-05,0.0028517925353684016,8.684639403734144e-06,0.005734604441575281,0.9844798251048638
rh_chr1_1060803,"{Vv,Vv}",0.9935727964588972,0.9931137104916755,Vv,Vv,chr01,1049416,False,2.0355760657515443e-06,2.0606501491730174e-06,2.4066645428769774e-06,2.6153276959204766e-06,0.002503031752964658,9.871697445481205e-07,1.5038313880394116e-06,1.9332610455233175e-06,0.00041456747234477946,1.3647083779942592e-06,2.145570654950135e-06,0.0012217358445180055,1.672898058473797e-06,0.002269142813552122,0.9935727964588972
rh_chr1_1170229,"{Vv,Vv}",0.9963005023485956,0.9960362525163524,Vv,Vv,chr01,1140710,False,1.099819927052235e-06,1.1260130501886836e-06,1.3808840982948298e-06,1.4051622032300147e-06,0.00144881143924351,5.668299968297493e-07,8.235751489719376e-07,1.0364373047574157e-06,0.00027809958374049157,7.718226470781382e-07,1.158994977104683e-06,0.0007230242168934775,8.233260055870913e-07,0.0012393695461678617,0.9963005023485956
rh_chr1_1304008,"{Vv,Vv}",0.9989761887496452,0.9989030593746199,Vv,Vv,chr01,1265000,False,4.357040080446476e-07,3.0626508951582896e-07,5.185795747218726e-07,4.11563379973344e-07,0.0004193551288140079,2.2460201179289158e-07,2.2452101673204114e-07,2.6232759120792466e-07,0.00013754174518022818,3.4308000631317513e-07,3.4409731105564096e-07,0.0002307327100467908,2.637168318318025e-07,0.00023284720949261838,0.9989761887496452
