Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA1,Vv}",0.9925817020931778,0.9920518236712619,NA1,Vv,chr01,89866,False,1.1987588943277584e-06,1.4423388436201506e-06,0.0008272289601454951,1.8207053731324424e-06,0.0007544541851608215,8.416515000887363e-07,0.0005829380327623491,1.4728747512804491e-06,0.0007958176598676768,0.0013714109231864474,0.0006586916386385084,0.9925817020931778,1.640383775741996e-06,0.0012155264374019276,0.0012038133565207352
rh_chr1_268616,"{NA1,Vv}",0.9969828705654804,0.9967673613201575,NA1,Vv,chr01,263248,False,2.401013369999256e-07,3.9493063906342164e-07,0.00042964514428393656,5.673084018343756e-07,0.0002504990606742976,9.939347193445814e-08,0.00018683150947839612,3.2313339039117207e-07,0.00030372893636672484,0.0005143068558579793,0.00025878929060852535,0.9969828705654804,4.880102805983598e-07,0.0007265550422032832,0.00034466071752559596
rh_chr1_334737,"{NA1,Vv}",0.997608465486723,0.9974376415929175,NA1,Vv,chr01,329439,True,1.3877291454624837e-07,2.9585260887998896e-07,0.0002998287681382406,3.7079600057640085e-07,0.00021096606720286075,5.854509627674486e-08,0.00013168145802584932,2.1731271445051353e-07,0.0002608185292293968,0.0003461905603438985,0.00018060493404303623,0.997608465486723,3.073819442966872e-07,0.0006602375967174454,0.00029981793829739434
rh_chr1_443667,"{NA1,Vv}",0.9986726973641302,0.9985778900329967,NA1,Vv,chr01,438310,False,2.739643888890681e-08,1.7182901919018022e-07,8.317927403763125e-05,1.098564149113044e-07,0.00014211982627608093,1.0338821605049531e-08,3.6905109118657964e-05,7.12756952964737e-08,0.00018680027691963668,6.263429010884539e-05,4.807154684916508e-05,0.9986726973641302,7.266617003317344e-08,0.0005479756680712343,0.0002191532819287395
rh_chr1_547952,"{NA1,Vv}",0.9992344993643177,0.9991798207474833,NA1,Vv,chr01,544389,False,5.760344967982831e-09,1.6135646826559105e-07,3.629288860278699e-05,4.2108177614332915e-08,6.976820536360226e-05,1.325063932654908e-09,1.9505338699213157e-05,3.4951605907422046e-08,0.00011493219644799091,7.235545513383967e-06,5.359486353995459e-06,0.9992344993643177,6.328902009534723e-09,0.00042943746066772604,8.271768347100683e-05
rh_chr1_631086,"{NA1,Vv}",0.9995024125952898,0.9994668706378105,NA1,Vv,chr01,627268,False,5.23451804156091e-10,1.369656005417694e-07,3.842803369568583e-05,4.133906997093007e-08,8.883017464273642e-06,3.507262676822343e-10,4.892092813024873e-06,6.512559000159455e-09,9.537157211020325e-05,1.7383106810831418e-06,1.1679744312635378e-06,0.9995024125952898,1.122183863331301e-09,0.00033460582614033125,1.2313763782939251e-05
rh_chr1_741516,"{NA1,Vv}",0.9996254997041881,0.9995987496830587,NA1,Vv,chr01,737678,False,6.813110658856669e-10,7.061900186209135e-08,3.668295089754343e-05,2.3659391029307495e-08,9.421823374898984e-06,1.28077773832085e-09,1.528563537939452e-05,8.418762297867647e-09,6.521610919352944e-05,1.9030605437133366e-05,8.105044700033511e-06,0.9996254997041881,2.951829405127026e-09,0.0002063940898184344,1.4256425937437995e-05
rh_chr1_1060803,"{NA1,Vv}",0.9996993326927409,0.9996778564565081,NA1,Vv,chr01,1049416,False,2.9142697147880547e-10,1.0304497241517153e-08,1.089944686463145e-05,1.913460723159358e-09,2.6741787346949886e-05,2.837344376993189e-10,2.5356828892373e-05,4.237113960697169e-09,6.511928075101297e-05,2.358493775515546e-06,4.416783366249022e-06,0.9996993326927409,6.693443859187133e-10,0.000123409327180715,4.234765950396787e-05
rh_chr1_1170229,"{NA1,Vv}",0.9997320991240701,0.999712963347218,NA1,Vv,chr01,1140710,False,3.6734274422181815e-11,1.0123515056209346e-09,1.7842913244814877e-05,1.2166111022633158e-09,2.5724798108292833e-05,8.276389693372615e-11,3.202639100733486e-05,2.2835794192560474e-09,5.467803252797915e-05,1.756437008300407e-06,1.0452875536554592e-05,0.9997320991240701,6.696174554811025e-10,9.362474638263048e-05,3.178938045617552e-05
rh_chr1_1304008,"{NA1,Vv}",0.9999135094707283,0.9999073315757804,NA1,Vv,chr01,1265000,False,5.569699797633207e-11,5.598508897498297e-10,8.930910257369321e-06,3.3147775834798836e-10,8.606676599985191e-06,1.658199704281067e-10,1.846359553858455e-05,8.372686551509164e-10,1.6265685415013938e-05,4.364372845274409e-06,5.8664000870515244e-06,0.9999135094707283,1.2882939927004038e-10,1.8784750716936767e-05,5.206058867783783e-06
rh_chr1_1400565,"{NA1,Vv}",0.9999253370020086,0.9999200039307234,NA1,Vv,chr01,1361620,False,1.0694578681611946e-10,4.103664310975416e-10,5.0343690939697155e-06,2.9888713156852286e-10,1.1372489603546986e-05,9.841948025899841e-11,8.73468250002833e-06,3.647454895660994e-10,1.1453400325315773e-05,4.299116681006905e-06,3.675426711832606e-06,0.9999253370020086,1.0050462819858861e-10,1.5122598654369443e-05,1.496953455234244e-05
rh_chr1_1482273,"{NA1,Vv}",0.9998977356056274,0.9998904310060294,NA1,Vv,chr01,1441962,False,1.810859353080119e-10,4.772933238632481e-10,6.085144841407831e-06,4.2912035576779617e-10,1.3433902443711286e-05,1.778158538187698e-10,8.309888338279442e-06,4.763198216250426e-10,1.3074448397913369e-05,7.989460112545848e-06,5.079506583089738e-06,0.9998977356056274,1.883395727745462e-10,1.705053892585554e-05,3.123957475481888e-05
rh_chr1_1623606,"{NA1,Vv}",0.9998926610060463,0.9998849939350497,NA1,Vv,chr01,1583376,False,7.788675277547176e-11,1.7422176582834182e-10,2.9206233207490523e-06,2.0301694768900044e-10,1.2477388171496048e-05,7.837035782396251e-11,3.3639686745113716e-06,2.1393926407379888e-10,1.2382352638232482e-05,4.984565935561024e-06,3.3400764245508997e-06,0.9998926610060463,1.2264812580969575e-10,1.6179089086168766e-05,5.169005961922225e-05
rh_chr1_1879893,"{NA1,Vv}",0.9998209866910095,0.9998082000260816,NA1,Vv,chr01,1839399,False,1.984481591313568e-10,2.7338498712668897e-10,3.5626851338075036e-06,7.213967646693491e-10,1.538200591327342e-05,1.6208279595461426e-10,2.6775192172117967e-06,6.751375261714087e-10,1.5697490543707514e-05,8.837797544973582e-06,8.59818513567796e-06,0.9998209866910095,7.939766665751159e-10,2.2317588824640603e-05,0.00010193721225023323
rh_chr1_1999515,"{NA1,Vv}",0.9998487686770379,0.9998379664396835,NA1,Vv,chr01,1959058,False,9.656705341251363e-11,1.7396482632334448e-10,2.586857245730686e-06,9.162756833189278e-10,1.363796125018003e-05,7.212365480554837e-11,1.682037061219863e-06,9.70304751281702e-10,1.7267124735860562e-05,5.2249507345195575e-06,1.1149478963781203e-05,0.9998487686770379,8.694999517341804e-10,2.0065438075230963e-05,7.961437615973325e-05
rh_chr1_2145831,"{NA1,Vv}",0.9999005153974198,0.9998934093543783,NA1,Vv,chr01,2106048,False,7.840269174803918e-11,6.279734534276313e-10,1.03497829638736e-05,5.541336123540532e-10,3.952276625612987e-06,2.659007902111003e-10,7.88097925652951e-06,1.008951638315592e-09,1.252263401917259e-05,1.8689659596912452e-05,1.528240240722152e-05,0.9999005153974198,4.736655457488174e-10,8.766534783232248e-06,2.2037323899953912e-05
rh_chr1_2306205,"{NA1,Vv}",0.9999442701001393,0.9999402893930064,NA1,Vv,chr01,2265211,False,2.3931880067429584e-11,6.820265865055923e-11,1.0829230683343203e-05,8.326210962345124e-11,9.87035539096922e-07,3.283195933383258e-11,7.793178035630844e-06,1.0744610057567878e-10,1.7800625361935544e-06,1.7190911486494764e-05,1.2097189190197799e-05,0.9999442701001393,6.051621705823153e-11,1.676647696494583e-06,3.3752685024036302e-06
rh_chr1_2424927,"{NA1,Vv}",0.9999579100714536,0.999954903647986,NA1,Vv,chr01,2384046,False,2.6286519873340044e-11,5.154442969735469e-11,5.941587938570014e-06,1.4371643980603913e-10,4.527743738362146e-06,1.643111386423445e-11,2.9452697527035675e-06,1.1782069286038478e-10,4.658413037002973e-06,4.836530971181185e-06,4.528543482997614e-06,0.9999579100714536,6.4418246542771e-11,5.652009861874154e-06,8.99940954628081e-06
rh_chr1_2618562,"{NA1,Vv}",0.9999745618446593,0.9999727448335635,NA1,Vv,chr01,2577582,False,5.5008315174226315e-11,6.780166997464126e-11,8.685484714608858e-06,1.1206598706595916e-10,1.5621058655578034e-06,8.728555550749477e-12,2.8140503328824683e-06,3.925102647416427e-11,1.0115696174016558e-06,3.844039141871429e-06,3.7411134059434904e-06,0.9999745618446593,3.854113184467545e-11,2.464716679786236e-06,1.314754186022938e-06
rh_chr1_2718543,"{NA1,Vv}",0.9999811818119708,0.999979837655683,NA1,Vv,chr01,2677534,False,2.43376512727743e-11,2.231506047181314e-11,7.046860296262839e-06,6.979737066947272e-11,7.06090010799608e-07,1.8990693391224174e-12,3.4237050314763824e-06,2.7737918571287404e-11,1.5064940084362106e-07,1.5612566666108318e-06,3.996472076973767e-06,0.9999811818119708,3.9593912406925976e-11,1.7492814931463807e-06,1.8368737208094657e-07
rh_chr1_2822616,"{NA1,Vv}",0.9999886090473034,0.999987795407825,NA1,Vv,chr01,2781082,False,7.291868281248441e-12,6.961079739831711e-12,2.4540860405703358e-06,3.252204202810663e-11,9.219996040498861e-07,1.4535505800249362e-12,8.826563333370252e-07,1.3208450890938525e-11,5.116779235361751e-07,1.2420001363487645e-06,1.5519297132422305e-06,0.9999886090473034,2.503632087229173e-11,3.182305633137038e-06,6.44210839148752e-07
rh_chr1_2955463,"{NA1,Vv}",0.9999842407884177,0.9999831151304476,NA1,Vv,chr01,2913710,False,8.146559605384146e-12,7.495557763120478e-12,2.79004354257221e-06,5.81434174551211e-11,7.032650552852275e-07,1.7420989969253632e-12,7.837440564336426e-07,2.2886457159775375e-11,5.780631979498866e-07,2.666601431384888e-06,1.9877446955150274e-06,0.9999842407884177,6.606425338871895e-11,5.52517306325212e-06,7.244120614871884e-07
rh_chr1_3008587,"{NA1,Vv}",0.9999782855465776,0.9999767345141903,NA1,Vv,chr01,2966940,False,1.0389564303794683e-11,1.321610455107191e-11,2.0558019960975197e-06,7.260431769116047e-11,1.8016451571514745e-06,4.07294837688301e-12,7.227921285919773e-07,3.1042377474457854e-11,1.7190515635172933e-06,2.3761814623312865e-06,1.5230607523570773e-06,0.9999782855465776,5.8124669112855103e-11,9.604423099018167e-06,1.9113078132958975e-06
rh_chr1_3077430,"{NA1,Vv}",0.9999475426059801,0.9999437956492644,NA1,Vv,chr01,3035452,False,5.534405445253927e-11,5.441439150885048e-11,2.066276167705445e-06,1.4032935380554312e-10,8.625737725340997e-06,2.671703961429286e-11,9.713539943428096e-07,8.492997805195188e-11,7.316401079060583e-06,3.6940871776493053e-06,2.11601299314899e-06,0.9999475426059801,1.3500617882084036e-10,1.923512049856929e-05,8.431907643198077e-06
rh_chr1_3142598,"{NA1,Vv}",0.9999272258623315,0.9999220277096409,NA1,Vv,chr01,3100650,False,2.2990123850941437e-11,4.345885338698102e-11,6.971563998570504e-07,8.045386059329369e-11,1.370875269768859e-05,3.1357674995889576e-11,6.75275976031827e-07,8.998029015487077e-11,1.5376350080460917e-05,2.2230043518626297e-06,1.2944004777223374e-06,0.9999272258623315,1.0058565589332075e-10,2.6993065075140755e-05,1.1805763783125113e-05
