Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA2,Vv}",0.9926838667934852,0.9921612858501627,NA2,Vv,chr01,89866,False,4.0779546944547414e-06,2.9223481904541884e-06,3.007371781953719e-06,0.0005628796728136856,0.0008525326763639046,1.2204655046844257e-06,1.614301444404708e-06,0.000225235714868729,0.0006273683966530249,1.4237447829690672e-06,0.0002474300340591202,0.0006114855544643325,0.0019484547796399408,0.9926838667934852,0.002226480191252998
rh_chr1_268616,"{NA2,Vv}",0.9954905618406773,0.9951684591150114,NA2,Vv,chr01,263248,True,1.7036728252304593e-06,1.0425945587904595e-06,1.0811312037337295e-06,0.00045582435274593366,0.0005259837386992881,2.605140335947096e-07,3.785892366952401e-07,9.73155840075154e-05,0.00026670655371105364,3.607458176158562e-07,0.00012133769972012049,0.0002791896086919328,0.001679716735516912,0.9954905618406773,0.0010785366385543092
rh_chr1_334737,"{NA2,Vv}",0.9965947988050173,0.9963515701482328,NA2,Vv,chr01,329439,False,9.9247850876308e-07,5.6747339521811e-07,5.863440896231452e-07,0.00041132364540684814,0.0003970211403703191,1.0146893667448765e-07,1.6155112582685982e-07,4.4716629030826345e-05,0.00012481416269722958,1.5961382360355132e-07,6.947578770474152e-05,0.00014802726574750154,0.0015719876079753352,0.9965947988050173,0.000635266026170213
rh_chr1_443667,"{NA2,Vv}",0.9974178008043888,0.9972333580047023,NA2,Vv,chr01,438310,False,4.005180420642891e-07,1.9925930852329214e-07,2.134729820646429e-07,0.0002662918802381597,0.00025980981281363655,2.3387890369543814e-08,4.558372235810971e-08,3.043379756026332e-05,4.233736514227786e-05,4.783162861322741e-08,4.308230716254111e-05,7.034807254171925e-05,0.0016090393351293384,0.9974178008043888,0.0002599265714493001
rh_chr1_547952,"{NA2,Vv}",0.9985152731502763,0.9984092212324389,NA2,Vv,chr01,544389,False,1.3658633669195337e-07,6.807472321156435e-08,7.05515182193301e-08,0.0001292377000068671,0.00021559293889216333,8.338149509781091e-09,1.4419909343723199e-08,8.68181561642666e-06,1.0025289791368875e-05,1.4901580538245444e-08,1.3562995431506087e-05,4.260161249614803e-05,0.0009419241991265336,0.9985152731502763,0.00012278742614511108
rh_chr1_631086,"{NA2,Vv}",0.9986444579549122,0.9985476335231203,NA2,Vv,chr01,627268,True,9.433509894157834e-08,5.027005677267465e-08,5.177161537929158e-08,0.0001224544908099169,0.00016980853092600257,4.980516345859138e-09,9.860093250127021e-09,1.0518718820784291e-05,1.1119585149944258e-05,9.726679491187294e-09,1.4780309666996646e-05,3.5171881140324705e-05,0.0008914204934262445,0.9986444579549122,0.0001000470910874755
rh_chr1_741516,"{NA2,Vv}",0.9988514523449867,0.9987694132267715,NA2,Vv,chr01,737678,False,4.678598910879984e-08,2.930489737903631e-08,2.92972840648768e-08,0.00010972515491013135,0.00010565183255941112,1.8654545943232504e-09,5.016596778025036e-09,9.225706271978436e-06,8.934198249906594e-06,4.791960226935194e-09,1.2648742893476289e-05,2.1721864234795657e-05,0.0008177381388535721,0.9988514523449867,6.278495485777189e-05
rh_chr1_1060803,"{NA2,Vv}",0.9996264435824593,0.9995997609812064,NA2,Vv,chr01,1049416,False,4.390552861420338e-09,1.5712740164968206e-09,4.116808798173966e-09,3.753588787595008e-05,3.373575739848688e-05,2.2092549227487374e-10,3.8144395911501403e-10,3.6385611869601447e-06,4.0556359946130965e-06,7.741188836724722e-10,1.1582837047756744e-05,1.2421918712225448e-05,0.00024297994807780544,0.9996264435824593,2.7594416122846074e-05
rh_chr1_1170229,"{NA2,Vv}",0.9999300180784868,0.9999250193698073,NA2,Vv,chr01,1140710,False,4.291582127468776e-10,2.391699147281695e-10,4.283293644884394e-10,5.221629759684016e-06,5.8345462150910326e-06,6.143952551777179e-11,6.824535201329599e-11,8.651536382556342e-07,1.9467470190401277e-06,8.337948145866524e-11,1.9271683401322065e-06,2.3264131415566197e-06,4.389652286159854e-05,0.9999300180784868,7.962430815981579e-06
rh_chr1_1304008,"{NA2,Vv}",0.9999825543557361,0.9999813082382887,NA2,Vv,chr01,1265000,False,6.03938806883562e-11,4.5678572078874935e-11,6.246748495787523e-11,1.179291830778813e-06,1.085834423977834e-06,9.57343044438566e-11,2.1652452592398302e-11,1.2612922402215748e-06,4.513145176573061e-06,1.8649291070478786e-11,8.161062321487241e-07,6.391749156451773e-07,5.498076562043277e-06,0.9999825543557361,2.452418306426727e-06
