Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Mus,Mus}",0.88087687108131,0.8723680761585464,Mus,Mus,chr01,89866,False,4.013159221538593e-06,0.016443438045123722,4.132806480999696e-06,6.861234336498247e-06,1.2792058544189955e-05,0.88087687108131,0.014008344033041702,0.019926307088565534,0.06864947498622344,3.6826348633686915e-06,6.406894508538842e-06,1.2496018825145602e-05,7.420981774048335e-06,1.6569933002429784e-05,2.1189044178889534e-05
rh_chr1_268616,"{Mus,Mus}",0.8866599539720154,0.8785642363985879,Mus,Mus,chr01,263248,False,2.067903167701435e-07,0.014811389444167466,2.212155093139555e-07,4.910484478702254e-07,7.091790785422172e-07,0.8866599539720154,0.01234705072459466,0.018348491026460956,0.06782737020791926,1.777280795410425e-07,4.546468951007049e-07,6.323293887914849e-07,5.802386580281897e-07,1.363416282052853e-06,9.080321862566441e-07
rh_chr1_334737,"{Mus,Mus}",0.8889244193673463,0.8809904493221568,Mus,Mus,chr01,329439,False,3.7977154645122493e-08,0.014225191479388211,4.370452307307767e-08,8.97107708559875e-08,2.2120471804504128e-07,0.8889244193673463,0.011713816300999626,0.017554308912957395,0.06758072324608771,3.119902227208692e-08,8.13139588811019e-08,1.9797050664720718e-07,9.753856984755196e-08,3.9815879861705656e-07,3.4191519790364363e-07
rh_chr1_443667,"{Mus,Mus}",0.8926714959495863,0.8850051742316996,Mus,Mus,chr01,438310,True,1.2466702364884573e-07,0.013249410983348883,2.1228410599153757e-07,2.8290029326946874e-07,7.103653354986293e-07,0.8926714959495863,0.010668454128058601,0.01624183937057183,0.06716443807311721,9.806261981709219e-08,2.517927897149743e-07,6.72860790575832e-07,1.8043150306967016e-07,9.239767799346056e-07,9.041540757421073e-07
rh_chr1_547952,"{Mus,Mus}",0.8963624095629122,0.8889597245316917,Mus,Mus,chr01,544389,False,1.156335526014856e-07,0.012287696558821875,2.0048459329615437e-07,2.5511540436427263e-07,6.025160581015885e-07,0.8963624095629122,0.009638968400269973,0.014954318984514936,0.06675266833404964,8.83708125809093e-08,2.2300388151786877e-07,5.605242404202097e-07,1.4829330690263186e-07,7.703440907683104e-07,9.738734905325161e-07
rh_chr1_631086,"{Mus,Mus}",0.8972532602680885,0.8899142074300949,Mus,Mus,chr01,627268,True,2.636521807068338e-07,0.012141814104268964,4.7001373746802145e-07,5.956964003396241e-07,1.478945402458793e-06,0.8972532602680885,0.0094420273400663,0.014640319297983985,0.066513823175695,2.002545328419503e-07,5.194369724247803e-07,1.3772388085575356e-06,3.220184521527222e-07,1.7065929910575038e-06,1.821964419432795e-06
rh_chr1_741516,"{Mus,Mus}",0.8984710143247936,0.8912189439194217,Mus,Mus,chr01,737678,True,3.814505436055976e-07,0.011938649091604357,6.851491874313472e-07,8.670149973297079e-07,2.195384279254195e-06,0.8984710143247936,0.009170512640785,0.014214169998120408,0.06619301660342054,2.8714778242940354e-07,7.534554945869219e-07,2.03988088316875e-06,4.5616022577307135e-07,2.459989234325227e-06,2.5117086479434e-06
rh_chr1_1060803,"{Mus,Mus}",0.9021049230409796,0.8951124175439067,Mus,Mus,chr01,1049416,True,2.3281896065266793e-07,0.011309766074352164,3.9271972140625535e-07,5.020215272301512e-07,1.3974890477092465e-06,0.9021049230409796,0.008346506463900052,0.012961267594925068,0.06526963893429913,1.6702423560464593e-07,4.2319776012234756e-07,1.2561965871184554e-06,2.66290965019089e-07,1.5161142097022013e-06,1.7440185295217303e-06
rh_chr1_1170229,"{Mus,Mus}",0.9032211669015472,0.8963083931088006,Mus,Mus,chr01,1140710,False,6.061996977247651e-08,0.011110553705794219,9.579018665607952e-08,1.293048985078843e-07,4.2597713893364906e-07,0.9032211669015472,0.008089569759641405,0.012581059738981272,0.06499517764140308,3.945518075106934e-08,1.030536643688898e-07,3.3849710982743463e-07,6.773119400968684e-08,4.458274308186673e-07,7.659958590937396e-07
rh_chr1_1304008,"{Mus,Mus}",0.9038794966066327,0.8970137463642494,Mus,Mus,chr01,1265000,False,6.032286793278105e-08,0.010950525935065139,9.667996760195442e-08,1.2895948975745496e-07,5.545770183270675e-07,0.9038794966066327,0.00790885034241945,0.012221251677569323,0.06503642784523118,3.739329033757023e-08,1.0490009669630824e-07,4.097820849852258e-07,6.75525152881748e-08,5.611412057595165e-07,1.4262845454553937e-06
rh_chr1_1400565,"{Mus,Mus}",0.9047661932226191,0.8979637784528062,Mus,Mus,chr01,1361620,False,3.192052268218092e-08,0.011142933977465576,5.121622724220309e-08,6.857706217568447e-08,2.675248904636999e-07,0.9047661932226191,0.008056630252594189,0.012277563998155883,0.06375537505373961,1.5786540279562768e-08,5.686966125050223e-08,1.5761022071076694e-07,3.5659128516954825e-08,2.6880258753407903e-07,3.4952858508418696e-07
rh_chr1_1482273,"{Mus,Mus}",0.9055180616753788,0.8987693517950488,Mus,Mus,chr01,1441962,True,1.7817607853744403e-07,0.011297895892784751,2.996409495671517e-07,3.795508988811598e-07,1.3872369150331675e-06,0.9055180616753788,0.008174249490292844,0.012319937987202488,0.06268340376208768,1.220375556547989e-07,3.224588607509694e-07,1.1523242505990832e-06,1.959401334111401e-07,1.303364129245597e-06,1.1104624814082518e-06
rh_chr1_1623606,"{Mus,Mus}",0.9068875707070599,0.9002366829004214,Mus,Mus,chr01,1583376,True,3.3387980587156107e-07,0.011556861271482503,5.605954882409712e-07,7.035719999469322e-07,2.4877555610704708e-06,0.9068875707070599,0.00836639437784463,0.012380613905718384,0.06079699156807202,2.362776834780321e-07,5.992608134283056e-07,2.1341095243539537e-06,3.637083883834534e-07,2.321412875171927e-06,1.82759768244246e-06
rh_chr1_1879893,"{Mus,Mus}",0.909517600689319,0.9030545721671275,Mus,Mus,chr01,1839399,True,2.483287683876982e-07,0.01198099983111816,4.0823053556642505e-07,5.194493551640709e-07,1.7075278058547049e-06,0.909517600689319,0.008665976945761664,0.012445273342847975,0.05738206566898256,1.777452954497091e-07,4.415657876244048e-07,1.4726511346715983e-06,2.7563950012048015e-07,1.622098484768448e-06,1.2102853029096318e-06
rh_chr1_1999515,"{Mus,Mus}",0.9108116317054483,0.9044410339701232,Mus,Mus,chr01,1959058,False,3.099397161384377e-08,0.012159611532761936,5.1048661666319617e-08,8.92895195206002e-08,2.0819219002733192e-07,0.9108116317054483,0.008784771813134197,0.012455694663606402,0.055787165142883885,2.191813080526272e-08,7.552491880709831e-08,1.7821899491724806e-07,5.500330450871842e-08,2.713005303846182e-07,1.436519429385379e-07
rh_chr1_2145831,"{Mus,Mus}",0.9124481414092125,0.9061944372241563,Mus,Mus,chr01,2106048,True,1.1366906049755224e-07,0.012358068305325156,1.8925102219493908e-07,2.4133379382338363e-07,7.229676895207806e-07,0.9124481414092125,0.008911410721333455,0.012453556991667475,0.05382534479612646,8.085532689033785e-08,2.0432955872578583e-07,6.207590359138826e-07,1.2626938502860944e-07,6.967409486375558e-07,4.81600513876654e-07
rh_chr1_2306205,"{Mus,Mus}",0.9142921835715737,0.908170196683829,Mus,Mus,chr01,2265211,False,1.0299203849922731e-08,0.012551688319952379,1.5623162303922495e-08,2.119146774850733e-08,5.808483011465383e-08,0.9142921835715737,0.00902551637748686,0.012429663799557018,0.05170068361337899,5.3995824129734896e-09,1.6605307721151997e-08,4.003003656129021e-08,1.0932903530309688e-08,5.520022531179052e-08,3.095133145054908e-08
rh_chr1_2424927,"{Mus,Mus}",0.9156385321433193,0.9096127130106992,Mus,Mus,chr01,2384046,False,9.231853871402743e-09,0.012691729049862283,1.4390932288609309e-08,1.7756583630593584e-08,5.286844263420277e-08,0.9156385321433193,0.009106148362593183,0.012412939361490788,0.05015040593103265,5.8199947917641185e-09,1.4304809031968175e-08,4.247069738842632e-08,8.586661518358434e-09,4.6815612603293594e-08,3.290611409282333e-08
rh_chr1_2618562,"{Mus,Mus}",0.9175388267179251,0.9116487429120625,Mus,Mus,chr01,2577582,False,4.966523837684089e-09,0.012890789526495293,8.146990999999764e-09,1.156392965496202e-08,2.6574092752656903e-08,0.9175388267179251,0.00932227291395466,0.01244018679490198,0.04780778210108146,3.5828993011927844e-09,9.871660073073673e-09,2.370796956803322e-08,6.428964286654018e-09,2.973040879479277e-08,1.7372202160661633e-08
rh_chr1_2718543,"{Mus,Mus}",0.9184709230958636,0.9126474176027111,Mus,Mus,chr01,2677534,False,1.0283582647430716e-08,0.01299567074293364,1.5870668125062125e-08,2.041207160594647e-08,5.393651131477457e-08,0.9184709230958636,0.009415668076458933,0.012438743258039694,0.04667873142045131,6.772045253314955e-09,1.6174996222312532e-08,4.471913347966833e-08,1.011707436840356e-08,5.007684074721303e-08,3.504332888737558e-08
rh_chr1_2822616,"{Mus,Mus}",0.9193661618867426,0.9136066020215099,Mus,Mus,chr01,2781082,True,1.2754774457390984e-07,0.013097678988390194,2.1753891266434483e-07,2.5032855733820517e-07,6.471751173007185e-07,0.9193661618867426,0.009600437957884667,0.01243651642645271,0.045495893636934896,9.355166283600928e-08,2.1931795033709443e-07,6.242139899375798e-07,1.2312057690329767e-07,5.955623443216474e-07,4.127467385486172e-07
rh_chr1_2955463,"{Mus,Mus}",0.9205587887216327,0.9148844164874635,Mus,Mus,chr01,2913710,True,1.5046006710508997e-07,0.013215225197896734,2.576257440806921e-07,2.957993155491459e-07,7.168234948018172e-07,0.9205587887216327,0.009823285947559664,0.012420253546615165,0.04397869663348287,1.119831548232885e-07,2.6135302691355623e-07,6.95566714511211e-07,1.4682317210691338e-07,6.646996897989722e-07,4.4881843335129834e-07
rh_chr1_3008587,"{Mus,Mus}",0.9210516757813277,0.9154125097657083,Mus,Mus,chr01,2966940,True,1.1820739067052688e-07,0.013258287175318295,2.0380041431580716e-07,2.357819242608013e-07,5.364305306812672e-07,0.9210516757813277,0.009908378591928028,0.012409523259593519,0.04336927176332048,8.830194302464495e-08,2.0905753691902172e-07,5.212972670959282e-07,1.1761644339674549e-07,5.040041161672354e-07,3.289309453853277e-07
rh_chr1_3077430,"{Mus,Mus}",0.921698360952144,0.91610538673444,Mus,Mus,chr01,3035452,False,4.196116384042818e-08,0.013310221770674271,7.358086925039266e-08,9.111442864699883e-08,1.2985956182925954e-07,0.921698360952144,0.01001422893790403,0.01239213511498399,0.042584222957879864,3.158511391456219e-08,8.180513780120024e-08,1.2700631144479533e-07,4.78756092594535e-08,1.3993519342735067e-07,6.55430244390326e-08
rh_chr1_3142598,"{Mus,Mus}",0.9223365246077027,0.9167891335082529,Mus,Mus,chr01,3100650,False,2.126615727937817e-07,0.013353058368349886,3.7821700550377686e-07,4.688264160150797e-07,6.031083884368613e-07,0.9223365246077027,0.010108633187351796,0.012368920919894647,0.041828818394565065,1.6194667030326676e-07,4.2396730707976465e-07,5.922094095367886e-07,2.463057261133926e-07,6.689663665461222e-07,2.8831327352142616e-07
