Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA1,Vv}",0.9983082375417893,0.9981873973662029,NA1,Vv,chr01,89866,False,7.844339242988799e-07,7.129241304164623e-07,0.00015895641979249772,8.255406318593872e-07,0.00017574931813911203,3.763971318076055e-07,0.00011201673221610771,6.088424229186152e-07,0.00013749979976431932,0.0003221154218485225,0.00011995437491496302,0.9983082375417893,5.417269907557857e-07,0.00017545299209731062,0.0004861675342058701
rh_chr1_268616,"{NA1,Vv}",0.9994689894965129,0.9994310601748352,NA1,Vv,chr01,263248,False,2.1628448541618516e-07,1.1274447135789894e-07,6.1783661153456e-05,1.6596838266298982e-07,7.561609671958605e-05,3.6187323009170686e-08,1.1765978229029454e-05,6.095389618491166e-08,3.496720453882388e-05,4.742624409418427e-05,2.0153383029619522e-05,0.9994689894965129,7.962052677991933e-08,7.539412021738245e-05,0.00020323205641970942
rh_chr1_334737,"{NA1,Vv}",0.999538001091781,0.9995050011697654,NA1,Vv,chr01,329439,True,1.5847060823105672e-07,7.681552590800279e-08,5.826534013477508e-05,1.1718521360616712e-07,7.066664411627387e-05,1.9428860475828312e-08,1.0999898414534071e-05,3.761940485786694e-08,2.802763183860982e-05,4.2898870750624255e-05,1.786639849384956e-05,0.999538001091781,4.916155230011274e-08,6.602762806194693e-05,0.0001667878152430158
rh_chr1_443667,"{NA1,Vv}",0.9996823382153324,0.9996596480878561,NA1,Vv,chr01,438310,False,8.1368359369704e-08,2.9448533687598776e-08,4.943493900900944e-05,5.129125949756949e-08,5.9335029097032286e-05,3.0907010753853868e-09,6.6175504483962155e-06,9.371599554920985e-09,1.3414222653700343e-05,2.938848865187617e-05,1.098323844063714e-05,0.9996823382153324,1.4094971307452615e-08,4.7479703550904544e-05,0.0001008199473915075
rh_chr1_547952,"{NA1,Vv}",0.9998353111045418,0.9998235476120091,NA1,Vv,chr01,544389,False,2.4356204524605603e-08,6.405371228876488e-09,3.49810991101227e-05,1.325964213982934e-08,4.387804494228453e-05,3.3014437017603555e-10,1.4452435992137297e-06,1.3634502269328586e-09,2.6380355011212226e-06,6.787861175545493e-06,3.815690958620826e-06,0.9998353111045418,2.197128278071686e-09,3.5423525870049806e-05,3.567148236047636e-05
rh_chr1_631086,"{NA1,Vv}",0.9999387096764261,0.9999343317961708,NA1,Vv,chr01,627268,False,3.2880250386906187e-09,9.68500746732712e-10,3.623595143528948e-05,3.1442716766451746e-09,7.547799519090391e-06,6.638439064450182e-11,3.222582762452473e-07,4.0859673217537156e-10,4.4718603050712484e-07,1.5336875157577857e-06,1.7874099705825062e-06,0.9999387096764261,8.313129758369817e-10,6.089122339342382e-06,7.318201395526362e-06
rh_chr1_741516,"{NA1,Vv}",0.9999319838672366,0.9999271255720392,NA1,Vv,chr01,737678,False,1.3433231998917906e-09,5.303408344207931e-10,3.483324197863465e-05,1.5844728795619971e-09,5.334984143278577e-06,3.8440713022859934e-11,1.0620865949194859e-06,2.438812724342377e-10,1.1706640232889802e-06,4.686660951696333e-06,8.608870697319258e-06,0.9999319838672366,3.890544307511879e-10,4.784292255152444e-06,7.5312026057539474e-06
rh_chr1_1060803,"{NA1,Vv}",0.99994950745137,0.9999459008407536,NA1,Vv,chr01,1049416,False,2.5676219567278917e-10,1.2815454021723454e-10,1.1416486111804075e-05,2.9010672192052733e-10,6.4544083900264636e-06,2.3357297036532552e-11,8.814950623475309e-07,8.435629397491816e-11,8.068642065761973e-07,2.6290311875239304e-06,5.081030149111187e-06,0.99994950745137,1.2784612515951566e-10,6.615924169035394e-06,1.6606398770360547e-05
rh_chr1_1170229,"{NA1,Vv}",0.9999654973029749,0.999963032824616,NA1,Vv,chr01,1140710,False,2.963555589500331e-11,3.622169951084831e-11,1.46215731753304e-05,7.028465651906721e-11,1.891801668484664e-06,9.860702872878044e-12,7.204453025311796e-07,2.8694736193140867e-11,5.134275546979234e-07,1.6253060088883494e-06,8.746521063720292e-06,0.9999654973029749,2.7778066410882587e-11,2.015853702215032e-06,4.367566073893584e-06
rh_chr1_1304008,"{NA1,Vv}",0.9999952629175545,0.9999949245545227,NA1,Vv,chr01,1265000,False,4.834231304657522e-12,8.284637101346796e-12,8.046882683924406e-07,9.605884108405714e-12,3.870967017780663e-07,2.0497470051184718e-12,9.461261190321333e-07,6.035246205160654e-12,2.5409896979022366e-07,4.640909836685004e-07,5.065771626282008e-07,0.9999952629175545,3.389247507742785e-12,3.277934431426393e-07,1.046576598243797e-06
rh_chr1_1400565,"{NA1,Vv}",0.9999960964772913,0.9999958176542406,NA1,Vv,chr01,1361620,False,2.0694818725707192e-12,2.5798078725828644e-12,2.91466712243194e-07,3.4950540758649624e-12,5.678090153721468e-07,1.0553124545420856e-12,2.286308512940871e-07,2.345349308131166e-12,1.0659048770246204e-07,1.754898848025273e-06,3.487932287714906e-07,0.9999960964772913,2.335841713106035e-12,1.554883410207271e-07,4.498313434311502e-07
rh_chr1_1482273,"{NA1,Vv}",0.9999817094810957,0.9999804030154597,NA1,Vv,chr01,1441962,False,6.0343283590919404e-12,8.406539456228325e-12,9.369704809692908e-07,1.1900975740408681e-11,7.392474595617396e-07,4.463574312201348e-12,5.380427641418899e-07,8.065792203031683e-12,4.425586404723112e-07,1.021113992302803e-05,1.9912320479652508e-06,0.9999817094810957,1.1533622898515045e-11,1.0712150271390383e-06,2.3600621561377835e-06
rh_chr1_1623606,"{NA1,Vv}",0.9999911185775451,0.9999904841902268,NA1,Vv,chr01,1583376,False,1.4404845810648586e-11,1.8142636250503035e-11,6.047016063070514e-07,2.4739733386040462e-11,5.29182868970149e-07,1.0372179673523198e-11,5.06344691187435e-07,2.0978072230292233e-11,4.2944528754805385e-07,3.16065073289568e-06,7.238250792705535e-07,0.9999911185775451,1.8907415218972447e-11,6.620295329071974e-07,2.2651351109477488e-06
rh_chr1_1879893,"{NA1,Vv}",0.999928380091635,0.9999232643838947,NA1,Vv,chr01,1839399,False,1.677311380324521e-10,1.6122142545266963e-10,4.402214619536014e-06,2.3000440517426864e-10,6.74780664067157e-06,7.904851902259921e-11,3.1063679066816335e-06,1.678786171057307e-10,4.4395146676127245e-06,7.961046770058006e-06,4.00559456020166e-06,0.999928380091635,1.8358535221596656e-10,9.722542730433685e-06,3.123383100028826e-05
rh_chr1_1999515,"{NA1,Vv}",0.9999694287261361,0.9999672450637173,NA1,Vv,chr01,1959058,False,6.845555433454506e-11,5.514002235649143e-11,2.6469818010414023e-06,8.86443368983325e-11,3.660858603969826e-06,1.632058310938114e-11,7.289130006565375e-07,4.4043789203767246e-11,1.015592799572573e-06,2.056544716532357e-06,1.1962616551871011e-06,0.9999694287261361,3.799935606596823e-11,6.310037379068815e-06,1.2955773304183975e-05
rh_chr1_2145831,"{NA1,Vv}",0.999978474787758,0.9999769372725978,NA1,Vv,chr01,2106048,False,2.15184531923941e-11,2.8693689614508167e-11,1.0051787992233456e-05,3.839474582486689e-11,8.376855133224624e-07,8.56211529197812e-12,1.236777486850161e-06,2.5752804830066618e-11,5.327810733600443e-07,2.550458618167946e-06,2.8513056543611305e-06,0.999978474787758,1.8982763176550836e-11,1.0803349149139918e-06,2.3839390842123694e-06
rh_chr1_2306205,"{NA1,Vv}",0.9999881120447907,0.9999872629051328,NA1,Vv,chr01,2265211,False,7.779557997787104e-12,1.1040460314702257e-11,5.8776031748892806e-06,1.809608756985463e-11,2.913496972903474e-07,4.040824558733194e-12,2.7880384834734303e-07,1.1780483210231251e-11,2.4595199374767136e-07,6.838733327310907e-07,2.30049495230966e-06,0.9999881120447907,1.1818151869501567e-11,6.369627930656096e-07,1.5728508613300806e-06
rh_chr1_2424927,"{NA1,Vv}",0.999982158082523,0.999980883659846,NA1,Vv,chr01,2384046,False,1.133164143986262e-11,1.7171652074579704e-11,1.3581408969884852e-06,2.6024161910593353e-11,4.3515820382873336e-07,5.608778099637456e-12,4.183034189468689e-07,1.6010208001670054e-11,4.259411918813214e-07,1.0657990171652489e-06,8.803112818353044e-07,0.999982158082523,1.2012011390968309e-11,3.947779075066159e-06,9.310396232909045e-06
rh_chr1_2618562,"{NA1,Vv}",0.9999957930048853,0.9999954925052342,NA1,Vv,chr01,2577582,False,4.3543490109578164e-12,4.692989359525258e-12,1.0568274390156893e-06,7.678475634056974e-12,2.6775871618839057e-07,2.025601069726166e-12,1.6147510595879396e-07,5.257423056794993e-12,2.494060547400258e-07,4.196700103499504e-07,3.718708631187281e-07,0.9999957930048853,5.528804372420313e-12,4.4686951859801535e-07,1.2330878689117066e-06
rh_chr1_2718543,"{NA1,Vv}",0.999994714652508,0.9999943371276871,NA1,Vv,chr01,2677534,False,1.890905495537074e-12,2.892829154865443e-12,1.6072180339000675e-06,6.636214723481045e-12,2.016066064137392e-07,1.4116083123123378e-12,1.7889017228937295e-07,2.8841730777382077e-12,1.8649097834545222e-07,4.989336195069304e-07,1.5656183079428674e-06,0.999994714652508,6.2545243129775215e-12,5.476508306016557e-07,4.989169728084373e-07
rh_chr1_2822616,"{NA1,Vv}",0.9999982922896933,0.9999981703103856,NA1,Vv,chr01,2781082,False,1.1492929001260973e-12,1.7316689551741733e-12,2.534469073834592e-07,2.4722754164797475e-12,1.0528265608015674e-07,7.564061374505794e-13,1.2933234993109245e-07,1.8239259638553306e-12,1.0377926030679058e-07,4.101097293609361e-07,2.4492821592253947e-07,0.9999982922896933,1.4648520413562443e-12,1.790423656167875e-07,2.8177942362734563e-07
rh_chr1_2955463,"{NA1,Vv}",0.9999977122270276,0.9999975488146724,NA1,Vv,chr01,2913710,False,1.018095443847206e-12,9.677392094066816e-13,5.464173281960295e-07,1.892581410486929e-12,9.829577802079662e-08,5.989020510431063e-13,9.414394928865243e-08,1.2374116721108296e-12,8.160581477107827e-08,6.158562885066544e-07,4.3796009310718175e-07,0.9999977122270276,2.0112247269052852e-12,1.666512618501012e-07,2.4683473257067665e-07
rh_chr1_3008587,"{NA1,Vv}",0.9999968562071083,0.9999966316504733,NA1,Vv,chr01,2966940,False,2.237942840736513e-12,1.5865801178612267e-12,3.3200777248358803e-07,4.9707025128852614e-12,2.2773509624043472e-07,9.664915059084553e-13,1.364741497816133e-07,2.5170899895331127e-12,1.3877020189819202e-07,8.711069070354324e-07,3.605904629999495e-07,0.9999968562071083,5.2331236973212704e-12,4.88659415804156e-07,5.884313734851662e-07
rh_chr1_3077430,"{NA1,Vv}",0.9999640407544992,0.9999614722369634,NA1,Vv,chr01,3035452,False,3.700404036107207e-11,2.0504968575680608e-11,1.540097769382702e-06,8.172364534026521e-11,4.79453431930245e-06,1.780633045257527e-11,6.888220177924362e-07,3.588008780189316e-11,2.6390958145098767e-06,3.4441258546474167e-06,2.04997559510796e-06,0.9999640407544992,9.997130057340623e-11,1.0790603412701392e-05,1.001169782695178e-05
rh_chr1_3142598,"{NA1,Vv}",0.9999442233385395,0.9999402392912923,NA1,Vv,chr01,3100650,False,3.709230667843423e-11,4.264074788009367e-11,1.2801998962872285e-06,1.2332868122894815e-10,7.3716940801085945e-06,2.6167692095354063e-11,9.447134313433235e-07,9.103750164509596e-11,6.799787378765999e-06,3.407428788620347e-06,2.174776836503972e-06,0.9999442233385395,1.2070009847095843e-10,1.8203592432129573e-05,1.5594027649689375e-05
rh_chr1_3325315,"{NA1,Vv}",0.9998350959265205,0.9998233170641292,NA1,Vv,chr01,3282755,False,3.246939078664925e-10,5.310077007198301e-10,8.979174630165558e-06,1.6905663272162689e-09,9.98047854794064e-06,3.8945925343404537e-10,9.556071247633403e-06,1.7966586452681367e-09,1.111805318095674e-05,2.8025204550687847e-05,1.8835050926901e-05,0.9998350959265205,1.7479606339747645e-09,3.162192603297839e-05,4.678163401566694e-05
rh_chr1_3523735,"{NA1,Vv}",0.9997919287589645,0.999777066527462,NA1,Vv,chr01,3481846,False,2.286517051462706e-10,5.831008075244065e-10,5.216765407407318e-06,9.168165575609226e-10,1.4673404088775187e-05,3.657036565326624e-10,6.9252990523807345e-06,1.0163983376004816e-09,1.9473810278179468e-05,1.3482019016732447e-05,8.470029973455162e-06,0.9997919287589645,6.090476002850136e-10,2.1997745159414424e-05,0.00011782844834046614
rh_chr1_3758335,"{NA1,Vv}",0.9999749636344057,0.9999731753225776,NA1,Vv,chr01,3716202,False,8.76952316247596e-11,1.6058081297138227e-10,5.750160189354012e-07,1.93534347501902e-10,3.49774019265212e-06,9.150491160129138e-11,1.064529327162263e-06,2.0475756265641933e-10,1.689872590815961e-06,1.7912759049908964e-06,1.0295577757863762e-06,0.9999749636344057,1.471810304611809e-10,3.942378047772158e-06,1.1445110482246017e-05
rh_chr1_3875541,"{NA1,Vv}",0.9999285187109808,0.9999234129046223,NA1,Vv,chr01,3833574,False,1.691498660266399e-10,3.4578766850124635e-10,2.49430440695664e-06,3.1453995212873216e-10,1.7401533105303352e-05,2.383785499889087e-10,4.030206714987112e-06,3.9046258976055755e-10,5.188815883156234e-06,6.2086888205710595e-06,3.245292882724262e-06,0.9999285187109808,2.6534856664402306e-10,1.535774928708531e-05,1.755297425130762e-05
rh_chr1_3959025,"{NA1,Vv}",0.9999168904801132,0.9999109540858356,NA1,Vv,chr01,3919488,False,2.140245608623792e-10,4.240543618882966e-10,2.902164610795005e-06,4.361724040331136e-10,2.8028746503060895e-05,2.7470601006153566e-10,3.3703096681717356e-06,4.61803248009296e-10,4.003944941459726e-06,5.552426726491493e-06,3.2832965385476825e-06,0.9999168904801132,2.6991378841554363e-10,2.17708169702282e-05,1.4195733253647381e-05
rh_chr1_4330482,"{NA1,Vv}",0.99983547116491,0.9998237191052607,NA1,Vv,chr01,4291652,False,6.320964461285374e-10,1.9211622606112196e-09,7.528313885418112e-06,1.2683190258341305e-09,2.333083596841428e-05,1.72626973910691e-09,1.62854374446205e-05,2.273860269585638e-09,2.278407736094822e-05,1.3493965727060469e-05,9.629899549499668e-06,0.99983547116491,9.869601160801195e-10,2.1152093508401136e-05,5.031540297769646e-05
rh_chr1_4445423,"{NA1,Vv}",0.9998887323421631,0.9998807846523177,NA1,Vv,chr01,4406530,True,3.4986934717736285e-10,8.652300205517392e-10,8.644494901463242e-06,1.1290345080598754e-09,1.3052566170916744e-05,5.527684141148718e-10,1.132291421641877e-05,1.2954360492257809e-09,1.2314835444821006e-05,1.4540284703783211e-05,1.1528089843900093e-05,0.9998887323421631,7.221067053918788e-10,1.163586837785388e-05,2.822368973275364e-05
rh_chr1_4517681,"{NA1,Vv}",0.9999434944433733,0.9999394583321857,NA1,Vv,chr01,4478494,False,1.223842417828086e-10,2.690507401619319e-10,7.197953861296357e-06,8.806568338772101e-10,4.46480827158457e-06,1.1782701072967408e-10,6.084723064524887e-06,7.228653633987025e-10,3.601813850808413e-06,1.0936220359394763e-05,1.0579597966071664e-05,0.9999434944433733,4.956244218583485e-10,3.51869434303843e-06,1.0119136501507701e-05
rh_chr1_4613003,"{NA1,Vv}",0.9999554869178178,0.9999523074119476,NA1,Vv,chr01,4573746,False,8.483324843619972e-11,1.1687113048453236e-10,2.091823003654642e-06,1.107500851089394e-09,9.79174292831591e-07,3.276932184539496e-11,9.455656951931726e-07,6.728131554552799e-10,6.933363576713698e-07,1.932971805591109e-05,1.5763785963715594e-05,0.9999554869178178,6.040183543610919e-10,1.350246597859593e-06,3.3568134093041158e-06
rh_chr1_4681418,"{NA1,Vv}",0.9997280210728359,0.9997085940066098,NA1,Vv,chr01,4642062,False,2.2648118396203514e-10,2.1995576930559225e-10,7.04342808400863e-06,3.144183841667887e-09,4.255157074403419e-06,5.29546273702145e-11,2.6043037437644755e-06,1.6017061632047582e-09,3.1755227220686884e-06,0.0001253190334794182,0.00011259697982689512,0.9997280210728359,2.4679642264005106e-09,5.038124987336608e-06,1.1938664000454761e-05
rh_chr1_4913189,"{NA1,Vv}",0.9973711782996457,0.997183405321049,NA1,Vv,chr01,4876662,False,6.063574392587368e-10,5.464546260362845e-10,1.8964316752206197e-05,6.871160315103129e-09,4.8833337409141e-07,2.481958860045775e-10,9.404793527534558e-06,6.04310175253505e-09,4.2080730367124235e-07,0.0014112163750521925,0.0011853284704239021,0.9973711782996457,1.1625299283604818e-08,1.751243979167014e-06,1.221419372153697e-06
rh_chr1_5045973,"{NA1,Vv}",0.9843845876238709,0.983269201025576,NA1,Vv,chr01,5009666,False,2.0498653282646422e-09,1.66082042428671e-09,0.0001579693157320272,2.5719934543580333e-08,6.164845997631029e-07,6.98329853047774e-10,7.3672477747303e-05,2.4184112300236025e-08,4.893014424823269e-07,0.0115975736696507,0.0037778775833867853,0.9843845876238709,4.8926091913370003e-08,6.580458214942261e-06,5.298462006422144e-07
rh_chr1_5191317,"{NA1,Vv}",0.7774241028211356,0.7615258244512167,NA1,Vv,chr01,5154704,False,1.4611364927205798e-08,1.1010189859992587e-08,0.0027310324345102867,1.935877177877914e-07,4.972265957142524e-06,4.161439558463929e-09,0.000696043075318061,1.6421246395936699e-07,1.9162809659692256e-06,0.16112373505282146,0.057966028143245425,0.7774241028211356,4.821815243274076e-07,4.878888779981407e-05,2.511273545933526e-06
