Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA1,Vv}",0.24832137643802027,0.19463004618359317,NA1,Vv,chr01,89866,True,0.0006776816980126732,0.00043756898559096235,0.0026802856379840585,0.0006082783373751846,0.04819354465234959,0.00015940475815469474,0.002126896411183317,0.0003501617819244854,0.009907856223262864,0.004197613484163608,0.002552193641305373,0.24832137643802027,0.0004955869855798927,0.03614187640931334,0.6431496745557796
rh_chr1_268616,"{NA1,Vv}",0.25209946675592665,0.19867800009563572,NA1,Vv,chr01,263248,True,0.00046178135014390994,0.00030450219556094185,0.002061360671470879,0.0004197531985507961,0.04716917113787089,0.00010996277713898343,0.0015808425940710138,0.00024226828289841858,0.00796465644069618,0.0031214356012202165,0.0019573726695959613,0.25209946675592665,0.0003317423748453355,0.03482822604562061,0.6473474579043893
rh_chr1_334737,"{NA1,Vv}",0.25355336153506147,0.20023574450185158,NA1,Vv,chr01,329439,True,0.00038218843412994477,0.000257034518513007,0.0018225176688399934,0.00035045353242585023,0.046764190341216504,9.453551840660725e-05,0.0013707349005182593,0.0002047119021061984,0.007204027733661084,0.002710233335948199,0.001728026502611401,0.25355336153506147,0.0002722155206456955,0.03431127525852631,0.6489744932973897
rh_chr1_443667,"{NA1,Vv}",0.25595813415502305,0.20281228659466757,NA1,Vv,chr01,438310,True,0.00025402530161796835,0.00018045908486004832,0.001424576741695286,0.0002372296688226771,0.04608072826469547,7.277632406349634e-05,0.0010210799889644026,0.00014477562482591487,0.005929711035435133,0.0020322018015140127,0.0013460355794398643,0.25595813415502305,0.00017732662746585226,0.033441791870101684,0.6516991479314752
rh_chr1_547952,"{NA1,Vv}",0.2583178011091027,0.2053405011883243,NA1,Vv,chr01,544389,False,0.00013272400755032823,0.00010889759847045273,0.0010316347312776515,0.00012903414829560167,0.04539400433119441,5.615705683006428e-05,0.0006764672427297516,8.984863444445988e-05,0.00466013752965459,0.0013699554633243003,0.000969047497430249,0.2583178011091027,8.876050933336145e-05,0.032571566514002843,0.6544039636263593
rh_chr1_631086,"{NA1,Vv}",0.2592853519200445,0.20637716277147625,NA1,Vv,chr01,627268,True,0.00011329306348834918,9.456341303525855e-05,0.000927354212754909,0.00011122141682154212,0.0418032321996418,4.7792795699793576e-05,0.0006123482784542932,7.728680586570786e-05,0.004479426679007656,0.0012210753592337097,0.0008696531063751498,0.2592853519200445,7.305065927696278e-05,0.029373132644683272,0.6609112174456172
rh_chr1_741516,"{NA1,Vv}",0.2605778135201642,0.20776194305731877,NA1,Vv,chr01,737678,True,8.967399583807428e-05,7.642700779726065e-05,0.0007844571802003428,8.897540243988055e-05,0.037009868946607544,3.7539134802819936e-05,0.0005249135898344264,6.151617866442453e-05,0.004203484377192089,0.0010210563197554253,0.0007335596546382713,0.2605778135201642,5.440594570796875e-05,0.0250985259469468,0.6696377827994106
rh_chr1_1060803,"{NA1,Vv}",0.26424253779168944,0.2116884333482387,NA1,Vv,chr01,1049416,True,3.564163692014183e-05,2.6620932478879162e-05,0.00035156602459771795,2.8927697791715437e-05,0.023402927711115795,1.3474760970835685e-05,0.00026228886062955347,1.8662228027685992e-05,0.003204329490609157,0.0004436289366628264,0.00032184374001677197,0.26424253779168944,1.455904848480921e-05,0.012933383117866442,0.6946996080221381
rh_chr1_1170229,"{NA1,Vv}",0.26532631604488605,0.2128496243338065,NA1,Vv,chr01,1140710,True,2.5100117148912994e-05,1.709921147198175e-05,0.00022097977953828006,1.88342202180984e-05,0.019402352059650588,8.429858911520473e-06,0.00018351615126245503,1.1002347662411754e-05,0.0028504385362713397,0.0002721859140632006,0.00019783054041596658,0.26532631604488605,8.127253890843638e-06,0.009348022196040633,0.7021097657685678
rh_chr1_1304008,"{NA1,Vv}",0.26680653717289854,0.21443557554239132,NA1,Vv,chr01,1265000,False,1.3882564349009682e-05,5.846249664072516e-06,3.8366734592903045e-05,7.727109762390245e-06,0.013939938297500112,2.7371037751079402e-06,7.361030880221654e-05,2.264909883565731e-06,0.0023231115492927308,3.6292527170763976e-05,2.450788224397284e-05,0.26680653717289854,2.497473274062462e-06,0.00444624045908355,0.7122764396577069
rh_chr1_1400565,"{NA1,Vv}",0.2536521409578322,0.20034157959767734,NA1,Vv,chr01,1361620,False,9.548571629631019e-06,2.9030231466720515e-06,2.7473463920111453e-05,4.049620372226462e-06,0.011347428208498454,8.371955303062836e-07,4.4497517398070166e-05,7.603422326080977e-07,0.0006837483530660128,2.4256770746896325e-05,1.5721889780939684e-05,0.2536521409578322,1.0678897621046313e-06,0.0020595160432279698,0.7321260501528558
rh_chr1_1482273,"{NA1,Vv}",0.25337785752140873,0.20004770448722364,NA1,Vv,chr01,1441962,False,8.347178370493526e-06,2.257023067705815e-06,2.563631342418744e-05,3.2295316532420465e-06,0.01132083995781914,5.815529991990355e-07,3.623648668618034e-05,5.81068656916978e-07,0.0005640484870539,2.1597832620233593e-05,1.3848411097538298e-05,0.25337785752140873,8.093083624660389e-07,0.0018883534918548964,0.7327357758349251
rh_chr1_1623606,"{NA1,Vv}",0.2551264784346104,0.20192122689422543,NA1,Vv,chr01,1583376,True,6.9295120750348564e-06,1.836515244759349e-06,2.4913239327975298e-05,2.676179370147032e-06,0.011310100016323228,3.7886281749602783e-07,3.065380546490161e-05,4.563227780662395e-07,0.00047064674678834565,2.2646295894255742e-05,1.4220675692469437e-05,0.2551264784346104,6.097042021763387e-07,0.0017911148482002341,0.7311963388412106
rh_chr1_1879893,"{NA1,Vv}",0.2583488935344055,0.20537381450114875,NA1,Vv,chr01,1839399,True,4.186961345087913e-06,8.292294088137468e-07,1.728019049638273e-05,1.3693932195893584e-06,0.011248411887786955,1.336348755507737e-07,1.594162800229275e-05,1.9589876391686487e-07,0.00024401773831916304,1.621201899934737e-05,9.736474269603993e-06,0.2583488935344055,2.6527572377579885e-07,0.0015612290069789425,0.728531297127405
rh_chr1_1999515,"{NA1,Vv}",0.2598787224110026,0.2070129168689314,NA1,Vv,chr01,1959058,False,2.8314166473085144e-06,2.9222370637284125e-07,1.0906572514805272e-05,6.702304961487011e-07,0.011200740414191244,8.093151293453292e-08,7.030624334620696e-06,9.257556517145804e-08,0.00011267638655271394,9.455671683134602e-06,5.342292331925997e-06,0.2598787224110026,1.1850833756138547e-07,0.0014299565894219587,0.7273410831517014
rh_chr1_2145831,"{NA1,Vv}",0.2592885201523449,0.20638055730608382,NA1,Vv,chr01,2106048,False,2.9227053533034972e-06,2.3162827656019023e-07,1.790644850685768e-05,6.642953936642583e-07,0.011144174477637771,5.923819763964277e-08,1.0430369250339438e-05,8.890453290705109e-08,0.00011184418448326733,1.8903363259955507e-05,1.056724888417503e-05,0.2592885201523449,1.1135147924631708e-07,0.0012482081894234125,0.728145367442976
rh_chr1_2306205,"{NA1,Vv}",0.2636890072634232,0.2110953649250963,NA1,Vv,chr01,2265211,True,2.370390892026103e-06,3.897281392553776e-07,2.7947232357120268e-05,7.585405103992079e-07,0.010324561890498914,4.83128472941081e-08,1.3926263987027754e-05,1.0892066246368769e-07,0.0001704339726544076,2.9237968197150045e-05,1.622123246360157e-05,0.2636890072634232,1.1974681679106137e-07,0.0011385705236657269,0.7245862980128847
rh_chr1_2424927,"{NA1,Vv}",0.2669997839787336,0.21464262569150028,NA1,Vv,chr01,2384046,True,1.8866164684116833e-06,4.0544255808762765e-07,3.2534008673970935e-05,7.117090011637721e-07,0.00969758688277078,4.062418877390665e-08,1.519674011586161e-05,1.1062342863757603e-07,0.00019026868204684278,3.429617570959775e-05,1.883869559303263e-05,0.2669997839787336,1.1252845967271912e-07,0.0010344003000269646,0.7219738269922247
rh_chr1_2618562,"{NA1,Vv}",0.27244202886988156,0.22047360236058738,NA1,Vv,chr01,2577582,False,1.0066925761462375e-06,2.709405543721422e-07,3.454403605024859e-05,4.490929117899147e-07,0.00864907029873256,2.8977639956561528e-08,1.4652302190688983e-05,8.959371571275659e-08,0.0001789690961468711,3.7623123703186294e-05,2.0009540726430094e-05,0.27244202886988156,8.385999291483772e-08,0.0008240535375639194,0.7177971200376136
rh_chr1_2718543,"{NA1,Vv}",0.3322242848442413,0.28452601947597284,NA1,Vv,chr01,2677534,True,8.927860229391562e-07,3.773668503964553e-07,4.5762541199575904e-05,5.40031876404133e-07,0.007529969460556503,3.17651479301187e-08,1.525350120399333e-05,9.739684759308124e-08,0.0005706556084311989,4.2046425228952165e-05,2.2090427538976722e-05,0.3322242848442413,8.644481382683382e-08,0.001141305746958164,0.6584066056530822
rh_chr1_2822616,"{NA1,Vv}",0.39439681666612203,0.3511394464279879,NA1,Vv,chr01,2781082,True,7.236083818226396e-07,4.032765385016991e-07,5.3558388645866945e-05,5.409091494209197e-07,0.006219712644031245,3.610317219121033e-08,1.5555447810066412e-05,1.0827549230058352e-07,0.0008124455926878184,4.5941287922045126e-05,2.400417087347419e-05,0.39439681666612203,8.54079404036441e-08,0.0013067181783699294,0.5971233500428629
rh_chr1_2955463,"{NA1,Vv}",0.4744066180407467,0.43686423361508575,NA1,Vv,chr01,2913710,True,4.739336369214774e-07,3.39465069349338e-07,5.685213561771005e-05,4.3182895100328736e-07,0.004318298515004346,3.819831901143649e-08,1.4413633631878773e-05,1.1039685327164467e-07,0.0008795231187057942,4.900495428380142e-05,2.504629767285075e-05,0.4744066180407467,7.383151905849162e-08,0.001277064838068193,0.5189717108119201
rh_chr1_3008587,"{NA1,Vv}",0.5066206769532484,0.4713792967356233,NA1,Vv,chr01,2966940,True,3.7113061428315826e-07,2.9942348929267304e-07,5.583633781370125e-05,3.703704357999498e-07,0.003484278571363733,3.675222047629179e-08,1.3215537862908586e-05,1.0778304668012234e-07,0.0008299285532663957,4.913218664361257e-05,2.478045280305485e-05,0.5066206769532484,6.465637612469632e-08,0.0011889520224256172,0.48773194926838986
rh_chr1_3077430,"{NA1,Vv}",0.5481875472370772,0.5159152291825827,NA1,Vv,chr01,3035452,False,2.500757011877205e-07,2.4229479667176475e-07,5.231533409700394e-05,2.824024880905347e-07,0.0023516899621241,3.461203862856341e-08,1.0811483405234545e-05,1.012819892497758e-07,0.0007019228022422264,4.836112139501031e-05,2.361279445337867e-05,0.5481875472370772,5.1069813284162405e-08,0.0010116538353745516,0.4476111236930042
rh_chr1_3142598,"{NA1,Vv}",0.562536089298027,0.531288667105029,NA1,Vv,chr01,3100650,True,2.0092862728085117e-07,2.2053114354176573e-07,4.3556426733161944e-05,2.4607942618599194e-07,0.0019555845409416754,4.1686988302654227e-08,1.322659457246493e-05,1.0432285310516651e-07,0.0007368731395041728,4.1036569525847034e-05,2.0329435838652347e-05,0.562536089298027,4.480917997244359e-08,0.000987075360398695,0.4336653702762399
rh_chr1_3325315,"{NA1,Vv}",0.6028638960430368,0.5744970314746823,NA1,Vv,chr01,3282755,False,1.204221943006351e-07,1.1807618998911268e-07,1.1511163564808221e-05,1.3415319088913596e-07,0.0007278726826346654,5.6941020478651886e-08,1.5685318177581206e-05,9.336777362738231e-08,0.0007022689391877844,1.2549963560317674e-05,6.132375095453624e-06,0.6028638960430368,2.579061378065806e-08,0.0007877423812069687,0.39487179238255266
rh_chr1_3523735,"{NA1,Vv}",0.6075039561611366,0.5794685244583606,NA1,Vv,chr01,3481846,True,9.256089561169507e-08,1.1708091458142665e-07,1.3003333790811032e-05,1.2607272300702682e-07,0.0005886112810331741,5.5279492237224375e-08,1.604105117145626e-05,1.0083837400514616e-07,0.0005752747644690787,1.8193004620576267e-05,9.597965666784881e-06,0.6075039561611366,3.516087723990669e-08,0.0006354454248491257,0.39063935001998584
rh_chr1_3758335,"{NA1,Vv}",0.6131097155765795,0.5854746952606208,NA1,Vv,chr01,3716202,False,6.533541091383747e-08,9.201269761847975e-08,4.0141054071719435e-06,9.466950776280215e-08,0.0003678880834737363,4.56834316634337e-08,5.826571916062911e-06,8.08504876856438e-08,0.00036879671175743794,5.238686690208902e-06,2.8209930497238196e-06,0.6131097155765795,3.193670566941221e-08,0.0003997363612541552,0.38573555242163066
rh_chr1_3875541,"{NA1,Vv}",0.6068413505847515,0.5787585899122338,NA1,Vv,chr01,3833574,True,7.059828849982012e-08,1.0722629491441802e-07,1.829337582580076e-05,1.0762384250943331e-07,0.00044809006650982006,5.579732947155945e-08,2.1413513492075595e-05,9.591850378959388e-08,0.00044928518297727955,2.1757235757581336e-05,1.2575803008954753e-05,0.6068413505847515,4.08241878097505e-08,0.00047693024720416136,0.39170982600202586
rh_chr1_3959025,"{NA1,Vv}",0.6022870537410041,0.5738789861510758,NA1,Vv,chr01,3919488,True,7.353817742105533e-08,1.196591137110349e-07,2.687659160451648e-05,1.1810768443660945e-07,0.0004913788395439614,6.206454240320495e-08,3.0966284307532176e-05,1.0761778401456735e-07,0.0004927811209688236,3.0432514897173542e-05,1.7814536962194597e-05,0.6022870537410041,4.56986033276297e-08,0.0005180456392198454,0.3961041240455865
rh_chr1_4330482,"{NA1,Vv}",0.5828439721858584,0.5530471130562769,NA1,Vv,chr01,4291652,True,7.82901755842303e-08,1.24761106641432e-07,4.570973449302659e-05,1.1203977324403157e-07,0.0005268958089649663,8.151457376359796e-08,5.409427412473596e-05,1.0423479965867858e-07,0.000529169499871048,3.52214137443278e-05,2.1868934950161678e-05,0.5828439721858584,4.935941273414758e-08,0.000544407544615313,0.41539811040353636
