Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.8912481813040711,0.883480194254362,Vv,Vv,chr01,89866,True,0.0004977869398725908,0.0003172802685576758,0.0003806021243733952,0.0004906157044708239,0.041299935529777156,0.00010288214021032505,0.00018105087149458023,0.0002880138958515993,0.008569609443689407,0.00022839875975170403,0.00035219221368349004,0.019024825195452778,0.0004445349535829208,0.036574090655160436,0.8912481813040711
rh_chr1_268616,"{Vv,Vv}",0.8986763492935872,0.8914389456717006,Vv,Vv,chr01,263248,True,0.0003192625315619708,0.0002077049765579736,0.0002490622796214263,0.0003222873360008575,0.040088975388291814,6.58130471439096e-05,0.00011824792002948106,0.00018834224457763007,0.006572397602878207,0.00014614250417166496,0.00023057851958078302,0.01727877327501458,0.00028646653493972384,0.03524959654604284,0.8986763492935872
rh_chr1_334737,"{Vv,Vv}",0.9015503635112238,0.8945182466191683,Vv,Vv,chr01,329439,True,0.00025375115718717173,0.0001691643797145684,0.0002018756480107018,0.00026061884045725685,0.03961131489380279,5.482962589480911e-05,9.811879664608284e-05,0.00015370018090339645,0.005790399916949708,0.00011774040767721373,0.00018729914601510787,0.01659399295825777,0.00022884053140346408,0.03472799000585628,0.9015503635112238
rh_chr1_443667,"{Vv,Vv}",0.9063509037091192,0.8996616825454848,Vv,Vv,chr01,438310,True,0.00014803851744247523,0.0001066551252376429,0.00012485330551396544,0.00015928689322993947,0.038806038474656496,3.954059513386406e-05,6.651493874310324e-05,9.773504545420439e-05,0.004479509031896154,7.356599633713804e-05,0.00011683543000232696,0.015444615408905857,0.00013620432205818458,0.03384970320626956,0.9063509037091192
rh_chr1_547952,"{Vv,Vv}",0.9111048262168255,0.9047551709465987,Vv,Vv,chr01,544389,False,4.797948978893254e-05,4.829147435478906e-05,5.19830782857855e-05,6.211722045658215e-05,0.03799808638690661,2.8443221657351462e-05,3.9043080549576895e-05,4.5912712590228676e-05,0.0031727866024864465,3.405023781325742e-05,5.052084752927681e-05,0.014297220058574825,4.901042148481553e-05,0.03296972895069589,0.9111048262168255
rh_chr1_631086,"{Vv,Vv}",0.9208108662882524,0.9151544995945561,Vv,Vv,chr01,627268,True,3.935818841717717e-05,4.126710763484074e-05,4.4516478846934616e-05,5.307950881052575e-05,0.0337998730834764,2.3326165074121625e-05,3.321557129633901e-05,3.917498016911175e-05,0.002942965899654376,2.791500781242178e-05,4.311286615625749e-05,0.01279715171746086,3.991434581524347e-05,0.029264262791122906,0.9208108662882524
rh_chr1_741516,"{Vv,Vv}",0.933828911682045,0.9291024053736197,Vv,Vv,chr01,737678,True,2.910519025263836e-05,3.249858810663542e-05,3.5181136702093744e-05,4.177427561032121e-05,0.02819657813996145,1.7278764963168414e-05,2.601293563899309e-05,3.078062307004393e-05,0.0025967812519066377,2.0660178722958818e-05,3.387880966738889e-05,0.010768159432599733,2.9163143918115874e-05,0.024313235846834945,0.933828911682045
rh_chr1_1060803,"{Vv,Vv}",0.971207442303296,0.9691508310392457,Vv,Vv,chr01,1049416,True,6.339610757694156e-06,7.202611572256955e-06,8.068440594516708e-06,8.852753053593967e-06,0.012291497786746255,3.989415108077299e-06,5.716151525505818e-06,6.6316164900904255e-06,0.001368815000833995,4.736363932589329e-06,7.208628105800835e-06,0.004841714952909311,5.642664553722262e-06,0.010226141700520535,0.971207442303296
rh_chr1_1170229,"{Vv,Vv}",0.9822726645466032,0.9810064262999321,Vv,Vv,chr01,1140710,True,3.21844036197931e-06,3.85130474467039e-06,4.565356205263289e-06,4.674454518028557e-06,0.007620061484820342,2.076353983126484e-06,3.0541542493278795e-06,3.485004272890664e-06,0.0009396830055035719,2.5547003380674798e-06,3.822934890647904e-06,0.003054422799433834,2.558926790217483e-06,0.006079306533284739,0.9822726645466032
rh_chr1_1304008,"{Vv,Vv}",0.9974556669095267,0.9972739288316358,Vv,Vv,chr01,1265000,False,8.175629600337835e-07,4.5204555322736677e-07,1.0778418696525498e-06,5.725131595509701e-07,0.0012429798118934457,4.7411704338382613e-07,3.665419790446129e-07,3.297926389512767e-07,0.0003036828809766313,8.590793106448503e-07,4.943538163271375e-07,0.0005803645108913647,3.307656363846582e-07,0.00041153127274471145,0.9974556669095267
