Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA2,Vv}",0.9820772427839444,0.9807970458399404,Vv,NA2,chr01,89866,False,8.639881044600646e-07,1.1421157842249424e-06,1.153316845596266e-06,0.00013141530949379787,0.0035245306795608166,8.41770908190781e-07,1.0761430488630046e-06,0.00010598194891505272,0.004379021176005226,8.683570386842492e-07,0.00010982504948177256,0.00435583382031214,0.00023180192854074225,0.9820772427839444,0.005078401612016105
rh_chr1_268616,"{NA2,Vv}",0.9921600786997788,0.9916000843211916,Vv,NA2,chr01,263248,False,1.089372807693693e-07,1.5619358809914986e-07,1.5076957336951085e-07,3.885066435618926e-05,0.0013538207165053027,3.904529114940234e-08,5.028976071161518e-08,1.415610013643136e-05,0.002300281026882388,4.5504371886704064e-08,1.5640824411757146e-05,0.0022172986454836825,4.3841823322329525e-05,0.9921600786997788,0.0018554807592571258
rh_chr1_334737,"{NA2,Vv}",0.9937787259461002,0.9933343492279645,Vv,NA2,chr01,329439,False,1.8125316097602776e-08,3.0248072068789005e-08,2.7424390391930324e-08,9.090836007291268e-06,0.0010163488439952708,7.0463973196109294e-09,9.985368165360862e-09,3.22281525898846e-06,0.001864562691247837,7.631573040376442e-09,3.475327338048101e-06,0.0017719560276717404,1.0519840813765965e-05,0.9937787259461002,0.0015419972104498976
rh_chr1_443667,"{NA2,Vv}",0.996451701299471,0.9961982513922903,Vv,NA2,chr01,438310,False,4.74153528309338e-09,1.559441361940025e-08,1.1085892230596001e-08,6.52515542844383e-06,0.00045235510416747894,4.869340756148712e-09,8.614572892891553e-09,3.5841053798131735e-06,0.001195587628410633,3.683199541854636e-09,3.273466586088525e-06,0.001041714054138427,8.501815446044516e-06,0.996451701299471,0.0008367087820176465
rh_chr1_547952,"{NA2,Vv}",0.9974541268052938,0.9972722787199576,Vv,NA2,chr01,544389,False,1.6667964730923809e-09,1.2956976600432777e-08,6.86866376932471e-09,3.842209473900702e-06,0.00026296595539191205,2.2869149535363996e-09,4.991986778080087e-09,2.2368943400775572e-06,0.0009380458305486199,1.2333353585746944e-09,1.201200103322759e-06,0.000773687354560138,3.5980506862617285e-06,0.9974541268052938,0.0005602656949280036
rh_chr1_631086,"{NA2,Vv}",0.998143599589086,0.998010999559735,Vv,NA2,chr01,627268,False,2.1785007717626782e-09,2.5646836576575164e-08,1.934492063747e-08,9.672894227290096e-06,0.00014927608186072577,3.3442707126504374e-09,7.407827568945217e-09,3.150623652511812e-06,0.0007447602626706014,2.2843984655323145e-09,2.6129051018236012e-06,0.0006164994643481233,7.397740678004158e-06,0.998143599589086,0.0003229702316201803
rh_chr1_741516,"{NA2,Vv}",0.9983801875614265,0.998264486672957,Vv,NA2,chr01,737678,False,3.2199128169619716e-09,2.6214253396706518e-08,2.1981015233920766e-08,1.3051391273095683e-05,0.00014086616567603912,6.607320802962944e-09,1.822912032389727e-08,7.037948506691265e-06,0.0006106097361904565,6.698764420188064e-09,7.757780010311287e-06,0.0005248922809648959,1.6959229222389077e-05,0.9983801875614265,0.000298554956342643
rh_chr1_1060803,"{NA2,Vv}",0.999099613553037,0.9990353002353968,Vv,NA2,chr01,1049416,False,2.5178997222183146e-10,4.856208590484125e-09,1.1830115790928606e-09,1.3201546007361086e-06,9.171066296603213e-05,5.800990067474832e-10,6.391156158390351e-09,4.310726069352299e-06,0.00035771475408679515,5.495059775558017e-10,1.147524702625858e-06,0.0002621224849224813,2.244316525342051e-06,0.999099613553037,0.0001798020113183893
rh_chr1_1170229,"{NA2,Vv}",0.9993778377950892,0.9993333976375955,Vv,NA2,chr01,1140710,False,1.0779986925116201e-10,1.7098327984363837e-09,7.778269613640263e-10,1.0531428771406273e-06,7.070060326615728e-05,6.346850635284144e-10,3.621298275280521e-09,2.617681410554765e-06,0.0002555731041856862,2.5927567001708356e-10,1.0362513210277023e-06,0.00017929455997499908,2.362573208811929e-06,0.9993778377950892,0.00010951717794784132
rh_chr1_1304008,"{NA2,Vv}",0.9996403218688658,0.9996146305737847,Vv,NA2,chr01,1265000,False,5.004535482344904e-11,1.5761424286048488e-09,1.784613416273618e-10,4.499953115913065e-07,4.983758059603442e-05,1.5175128970957901e-09,2.8691921703983396e-09,3.366103799612552e-06,0.0001775097789172266,7.445102420119059e-11,3.6227677198752736e-07,0.00012022895588270651,1.0120956538505107e-06,0.9996403218688658,6.905078395980229e-06
rh_chr1_1400565,"{NA2,Vv}",0.9997374864753786,0.9997187355093342,Vv,NA2,chr01,1361620,False,2.398727980041208e-10,1.8729353231894957e-09,9.73417567704427e-10,4.083610592024442e-06,3.0363301268422617e-05,1.7681873794796395e-09,3.8904608936035076e-09,6.8333086335057775e-06,0.00012529505352855058,4.893901449217525e-10,4.033820576406283e-06,7.425582254345827e-05,1.1127853203943335e-05,0.9997374864753786,6.511520011060646e-06
rh_chr1_1482273,"{NA2,Vv}",0.9997064027820534,0.9996854315522,Vv,NA2,chr01,1441962,False,5.146185484195748e-10,2.950265658157107e-09,1.7765927886380585e-09,7.752940916136527e-06,3.138037896975022e-05,2.628919177793571e-09,5.944857855287069e-09,1.0929081246771074e-05,0.00012105120754913367,1.0262937991265208e-09,7.612196578981438e-06,7.739009632126495e-05,2.158916956681724e-05,0.9997064027820534,1.587730524999632e-05
rh_chr1_1623606,"{NA2,Vv}",0.9996219949194779,0.9995949945565835,Vv,NA2,chr01,1583376,False,1.6231658279255776e-09,6.3790821867473764e-09,5.679636558370585e-09,1.912587949766477e-05,3.468179071731301e-05,5.179856194489639e-09,1.3805611878902049e-08,2.4287481072818113e-05,0.00011411347796562065,4.552045537618377e-09,1.888699261346843e-05,9.219975426067877e-05,5.340976632823809e-05,0.9996219949194779,2.126271866805574e-05
rh_chr1_1879893,"{NA2,Vv}",0.9996132049883205,0.9995855767732006,Vv,NA2,chr01,1839399,False,1.2798943394978736e-09,4.4677858552220295e-09,9.527326829613875e-09,2.2310983217529666e-05,2.606905920999236e-05,3.0741580923375004e-09,2.301335851854042e-08,2.900008988939734e-05,8.551803526312657e-05,1.1075798429928355e-08,2.895281800452835e-05,0.00012171240099658452,7.219401432496195e-05,0.9996132049883205,9.851724513143505e-07
rh_chr1_1999515,"{NA2,Vv}",0.9996254937804733,0.9995987433362213,Vv,NA2,chr01,1959058,False,6.002668065034456e-10,3.430116250640481e-09,9.45656331461882e-09,2.2235566798061244e-05,1.2585725337684645e-05,2.200543015692111e-09,2.718021401949979e-08,3.161301110992037e-05,5.731099336634859e-05,1.1647863642957885e-08,3.186346095333677e-05,0.00013634494885875981,7.887724115802554e-05,0.9996254937804733,3.620756377531891e-06
