Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA1,Vv}",0.7854724469905686,0.7701490503470378,NA1,Vv,chr01,89866,False,2.676422159866591e-05,1.321957562886836e-05,0.000750763728623862,1.8810527028052504e-05,0.03169319371010244,5.420195173905628e-06,0.0005114196098867433,8.75927567347758e-06,0.0006918852689966558,0.0012180163770444871,0.0006379928715748869,0.7854724469905686,1.1510261013216256e-05,0.007804788482831976,0.17113500890425407
rh_chr1_268616,"{NA1,Vv}",0.795104862723466,0.7804694957751421,NA1,Vv,chr01,263248,False,1.2009102646862936e-05,4.3024493103923965e-06,0.0004842062355785211,8.068893297629659e-06,0.02787845852763345,2.067550378687709e-06,0.00028780738856773447,3.5117248861843606e-06,0.0004243343475919511,0.0007167393700160382,0.0003929336802679796,0.795104862723466,5.359221342355848e-06,0.005621265865228231,0.16905407291978802
rh_chr1_334737,"{NA1,Vv}",0.8255986098847277,0.8131413677336368,NA1,Vv,chr01,329439,False,9.79899225163577e-06,3.287797629291828e-06,0.0004295447258422461,6.797866123417895e-06,0.02365285880237871,1.3534935036930249e-06,0.00023394045303705213,2.5542891545786104e-06,0.000436514692269253,0.0005967095213621061,0.0003349420181631376,0.8255986098847277,4.2076246644358136e-06,0.004837332553261897,0.14385154728563077
rh_chr1_443667,"{NA1,Vv}",0.8759726015358048,0.8671135016455052,NA1,Vv,chr01,438310,True,6.927513650016371e-06,1.8327111587661414e-06,0.000320376765272588,4.950720165935155e-06,0.01664555615543397,5.518663601631215e-07,0.00014154262505150159,1.3043348009193748e-06,0.00034402571853776523,0.0003939068570650301,0.0002328534726901362,0.8759726015358048,2.7692108982843126e-06,0.003446306808786524,0.1024844937043235
rh_chr1_547952,"{NA1,Vv}",0.9253089459105569,0.9199738706184538,NA1,Vv,chr01,544389,False,5.112155303517995e-06,8.672268818127137e-07,0.00019053820108900783,3.6742345928161785e-06,0.009746960560973012,1.9858097577361161e-07,4.639350709583167e-05,5.569483118150749e-07,0.00011956218226321943,0.0001891968292377371,0.0001248134490350633,0.9253089459105569,1.9103207752418984e-06,0.0019690672201640672,0.062292202672744115
rh_chr1_631086,"{NA1,Vv}",0.9294776174639415,0.9244403044256516,NA1,Vv,chr01,627268,True,4.801969781291815e-06,7.076607978669557e-07,0.00019848183214924383,3.6338019984161055e-06,0.009383943222715485,1.3973105413815418e-07,4.311168855105915e-05,4.2193734942411755e-07,0.00012527366201545804,0.0001731681959276753,0.00012770817523061846,0.9294776174639415,1.7221486927725595e-06,0.001958640271908258,0.05850062823788677
rh_chr1_741516,"{NA1,Vv}",0.9350848578000479,0.9304480619286227,NA1,Vv,chr01,737678,False,4.3462404835834765e-06,4.5221438663172313e-07,0.0002045304291975713,3.501926570622732e-06,0.008888598398745388,7.909792662185621e-08,3.538602216702386e-05,2.4499664256280647e-07,0.00011521509734104401,0.00014548255282637444,0.00012809120326387182,0.9350848578000479,1.4796137783908845e-06,0.001928645965798625,0.053459088440823636
rh_chr1_1060803,"{NA1,Vv}",0.9812408511299986,0.9799009119249985,NA1,Vv,chr01,1049416,False,1.1687137219214315e-06,8.368609157184012e-08,0.00022233954970177024,8.50543005576151e-07,0.0036413652941988347,8.858313129365528e-09,7.483063137608383e-06,2.5046664712292274e-08,4.920352822117803e-05,6.694528352654521e-05,0.00010949838600162814,0.9812408511299986,2.5140859831646183e-07,0.0005707723893542489,0.01408915311946432
rh_chr1_1170229,"{NA1,Vv}",0.9924191853065636,0.9918776985427467,NA1,Vv,chr01,1140710,False,4.260539321454799e-07,4.382469251824298e-08,0.00020493608621628795,2.823265950429645e-07,0.0021864799151437614,4.8614174262133374e-09,3.3388523142152954e-06,8.525686118354399e-09,2.7405887468294788e-05,2.067053633282764e-05,9.235475299322566e-05,0.9924191853065636,4.406003151782726e-08,0.00016012852544503213,0.004884690485168095
rh_chr1_1304008,"{NA1,Vv}",0.9953372019903071,0.9950041449896148,NA1,Vv,chr01,1265000,False,2.0662984890306785e-07,2.948006297871111e-08,5.9142713541652024e-05,1.3500510112707628e-07,0.0018180972202778982,2.94127980215494e-09,4.301943787563642e-06,3.621789216842067e-09,2.9079037220162384e-05,5.5921972797326475e-06,1.445669296962694e-05,0.9953372019903071,1.7715133386970545e-08,4.776532667675636e-05,0.0026839674847241673
