Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9776261663976851,0.9760280354260912,Vv,Vv,chr01,89866,True,5.5897328651127583e-05,4.705793428627136e-05,3.9776163193392095e-05,4.218331216727157e-05,0.007604705840725775,3.3675871597129776e-05,3.274298947789245e-05,3.4396886430850455e-05,0.005640188013244036,2.17901618302764e-05,2.8682513730829796e-05,0.004190243332742949,2.4618441893805768e-05,0.004577874812343284,0.9776261663976851
rh_chr1_268616,"{Vv,Vv}",0.9861829944819501,0.9851960655163752,Vv,Vv,chr01,263248,False,2.470809823309918e-05,1.5331224987311323e-05,1.1112425994049958e-05,1.271229043251274e-05,0.005578551832581132,1.0949319835469002e-05,8.311046859511558e-06,9.13786196547477e-06,0.0035668182993436534,5.358588798834153e-06,6.527656441206666e-06,0.0020820198694114587,6.49829794674014e-06,0.002478968705219525,0.9861829944819501
rh_chr1_334737,"{Vv,Vv}",0.98722053325692,0.9863077142038429,Vv,Vv,chr01,329439,True,1.8979633361143665e-05,1.2255047125833035e-05,8.731400750714043e-06,9.990478653403913e-06,0.005074349425833566,8.97053025504788e-06,6.642058803280738e-06,7.337420059683494e-06,0.0034316860979335816,4.124796594968759e-06,5.135034941158308e-06,0.0019061564319339485,5.0205119442003925e-06,0.0022800878748893377,0.98722053325692
rh_chr1_443667,"{Vv,Vv}",0.9889624845966178,0.9881740906392334,Vv,Vv,chr01,438310,True,1.0599486966072992e-05,7.327785499196442e-06,5.021287365878212e-06,5.749414073911529e-06,0.004235933577162084,5.875660902919507e-06,3.968240414392224e-06,4.45033622303012e-06,0.0031999910408619073,2.3091394687941324e-06,2.9583880002693184e-06,0.0016071598539333584,2.830511376252746e-06,0.0019433406811342044,0.9889624845966178
rh_chr1_547952,"{Vv,Vv}",0.9907002475526604,0.9900359795207075,Vv,Vv,chr01,544389,False,3.889472777869358e-06,2.9323906312257975e-06,1.921897639687987e-06,2.1942191983128187e-06,0.0034082992380000897,3.094257862534391e-06,1.5821979342209443e-06,1.8677591852176087e-06,0.002962985629845488,8.452710312100629e-07,1.1276960486624508e-06,0.0013042167389010365,1.0404031240690253e-06,0.0016037552751599884,0.9907002475526604
rh_chr1_631086,"{Vv,Vv}",0.9914115278667279,0.9907980655714942,Vv,Vv,chr01,627268,True,3.273267330282347e-06,2.6088240739925345e-06,1.7060448449438485e-06,1.9436656156891503e-06,0.0031180415327443475,2.658226239138411e-06,1.419296013484947e-06,1.6698730486473519e-06,0.0027589559005189966,7.188959963451624e-07,1.0045335272523964e-06,0.0012099069626566408,8.871313430814624e-07,0.0014836779793192265,0.9914115278667279
rh_chr1_741516,"{Vv,Vv}",0.9923903616367776,0.9918468160394046,Vv,Vv,chr01,737678,True,2.5212658676922604e-06,2.1718460058658744e-06,1.4141755452673739e-06,1.6075618764364014e-06,0.0027242990576835154,2.114325497916798e-06,1.1938580778205377e-06,1.3995353281342085e-06,0.0024795773766160376,5.614871991174082e-07,8.369753617888674e-07,0.0010758010002738887,6.958439232446617e-07,0.001315444053965593,0.9923903616367776
rh_chr1_1060803,"{Vv,Vv}",0.9953518061623396,0.9950197923167925,Vv,Vv,chr01,1049416,True,7.400220058681966e-07,7.27812254924918e-07,4.352340306714831e-07,4.994289731162633e-07,0.0015675727555338399,7.569584735514463e-07,4.0865554783149217e-07,4.822263111956028e-07,0.0016429567351624746,1.7023025488731064e-07,2.639457040787832e-07,0.0006442758427419471,2.187769339716388e-07,0.0007886852137319927,0.9953518061623396
rh_chr1_1170229,"{Vv,Vv}",0.9962713810661522,0.996005051142306,Vv,Vv,chr01,1140710,True,4.2205585314449503e-07,4.53444834142152e-07,2.6155127644175736e-07,3.033491510136865e-07,0.0012169671035453984,4.787615671301859e-07,2.5557312638347946e-07,3.050088490199363e-07,0.0013851181656509835,9.756199414324889e-08,1.6078544814275682e-07,0.0005033853443167329,1.291081525870596e-07,0.0006202811200824783,0.9962713810661522
rh_chr1_1304008,"{Vv,Vv}",0.9975632119583995,0.9973891556697138,Vv,Vv,chr01,1265000,False,9.504958512440209e-08,1.142164443014104e-07,5.3516670876061146e-08,6.884423322911331e-08,0.0007304827429932233,1.6135382352901845e-07,6.34484004323647e-08,8.371611336390789e-08,0.0010243475038553486,2.1595799240670653e-08,3.600122763031626e-08,0.00030077710879197213,3.431367956076291e-08,0.00038044862998258864,0.9975632119583995
