Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA1,NA2}",0.9735107087563668,0.9716186165246787,NA1,NA2,chr01,89866,False,2.071136529861413e-06,2.8526672984574695e-05,0.0004194192333471384,0.0035877600530874534,6.894025702096161e-06,2.1329625012194173e-05,0.003352442697117716,0.004181203722650709,2.5261813364554966e-05,0.001096454820724683,0.9735107087563668,0.0008695970472458881,0.009651475103603094,0.003239869992564519,6.985299698608804e-06
rh_chr1_268616,"{NA1,NA2}",0.9894685414240137,0.9887162943828719,NA1,NA2,chr01,263248,False,2.2903800952370302e-07,2.7116596063388988e-06,0.0001159980416998443,0.0014471358768439657,6.368895506008203e-07,2.2023991213806866e-06,0.0008597179718593496,0.0016574687861041126,2.236001100751233e-06,0.0003520102172774681,0.9894685414240137,0.0002133942790164733,0.004645741047154935,0.001231308506213283,6.678624282275119e-07
rh_chr1_334737,"{NA1,NA2}",0.9917152092994607,0.9911234385351364,NA1,NA2,chr01,329439,True,1.2191287699191027e-07,1.485080262633573e-06,8.114355023667176e-05,0.0011426173233471072,3.546989243708482e-07,1.1178233636740604e-06,0.0005771886241555684,0.001293876948566441,1.217791810328442e-06,0.00024730647954900324,0.9917152092994607,0.00014482775773497528,0.0038251511724350646,0.0009680433338007221,3.3820347592697767e-07
rh_chr1_443667,"{NA1,NA2}",0.9954597674704071,0.9951354651468648,NA1,NA2,chr01,438310,False,1.3055616131972827e-08,1.4865247870471554e-07,1.7869053547653495e-05,0.00063575434923001,3.2612599550143714e-08,1.0939318875065824e-07,0.00010865353380038938,0.0006888251411488466,1.1027475813022293e-07,6.68782335359577e-05,0.9954597674704071,2.6595010920000434e-05,0.002466935574958269,0.0005282816993804231,2.59444301915146e-08
rh_chr1_547952,"{NA1,NA2}",0.9987837506883112,0.9986968757374762,NA1,NA2,chr01,544389,False,2.1871943648040956e-09,1.4831284559124037e-08,1.3843862448658245e-05,0.00013572322587285826,4.1711015356530145e-09,1.1102759006868567e-08,5.749593749148072e-05,0.0001209676957985843,9.782471987385977e-09,5.0967440850097016e-05,0.9987837506883112,1.6200333271750096e-05,0.0007272298519236231,9.377633785229882e-05,2.55136802884435e-09
rh_chr1_631086,"{NA1,NA2}",0.999140973851381,0.9990796148407654,NA1,NA2,chr01,627268,False,6.673098965734525e-10,3.860166562537071e-09,6.739135828417312e-06,8.693505042387376e-05,1.0993741135730691e-09,3.165636860579397e-09,2.631265476389236e-05,8.402484451577686e-05,2.2997452886012127e-09,2.6727308368344555e-05,0.999140973851381,6.262861735831917e-06,0.000562638642731845,5.9374009713660734e-05,5.483046491364009e-10
rh_chr1_741516,"{NA1,NA2}",0.9994930828751792,0.9994568745091206,NA1,NA2,chr01,737678,False,7.670936502736708e-10,1.6918833133686606e-09,1.7604075243741335e-05,4.272457921485702e-05,1.1742521711048078e-09,6.023609984077543e-10,2.6786364180455866e-05,3.0912142510147134e-05,9.326547889928608e-10,3.800472516844534e-05,0.9994930828751792,1.2878788466573876e-05,0.00031053572679298525,2.746525791379689e-05,2.970848623406501e-10
rh_chr1_1060803,"{NA1,NA2}",0.9997406306164507,0.9997221042319114,NA1,NA2,chr01,1049416,False,1.1312203786662157e-09,5.749918088101504e-10,2.657734832561513e-05,2.597843884082752e-05,2.0107249229905626e-09,1.7474506414549834e-10,9.970624919508838e-06,7.717029340880354e-06,6.958142121330248e-10,2.0308802459115164e-05,0.9997406306164507,1.0219441180248443e-05,0.00014033587423661114,1.8256700303975213e-05,5.364461387184668e-10
rh_chr1_1170229,"{NA1,NA2}",0.9998431354189558,0.9998319308060241,NA1,NA2,chr01,1140710,False,1.0090811209475186e-10,1.146980584539026e-10,2.322696388260848e-05,1.492965831835342e-05,1.4005089785551805e-09,4.007742107179853e-11,1.100683707882931e-05,6.767542169043662e-06,6.969841399818852e-10,3.263701208245264e-06,0.9998431354189558,5.79343487583122e-06,7.928178568109323e-05,1.259204849955716e-05,2.5615410056299123e-10
rh_chr1_1304008,"{NA1,NA2}",0.9999288222327806,0.9999237381065507,NA1,NA2,chr01,1265000,False,7.752009518025343e-11,2.607692474728136e-10,1.0270565190398672e-05,8.101480275838228e-06,2.561392592891583e-10,1.0985027058833845e-10,5.938625910280014e-06,7.81308500931952e-06,2.722541115755951e-10,3.6636516518665603e-06,0.9999288222327806,2.4351530558250745e-06,2.834588334537255e-05,4.608310584418322e-06,3.5663143744159656e-11
