Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA2,NA2}",0.21940679804245863,0.1636501407597771,NA2,NA2,chr01,89866,False,2.6796212226409795e-05,5.7793052249123384e-05,0.000892474233011172,0.004438577411000558,0.0020223483372738167,5.348171564427676e-05,0.0008439736504174933,0.010108830850165779,0.002629524429559016,0.001236973180079345,0.18090222684903431,0.036049743574795914,0.21940679804245863,0.5391485603004237,0.002181898161660395
rh_chr1_268616,"{NA2,NA2}",0.23081832670969432,0.17587677861752965,NA2,NA2,chr01,263248,False,6.045196714466397e-06,2.5293171451191497e-05,0.0005341342395425625,0.0038896798910091203,0.0005088994444910502,9.613849990482293e-06,0.000483292136237786,0.010284553900065021,0.0008926132833148932,0.0004617179047164072,0.2012321595121059,0.026210059183274338,0.23081832670969432,0.5243045087620462,0.00033910281534643016
rh_chr1_334737,"{NA2,NA2}",0.23968267038246563,0.18537428969549888,NA2,NA2,chr01,329439,False,1.5574133129852883e-06,9.805255464886887e-06,0.00016889661449099707,0.0035603155567338076,0.00019139098569544434,2.428417302503479e-06,0.0003854890102122971,0.011080817941797043,0.00023845220395101406,0.00018684857157404654,0.21438717608777577,0.015456822553893208,0.23968267038246563,0.5145554241212896,9.190488404080442e-05
rh_chr1_443667,"{NA2,NA2}",0.25212125922086126,0.1987013491652085,NA2,NA2,chr01,438310,True,1.0321309320471679e-06,8.419754312876106e-06,0.00012834133469997165,0.0029359485439397347,0.00015556894216417177,1.6109220367006754e-06,0.00043623820430298114,0.011837185186912732,0.00015613234951988335,0.0001666410013769037,0.22066059911444644,0.014240982524066647,0.25212125922086126,0.4970860426691415,6.399810128609013e-05
rh_chr1_547952,"{NA2,NA2}",0.2642701990916902,0.21171807045538235,NA2,NA2,chr01,544389,False,6.026232210674494e-07,6.709233447348721e-06,8.405907295035629e-05,0.0022751375191161494,0.00012059099047148595,4.5041371244467174e-07,0.00048161258508297103,0.012528185300646375,7.284589264656628e-05,0.00013923737396666212,0.22678528464706033,0.013054198955076432,0.2642701990916902,0.48014782294869435,3.306335221724131e-05
rh_chr1_631086,"{NA2,NA2}",0.33597555070589824,0.2885452328991767,NA2,NA2,chr01,627268,False,4.0394818369841073e-07,4.00189011530464e-06,5.594096769531507e-05,0.0020485487883024262,7.08506309003294e-05,5.09722164636531e-07,0.0004102684684810766,0.011341483623099764,4.6215095560621174e-05,0.00015377872956760485,0.2653332073338636,0.006089869191212805,0.33597555070589824,0.37845061394642443,1.8756958530174888e-05
rh_chr1_741516,"{NA2,NA2}",0.36067973731500697,0.3150140042660789,NA2,NA2,chr01,737678,False,3.296288320720613e-07,2.682524520051114e-06,5.218479663720462e-05,0.0022989291893925896,5.062125878161055e-05,3.623490431826232e-07,0.0002684113137622393,0.008900203478855022,3.1149159284481495e-05,9.664364761351962e-05,0.2777282201144361,0.0037820296020093735,0.36067973731500697,0.34609576326280417,1.2732359021363499e-05
rh_chr1_1060803,"{NA2,NA2}",0.40792673146474073,0.3656357837122222,NA2,NA2,chr01,1049416,False,1.7500898040373334e-07,2.942457133727167e-07,4.903419470708991e-05,0.0026013698031745504,3.002861931470019e-05,4.22522346061381e-08,4.748928350268312e-05,0.002965801815321328,8.163682848169019e-06,3.554947902927281e-05,0.3102989097508515,0.0015994207047828133,0.40792673146474073,0.27442842747929863,8.562215500179013e-06
rh_chr1_1170229,"{NA2,NA2}",0.4179625512552872,0.376388447773522,NA2,NA2,chr01,1140710,False,5.907514667362317e-08,9.722982813474465e-08,4.091104908999541e-05,0.002501461049361689,2.3959916707009027e-05,1.1916867911851312e-08,3.1525714132518894e-05,0.002619173467681113,7.7580200523259e-06,6.379960951352921e-06,0.3172466816151149,0.001086657278836323,0.4179625512552872,0.25846702614407674,5.746306866010387e-06
rh_chr1_1304008,"{NA2,NA2}",0.4368084910319449,0.39658052610565525,NA2,NA2,chr01,1265000,False,4.8927142692148524e-08,7.612711806482486e-08,2.5847709896928776e-05,0.0025754162956698316,9.488805567714871e-06,1.8818091060923953e-08,2.0422322679957368e-05,0.0024263605054016695,3.6116332876575276e-06,8.54699547387434e-06,0.32615591683489953,0.0005278497401227028,0.4368084910319449,0.2314353273195759,2.57693312752011e-06
