Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA1,NA1}",0.8560561562481036,0.8457744531229682,NA1,NA1,chr01,89866,False,8.446978899631942e-05,3.181043772042354e-05,0.09727990173561861,4.080307782483171e-05,9.244395768227353e-05,2.5079671979827254e-06,0.0004299305001740387,5.618922960641985e-06,3.269503677635855e-05,0.8560561562481036,0.005493703853793313,0.04031340338333677,8.212566202157168e-06,4.22531518930639e-05,8.608937171951824e-05
rh_chr1_268616,"{NA1,NA1}",0.8588772570589766,0.8487970611346177,NA1,NA1,chr01,263248,False,3.954076269724096e-05,1.1805734992272315e-05,0.09597734855111463,1.7889001598900097e-05,5.1020439420450225e-05,1.0741782011961483e-06,0.00024742715737255996,2.907760789068497e-06,1.3124805609794811e-05,0.8588772570589766,0.004116534644312177,0.04057308093890758,4.8003136644006695e-06,1.9571170997989646e-05,4.6617481345054484e-05
rh_chr1_334737,"{NA1,NA1}",0.8599845190228689,0.8499834132387881,NA1,NA1,chr01,329439,False,2.2203737684006674e-05,4.158707035485908e-06,0.09548191607752175,9.016647350154877e-06,3.446556828053952e-05,7.840646783708731e-07,0.000166866121391923,2.2415313165421122e-06,5.712149565175306e-06,0.8599845190228689,0.00358471362035413,0.04065849763358933,3.8086773475919974e-06,1.08368545610433e-05,3.0259586455045245e-05
rh_chr1_443667,"{NA1,NA1}",0.8701226358937042,0.8608456813146831,NA1,NA1,chr01,438310,False,2.0447966338993673e-05,3.1803809081319727e-06,0.08707267922093298,8.106212676772164e-06,3.467267294302279e-05,5.56922487585746e-07,0.00014462349719431504,1.7962192527103938e-06,4.138949502161391e-06,0.8701226358937042,0.0031114253526986347,0.03943684314333674,3.1625605907714687e-06,9.005141461856903e-06,2.6725865971087924e-05
rh_chr1_547952,"{NA1,NA1}",0.8796827654908762,0.8710886773116531,NA1,NA1,chr01,544389,False,1.8102697423115844e-05,3.807531886270847e-06,0.07838076467668949,9.332025194585647e-06,3.437165474684531e-05,4.139059890013198e-07,0.0002089888610286438,1.5404131553778505e-06,3.923456220885776e-06,0.8796827654908762,0.0031162120603412794,0.038504424754828785,2.7474821140460986e-06,8.7379662677731e-06,2.386702323771647e-05
rh_chr1_631086,"{NA1,NA1}",0.8871936497333037,0.8791360532856826,NA1,NA1,chr01,627268,True,1.61619368020588e-05,4.0136940627713015e-06,0.07160951886191762,9.837283664465175e-06,3.338490224186635e-05,3.1895710970606156e-07,0.00023580930118507977,1.353293296545677e-06,3.6585922232959333e-06,0.8871936497333037,0.003098287344446132,0.037761633165886946,2.4338251147190104e-06,8.399266342007641e-06,2.1539842403008605e-05
rh_chr1_741516,"{NA1,NA1}",0.8972605359663766,0.8899220028211178,NA1,NA1,chr01,737678,False,1.3457297906617837e-05,3.943367160309099e-06,0.06261248519435841,9.924372573546503e-06,3.102216783553688e-05,2.1229050737246338e-07,0.00023943496759024828,1.1077387378352795e-06,3.162993232468767e-06,0.8972605359663766,0.003044676318720605,0.03675195168580615,2.027614812271186e-06,7.75374440234153e-06,1.8304279979514554e-05
rh_chr1_1060803,"{NA1,NA1}",0.9449301570349351,0.9409965968231447,NA1,NA1,chr01,1049416,False,2.060667961083484e-06,4.233100513683588e-07,0.021938077890411734,2.004772832168571e-06,6.596867023580649e-06,2.1744431041640812e-08,9.645109692180374e-05,9.818494089753993e-08,4.251528804747947e-07,0.9449301570349351,0.0020345481583812293,0.030983379133354215,4.0188273796377333e-07,1.7968705707912627e-06,3.5572325665446784e-06
rh_chr1_1170229,"{NA1,NA1}",0.957297570166071,0.9542473966065046,NA1,NA1,chr01,1140710,False,8.092589000337425e-07,2.0794399289889013e-07,0.011202260350024683,6.488736267086289e-07,1.05676850005299e-06,9.33556570970414e-09,7.390125258100466e-05,3.267659444287355e-08,7.515953751091308e-08,0.957297570166071,0.0016855103459398574,0.02973709241892209,1.0547043775303742e-07,3.8499323814112273e-07,3.3498606809631187e-07
rh_chr1_1304008,"{NA1,NA1}",0.9820820548647976,0.9808022016408546,NA1,NA1,chr01,1265000,False,2.7755844251975193e-07,8.300985005477296e-08,0.00461029569189351,2.428428645612469e-07,4.523146705569667e-07,3.910655303396035e-09,7.911127379851974e-05,1.4490802311429476e-08,9.523356428744306e-08,0.9820820548647976,0.0007235677506184404,0.01250330391443627,4.4487948848512566e-08,2.4719808100132795e-07,2.0545757616500928e-07
