Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA2,NA2}",0.3080319686582402,0.25860568070525736,NA2,NA2,chr01,89866,False,0.00016824169687366445,7.668671414456067e-05,0.00018984117292502418,0.024581308214479812,0.004411586794540848,8.837184015624604e-06,2.250238898770967e-05,0.0015931676645390264,0.00024938679384880184,5.523401826093466e-05,0.00427415321465617,0.009318510187100433,0.3080319686582402,0.6429108487048821,0.004107726592505115
rh_chr1_268616,"{NA2,NA2}",0.3144410671709297,0.2654725719688532,NA2,NA2,chr01,263248,False,5.464395469884027e-05,2.4188348912636088e-05,0.0001289316247785152,0.0249301765357488,0.0015945145208501293,3.1083367914474e-06,7.140078268389937e-06,0.0008096496875582749,6.519676588203626e-05,3.253440293154295e-05,0.003533988648093199,0.00812058380617931,0.3144410671709297,0.6450022022132447,0.0012520739051324382
rh_chr1_334737,"{NA2,NA2}",0.32004023422551775,0.27147167952734047,NA2,NA2,chr01,329439,False,1.534283841284786e-05,7.951969651150308e-06,4.6592420072548697e-05,0.02536896606343226,0.0007910970131244616,2.0653716475759603e-06,5.407512103048249e-06,0.0005815168328231211,2.1560031222347245e-05,3.064749672625273e-05,0.003094400448229971,0.0034208317427110923,0.32004023422551775,0.64620410862974,0.00036927740458550496
rh_chr1_443667,"{NA2,NA2}",0.349206114720645,0.3027208372006911,NA2,NA2,chr01,438310,True,1.1615338667268649e-05,6.003207133730957e-06,3.512249136953868e-05,0.021964571776142264,0.0006783274667696166,1.1983418003740267e-06,4.267203933119543e-06,0.0005794019922940933,1.6465616814032077e-05,3.166455439845772e-05,0.0028161231664297825,0.002564519547831119,0.349206114720645,0.6218613170735079,0.00022328750226358144
rh_chr1_547952,"{NA2,NA2}",0.3778082036601644,0.33336593249303326,NA2,NA2,chr01,544389,False,8.290625618098054e-06,4.2205646730811025e-06,2.486413605203243e-05,0.018581611295392368,0.000570852654073043,5.600425009340917e-07,2.8647510714981796e-06,0.0004951163569773455,6.730175357306869e-06,3.260597526937126e-05,0.0024122598574679954,0.0017848761833122494,0.3778082036601644,0.5981878984800985,7.904524197172083e-05
rh_chr1_631086,"{NA2,NA2}",0.4809103212988983,0.4438324871059625,NA2,NA2,chr01,627268,False,6.345222450642139e-06,3.746366208909728e-06,2.0155411210000732e-05,0.016472681543149386,0.0004066243420240135,3.5706019296838106e-07,3.0265137981665263e-06,0.0007235244788939503,1.0161355488984876e-05,4.08135273286039e-05,0.0026260781652102713,0.0013154809380169974,0.4809103212988983,0.49740534306178047,5.534071534835538e-05
rh_chr1_741516,"{NA2,NA2}",0.6190509620600321,0.5918403164928915,NA2,NA2,chr01,737678,False,3.7702514415412977e-06,2.850714745331645e-06,1.1704405381409161e-05,0.013361456945484318,0.00021529781823241082,1.5328573278669548e-07,2.2528021142422634e-06,0.000698598419215803,1.1080997190900299e-05,2.126956717334295e-05,0.0016876588350841306,0.0006455008512012173,0.6190509620600321,0.36426107008679026,2.6372960180486895e-05
rh_chr1_1060803,"{NA2,NA2}",0.8400623862667401,0.8286382710000787,NA2,NA2,chr01,1049416,False,1.344556813279443e-06,6.193885084837368e-07,3.7249211564533843e-06,0.007621059621895236,4.722341068957715e-05,4.3409239517469813e-08,4.682384401758186e-07,0.0005261201994296301,3.090755172816989e-06,4.333659819177184e-06,0.0016287896553664083,0.0001073616687635156,0.8400623862667401,0.1499868029731081,6.631274857471572e-06
rh_chr1_1170229,"{NA2,NA2}",0.8946610377099253,0.8871368261177771,NA2,NA2,chr01,1140710,False,8.205785112446065e-07,4.6774828107067977e-07,2.1301276806777163e-06,0.005663981626820748,2.664446914519023e-05,2.3622866121786926e-08,2.8121014537447206e-07,0.0005016276378481552,2.150802868469668e-06,1.5279534751159793e-06,0.0011498768237481578,4.5685824916152734e-05,0.8946610377099253,0.0979404426829166,3.301180851553825e-06
rh_chr1_1304008,"{NA2,NA2}",0.9521096746870901,0.9486889371647393,NA2,NA2,chr01,1265000,False,2.2643566928509913e-07,2.8858907416642063e-07,6.406709655394431e-07,0.0025895239109807802,7.00130156168892e-06,2.0864066318087562e-08,2.2341763123063215e-07,0.0004451729414101738,1.6887503045004903e-06,5.310546325941007e-07,0.000658371817789507,1.3468047510198768e-05,0.9521096746870901,0.04417208585867905,1.081652634873301e-06
