Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9768739609510358,0.975222101018967,Vv,Vv,chr01,89866,True,0.0001533579804380049,7.567096863873765e-05,0.00010546399904452299,0.00010828639448095224,0.008478481430408238,4.174455174090496e-05,6.882690195050865e-05,5.6591755156828183e-05,0.003759049087876588,8.91680204063713e-05,7.802448753156632e-05,0.005122181652923438,6.959540005676613e-05,0.004919596418310742,0.9768739609510358
rh_chr1_268616,"{Vv,Vv}",0.9854229728083905,0.9843817565804184,Vv,Vv,chr01,263248,False,0.00011851181335673162,4.6145685599393914e-05,7.349617858616325e-05,7.690373811779519e-05,0.006473872638868372,2.6943995124210085e-05,4.675127804734457e-05,3.470554618809407e-05,0.001641257142337921,6.859949892947025e-05,5.347601199552397e-05,0.003036990604929805,4.9781141701005195e-05,0.0028295919178276145,0.9854229728083905
rh_chr1_334737,"{Vv,Vv}",0.9857474354723703,0.9847293951489682,Vv,Vv,chr01,329439,True,0.00011376073018828236,4.3130323433023184e-05,6.981755140424148e-05,7.362761142881654e-05,0.006340885819607164,2.470131803106209e-05,4.383637772109645e-05,3.2253992270417414e-05,0.0015882263052271219,6.477920151940512e-05,5.029494994392317e-05,0.003009569844781454,4.694551853319525e-05,0.0027507349835404946,0.9857474354723703
rh_chr1_443667,"{Vv,Vv}",0.9863111999256016,0.985333428491716,Vv,Vv,chr01,438310,False,0.00010619805583437097,3.823207327544006e-05,6.379774732006497e-05,6.830289885012038e-05,0.006115024291894285,2.123559617124961e-05,3.912301837673802e-05,2.8317490681146753e-05,0.0014926508344198194,5.869826805343932e-05,4.512924097715149e-05,0.002956513804314768,4.2503820767756626e-05,0.002613072933462152,0.9863111999256016
rh_chr1_547952,"{Vv,Vv}",0.9868954369103364,0.9859593966896462,Vv,Vv,chr01,544389,True,9.918562327487409e-05,3.3671114418160476e-05,5.81068312237112e-05,6.333868920270288e-05,0.005886468895883689,1.816846965345137e-05,3.4759433446266405e-05,2.4731538642916577e-05,0.0013895396441992254,5.3058348957080584e-05,4.030924099437535e-05,0.0028953034891621597,3.8486943178876584e-05,0.0024694348274259966,0.9868954369103364
rh_chr1_631086,"{Vv,Vv}",0.9873755872063505,0.9864738434353756,Vv,Vv,chr01,627268,True,9.39683071637549e-05,3.0299505277375278e-05,5.38263663855412e-05,5.966331066845236e-05,0.005702068209370344,1.599793973370507e-05,3.155069636168954e-05,2.2146086314337087e-05,0.0013021107077344387,4.8860423186917166e-05,3.6733943836602816e-05,0.0028409369641600995,3.5575946440762456e-05,0.002350674387015461,0.9873755872063505
rh_chr1_741516,"{Vv,Vv}",0.9880487635632652,0.9871951038177842,Vv,Vv,chr01,737678,False,8.732197549671039e-05,2.5947397198240614e-05,4.822714448175263e-05,5.491293336308035e-05,0.005448346368780521,1.3373624216378851e-05,2.7429962280333414e-05,1.887613257386781e-05,0.0011762096724194924,4.351026005862599e-05,3.211016116658787e-05,0.0027595349018945167,3.1965735990955406e-05,0.0021834701668137523,0.9880487635632652
rh_chr1_1060803,"{Vv,Vv}",0.9898409435921598,0.9891152967058855,Vv,Vv,chr01,1049416,True,7.034313290264901e-05,1.3862550819131087e-05,3.249103730573586e-05,4.173623166562224e-05,0.004799238905001964,7.373644816543424e-06,1.609972211051089e-05,1.0007048146807917e-05,0.0008194446305000578,2.98109429320159e-05,1.929184978565637e-05,0.0025442910138218284,2.3231876281249983e-05,0.0017318338217504133,0.9898409435921598
rh_chr1_1170229,"{Vv,Vv}",0.9904180848738078,0.9897336623647941,Vv,Vv,chr01,1140710,False,6.605007485100828e-05,1.1099612161343263e-05,2.859247663107079e-05,3.869887230971098e-05,0.004595702087577506,6.198050224038835e-06,1.3551772217322476e-05,8.229722429557283e-06,0.0006991458109353546,2.6336263910008203e-05,1.6290831994182433e-05,0.0024662474967400987,2.1263195346728485e-05,0.0015845088588643144,0.9904180848738078
rh_chr1_1304008,"{Vv,Vv}",0.9914475249852652,0.9908366339127842,Vv,Vv,chr01,1265000,True,5.409289331350316e-05,8.887746106214015e-06,2.4922887855735634e-05,3.0302138292034903e-05,0.004107584407821948,4.91591199736856e-06,1.0394785541421559e-05,6.68174558155864e-06,0.0005717174269149999,2.197994373706896e-05,1.3013418290053543e-05,0.0024168254139941793,1.6905910083772427e-05,0.0012642503852049395,0.9914475249852652
