Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA2,NA2}",0.8967441736538825,0.8893687574863026,NA2,NA2,chr01,89866,False,3.2609131510377714e-05,1.93194971143889e-05,0.00027330631060274433,0.005191746388371936,2.45697138331338e-05,5.0913676634214635e-06,0.00014952366020372883,0.002139497952168512,1.0345044088841266e-05,0.000407058633181071,0.09195844284402753,0.0001858664726426008,0.8967441736538825,0.0028480924018764297,1.0356928832878094e-05
rh_chr1_268616,"{NA2,NA2}",0.9036477353826915,0.8967654307671694,NA2,NA2,chr01,263248,False,8.839479074580231e-06,2.001881357639114e-06,1.8614556462937193e-05,0.0026561758721554704,3.742888352582194e-06,4.2471176857212836e-07,4.796957936115007e-06,0.0006286717382691434,8.437613840732965e-07,2.509873538765901e-05,0.09196685427161445,8.586621965743948e-06,0.9036477353826915,0.0010262230011482247,1.390140431360391e-06
rh_chr1_334737,"{NA2,NA2}",0.9086461846308468,0.9021209121044788,NA2,NA2,chr01,329439,False,6.101582959107291e-06,6.340322345728829e-07,1.240034730344649e-05,0.002380453962752601,2.0136097867459156e-06,1.1058823615216683e-07,1.735694671198399e-06,0.00045156648409286137,2.5753723067755783e-07,1.5883724660170277e-05,0.0876601218704038,4.738235746618342e-06,0.9086461846308468,0.0008171473278603318,6.503712149750751e-07
rh_chr1_443667,"{NA2,NA2}",0.913039608546655,0.9068281520142732,NA2,NA2,chr01,438310,False,5.5688311508303715e-06,3.465197345783276e-07,1.264776253825274e-05,0.002154030827412085,1.693012715633263e-06,5.6901966500630967e-08,1.245691955042824e-06,0.00028869224301769387,1.4867929247983035e-07,1.5507337559338933e-05,0.08384379800568091,4.6428426337370675e-06,0.913039608546655,0.0006315008559056975,5.119417822261822e-07
rh_chr1_547952,"{NA2,NA2}",0.9183692576295855,0.9125384903174131,NA2,NA2,chr01,544389,False,4.119198389206385e-06,1.4056802287909067e-07,8.608327944386106e-06,0.0018399841497735256,9.578751294911619e-07,2.5735295709789287e-08,6.609741504683344e-07,0.0001190669848544143,7.515822222751309e-08,9.51131365724369e-06,0.07925001055209521,2.4785978392317793e-06,0.9183692576295855,0.0003947962820945489,3.066529458887285e-07
rh_chr1_631086,"{NA2,NA2}",0.9207360819094148,0.915074373474373,NA2,NA2,chr01,627268,False,3.134052374287238e-06,1.064558614119399e-07,5.780446535717127e-06,0.001556838835241114,7.682880079392759e-07,1.651089691814368e-08,4.81724485306721e-07,8.647549072985301e-05,5.249502254654146e-08,6.438746456206102e-06,0.0772527852685549,1.7270847723106847e-06,0.9207360819094148,0.00034908564795172023,2.270436949773728e-07
rh_chr1_741516,"{NA2,NA2}",0.9496785842284884,0.9460841973876661,NA2,NA2,chr01,737678,False,2.2365880644441267e-06,7.68903736143189e-08,4.405876625122655e-06,0.0015137915690356996,6.150253063442523e-07,1.1148638494031642e-08,8.194209337967878e-07,0.00010176147734496327,3.6352236916697605e-08,4.259832598805581e-06,0.04823328662993325,1.8069778651288776e-06,0.9496785842284884,0.00045814212056214033,1.6586199289276712e-07
rh_chr1_1060803,"{NA2,NA2}",0.9848898114561311,0.9838105122744262,NA2,NA2,chr01,1049416,False,3.539370154915282e-07,1.0955638015517504e-08,8.909827264434544e-07,0.0008578802423597888,9.0120662483575e-08,1.3128243707988477e-09,1.1381660455351918e-07,3.8730921795325966e-05,4.681061315759663e-09,6.258630205556857e-07,0.013973046278106619,4.058422939723814e-07,0.9848898114561311,0.0002380110574391052,2.2532320828995237e-08
rh_chr1_1170229,"{NA2,NA2}",0.9959089984322462,0.9956167840345496,NA2,NA2,chr01,1140710,False,8.221072124912212e-08,3.4306132485827846e-09,2.2910649570063927e-07,0.0006176349217444463,2.4273876665067837e-08,3.998550018760962e-10,3.756625168816429e-08,1.2547044541856328e-05,1.5451065561045387e-09,1.8375419561940352e-07,0.0033203920845875433,1.2004225503025526e-07,0.9959089984322462,0.00013973798375310076,7.203756115671403e-09
rh_chr1_1304008,"{NA2,NA2}",0.99741657624787,0.9972320459798607,NA2,NA2,chr01,1265000,False,3.74089964755447e-08,3.866210482564473e-09,1.0977578312723428e-07,0.0003815883874807269,1.4504819500809315e-08,2.9959537220218525e-10,2.7329201550848777e-08,1.6874781833821e-05,1.4436059789418476e-09,9.565008104341196e-08,0.002072580973246748,7.162763326045976e-08,0.99741657624787,0.0001120131007674104,4.6028746461606045e-09
rh_chr1_1400565,"{NA2,NA2}",0.9976781212896239,0.9975122728103113,NA2,NA2,chr01,1361620,False,1.6427208720114376e-08,2.609973866832177e-09,5.46844677474169e-08,0.000345152798001562,8.313266599919426e-09,2.0607560560471317e-10,1.66154709118893e-08,3.125890911120654e-05,1.0528708623092273e-09,4.849870680182685e-08,0.0018139174857450897,4.234614136421075e-08,0.9976781212896239,0.00013135582829805866,2.9350378036939028e-09
rh_chr1_1482273,"{NA2,NA2}",0.9977246149849568,0.9975620874838823,NA2,NA2,chr01,1441962,False,1.792776135990233e-08,6.786923824936951e-09,7.562276794095323e-08,0.0003442920019873234,1.5336205116483635e-08,7.183965939634529e-10,3.5559482115694274e-08,5.0965711694169706e-05,3.2428328690080126e-09,6.57572599450611e-08,0.0017129848487347158,7.365394941277892e-08,0.9977246149849568,0.0001668422112968715,5.63575104089437e-09
rh_chr1_1623606,"{NA2,NA2}",0.9978476376174223,0.9976938974472382,NA2,NA2,chr01,1583376,True,1.8310768705999275e-08,1.1547040394329962e-08,9.395482621289981e-08,0.00033227649921993243,2.3890282776812796e-08,1.6521956960504392e-09,5.4015810106861205e-08,7.480555639508205e-05,6.9411553844358315e-09,8.115624298129529e-08,0.0015261094867816012,1.0861207671009172e-07,0.9978476376174223,0.00021876005002334213,1.070975891822357e-08
rh_chr1_1879893,"{NA2,NA2}",0.9982043067929774,0.9980760429924759,NA2,NA2,chr01,1839399,False,1.1512445416993912e-08,8.976985850806213e-09,7.059705525298808e-08,0.00027638579699270033,2.2512181236262485e-08,1.7169337717149026e-09,4.1777751182876903e-08,8.272078801865821e-05,7.616816268481054e-09,6.859866720981578e-08,0.0011577196592602876,1.0750655977379349e-07,0.9982043067929774,0.00027850899609645555,1.715125843619857e-08
rh_chr1_1999515,"{NA2,NA2}",0.9984371561437281,0.9983255244397087,NA2,NA2,chr01,1959058,False,7.063858109597253e-09,5.809260869610364e-09,5.2198893938279365e-08,0.0002452119653201811,1.4701208603811012e-08,1.0827983236179703e-09,3.070196229122911e-08,7.900807043227655e-05,5.340497009607636e-09,5.360991081526378e-08,0.0009817976780759877,7.607784443665019e-08,0.9984371561437281,0.0002565690831508674,1.0473058197234921e-08
rh_chr1_2145831,"{NA2,NA2}",0.9985775185437064,0.9984759127253997,NA2,NA2,chr01,2106048,True,7.89618995491252e-09,7.910768811080509e-09,5.4851794828930286e-08,0.00023670631163812508,1.8498047642489207e-08,1.7103930801334091e-09,3.422907777056693e-08,8.556848549982486e-05,8.456574138886264e-09,5.0588488350353314e-08,0.0008388132309461603,7.547963628099548e-08,0.9985775185437064,0.00026112177068339434,1.2036555344984758e-08
rh_chr1_2306205,"{NA2,NA2}",0.9987930467836238,0.998706835839597,NA2,NA2,chr01,2265211,False,6.101138554611272e-09,6.417064882204894e-09,4.401583550134959e-08,0.00021136631141207657,1.658687252348564e-08,1.4265010120611816e-09,2.7247530894200913e-08,7.617141229637701e-05,7.955508515215399e-09,3.8857717874477935e-08,0.0006692423565102477,6.074161402809932e-08,0.9987930467836238,0.00024995287171095435,1.091466276357137e-08
rh_chr1_2424927,"{NA2,NA2}",0.9989970010834126,0.9989253583036564,NA2,NA2,chr01,2384046,False,3.368013128255655e-09,3.3891034490118286e-09,3.0666398147571846e-08,0.00018151475179924831,1.1889044938178684e-08,7.279917477664972e-10,1.8255692052208973e-08,5.79698189228919e-05,5.359639429037785e-09,2.7215942842043187e-08,0.0005326592891139818,4.415253635653651e-08,0.9989970010834126,0.0002307016605321658,8.371856991939158e-09
rh_chr1_2618562,"{NA2,NA2}",0.9993293093787049,0.9992814029057553,NA2,NA2,chr01,2577582,False,1.6877024773185172e-09,9.042905196558731e-10,6.119382846377545e-09,0.00015755515143748146,4.9643764349447775e-09,3.575527549895785e-10,3.3510177656401023e-09,3.391623343054211e-05,1.0991658325941512e-09,5.3700650505448534e-09,0.00028247445578326514,7.652019371895582e-09,0.9993293093787049,0.00019670987739385024,3.3976769813145306e-09
rh_chr1_2718543,"{NA2,NA2}",0.9993990253255384,0.9993560985630768,NA2,NA2,chr01,2677534,False,3.4785873449608013e-09,1.5522859532727459e-09,7.572952701645604e-09,0.00016263124828667588,9.227893201479812e-09,8.953841369904763e-10,4.663472680412585e-09,2.5878998446543114e-05,1.5259730988959542e-09,6.230571581903841e-09,0.00021232888510424894,8.16396954230704e-09,0.9993990253255384,0.00020008658181362412,5.649720389018306e-09
rh_chr1_2822616,"{NA2,NA2}",0.9994098411668195,0.9993676869644494,NA2,NA2,chr01,2781082,True,5.03297314709358e-09,2.973306310577023e-09,9.795856933607502e-09,0.00016672392815716993,1.1938543804999492e-08,1.6855479709160195e-09,5.5597815990868585e-09,3.238804412482494e-05,3.121903529944482e-09,6.7209282166952995e-09,0.0002049106633149932,1.0534170043095079e-08,0.9994098411668195,0.00018607269710730574,6.137464579646057e-09
rh_chr1_2955463,"{NA2,NA2}",0.9994638705723148,0.9994255756131945,NA2,NA2,chr01,2913710,False,5.974113727665107e-09,3.587882126541801e-09,9.718703499475578e-09,0.00016196411250298453,1.272619519438447e-08,2.9564662091322223e-09,5.2691244764431434e-09,3.046242828059035e-05,3.5664557324403812e-09,5.9671922411926505e-09,0.00018546611708006885,1.0390025086711137e-08,0.9994638705723148,0.00015817105624294647,5.557420342839425e-09
rh_chr1_3008587,"{NA2,NA2}",0.9995007807403191,0.9994651222217705,NA2,NA2,chr01,2966940,True,6.032984074314237e-09,3.3561002924788054e-09,9.096318697466246e-09,0.00015691838967556938,1.2593137719810658e-08,2.089625349018402e-09,4.402384662805605e-09,2.3981504970054415e-05,3.269231470076867e-09,5.3217941126526474e-09,0.00017440085679024163,9.798129001998363e-09,0.9995007807403191,0.0001438574560890747,5.09245045748057e-09
rh_chr1_3077430,"{NA2,NA2}",0.9995589876932925,0.999527486814242,NA2,NA2,chr01,3035452,False,5.882386287495136e-09,2.780196603426797e-09,7.672629579711547e-09,0.00014775933327011023,1.1912691994858811e-08,1.3100192656359885e-09,3.082080954865118e-09,1.2909461434851911e-05,2.6715519725896835e-09,4.25879964986615e-09,0.00015750923247066683,8.483701025168544e-09,0.9995589876932925,0.00012278187291940684,4.35255510978669e-09
rh_chr1_3142598,"{NA2,NA2}",0.999557349387671,0.9995257314867904,NA2,NA2,chr01,3100650,False,8.202335888293959e-09,3.859071111839479e-09,9.85323475903621e-09,0.00015122943859428888,1.6061576342096718e-08,1.2017954011867876e-09,3.6646469408246343e-09,1.7777910276918285e-05,3.6832004648299753e-09,5.117052063721498e-09,0.0001577436844890787,1.097783649793807e-08,0.999557349387671,0.00011583151195746794,5.446261635432339e-09
rh_chr1_3325315,"{NA2,NA2}",0.9995872248163518,0.9995577408746626,NA2,NA2,chr01,3282755,False,1.515827675537959e-08,5.763385185777574e-09,1.2781550677307895e-08,0.00015111058899756262,2.9518289446458943e-08,1.0274564204195006e-09,3.5902885405166877e-09,1.662476445540115e-05,5.840549886571205e-09,6.13600947352352e-09,0.00014392963368032772,1.7091382435052192e-08,0.9995872248163518,0.00010100256069976374,1.0728626185790307e-08
rh_chr1_3523735,"{NA2,NA2}",0.9993408722075795,0.9992937916509781,NA2,NA2,chr01,3481846,False,3.079127524718654e-08,9.34886504843122e-09,2.3101818479427863e-08,0.00029272156773287164,5.562395544180088e-08,1.6112976685174235e-09,7.0899563165884225e-09,4.011238897009792e-05,1.0524256739883644e-08,7.815887250292125e-09,0.00014062397275139995,3.825532852881557e-08,0.9993408722075795,0.000185463418136972,2.228218843764856e-08
rh_chr1_3758335,"{NA2,NA2}",0.9992514929064733,0.9991980281140785,NA2,NA2,chr01,3716202,False,4.6420876537901255e-08,6.6637579922333654e-09,1.9874930456499412e-08,0.0004136221236410706,6.919186331703069e-08,1.3663854561775516e-09,5.886414813055384e-09,2.8711059679391593e-05,7.803358576142318e-09,6.1230589682872985e-09,9.733222809565495e-05,4.426681829408295e-08,0.9992514929064733,0.00020862067142132177,1.3413224822713562e-08
rh_chr1_3875541,"{NA2,NA2}",0.9990741699315737,0.9990080392124004,NA2,NA2,chr01,3833574,True,4.753245870329669e-08,1.1070392013146171e-08,2.5393137860990543e-08,0.00044369427050703676,1.1137686437794312e-07,1.482734351577742e-09,6.573095257525774e-09,4.440493294545472e-05,6.6858471637141015e-09,6.285877549711518e-09,0.00011375560312170171,5.3033258827212395e-08,0.9990741699315737,0.0003236965518709677,9.276314976860209e-09
rh_chr1_3959025,"{NA2,NA2}",0.9989670677982899,0.9988932869267392,NA2,NA2,chr01,3919488,False,4.6925696876292643e-08,1.3126242934556118e-08,2.8024414064882197e-08,0.00046011972243076033,1.4451668710866437e-07,1.5096524236651828e-09,6.973072484502392e-09,5.000842161328486e-05,4.884068768846888e-09,6.131110995804134e-09,0.00011997017382099895,6.05370089504646e-08,0.9989670677982899,0.00040251641586388506,4.840026468851446e-09
rh_chr1_4330482,"{NA2,NA2}",0.9991450953826034,0.9990840307670751,NA2,NA2,chr01,4291652,True,2.209077121975115e-08,1.0484071976135382e-08,1.610437586600842e-08,0.0004480700085070367,4.599521651015991e-08,1.257079174801436e-09,3.6899826314219806e-09,6.513893366469478e-05,5.851309278692278e-09,3.0729324224085776e-09,0.0001102733612898873,1.6092233345594363e-08,0.9991450953826034,0.0002312930283936439,4.6475688806545305e-09
rh_chr1_4445423,"{NA2,NA2}",0.9992723336763115,0.9992203575103338,NA2,NA2,chr01,4406530,False,9.672435883794316e-09,4.694489360066422e-09,7.443751931052089e-09,0.0004266537628619352,1.7660445562196384e-08,3.9555836132020974e-10,1.2978441098944568e-09,5.123331311170833e-05,1.9343129989257743e-09,1.0906259026032864e-09,8.890005330294614e-05,4.902427847418755e-09,0.9992723336763115,0.00016082867345574686,1.429064307788281e-09
rh_chr1_4517681,"{NA2,NA2}",0.9992837937618834,0.9992326361734465,NA2,NA2,chr01,4478494,True,1.1617907505457823e-08,7.028291067194145e-09,1.051543447396024e-08,0.0004407030750331318,1.9663066441806655e-08,5.626863137991047e-10,1.9459928966717734e-09,4.956021331275313e-05,2.806431881364942e-09,1.437270200066463e-09,8.638874907437539e-05,5.557782928737693e-09,0.9992837937618834,0.0001394912231246548,1.8427080927860987e-09
rh_chr1_4613003,"{NA2,NA2}",0.9993194320303286,0.9992708200324949,NA2,NA2,chr01,4573746,False,1.2485540116270013e-08,8.576303119154372e-09,1.2823574755598963e-08,0.00045434299486854746,1.972316645718149e-08,6.219953512090862e-10,2.3112190851874418e-09,4.211884816749817e-05,3.1549222347715553e-09,1.6106484226118925e-09,7.787982085791403e-05,5.501631875624363e-09,0.9993194320303286,0.00010615763476460826,1.8620114731196418e-09
rh_chr1_4681418,"{NA2,NA2}",0.9993380070598343,0.9992907218498225,NA2,NA2,chr01,4642062,False,1.198302616161502e-08,8.798619215563833e-09,1.3510146705159602e-08,0.0004696387386867238,1.848794946640273e-08,5.960037073864813e-10,2.3917030742960495e-09,3.597199886350912e-05,3.170705152399991e-09,1.5970227553315475e-09,7.192540845291339e-05,5.2263792202033646e-09,0.9993380070598343,8.438933442662561e-05,1.6981804412687535e-09
rh_chr1_4913189,"{NA2,NA2}",0.9993567279782914,0.9993107799767409,NA2,NA2,chr01,4876662,False,1.7871131390584033e-09,1.2319290231317359e-09,6.837927050102466e-09,0.0005618211688177766,2.254801770694484e-09,1.3820882336073562e-10,3.72872486675331e-10,9.277007090455384e-06,5.259245214926601e-10,6.31056448804469e-10,5.2547316995924264e-05,7.401962667856577e-10,0.9993567279782914,1.9611652526951674e-05,3.562479522504165e-10
rh_chr1_5045973,"{NA2,NA2}",0.9993579294972122,0.9993120673184417,NA2,NA2,chr01,5009666,False,2.1774262442061445e-09,1.093107878510228e-09,2.9588362510236188e-09,0.0005610135797839271,1.6416500639744782e-09,4.97123271630026e-11,1.758056770004071e-10,1.4759171357152575e-05,1.7416614700112394e-10,1.9314171172407896e-10,4.304216877638202e-05,3.1707599103107415e-10,0.9993579294972122,2.3246671117507613e-05,1.308305245272623e-10
rh_chr1_5191317,"{NA2,NA2}",0.9992847711663438,0.9992336833925113,NA2,NA2,chr01,5154704,False,9.264581287387247e-09,3.976526191398289e-09,6.759449358552885e-09,0.0006248551513801823,5.877518257211128e-09,1.9312874432518903e-10,6.166040439398358e-10,2.0158479992800978e-05,5.71822733175187e-10,4.25153254177905e-10,4.058062978850141e-05,1.0519379979822883e-09,0.9992847711663438,2.9605404910077366e-05,4.3086266772591775e-10
rh_chr1_5368350,"{NA2,NA2}",0.999146752722925,0.9990858064888481,NA2,NA2,chr01,5331614,False,3.0924605492183824e-08,5.3205430220884786e-09,1.9259899356013168e-08,0.0007783652284578408,7.027428426317924e-09,3.193751974010921e-10,1.2570142085042915e-09,1.4889228556371282e-05,8.081618532592403e-10,1.3452530713501406e-09,3.813683977321408e-05,1.94487369673439e-09,0.999146752722925,2.1787164708748427e-05,6.084245706306718e-10
