Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Mus,Mus}",0.9987531662422411,0.9986641066881154,Mus,Mus,chr01,89866,False,2.885682082839668e-07,0.0001294262991649206,4.674755288863062e-07,5.436065349042883e-07,4.936622714370005e-07,0.9987531662422411,0.00013331828126713103,0.0006632406632128897,0.00031644696206689036,2.8932241660417524e-07,5.442019737705753e-07,4.942674330940744e-07,3.850791083760393e-07,5.725214199474724e-07,3.2284715182334503e-07
rh_chr1_268616,"{Mus,Mus}",0.9999210925083022,0.9999154562588952,Mus,Mus,chr01,263248,False,2.997357659541849e-09,8.147241464472278e-06,4.507083315855427e-09,5.460165249608182e-09,4.898634685042359e-09,0.9999210925083022,8.384886310182239e-06,4.324260267577085e-05,1.9087476108581266e-05,3.038964203903006e-09,5.487214458257281e-09,4.924165156618298e-09,4.341560117265768e-09,5.9340444946739334e-09,3.6959494382660187e-09
rh_chr1_334737,"{Mus,Mus}",0.9999876279723009,0.9999867442560367,Mus,Mus,chr01,329439,False,7.953363982881441e-10,1.3485168644016711e-06,1.0342341277150234e-09,1.2519961713334333e-09,1.205893476885916e-09,0.9999876279723009,1.399096552692399e-06,6.469340140827761e-06,3.1436476581790947e-06,8.264436055291541e-10,1.271770090684246e-09,1.224461274052966e-09,1.1564595787115596e-09,1.4728847093739863e-09,1.1870034953311983e-09
rh_chr1_443667,"{Mus,Mus}",0.999965849376628,0.9999634100463872,Mus,Mus,chr01,438310,True,4.336812919157951e-10,7.0845731503650146e-06,5.947464357006724e-10,7.255381662280762e-10,7.26244148927708e-10,0.999965849376628,7.27076797595169e-06,1.0268886867080788e-05,9.519695213136127e-06,4.595727170311644e-10,7.425542247471789e-10,7.423292393341175e-10,6.324913175547684e-10,8.982790003932108e-10,7.447287710594979e-10
rh_chr1_547952,"{Mus,Mus}",0.9999733498072978,0.9999714462221048,Mus,Mus,chr01,544389,False,2.1310704709785245e-10,5.48683428325486e-06,3.000874277465543e-10,3.5456115412945583e-10,3.9890565438536996e-10,0.9999733498072978,5.806200436103782e-06,6.796748870824558e-06,8.55687056826807e-06,2.3456239737880883e-10,3.694721505258795e-10,4.1351218441727526e-10,3.046794051813285e-10,4.864312383415655e-10,4.632249567383775e-10
rh_chr1_631086,"{Mus,Mus}",0.9998897021380693,0.99988182371936,Mus,Mus,chr01,627268,True,3.863672162414759e-10,2.3739009144606246e-05,5.981102259673802e-10,6.439474597641427e-10,7.802978411380722e-10,0.9998897021380693,2.5253037352593837e-05,2.485352388230846e-05,3.6445782313376536e-05,4.284566641216406e-10,6.724596625611652e-10,8.102612483300932e-10,4.726314664604907e-10,8.736726221771855e-10,8.430334693987317e-10
rh_chr1_741516,"{Mus,Mus}",0.9998054287404518,0.9997915307933412,Mus,Mus,chr01,737678,True,7.383699332504788e-10,4.124057488649416e-05,1.4233518019950897e-09,1.427622813649823e-09,1.844499007920697e-09,0.9998054287404518,4.435594941077639e-05,4.2095469901877496e-05,6.686512831614744e-05,8.300741340849112e-10,1.4963251471371842e-09,1.9217493060608364e-09,8.118339158912846e-10,1.933575226916343e-09,1.7096316549608523e-09
rh_chr1_1060803,"{Mus,Mus}",0.9997351095453658,0.9997161887986062,Mus,Mus,chr01,1049416,False,7.707966081297318e-10,4.8602759515143906e-05,1.6368220202530532e-09,1.4962596454445353e-09,2.4466467325285205e-09,0.9997351095453658,5.630545833194538e-05,4.8728072604758196e-05,0.00011123569412753437,9.895786855379766e-10,1.6623462953363965e-09,2.669663272898784e-09,7.905953961919377e-10,2.45517598608314e-09,3.552170308891345e-09
rh_chr1_1170229,"{Mus,Mus}",0.999821956229827,0.9998092388176717,Mus,Mus,chr01,1140710,False,1.935854979880439e-10,2.4619837837457266e-05,4.755435874375094e-10,4.126087558236549e-10,8.313207700245916e-10,0.999821956229827,3.1171033641667e-05,2.5197705628482704e-05,9.704791680021418e-05,3.101716928837446e-10,4.96857064440575e-10,9.504697053045865e-10,2.0759833855704418e-10,8.359876102419453e-10,2.562122284484316e-09
rh_chr1_1304008,"{Mus,Mus}",0.9998459380009541,0.9998349335724508,Mus,Mus,chr01,1265000,False,9.659919003682149e-11,1.1650456627721534e-05,2.7566882038520406e-10,2.1786032702581075e-10,3.2302739378823427e-10,0.9998459380009541,1.8885664896578675e-05,1.2713986092929513e-05,0.00011080567042365906,2.2657217570398762e-10,3.105471573689105e-10,4.574142453017576e-10,1.1379055140375013e-10,3.276126115341515e-10,3.8719125529796345e-09
rh_chr1_1400565,"{Mus,Mus}",0.999887239718813,0.9998791854130139,Mus,Mus,chr01,1361620,False,3.961971907870494e-11,8.559222448602228e-06,1.205515296975939e-10,8.87712025933928e-11,2.2408116223087043e-10,0.999887239718813,1.9276570959235386e-05,1.0645971079597656e-05,7.427535065906861e-05,1.5684362827095516e-10,1.630976388091419e-10,4.982026540795221e-10,5.108702270739624e-11,2.7776030151010095e-10,1.546025593332262e-09
rh_chr1_1482273,"{Mus,Mus}",0.9998478561358255,0.9998369887169559,Mus,Mus,chr01,1441962,False,1.237856540702227e-10,1.4581331318882511e-05,3.468580018653541e-10,2.632411096692769e-10,7.002770760760267e-10,0.9998478561358255,3.753268518393488e-05,1.9430424569592915e-05,8.05921459313584e-05,5.443845123132309e-10,5.017728500222547e-10,1.777571766690506e-09,1.601765364569524e-10,9.311276786891686e-10,1.9279754495551117e-09
rh_chr1_1623606,"{Mus,Mus}",0.9998009715659569,0.9997867552492395,Mus,Mus,chr01,1583376,True,4.3949679801126745e-10,3.189588147886574e-05,1.21668917869905e-09,9.209791075584653e-10,2.0210155131695147e-09,0.9998009715659569,4.937158449294507e-05,3.558807807697928e-05,8.215800813126863e-05,9.242458346220458e-10,1.3826581225615556e-09,3.0320572503516712e-09,5.096954093622534e-10,2.2367196616107922e-09,2.1983063116689803e-09
rh_chr1_1879893,"{Mus,Mus}",0.9998454935061286,0.9998344573279949,Mus,Mus,chr01,1839399,True,3.9966279578929107e-10,3.0776997712983714e-05,1.0399304348584606e-09,8.810555642099357e-10,1.4394977743759898e-09,0.9998454935061286,3.8456344549852854e-05,3.239942217524512e-05,5.286355462187034e-05,5.847632685831142e-10,1.1011839872962984e-09,1.7781111334361497e-09,4.32131679582127e-10,1.5114777119774732e-09,1.0069968751919222e-09
rh_chr1_1999515,"{Mus,Mus}",0.9999234338179518,0.9999179648049483,Mus,Mus,chr01,1959058,False,1.3167068631304923e-10,1.5913587288839225e-05,4.068185626145166e-10,3.5510965128581904e-10,5.352918050544543e-10,0.9999234338179518,1.9071688953006787e-05,1.6580765827903392e-05,2.4996479929119235e-05,1.814429939958509e-10,4.254076570462057e-10,6.356323669388194e-10,1.4071982738644057e-10,5.566004272278665e-10,2.9135540745758076e-10
rh_chr1_2145831,"{Mus,Mus}",0.9999949451081349,0.9999945840444303,Mus,Mus,chr01,2106048,False,9.227937178763065e-12,1.1094167385000155e-06,2.6468927539721602e-11,2.3960351387318966e-11,3.261402175109234e-11,0.9999949451081349,1.2604467102344554e-06,1.141247267375827e-06,1.543552961788125e-06,1.165410665475219e-11,2.729766069092412e-11,3.695253298720641e-11,9.687382919639739e-12,3.353317611457685e-11,1.6791101632294214e-11
rh_chr1_2306205,"{Mus,Mus}",0.999991700431993,0.9999911076057069,Mus,Mus,chr01,2265211,False,1.8912164562502442e-12,2.0459489898157837e-06,3.79802303347372e-12,3.69040589630449e-12,4.056372620408187e-12,0.999991700431993,2.074987087609513e-06,2.0513438924045507e-06,2.1272563917116896e-06,1.983785502902318e-12,3.83029840165282e-12,4.224560123599629e-12,1.9080423729051758e-12,4.091110537731838e-12,2.1715264882129527e-12
rh_chr1_2424927,"{Mus,Mus}",0.9999985007181798,0.9999983936266211,Mus,Mus,chr01,2384046,False,1.4744777556964798e-12,3.727054672309302e-07,3.257653320025171e-12,3.24180747602682e-12,3.292856045884369e-12,0.9999985007181798,3.7714039399737203e-07,3.7120456132800617e-07,3.7820582506448403e-07,1.4792602715200278e-12,3.2566544225993615e-12,3.308775949920171e-12,1.4684213999823371e-12,3.2913764272827883e-12,1.5012335120348392e-12
rh_chr1_2618562,"{Mus,Mus}",0.9999989305967536,0.9999988542108075,Mus,Mus,chr01,2577582,False,9.288582918031456e-13,3.1314299694729393e-07,1.46553725408765e-12,1.456832340671672e-12,1.4349733936896494e-12,0.9999989305967536,2.525325497010301e-07,2.5172403380743866e-07,2.519911416379428e-07,9.92500631975737e-13,1.499947398311462e-12,1.4473464824207844e-12,9.53438170271506e-13,1.43976144142675e-12,9.051934592564978e-13
rh_chr1_2718543,"{Mus,Mus}",0.9999981644998938,0.9999980333927433,Mus,Mus,chr01,2677534,False,2.1546758143967904e-12,4.561701966809361e-07,3.052681858728598e-12,2.97261246733368e-12,2.7221704648353403e-12,0.9999981644998938,4.751807986644362e-07,4.6468463610936946e-07,4.394371736109925e-07,2.895877995446955e-12,3.461084124851297e-12,2.8379965963700943e-12,2.4706313493982434e-12,2.7727818858154593e-12,1.9604863587258364e-12
rh_chr1_2822616,"{Mus,Mus}",0.9999616564142072,0.9999589175866506,Mus,Mus,chr01,2781082,True,4.7361084909302927e-11,9.36726469943127e-06,6.997787946548095e-11,6.749213215984947e-11,5.937608278208022e-11,0.9999616564142072,1.0119452871091374e-05,9.818059332650783e-06,9.038174307449654e-06,7.537864610302436e-11,8.64956312059958e-11,6.422197228698181e-11,5.978486389953768e-11,6.224696040778131e-11,4.2247092169232265e-11
rh_chr1_2955463,"{Mus,Mus}",0.999954390789949,0.999951132989231,Mus,Mus,chr01,2913710,True,6.895974984132888e-11,1.090511214535808e-05,1.509985171447064e-10,1.406452571950221e-10,1.0455733203911034e-10,0.999954390789949,1.2603330408147437e-05,1.1926570972216209e-05,1.0172916611931845e-05,1.727141474097495e-10,2.368642444881314e-10,1.2324938334901172e-10,1.1320082872236502e-10,1.1568139456746017e-10,5.3042253101805655e-11
rh_chr1_3008587,"{Mus,Mus}",0.9999639457164677,0.9999613704105011,Mus,Mus,chr01,2966940,True,5.922877677208113e-11,8.404059473616596e-06,1.5804473081870308e-10,1.4411008656592486e-10,9.372492542113934e-11,0.9999639457164677,1.0483944445476963e-05,9.655742052615718e-06,7.509214433678107e-06,1.9840948128516193e-10,2.8715934651057743e-10,1.175019677320569e-10,1.1742619554074971e-10,1.0785050295564676e-10,3.9670744102129774e-11
rh_chr1_3077430,"{Mus,Mus}",0.999986756086823,0.9999858100930246,Mus,Mus,chr01,3035452,False,4.5676612750596225e-11,2.5563866366296436e-06,1.3891740602005428e-10,1.2120810332247547e-10,5.304738600514459e-11,0.999986756086823,5.129404203613643e-06,4.105525522496378e-06,1.4513729507847725e-06,2.3650882834034953e-10,3.3383330909946453e-10,8.007949966179438e-11,1.2320429970758542e-10,6.903287111368281e-11,2.23551578997984e-11
rh_chr1_3142598,"{Mus,Mus}",0.9999257013912373,0.9999203943477543,Mus,Mus,chr01,3100650,False,1.2012199237404648e-10,1.3963105847297613e-05,3.1020169547671916e-10,2.7090610924810837e-10,1.1050704363354862e-10,0.9999257013912373,2.9688349604313436e-05,2.3431701245747972e-05,7.212412931831786e-06,7.029605341365851e-10,8.10864523856551e-10,1.63404068772777e-10,3.5158140279835793e-10,1.4158771325881932e-10,5.699853587706361e-11
