Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9349204786346106,0.9302719413942256,Vv,Vv,chr01,89866,False,1.8934813220402887e-06,7.1755204936649165e-06,5.210736253507975e-06,9.64578953451688e-06,0.006068559488388705,7.629709276259442e-06,1.3814522572258098e-05,1.211108017824057e-05,0.015280441262803994,7.723981234185061e-06,1.6815949544925362e-05,0.01823645250264804,1.4087903338461478e-05,0.02539795943780067,0.9349204786346106
rh_chr1_268616,"{Vv,Vv}",0.946207975770846,0.9423656883259065,Vv,Vv,chr01,263248,False,2.847677165616134e-07,1.2522448280638134e-06,1.2406145704808597e-06,1.801071375588404e-06,0.003848367089092962,1.4513122990207422e-06,3.9366819154220686e-06,2.6632075327165983e-06,0.01166531217162856,1.7847011586453195e-06,5.311159905415159e-06,0.016164669118955963,2.96504690786106e-06,0.022090985041266737,0.946207975770846
rh_chr1_334737,"{Vv,Vv}",0.951152446300469,0.9476633353219311,Vv,Vv,chr01,329439,False,3.9155219682734525e-08,3.115263127041139e-07,1.8292138768426082e-07,3.5760566508153103e-07,0.003126837254530745,3.272422037798951e-07,9.560256507753355e-07,8.420417645807342e-07,0.010527937796133898,2.473122673675076e-07,9.833200357514797e-07,0.014173688501698142,6.205217653724768e-07,0.021014222474895403,0.951152446300469
rh_chr1_443667,"{Vv,Vv}",0.9569486750335168,0.9538735803930537,Vv,Vv,chr01,438310,False,1.0087632269858673e-08,7.307196687337515e-08,4.8936513555693e-08,1.9525958369200862e-07,0.0023088533880726825,6.31820091012338e-08,1.5951190764080924e-07,3.5409572799903967e-07,0.008947387468581324,4.211492003693509e-08,4.216674474929599e-07,0.011942410401834889,3.2540701200301577e-07,0.01985098037327363,0.9569486750335168
rh_chr1_547952,"{Vv,Vv}",0.9612213975233413,0.9584514973464372,Vv,Vv,chr01,544389,False,3.950881411945658e-09,3.298360149212104e-08,3.15476720224751e-08,1.0152955734789589e-07,0.0016775122012161945,2.3512212350302635e-08,4.57007474771447e-08,1.221256118820851e-07,0.00792057047262971,1.5904755107706675e-08,1.2565485616241386e-07,0.01027088960019893,8.468373445304398e-08,0.018909042608984128,0.9612213975233413
rh_chr1_631086,"{Vv,Vv}",0.96313576867082,0.9605026092901643,Vv,Vv,chr01,627268,False,7.541749714918256e-09,7.345406688315246e-08,8.19755400185259e-08,2.071974714461078e-07,0.0014403214598474766,2.130229605811138e-08,5.478466303692956e-08,1.48710144231945e-07,0.0071510341854470125,2.4073428058272072e-08,1.6315285089725175e-07,0.009652704029585858,8.645180498921463e-08,0.01861930301028437,0.96313576867082
rh_chr1_741516,"{Vv,Vv}",0.9713745994528481,0.9693299279851944,Vv,Vv,chr01,737678,False,4.635869757935689e-09,3.611217037970574e-08,4.788642943655247e-08,1.0518487500205402e-07,0.00117754447240782,1.1468838373776462e-08,4.2303421689577526e-08,8.008402806544781e-08,0.004925898013064006,2.273196714654119e-08,1.0942991288349064e-07,0.007703507225662107,5.506143802707643e-08,0.014817935937067274,0.9713745994528481
rh_chr1_1060803,"{Vv,Vv}",0.9869268592931152,0.9859930635283377,Vv,Vv,chr01,1049416,False,1.087406917296749e-08,1.9366917684598862e-08,8.604481121631268e-08,1.541477500775829e-07,0.0006259447221729583,5.585962035510347e-09,3.4867980416189683e-08,4.9622623560894434e-08,0.0008920810995150989,7.140127774363612e-08,2.3342481236878358e-07,0.0039931860344887184,1.256465459721159e-07,0.007561137867957775,0.9869268592931152
rh_chr1_1170229,"{Vv,Vv}",0.991818478038039,0.9912340836121847,Vv,Vv,chr01,1140710,False,2.985217815016057e-09,5.397466782140734e-09,2.5073154851485083e-08,4.4028080150287495e-08,0.000364319497210054,1.91448908105614e-09,1.3031879994999859e-08,1.7643626213341483e-08,0.0004842844162178022,2.8031345264517446e-08,7.813762365168823e-08,0.002542324194214643,4.083428182449719e-08,0.004790336777152906,0.991818478038039
rh_chr1_1304008,"{Vv,Vv}",0.9954427158386334,0.995117195541393,Vv,Vv,chr01,1265000,False,1.9878814097310698e-09,4.261568487916412e-09,1.6330915756890555e-08,2.7568596404499076e-08,0.0002184746164502243,2.1271558955689844e-09,1.3420615469225379e-08,2.0809548646605424e-08,0.0003075757224716873,1.6730059202331287e-08,4.56039927737767e-08,0.001443986518179224,2.4469845947023844e-08,0.0025870739940854646,0.9954427158386334
