Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA1,NA1}",0.9659818972108593,0.9635520327259206,NA1,NA1,chr01,89866,False,3.2484889814138715e-05,2.910941949917107e-05,0.007142883471397775,6.0463630065719725e-05,2.78616998313016e-05,1.876705911197419e-05,0.005196470154328293,4.6867528905024856e-05,2.12614236919992e-05,0.9659818972108593,0.016115404383262075,0.0051891858357659415,7.55253327761033e-05,4.384564471600225e-05,1.797231597542181e-05
rh_chr1_268616,"{NA1,NA1}",0.9736365385387026,0.9717534341486099,NA1,NA1,chr01,263248,False,1.6367634608497711e-06,1.2088754349107828e-06,0.0049659690273061805,5.177807983264659e-06,1.1511905793691271e-06,7.513406591340526e-07,0.0034504265184248733,3.5239703795703923e-06,7.551053106539046e-07,0.9736365385387026,0.01433579842039034,0.0035844847123242406,8.825838518350374e-06,3.0427255940437103e-06,7.091649316119577e-07
rh_chr1_334737,"{NA1,NA1}",0.975834265966132,0.97410814210657,NA1,NA1,chr01,329439,False,4.750591563676005e-07,2.625851147254836e-07,0.004314310247839414,1.4247486001794064e-06,2.888793496186674e-07,9.520433167695678e-08,0.0029231489731458373,5.770163584132336e-07,1.0997367260653372e-07,0.975834265966132,0.0137428345873759,0.0031795862700617077,1.9429495132218146e-06,5.643758005406165e-07,1.1316354798379799e-07
rh_chr1_443667,"{NA1,NA1}",0.9792671683407843,0.9777862517936975,NA1,NA1,chr01,438310,False,2.476720670802723e-07,1.3621791037342363e-07,0.003273142515943324,8.71083518076702e-07,1.7940437024120926e-07,4.6936928313072565e-08,0.00212653016256312,3.4981812539347954e-07,6.88658511964924e-08,0.9792671683407843,0.01279387934471021,0.0025355842927054155,1.3392294912506076e-06,3.8633706615463375e-07,6.977796541608986e-08
rh_chr1_547952,"{NA1,NA1}",0.9823205589226636,0.9810577417028539,NA1,NA1,chr01,544389,False,6.515068538073749e-08,3.8339048867897254e-08,0.0022439617363299784,2.8408143621628373e-07,5.410656583745272e-08,1.9684316066912778e-08,0.001634611908648533,1.7146834461691102e-07,2.42754525167701e-08,0.9823205589226636,0.011902551022176725,0.001896755671426884,7.434981674333397e-07,1.3811988338624638e-07,2.2014853896538024e-08
rh_chr1_631086,"{NA1,NA1}",0.984089216741541,0.9829527322230797,NA1,NA1,chr01,627268,False,4.9082588005365263e-08,4.469157155837927e-08,0.0015730391894152027,2.3711330239036686e-07,5.675273430734498e-08,2.7960456741910358e-08,0.0014391986865458968,2.655260041090189e-07,3.708660597143734e-08,0.984089216741541,0.011341827624024862,0.0015550427029081785,7.781445772318176e-07,1.5429844625536238e-07,2.4399278370620115e-08
rh_chr1_741516,"{NA1,NA1}",0.9853349230760958,0.9842874175815313,NA1,NA1,chr01,737678,True,5.488811577021946e-08,7.091892465469027e-08,0.0014027381440710023,3.4536032548216803e-07,9.35232663954461e-08,3.079804167796231e-08,0.0011651751812154847,3.255906843988079e-07,7.434744810425637e-08,0.9853349230760958,0.010579628253971766,0.0015154146063441946,7.650184002275732e-07,3.1842251858894253e-07,4.1870576404175914e-08
rh_chr1_1060803,"{NA1,NA1}",0.9890526288468715,0.9882706737645052,NA1,NA1,chr01,1049416,False,2.4695974548189397e-08,1.535045718440229e-08,0.0008662451964126275,1.9713394984956086e-07,5.5463984461850684e-08,4.658334874367672e-09,0.00033811282727152787,6.84501752309113e-08,2.0286460556612354e-08,0.9890526288468715,0.008395744026672373,0.001346243434724823,3.599981861075411e-07,2.4568549031220885e-07,3.394503424849986e-08
rh_chr1_1170229,"{NA1,NA1}",0.9899567874874584,0.989239415165134,NA1,NA1,chr01,1140710,False,1.0749693795693207e-08,9.739951331009897e-09,0.0006912764316837893,8.961670107597135e-08,2.5423370550045853e-08,2.9854777309446683e-09,0.00029013804560597744,4.877903249713445e-08,1.2715184927736513e-08,0.9899567874874584,0.007742962897417538,0.0013182826502038236,1.7676715608599043e-07,1.522932481234488e-07,2.341781440837192e-08
rh_chr1_1304008,"{NA1,NA1}",0.990269878695352,0.9895748700307343,NA1,NA1,chr01,1265000,False,3.826205747982711e-09,9.05247104798547e-09,0.0006809178641060974,4.4104107803407223e-08,1.0781145924844966e-08,2.94851073307774e-09,0.0003353745247588535,5.971230771526792e-08,1.2120574053562806e-08,0.990269878695352,0.007398894702792466,0.0013146752482785372,5.110441209996336e-08,5.781066391265512e-08,7.504312897622927e-09
