Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9456086922973956,0.9417235988900667,Vv,Vv,chr01,89866,True,0.00012183564175872246,0.00012332876953762958,0.0001288731271074224,0.00014574421126789996,0.014320433034945835,7.083409738823756e-05,0.00011824483154215916,0.00015863022434738742,0.009051439982381506,0.00011909377896487637,0.00014521938361792148,0.014437687943988848,0.00014757230178905135,0.015302370373966924,0.9456086922973956
rh_chr1_268616,"{Vv,Vv}",0.9537464434990115,0.9504426180346551,Vv,Vv,chr01,263248,True,6.097101193838157e-05,7.011113376392929e-05,6.382677427300213e-05,7.904407851394788e-05,0.012457557457307514,3.255936361223156e-05,6.465326911967347e-05,0.00010400289574028759,0.0070618164653990035,5.771645072553052e-05,7.826514882304668e-05,0.012577653804819466,8.241362939098163e-05,0.013462965017561444,0.9537464434990115
rh_chr1_334737,"{Vv,Vv}",0.9568943668233792,0.9538153930250493,Vv,Vv,chr01,329439,True,4.074307682230924e-05,5.368759486544131e-05,4.275123879299897e-05,5.7315771576764404e-05,0.011727462330241011,2.1039439713407317e-05,4.808344776357264e-05,8.701984586107896e-05,0.006282659493173885,3.7290848045585304e-05,5.6437003603387244e-05,0.01184865867503138,6.0530544297805366e-05,0.012741953866832014,0.9568943668233792
rh_chr1_443667,"{Vv,Vv}",0.9621508876054458,0.9594473795772633,Vv,Vv,chr01,438310,False,9.924980226921952e-06,2.8104912231228247e-05,9.36406971003333e-06,2.2831058738439533e-05,0.010502571174803762,4.6622413931459215e-06,2.2256140644035404e-05,6.0493299635793294e-05,0.004976257703786091,6.144814881344419e-06,2.1784892230801967e-05,0.010625595170859694,2.6968192436788215e-05,0.011532153742976085,0.9621508876054458
rh_chr1_547952,"{Vv,Vv}",0.9660572290689257,0.9636327454309918,Vv,Vv,chr01,544389,False,2.8700649747306172e-06,2.3950524463164357e-05,3.15720402172947e-06,7.556909136293844e-06,0.009537229320245238,2.200782531251559e-06,1.9061763699750814e-05,5.0984241660936154e-05,0.0040975939145040455,1.8119606465407763e-06,7.217003888588588e-06,0.009674578900488569,7.741412604059979e-06,0.010506816928209336,0.9660572290689257
rh_chr1_631086,"{Vv,Vv}",0.9703361220407365,0.9682172736150748,Vv,Vv,chr01,627268,True,2.3047167126416772e-06,1.9739929144372358e-05,2.8051358574739704e-06,6.411171404106816e-06,0.008259195505372153,1.8625024614434132e-06,1.579136870969276e-05,4.181192046069198e-05,0.0036971474821840783,1.5018778001194241e-06,6.144434248377743e-06,0.008434460246854104,6.13251300777372e-06,0.009168569155046415,0.9703361220407365
rh_chr1_741516,"{Vv,Vv}",0.9760891589964883,0.9743812417819517,Vv,Vv,chr01,737678,True,1.6171729741204796e-06,1.4640341091185677e-05,2.2767418660937697e-06,4.93121559549059e-06,0.006545137225030897,1.4129584697519479e-06,1.1796910065723488e-05,3.0798235431567795e-05,0.003143737938866791,1.0996761621882092e-06,4.7479135949125855e-06,0.0067709647221578205,4.2378268159151216e-06,0.007373442125389279,0.9760891589964883
rh_chr1_1060803,"{Vv,Vv}",0.9926925745361438,0.9921706155744398,Vv,Vv,chr01,1049416,False,6.141067395284185e-08,6.83465222727414e-07,9.39045188761066e-08,1.6879261626388123e-07,0.0016284082368910396,1.7852187663590494e-07,6.721240822580801e-07,1.464026053841707e-06,0.001455442251513015,7.304375370268824e-08,1.9833949672754425e-07,0.001997461753680688,1.7702709696161829e-07,0.0022223425663794546,0.9926925745361438
rh_chr1_1170229,"{Vv,Vv}",0.9955730944223063,0.9952568868810425,Vv,Vv,chr01,1140710,False,2.5730506440364153e-08,2.3939026659888134e-07,4.3888959026240055e-08,7.301303971754766e-08,0.0009047725925638069,7.432185601613128e-08,2.795754418588497e-07,5.30504799355422e-07,0.0007674479590930326,4.657688810751013e-08,1.0161197896634681e-07,0.0012954281779755383,8.519810553572015e-08,0.0014577570362196864,0.9955730944223063
rh_chr1_1304008,"{Vv,Vv}",0.9971323530169218,0.9969275210895591,Vv,Vv,chr01,1265000,False,1.3931914113889584e-08,1.090992745736728e-07,2.4929346190959464e-08,3.544038813831168e-08,0.0005982425445704213,4.16498755973673e-08,1.2442186888656757e-07,2.209361530322536e-07,0.0005774275438096248,2.293251066372332e-08,4.602242966473058e-08,0.0008098438730444435,3.648440360540671e-08,0.0008814571734892409,0.9971323530169218
