Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA1,NA2}",0.9540202546403885,0.950735987114702,NA1,NA2,chr01,89866,False,4.9629933667802105e-05,5.96657706265869e-05,0.004716866200692123,0.00661453333003726,3.8116854005340646e-05,3.0375070544830895e-05,0.004015142763125282,0.0048561179086287765,4.192804454732291e-05,0.004928449052418779,0.9540202546403885,0.0028566854391046475,0.013218741472068965,0.004533929292941665,1.956422720215985e-05
rh_chr1_268616,"{NA1,NA2}",0.9712245391473743,0.9691691490864724,NA1,NA2,chr01,263248,False,1.9805209707853084e-05,3.202029660177379e-05,0.0037179550510957385,0.004560551451740633,1.3021720297555143e-05,8.001657235297122e-06,0.0030393093697357325,0.002845341233411964,2.0709703228471922e-05,0.0028001170942754837,0.9712245391473743,0.0018618520224991898,0.007305156617801654,0.0025487439178501327,2.8755071442567246e-06
rh_chr1_334737,"{NA1,NA2}",0.9810254134421938,0.979670085830922,NA1,NA2,chr01,329439,False,9.460017285446452e-06,1.4749096147658593e-05,0.002920892554358739,0.0025971629283082697,5.6833145057076146e-06,3.0390087523771203e-06,0.002421540143993592,0.001462037675674675,8.017313254145362e-06,0.002321632558845964,0.9810254134421938,0.0014220532121527617,0.004554062707559335,0.0012332026762639382,1.053350703454339e-06
rh_chr1_443667,"{NA1,NA2}",0.9866403868439975,0.9856861287614258,NA1,NA2,chr01,438310,False,4.1765545091924425e-06,7.040103162880883e-06,0.00218872583192794,0.0015676599244731529,2.4536808882761857e-06,1.3011127350622068e-06,0.0018694344124664272,0.0009256840388357422,3.642660867846685e-06,0.0018902781982910078,0.9866403868439975,0.0010209485608598987,0.0031652646110878696,0.0007125638123233771,4.396535741109463e-07
rh_chr1_547952,"{NA1,NA2}",0.9919024719607394,0.9913240771007923,NA1,NA2,chr01,544389,False,1.0954936807296e-06,1.6199586581204876e-06,0.0018759942654024311,0.000500921756230988,6.105357320881092e-07,2.958367568715096e-07,0.0015523384585438137,0.00022994141674117548,8.048108975000908e-07,0.001746922904219888,0.9919024719607394,0.000868633003283016,0.001121494293505097,0.00019675472383296985,1.005817758753064e-07
rh_chr1_631086,"{NA1,NA2}",0.9930309365979058,0.992533146354899,NA1,NA2,chr01,627268,True,7.00503311999836e-07,1.1050063192264335e-06,0.0016135805871611243,0.00038309202868234494,4.168001408269403e-07,2.0255496729926343e-07,0.0013900822625562384,0.0001823365638909374,5.500496675047562e-07,0.0015813096335365287,0.9930309365979058,0.0007649027479540957,0.0008993133254086847,0.00015140289812173686,6.844037571728181e-08
rh_chr1_741516,"{NA1,NA2}",0.9945762386953385,0.9941888271735769,NA1,NA2,chr01,737678,False,2.8785864696044907e-07,5.201505260496655e-07,0.0012607444344121294,0.00022163596101524988,1.8514429760018761e-07,8.96807029337562e-08,0.0011699303980454464,0.00011401366352954303,2.53785100522197e-07,0.0013513909094081758,0.9945762386953385,0.0006220491082806621,0.0005963405688210186,8.629189066864676e-05,2.7751206246752418e-08
rh_chr1_1060803,"{NA1,NA2}",0.9971529549385132,0.9969495945769784,NA1,NA2,chr01,1049416,False,7.345757986304411e-08,2.1879492547538873e-07,0.0005037242977923495,0.00011667547860080634,6.399950555444442e-08,4.659237664508395e-08,0.0007121948679080167,8.569052258299984e-05,1.2949323732027366e-07,0.0007279441766764219,0.9971529549385132,0.0003088699482571556,0.00034145797793933545,4.994355978107063e-05,1.1894323698263524e-08
rh_chr1_1170229,"{NA1,NA2}",0.9976326553154617,0.9974635592665662,NA1,NA2,chr01,1140710,False,4.258228363173705e-08,1.759761970528598e-07,0.0003901460373940776,7.850109534323049e-05,4.110542981450399e-08,3.328820323679764e-08,0.0006674894044442586,7.540265259009781e-05,1.1040931878970771e-07,0.0006402417473906349,0.9976326553154617,0.0002660419447614655,0.00021582644926430454,3.328618609495666e-05,5.805822602005701e-09
rh_chr1_1304008,"{NA1,NA2}",0.9981929909154488,0.9980639188379808,NA1,NA2,chr01,1265000,False,1.841449670958612e-08,1.2616551574413518e-07,0.000275451821660724,4.7018102078210864e-05,1.7071945755370656e-08,2.312007702387332e-08,0.0006311288712599392,5.9790776583849176e-05,5.594707335928178e-08,0.0005131201095619955,0.9981929909154488,0.0001631623887596076,0.00010450045617065163,1.2594346102057353e-05,1.4932656977037537e-09
