Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9900536856738169,0.9893432346505181,Vv,Vv,chr01,89866,True,1.1291576014041663e-05,1.485167089301659e-05,1.4980117864391304e-05,1.5154343325085966e-05,0.002800241762252163,8.575611546871054e-06,1.3788102001552825e-05,1.390306010715773e-05,0.0022997450400735423,8.781919120274093e-06,1.400788390803438e-05,0.0023354560388183215,9.024589530550047e-06,0.00238651261072799,0.9900536856738169
rh_chr1_268616,"{Vv,Vv}",0.9987737026656689,0.9986861099989309,Vv,Vv,chr01,263248,False,9.781778650164429e-07,6.306625272402689e-07,6.827154734321587e-07,7.476848972088657e-07,0.0006580601538398268,4.3846992984776885e-07,5.751518885428402e-07,5.792962656968995e-07,0.00014552493097149224,4.893521202693102e-07,6.071051664991573e-07,0.00018209473247070052,5.095396426758307e-07,0.00023437936127258666,0.9987737026656689
rh_chr1_334737,"{Vv,Vv}",0.9990493831205971,0.9989814819149254,Vv,Vv,chr01,329439,True,6.611899887164525e-07,4.1860506862730844e-07,4.5828208755032625e-07,5.083892138516279e-07,0.0005092898197504075,2.6800441689402104e-07,3.7579750779857586e-07,3.7838790113006635e-07,0.00011293627358077784,3.099527251518942e-07,4.00593741762032e-07,0.00014225138456871864,3.243793980254495e-07,0.00018203581945351176,0.9990493831205971
rh_chr1_443667,"{Vv,Vv}",0.9995299148504444,0.9994963373397618,Vv,Vv,chr01,438310,False,2.832177499287199e-07,1.2494470889343702e-07,1.4646221219709322e-07,1.760918619138371e-07,0.00025821846246498655,7.325277919072252e-08,1.0367906424346877e-07,1.0367624605555647e-07,5.210725322759813e-05,1.0100832961151153e-07,1.1692716500987802e-07,6.955101804731631e-05,1.0791401247330234e-07,8.887124168611773e-05,0.9995299148504444
rh_chr1_547952,"{Vv,Vv}",0.9995989043727408,0.9995702546850794,Vv,Vv,chr01,544389,True,2.1377861914799219e-07,8.12515215786367e-08,9.901428500779791e-08,1.2575834011088346e-07,0.00021624788038331817,4.1484924435602985e-08,6.427473746067338e-08,6.363070070312141e-08,4.5916814763593906e-05,6.469626499774629e-08,7.433561752126262e-08,6.203138355771611e-05,6.993764916239204e-08,7.600138589450174e-05,0.9995989043727408
rh_chr1_631086,"{Vv,Vv}",0.9996729103865759,0.9996495468427599,Vv,Vv,chr01,627268,True,1.7067295373957122e-07,5.439100148939856e-08,6.946943184048693e-08,9.462816133663246e-08,0.00017854748453610404,2.3849247715692958e-08,4.1290804585446574e-08,4.024362013947791e-08,3.5967144237401926e-05,4.356976759319598e-08,4.8984149182538977e-08,5.106362489799078e-05,4.787548121787506e-08,6.087638513376328e-05,0.9996729103865759
rh_chr1_741516,"{Vv,Vv}",0.9997989731419488,0.9997846140806594,Vv,Vv,chr01,737678,False,1.2644613682488837e-07,2.4656462000992512e-08,3.631081188507256e-08,5.995049696738956e-08,0.00012161280884437697,8.814364660742742e-09,1.7297574420160913e-08,1.5800361177406682e-08,1.5737653880272138e-05,2.3950396341337817e-08,2.1899604443853712e-08,2.9505113516729385e-05,2.746778109507238e-08,3.3808687820078514e-05,0.9997989731419488
rh_chr1_1060803,"{Vv,Vv}",0.9995385849291364,0.999505626709789,Vv,Vv,chr01,1049416,True,1.1901289788607838e-07,1.1425528017460793e-08,2.332929710702434e-08,5.514516054109321e-08,0.0002489107777265261,3.763589225505664e-09,8.979494267030196e-09,6.678667031385447e-09,3.488040493960797e-05,1.7422758120464757e-08,1.1384345281356084e-08,8.890449282559178e-05,2.1455118332296462e-08,8.844079851615997e-05,0.9995385849291364
rh_chr1_1170229,"{Vv,Vv}",0.9995095736412949,0.9994745431871017,Vv,Vv,chr01,1140710,False,1.1763043747171753e-07,7.420101396302507e-09,1.969172256208828e-08,5.6007497620162573e-08,0.00027464783716475125,2.9144429628226513e-09,7.547736504917666e-09,4.8280681216852615e-09,2.8491942480414766e-05,1.5922278440626405e-08,9.02318762822345e-09,9.444513171437108e-05,2.0226898868787076e-08,9.258023497393992e-05,0.9995095736412949
rh_chr1_1304008,"{Vv,Vv}",0.9995375216113913,0.9995044874407764,Vv,Vv,chr01,1265000,True,8.635276747746664e-08,6.9266478844367515e-09,2.2358387548005146e-08,3.7661559012824256e-08,0.00024787393432013495,2.2160067918577555e-09,5.727631871920952e-09,4.4822848250180866e-09,2.5876977522820567e-05,1.45415204389852e-08,7.960718900568727e-09,0.00012188401718797721,1.3966248219222608e-08,6.664126580468547e-05,0.9995375216113913
