Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9977731221282713,0.9976140594231478,Vv,Vv,chr01,89866,False,2.3096768499346745e-06,2.8795091239007694e-06,2.8883850232611857e-06,2.9654090770798064e-06,0.0006341116834634286,1.707447143913951e-06,2.620566331074646e-06,2.6785009954346263e-06,0.0005116366825279014,1.7207669733609792e-06,2.68594033227407e-06,0.0005151174523859647,1.8410829540571875e-06,0.0005417147685470716,0.9977731221282713
rh_chr1_268616,"{Vv,Vv}",0.9995586870041113,0.9995271646472621,Vv,Vv,chr01,263248,False,3.2054331286094296e-07,2.528990189449232e-07,2.555093668653523e-07,2.848433218432875e-07,0.00019650035863410565,1.6429904428195308e-07,2.0961255320482417e-07,2.193384596796993e-07,6.921869628292872e-05,1.6490609779045225e-07,2.2047321365080702e-07,7.283608128472154e-05,1.882086113198139e-07,0.00010047722668653472,0.9995586870041113
rh_chr1_334737,"{Vv,Vv}",0.99964112721046,0.9996154934397785,Vv,Vv,chr01,329439,True,2.0332822458123393e-07,1.574854585366475e-07,1.5914632720389267e-07,1.806640428095967e-07,0.00016282167178094888,9.243995351808155e-08,1.2712442587952537e-07,1.3454788680845457e-07,5.580325325674969e-05,9.279241828747468e-08,1.3532451639338796e-07,5.850158017139347e-05,1.1001026666521812e-07,8.03534208101895e-05,0.99964112721046
rh_chr1_443667,"{Vv,Vv}",0.999801850381299,0.9997876968371061,Vv,Vv,chr01,438310,False,5.562275265222981e-08,2.3749782453930347e-08,2.408854197032875e-08,3.4246386958336675e-08,0.00010118826537298568,1.0181074595189072e-08,1.4873255868429792e-08,1.8527608317561082e-08,2.7322354016674784e-05,1.0213273888842902e-08,1.880037077112742e-08,2.8516112768551542e-05,1.8681455300159346e-08,4.089390204006176e-05,0.999801850381299
rh_chr1_547952,"{Vv,Vv}",0.9998960611003104,0.9998886368931897,Vv,Vv,chr01,544389,False,3.6834158340240464e-08,8.955797985027112e-09,9.150950945028261e-09,1.589971689807412e-08,6.777713777803353e-05,3.2387646383315483e-09,4.685490824809324e-09,6.3497100457010075e-09,9.487791064610634e-06,3.237117341853123e-09,6.573557929464057e-09,9.871270609047583e-06,8.381440097522116e-09,1.6699393532887193e-05,0.9998960611003104
rh_chr1_631086,"{Vv,Vv}",0.9999086923722398,0.9999021703988283,Vv,Vv,chr01,627268,False,2.837592456005242e-08,3.927220270445384e-09,4.073495146410321e-09,9.566851458646774e-09,6.879380098530416e-05,1.7659124931493575e-09,2.620980527372386e-09,3.6327501132086884e-09,5.157821621606982e-06,1.7502302741700925e-09,3.847029771855966e-09,5.354613129702475e-06,5.667904010735732e-09,1.1936163725039754e-05,0.9999086923722398
rh_chr1_741516,"{Vv,Vv}",0.9998958473150187,0.99988840783752,Vv,Vv,chr01,737678,False,1.905488840867573e-08,2.773703963162676e-09,2.958611797738379e-09,8.185385175754293e-09,6.449053238869684e-05,1.0957718526209137e-09,1.7861751316238e-09,2.289476101366389e-09,8.373652755494338e-06,1.045988963302395e-09,2.4972918999467585e-09,8.895157422415409e-06,4.006471255240743e-09,2.2347648650170334e-05,0.9998958473150187
rh_chr1_1060803,"{Vv,Vv}",0.9999673211901596,0.9999649869894568,Vv,Vv,chr01,1049416,False,7.211964070072617e-10,2.836362708878581e-10,2.448785220907485e-10,4.3675388936516145e-10,1.2605407890555296e-05,1.2765884153879438e-10,1.4613803286696854e-10,1.900630741735288e-10,7.2660963074481e-06,6.859168951032902e-11,1.6755309327004004e-10,5.618656184781702e-06,1.817423504617594e-10,7.186081245344964e-06,0.9999673211901596
rh_chr1_1170229,"{Vv,Vv}",0.9999905057327326,0.9999898275707849,Vv,Vv,chr01,1140710,False,6.457928875382227e-11,4.9990249661179676e-11,2.55127796983702e-11,4.290076187272329e-11,2.384402449737705e-06,5.210252436774736e-11,2.6947925889047152e-11,3.449325953908781e-11,4.234667527764995e-06,7.0206852732769724e-12,1.81022559693622e-11,1.2863867120112284e-06,1.850316392153233e-11,1.5884704249324295e-06,0.9999905057327326
rh_chr1_1304008,"{Vv,Vv}",0.9999775700383368,0.999975967898218,Vv,Vv,chr01,1265000,False,2.1478139813273068e-11,3.694110738635068e-11,1.46218150401669e-11,2.1001317600006937e-11,1.5970537382220531e-06,1.6207144325218579e-10,2.6907640341328023e-11,3.2167093203635536e-11,1.809535061800619e-05,6.48464165868101e-12,1.358059771951337e-11,1.1573816744534287e-06,1.3073678635728319e-11,1.5798273051220792e-06,0.9999775700383368
