Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9808023496584333,0.97943108891975,Vv,Vv,chr01,89866,False,1.5297167688507186e-06,1.3969320083832333e-06,1.3514431831781945e-06,1.369157182537652e-06,0.007084017946920071,7.342201194776168e-07,1.01358754345021e-06,1.0263948844124196e-06,0.004142802368784151,6.861388663587522e-07,9.979961474225126e-07,0.003920296825208152,7.113399625346873e-07,0.004039716273987692,0.9808023496584333
rh_chr1_268616,"{Vv,Vv}",0.9920914043589211,0.9915265046702726,Vv,Vv,chr01,263248,False,2.6579482856581196e-07,1.5599470087278933e-07,1.0299451804397339e-07,1.1410256186357356e-07,0.004249202216116179,5.7034460658622394e-08,6.73090324867344e-08,7.121724091223977e-08,0.0013771123621388822,3.632994324613188e-08,4.682558535122487e-08,0.0010738717706026755,4.0993847951356024e-08,0.0012074506955012405,0.9920914043589211
rh_chr1_334737,"{Vv,Vv}",0.9935231350479553,0.9930605018370949,Vv,Vv,chr01,329439,False,6.471868702485339e-08,8.057479064462035e-08,2.566591536807823e-08,2.8491487001877812e-08,0.003568255993573651,2.334924395708164e-08,3.243877733827888e-08,3.4401394656959903e-08,0.0011591453402565075,7.516732119100913e-09,1.0886116287348342e-08,0.0008232050047495439,8.561548950895524e-09,0.0009259420087715835,0.9935231350479553
rh_chr1_443667,"{Vv,Vv}",0.9951681201696856,0.9948229858960917,Vv,Vv,chr01,438310,True,4.106587267091841e-08,5.2505356673972814e-08,2.4209867049361974e-08,2.620268732382067e-08,0.0028339364417794676,1.280800995279771e-08,2.0250677331772476e-08,2.1421855265935108e-08,0.000822549418023738,4.898542707762707e-09,9.851537772247324e-09,0.0005535588649900621,5.612634751001607e-09,0.0006216162784795779,0.9951681201696856
rh_chr1_547952,"{Vv,Vv}",0.9968060703093462,0.9965779324742995,Vv,Vv,chr01,544389,False,6.15921817099801e-09,8.233722141971694e-09,2.4079996977757344e-09,3.1472584199937926e-09,0.0021119285212060105,1.2737115365093416e-09,2.3413539154458034e-09,2.4453887251684727e-09,0.000485305590684742,3.369296686192835e-10,8.85828141780451e-10,0.00028108631383414834,5.001613325147868e-10,0.00031558153335718416,0.9968060703093462
rh_chr1_631086,"{Vv,Vv}",0.9976603762087267,0.9974932602236358,Vv,Vv,chr01,627268,False,9.961807561340488e-09,5.317252924829138e-09,3.0468710075636847e-09,3.392162385905857e-09,0.0017730646969792347,7.189949590150143e-10,1.372285998548095e-09,1.4209622303150324e-09,0.00024789740642346537,3.313994976003324e-10,8.251540327988004e-10,0.00014973905489333632,4.010841536966589e-10,0.00016889584500252416,0.9976603762087267
rh_chr1_741516,"{Vv,Vv}",0.9982402177414417,0.9981145190086875,Vv,Vv,chr01,737678,False,4.230280992994938e-09,4.576934212244762e-09,3.921267197127199e-09,4.074316713494201e-09,0.0013037309036259953,4.310044832241603e-10,1.0336015528342772e-09,1.0726854452542534e-09,0.0001916667574404113,2.703372225070269e-10,7.592044055513339e-10,0.00012480299581743156,3.100670911223432e-10,0.00013956092197518085,0.9982402177414417
rh_chr1_1060803,"{Vv,Vv}",0.9993954597285386,0.999352278280577,Vv,Vv,chr01,1049416,False,5.738785238442329e-10,3.0138980256707106e-09,9.210772592868081e-10,8.995680711713505e-10,0.0003962982591215136,7.456326291501538e-11,8.643026831490762e-10,7.418947598636142e-10,7.775033327286074e-05,1.262447725338722e-10,2.2762173445122433e-10,6.243643809631266e-05,1.0383490305146565e-10,6.80476940867589e-05,0.9993954597285386
rh_chr1_1170229,"{Vv,Vv}",0.9996821452690376,0.9996594413596832,Vv,Vv,chr01,1140710,False,6.078357473616615e-10,1.3680383483082023e-09,1.0997822352882996e-09,1.1006574328779451e-09,0.00019473280063929123,1.0719374937895233e-10,5.336958489440698e-10,4.255822838828464e-10,3.567149117246585e-05,2.2992944585782257e-10,3.788623983035277e-10,4.17940142284146e-05,1.6416187683292546e-10,4.565040918274935e-05,0.9996821452690376
rh_chr1_1304008,"{Vv,Vv}",0.9998027452509642,0.9997886556260331,Vv,Vv,chr01,1265000,False,6.382359792236782e-10,1.1116613831500856e-09,9.473097355918453e-10,9.12336352484441e-10,0.0001109311852882457,1.6691863756718085e-10,4.1112251701158513e-10,3.6880080557113433e-10,2.9369912616463607e-05,1.853160178722471e-10,3.331612071745114e-10,2.8377318978729894e-05,1.5178421692636996e-10,2.8571105505407963e-05,0.9998027452509642
rh_chr1_1400565,"{Vv,Vv}",0.9997538742581616,0.9997362938480303,Vv,Vv,chr01,1361620,False,1.7053526659536053e-09,2.1079702454780077e-09,2.572944288702588e-09,2.368782700880126e-09,0.00011828497420661204,3.7689719127696804e-10,1.0254201889427035e-09,9.248727428498717e-10,3.714379881598845e-05,6.218344420479894e-10,1.0633365699488525e-09,4.7426697871740955e-05,4.941391638915359e-10,4.325700939381739e-05,0.9997538742581616
rh_chr1_1482273,"{Vv,Vv}",0.9997134269890393,0.9996929574882564,Vv,Vv,chr01,1441962,False,2.5066767174999042e-09,3.1295936550520297e-09,3.923926166974357e-09,3.788966695660992e-09,0.00012516868458971523,6.033541987661113e-10,1.7191814412500083e-09,1.6166928048106347e-09,4.485382730460304e-05,9.958549504743446e-10,1.894946478216639e-09,6.055159906295506e-05,8.565460931837279e-10,5.597786426419535e-05,0.9997134269890393
rh_chr1_1623606,"{Vv,Vv}",0.9996821692900051,0.999659467096434,Vv,Vv,chr01,1583376,True,3.0846068820335697e-09,4.099410397886498e-09,5.0989692480567575e-09,5.342766135518355e-09,0.00012669791059707834,8.566095400997394e-10,2.5377303807490283e-09,2.5472061258250303e-09,5.082717662614311e-05,1.442163042961032e-09,3.1569011949419276e-09,7.16998806270161e-05,1.4622676339008108e-09,6.857611351408903e-05,0.9996821692900051
rh_chr1_1879893,"{Vv,Vv}",0.9997554392946669,0.9997379706728574,Vv,Vv,chr01,1839399,False,1.11966055238281e-09,9.097276390384905e-10,1.6575825891937584e-09,2.8938449474199066e-09,9.7290439888702e-05,1.712820679056337e-10,6.177681998623755e-10,1.022733807996416e-09,2.8983971764838926e-05,6.004885974998338e-10,1.8474742213496997e-09,5.93945313368846e-05,1.0929939235658377e-09,5.887982878619277e-05,0.9997554392946669
rh_chr1_1999515,"{Vv,Vv}",0.9997171071219202,0.9996969004877716,Vv,Vv,chr01,1959058,False,8.710900950855311e-10,5.832512192590702e-10,1.0627539713603417e-09,3.605921176008841e-09,0.000115104536989546,6.733691443071806e-11,3.568971991777425e-10,1.3139519757269435e-09,3.641475060078256e-05,3.035188340619054e-10,2.113293345994418e-09,6.295502676349963e-05,1.3994146644254466e-09,6.84068862966793e-05,0.9997171071219202
rh_chr1_2145831,"{Vv,Vv}",0.9996951978415415,0.9996734262587944,Vv,Vv,chr01,2106048,True,2.9609434577432536e-09,2.3305626621336625e-09,3.1126384307561245e-09,5.170868569086928e-09,0.0001301649808635437,4.4105474697342044e-10,1.2593543047211908e-09,1.986303052171176e-09,4.253849589628762e-05,7.449702733104097e-10,2.7501886902296764e-09,6.084216594628736e-05,1.6743547998415198e-09,7.123408451339196e-05,0.9996951978415415
rh_chr1_2306205,"{Vv,Vv}",0.9997335913540049,0.9997145621650052,Vv,Vv,chr01,2265211,False,3.919966188710578e-09,2.4356853601720576e-09,3.119314418857415e-09,4.857378996449538e-09,0.00013110884711244942,3.640466538595549e-10,9.478223532334636e-10,1.5009834212207212e-09,3.352638270066229e-05,5.198105135215415e-10,1.9665013490836967e-09,4.299207701262211e-05,1.3059794847582347e-09,5.8760401680687376e-05,0.9997335913540049
rh_chr1_2424927,"{Vv,Vv}",0.999790352180063,0.9997753773357817,Vv,Vv,chr01,2384046,False,3.759661021634723e-09,2.1129356965943616e-09,2.077226227957353e-09,3.5862536407896793e-09,0.00012175993345155487,2.7870541428984896e-10,5.045433576547516e-10,1.0174007918061214e-09,2.5618488844415215e-05,2.0147140682982834e-10,9.897502672012747e-10,2.1930964882070545e-05,8.287625313486562e-10,4.032307604863666e-05,0.999790352180063
rh_chr1_2618562,"{Vv,Vv}",0.9996950818226976,0.9996733019528903,Vv,Vv,chr01,2577582,False,5.3076267055630895e-09,2.1860676588808106e-09,1.165370386195146e-09,3.105242972919334e-09,0.00019562299745300683,4.2359745736774433e-10,3.3991548088378807e-10,9.305971532924677e-10,4.023601886491896e-05,1.287999367090985e-10,4.972935709133853e-10,1.735289124674344e-05,7.484104799231129e-10,5.169143681589996e-05,0.9996950818226976
rh_chr1_2718543,"{Vv,Vv}",0.9995279464469368,0.9994942283360037,Vv,Vv,chr01,2677534,False,6.949190254125708e-09,4.530403520181233e-09,1.6851886647992426e-09,5.400990313974025e-09,0.00025620168227687156,1.1433265320723743e-09,6.363098015497088e-10,2.0714764337127675e-09,8.859930983438087e-05,2.373133984209713e-10,7.917035663617304e-10,2.958578957386523e-05,1.4997015289026108e-09,9.764182577408577e-05,0.9995279464469368
