Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9980526777629576,0.9979135833174546,Vv,Vv,chr01,89866,False,1.5689849136717263e-06,2.3799489862133086e-06,2.383093095870595e-06,2.4056403185663714e-06,0.0005032514040996175,1.4359740643556336e-06,2.320168184153463e-06,2.3391244608645466e-06,0.00047061963928000396,1.4411768291407544e-06,2.3419110093455886e-06,0.0004719804841323021,1.479569676011292e-06,0.0004813751179923822,0.9980526777629576
rh_chr1_268616,"{Vv,Vv}",0.9998445907148262,0.9998334900515995,Vv,Vv,chr01,263248,False,5.716234128208671e-08,6.440861138534083e-08,6.509527746122429e-08,7.069362771461715e-08,6.0993813845252105e-05,4.3153394892995055e-08,6.142630178989462e-08,6.333613999352994e-08,2.7081258394477507e-05,4.338787793629713e-08,6.365552994987319e-08,2.849551560941629e-05,4.750263980867033e-08,3.8258875582446653e-05,0.9998445907148262
rh_chr1_334737,"{Vv,Vv}",0.9999418144964858,0.9999376583890919,Vv,Vv,chr01,329439,False,2.410707784991058e-08,2.683547888648189e-08,2.7150341109021413e-08,3.011343798757603e-08,2.2451078414772064e-05,1.7433856275898483e-08,2.509993039628898e-08,2.647338834523456e-08,1.0229275483133751e-05,1.7576425343992426e-08,2.663682738694759e-08,1.0730176256528374e-05,2.0247095779467455e-08,1.4533299500473663e-05,0.9999418144964858
rh_chr1_443667,"{Vv,Vv}",0.9999713500408973,0.9999693036152472,Vv,Vv,chr01,438310,False,7.616084843221308e-09,8.130764213553162e-09,8.255948808458891e-09,9.694441969365041e-09,1.0098911951759197e-05,4.8734286614200185e-09,7.167290169695487e-09,8.068827251735277e-09,5.3929300154090455e-06,4.959289719721243e-09,8.14860601989164e-09,5.5772644045655165e-06,6.5017940942094344e-09,7.507436255239769e-06,0.9999713500408973
rh_chr1_547952,"{Vv,Vv}",0.9999869120450318,0.9999859771911055,Vv,Vv,chr01,544389,False,2.5426559486463743e-09,2.174397384096317e-09,2.2348003283132917e-09,3.1117924027269237e-09,4.334809703889741e-06,1.156294084491764e-09,1.537697838205332e-09,2.2190939035714003e-09,2.4702902562548135e-06,1.2148364553074837e-09,2.2671757738190267e-09,2.5468234984033167e-06,2.2661956848133864e-09,3.7153065698748786e-06,0.9999869120450318
rh_chr1_631086,"{Vv,Vv}",0.9999393934982621,0.9999350644624236,Vv,Vv,chr01,627268,False,2.1059722140508396e-09,1.874362998979251e-09,1.931428849619994e-09,2.782629593284595e-09,1.7464423788527563e-05,8.648137672564416e-10,1.2409003007657302e-09,1.922772272801402e-09,1.2625789635270752e-05,9.209050368426578e-10,1.969969397897298e-09,1.2880680959902253e-05,1.915427605853631e-09,1.7618078172232298e-05,0.9999393934982621
rh_chr1_741516,"{Vv,Vv}",0.9999030801005371,0.9998961572505755,Vv,Vv,chr01,737678,False,1.6773009874825652e-09,1.6860235887685138e-09,1.7453601973300288e-09,2.6660817390356665e-09,2.8219531161689324e-05,5.518497233367696e-10,9.730548866374212e-10,1.7559169540411848e-09,1.9391687305578327e-05,6.089535650370678e-10,1.8082362783163009e-09,1.9885754628545284e-05,1.5956733416768915e-09,2.9407857915936597e-05,0.9999030801005371
rh_chr1_1060803,"{Vv,Vv}",0.9999315814778661,0.9999266944405708,Vv,Vv,chr01,1049416,False,2.450329781432445e-10,3.942460330274633e-10,3.928937184476932e-10,5.080818162981263e-10,1.7495357104018076e-05,1.6137401903242833e-10,3.140477020622037e-10,4.1846142474850174e-10,1.5961001798398434e-05,1.5529830169558144e-10,4.162781934669334e-10,1.5642030924107747e-05,2.6717206707513923e-10,1.9316859421212015e-05,0.9999315814778661
rh_chr1_1170229,"{Vv,Vv}",0.9999865320722418,0.9999855700774019,Vv,Vv,chr01,1140710,False,2.17471480433468e-11,4.3331456441721615e-11,3.8389518783768755e-11,5.2769882349340615e-11,2.7149746251100025e-06,2.3836770272527224e-11,3.6911954925309975e-11,5.132120106394307e-11,3.290998783544002e-06,1.5400539971691674e-11,4.5731457681263323e-11,2.734756622351596e-06,2.7522710771335032e-11,4.726840764660703e-06,0.9999865320722418
rh_chr1_1304008,"{Vv,Vv}",0.9999915953533562,0.9999909950214532,Vv,Vv,chr01,1265000,False,7.709098837621813e-12,1.7910643493352808e-11,1.2300204047122331e-11,1.4454000536187287e-11,1.4038659035385415e-06,2.210028279020088e-11,1.6570715759918233e-11,1.8555370227002472e-11,4.34484686354041e-06,6.843493855708856e-12,1.3992941852810474e-11,1.4281398631966688e-06,7.32600160063961e-12,1.2276562507274137e-06,0.9999915953533562
