Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA1,Vv}",0.8654732701771773,0.8558642180469758,NA1,Vv,chr01,89866,False,2.1203044061358125e-05,1.34022166200177e-05,0.0009196602521858568,1.8590440909952262e-05,0.0198369123161576,7.10090351815813e-06,0.0006458858251496173,1.0909246804694425e-05,0.0008131198455663373,0.0015408669449042825,0.0008166056125504339,0.8654732701771773,1.3737744022457614e-05,0.008569666626315413,0.1012990688040566
rh_chr1_268616,"{NA1,Vv}",0.8767653788661314,0.8679629059279979,NA1,Vv,chr01,263248,False,1.0186430645681776e-05,5.5764130766428574e-06,0.0006294834547094846,9.080392847698925e-06,0.016184187548482894,2.9206991217953867e-06,0.0003967645424451089,4.78557823961225e-06,0.0005522645303747166,0.0009805101648605779,0.000543295271967189,0.8767653788661314,6.637130463608937e-06,0.006256458656834083,0.09765247031979965
rh_chr1_334737,"{NA1,Vv}",0.8967707466452185,0.8893972285484484,NA1,Vv,chr01,329439,False,7.959516578691181e-06,4.143975190593404e-06,0.0005454158823818534,7.280117506351385e-06,0.013456420400893615,1.9307303329020485e-06,0.00032212936182523426,3.476175133201708e-06,0.0005062690977131249,0.0008147717994480599,0.0004616365171308056,0.8967707466452185,5.0749107896132285e-06,0.005223240876657037,0.08186950399320043
rh_chr1_443667,"{NA1,Vv}",0.9298331711882829,0.9248212548445889,NA1,Vv,chr01,438310,True,5.16052580843538e-06,2.22934464245142e-06,0.000392766238701738,4.818465152966461e-06,0.008930524844434332,8.149952395999272e-07,0.00019474965728621791,1.784452715522179e-06,0.00035666132014517256,0.0005359650625343499,0.00031913856995054656,0.9298331711882829,3.1588173358264713e-06,0.0034627084648194873,0.05595634805295044
rh_chr1_547952,"{NA1,Vv}",0.962232730486302,0.9595350683781807,NA1,Vv,chr01,544389,False,3.491020831915571e-06,1.0627729934503757e-06,0.00022650784146045484,3.232019879109269e-06,0.004471935658874411,3.160866318280391e-07,6.469528428891854e-05,7.995943152651162e-07,0.00012253684008748953,0.00025646302007092725,0.00017011893460911067,0.962232730486302,2.0661307911141135e-06,0.0016736463240254907,0.030770397984838636
rh_chr1_631086,"{NA1,Vv}",0.9648460452940157,0.9623350485293026,NA1,Vv,chr01,627268,True,3.142560626850966e-06,8.693792023979687e-07,0.00023235557644050346,3.0271639400826552e-06,0.004234533730073075,2.2845062357879886e-07,5.979290338262842e-05,6.304426832203788e-07,0.00012534510607048162,0.00023405381270122944,0.00017307894646659727,0.9648460452940157,1.8247692246272044e-06,0.0016045100858958134,0.02848056177865309
rh_chr1_741516,"{NA1,Vv}",0.9683747928598633,0.9661158494927107,NA1,Vv,chr01,737678,False,2.676255264739669e-06,6.021045662720591e-07,0.00023596860253860243,2.7208185351570635e-06,0.003909483298605799,1.3523772734452207e-07,4.973828552475315e-05,4.1422970020041837e-07,0.00011689416560029286,0.00019758475639944465,0.00017333487922139703,0.9683747928598633,1.5188247092653152e-06,0.0015015827862323537,0.02543255289551109
rh_chr1_1060803,"{NA1,Vv}",0.9907212451945264,0.9900584769941354,NA1,Vv,chr01,1049416,False,7.199386631502352e-07,9.741300163057745e-08,0.00023489112390586813,7.381506474286802e-07,0.001638759757666216,2.0870285969024306e-08,1.2323568928340273e-05,4.699608545576153e-08,5.0967861905191426e-05,8.81215808456872e-05,0.0001549957456296874,0.9907212451945264,3.131341007741097e-07,0.0004651041396123013,0.006631654524195883
rh_chr1_1170229,"{NA1,Vv}",0.996218649815206,0.995948553373435,NA1,Vv,chr01,1140710,False,2.6327487857959856e-07,4.3813084764540525e-08,0.00021778811214181462,2.920846846818283e-07,0.0010046720974537754,1.2598188234028437e-08,5.397091138901731e-06,1.5694865842061326e-08,3.2647371018879066e-05,2.9489025865758305e-05,0.0001351634125305581,0.996218649815206,7.558535525458823e-08,0.000146716497739344,0.0022087735258477965
rh_chr1_1304008,"{NA1,Vv}",0.9978308340425192,0.9976758936169848,NA1,Vv,chr01,1265000,False,1.35729548000308e-07,2.4337137868953798e-08,8.645629252689886e-05,1.6566197441765887e-07,0.0008458409442959354,7.34080735017491e-09,5.9058520368385225e-06,5.642857062972372e-09,3.895133662008096e-05,1.1183070694793006e-05,3.262974964757523e-05,0.9978308340425192,3.603439384119046e-08,5.110945520609162e-05,0.0010967145097339987
