Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9605057711649425,0.9576847548195813,Vv,Vv,chr01,89866,False,3.70883339906372e-06,3.043585251138805e-06,3.2598465915203775e-06,3.256921302483542e-06,0.01404792405603443,1.7747291602295165e-06,2.2920547994286225e-06,2.2926268768936045e-06,0.00771609590254757,2.1395352669889023e-06,2.4860018655967295e-06,0.008839784403244094,2.140265683083256e-06,0.008864030073035043,0.9605057711649425
rh_chr1_268616,"{Vv,Vv}",0.971493082935465,0.9694568745737125,Vv,Vv,chr01,263248,True,1.1133004408081009e-06,8.64933924480355e-07,9.354620565777838e-07,9.374836121868845e-07,0.011313689667378831,4.3409036116156066e-07,5.848416380114122e-07,5.863434718462679e-07,0.0050102618500196695,5.524033589691366e-07,6.500122183352528e-07,0.006069171238329267,5.55350850419102e-07,0.006106580086874512,0.971493082935465
rh_chr1_334737,"{Vv,Vv}",0.9757233956487145,0.9739893524807655,Vv,Vv,chr01,329439,False,2.515017026113448e-07,1.861369609417025e-07,2.0125384215301173e-07,2.038753101597682e-07,0.0102608798102815,7.283713667241935e-08,1.1375416852774152e-07,1.144613130897991e-07,0.003967649136498344,1.0098084029952661e-07,1.2899990986999846e-07,0.0050020980631344915,1.0291946684909324e-07,0.005044500620720128,0.9757233956487145
rh_chr1_443667,"{Vv,Vv}",0.9809502997632175,0.9795896068891615,Vv,Vv,chr01,438310,True,1.6624410877859804e-07,1.4547194056888788e-07,1.4910524268937512e-07,1.5235101642420518e-07,0.008933375921241486,3.9777454861289814e-08,8.223015156326254e-08,8.265854501942146e-08,0.002744481124620277,5.6705767648787976e-08,9.030887442589143e-08,0.0036660264445214693,5.837063540815033e-08,0.003704793522661847,0.9809502997632175
rh_chr1_547952,"{Vv,Vv}",0.9860918195266368,0.9850983780642537,Vv,Vv,chr01,544389,False,3.720199494801712e-08,3.40634409246745e-08,1.8955109780696664e-08,2.2534866652542215e-08,0.007628524247788345,3.395112237338868e-09,1.5527695934017732e-08,1.5465713284166305e-08,0.001539833750399944,5.1350937241685584e-09,1.0484295698431568e-08,0.0023522004579370087,6.342302821319736e-09,0.0023874529116117804,0.9860918195266368
rh_chr1_631086,"{Vv,Vv}",0.9893069372317053,0.98854314703397,Vv,Vv,chr01,627268,False,9.9102600415892e-08,4.5443867822752986e-08,4.999481404844447e-08,5.2955319562280474e-08,0.006794158474941631,4.620291843450031e-09,2.0042622212338333e-08,1.9972765247336067e-08,0.0008495152142270276,1.0213492694588093e-08,2.360938340963002e-08,0.0015068090319394693,1.0796140736725724e-08,0.0015422432958885851,0.9893069372317053
rh_chr1_741516,"{Vv,Vv}",0.9910712654738535,0.9904334987219859,Vv,Vv,chr01,737678,True,1.363363714484964e-07,1.1246827856290592e-07,1.5179494104804785e-07,1.5556502520637353e-07,0.005626013789149147,9.430594551552867e-09,4.1810305443976213e-08,4.207406406365439e-08,0.0006715218506370817,2.4463135303751873e-08,6.076537130843527e-08,0.0012978519495866045,2.4960756658664697e-08,0.0013325872679300868,0.9910712654738535
rh_chr1_1060803,"{Vv,Vv}",0.9962654288775632,0.9959986737973892,Vv,Vv,chr01,1049416,False,5.5239430892929124e-08,1.7540207483329308e-08,8.816461822684359e-08,9.079475435516492e-08,0.002299940982584236,9.311903442542198e-10,7.318023201739208e-09,7.164774793929113e-09,0.00010648458664997135,1.8452641452661135e-08,4.024267232881585e-08,0.0006474794526873716,1.7270573323764754e-08,0.0006803229816289101,0.9962654288775632
rh_chr1_1170229,"{Vv,Vv}",0.9981534003704988,0.998021500396963,Vv,Vv,chr01,1140710,False,1.495602062553033e-08,5.945984996010547e-09,2.7684843797605536e-08,2.8958843227118873e-08,0.0010208850395141153,3.20125183848611e-10,2.9227225690967648e-09,2.5384469352753582e-09,4.6821272801834e-05,8.919913777026483e-09,1.6382022782324237e-08,0.00037278491420605437,6.869831293969379e-09,0.0004059929042239313,0.9981534003704988
rh_chr1_1304008,"{Vv,Vv}",0.9991166200660082,0.9990535214992945,Vv,Vv,chr01,1265000,False,2.556065908440475e-09,1.9189419117861448e-09,4.186477796486022e-09,4.454303188646045e-09,0.0004690535964399658,1.373577473239505e-10,8.610358937186629e-10,8.555609930013922e-10,3.504878925562926e-05,1.4580133767066116e-09,2.5773940365333987e-09,0.00018146307838668056,1.2530377892181128e-09,0.000197794211720946,0.9991166200660082
