Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA2,NA2}",0.9442045496259803,0.9402191603135504,NA2,NA2,chr01,89866,False,4.097378809783452e-06,3.73348903424603e-05,1.694378539127753e-05,0.0083149817480048,1.0571088268636779e-05,1.9601398924762714e-05,0.00012007188490336919,0.004844853776831328,2.811684773432547e-05,3.2700347765298785e-05,0.03665755619719568,3.356139666352406e-05,0.9442045496259803,0.005664672015527865,1.0387617656621106e-05
rh_chr1_268616,"{NA2,NA2}",0.9512317514518441,0.9477483051269758,NA2,NA2,chr01,263248,False,3.3208094931847554e-07,2.225812145417958e-06,2.446724407049746e-06,0.006569178842835629,7.048308985023036e-07,9.714093858828605e-07,1.309196732351178e-05,0.0027029714238069576,1.4602942704918521e-06,4.701082425708405e-06,0.03546820700581464,3.99217010133267e-06,0.9512317514518441,0.003997298137933671,6.667658576928863e-07
rh_chr1_334737,"{NA2,NA2}",0.9538530545506562,0.9505568441614173,NA2,NA2,chr01,329439,False,8.360823880677112e-08,3.566866767410012e-07,6.870926695396933e-07,0.006091911921104547,1.6059324172737325e-07,1.1482085862468291e-07,2.232047119876029e-06,0.0020949587079481433,2.2519226072016137e-07,1.4243669707619636e-06,0.03437640244109804,9.532725286869563e-07,0.9538530545506562,0.0035773032256628786,1.3147296474625914e-07
rh_chr1_443667,"{NA2,NA2}",0.9575231134729364,0.9544890501495747,NA2,NA2,chr01,438310,False,9.795241819445977e-08,1.8494547506480455e-07,7.776105613852404e-07,0.005405052768899675,1.5691117352366056e-07,4.456258878131057e-08,1.131726394535563e-06,0.001254716485994065,1.1605105212579365e-07,1.394497401421592e-06,0.03283849373408865,7.980844341234584e-07,0.9575231134729364,0.0029738294520435847,9.17445385100104e-08
rh_chr1_547952,"{NA2,NA2}",0.9610088404804642,0.9582237576576402,NA2,NA2,chr01,544389,False,7.250463077479382e-08,5.598017094024437e-08,6.065432139507867e-07,0.004686450812306945,9.155658154199014e-08,1.3906037727430804e-08,3.530132665499971e-07,0.0007045684089304895,3.4941264243147603e-08,1.106651483513909e-06,0.03125103818588646,4.3505733058981533e-07,0.9610088404804642,0.002346292475267465,3.9483164676355566e-08
rh_chr1_631086,"{NA2,NA2}",0.9632461844730088,0.9606209119353666,NA2,NA2,chr01,627268,False,3.190343867812859e-08,2.6446112654922397e-08,3.206688924188535e-07,0.004082437163558569,4.523055527527666e-08,6.211848729586513e-09,2.1531113560420075e-07,0.0006216118279751605,1.6681204359541817e-08,7.301901153157564e-07,0.02995563621864546,2.3437461946550331e-07,0.9632461844730088,0.0020924859829773855,1.731591215551263e-08
rh_chr1_741516,"{NA2,NA2}",0.9655189617286092,0.9630560304235098,NA2,NA2,chr01,737678,False,7.279938358833318e-08,5.4273171585779515e-08,6.733150510775637e-07,0.0037249759939840046,1.247098214998309e-07,7.49843463971561e-09,3.2246337645828803e-07,0.0005036813955196917,3.551083192368704e-08,9.188992107539457e-07,0.028280772580908442,5.525327446895276e-07,0.9655189617286092,0.0019688073326199814,3.896633251820176e-08
rh_chr1_1060803,"{NA2,NA2}",0.9717513423547418,0.9697335810943662,NA2,NA2,chr01,1049416,False,4.5052510304824045e-08,1.6676121403607883e-08,4.948039801018128e-07,0.0026423534818729275,8.752865642402174e-08,1.967927355664382e-09,1.0082185075312628e-07,0.0002642768564795778,1.3739208235030545e-08,4.464370765800842e-07,0.023795756293808895,3.553438816266372e-07,0.9717513423547418,0.0015446846453394648,2.3996544507462193e-08
rh_chr1_1170229,"{NA2,NA2}",0.9735009107155127,0.9716081186237636,NA2,NA2,chr01,1140710,False,1.0655230043616806e-08,6.017340266994249e-09,2.2289671698511582e-07,0.002301954737569002,4.372916239100392e-08,5.501720676698329e-10,5.7818846034234485e-08,0.00028653560874193423,9.687266446526155e-09,6.188812296900742e-08,0.022455823476502296,1.4727943301024864e-07,0.9735009107155127,0.001454205615991143,9.32339262457412e-09
rh_chr1_1304008,"{NA2,NA2}",0.9755478516452335,0.973801269619893,NA2,NA2,chr01,1265000,False,2.417764869920113e-09,2.871619100740472e-09,3.7341991056410705e-08,0.001992164079090624,6.308288882277292e-09,3.549378717262456e-10,2.0932584379011248e-08,0.000341595810372849,2.2088212288450633e-09,1.9135998350151816e-08,0.020787160300314404,2.2664240959730612e-08,0.9755478516452335,0.0013311123753695889,1.5533724681410392e-09
