Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.995674861581845,0.9953659231234054,Vv,Vv,chr01,89866,False,1.2204715316854347e-05,7.988454682694194e-06,9.565884404805679e-06,1.2290718126103021e-05,0.0016140627719463884,2.6212681407077285e-06,4.633279040373546e-06,7.36112132141871e-06,0.0003891593282054271,5.688303987674168e-06,8.938080117558199e-06,0.0007811583005132818,1.0984181623544567e-05,0.001458482010728066,0.995674861581845
rh_chr1_268616,"{Vv,Vv}",0.9956575026475758,0.9953473242652597,Vv,Vv,chr01,263248,False,7.994897356692383e-06,5.32563904032628e-06,6.409717128731002e-06,8.282083194818918e-06,0.001690257514254427,1.607619929127919e-06,3.0186262332032633e-06,4.894089384523629e-06,0.0003217525684953438,3.6518122607031012e-06,5.97768269017657e-06,0.000759707529876221,7.180300342830381e-06,0.0015164372722370418,0.9956575026475758
rh_chr1_334737,"{Vv,Vv}",0.9956722336612469,0.9953631074941931,Vv,Vv,chr01,329439,True,6.462474860969745e-06,4.404386081033328e-06,5.293534094770027e-06,6.829078372036387e-06,0.0017139811233464303,1.3098742950783973e-06,2.5115169875712758e-06,4.050193296179908e-06,0.0002902204649942693,2.958943308674671e-06,4.938851057095385e-06,0.0007458586047352267,5.8046905243609915e-06,0.0015331426027993583,0.9956722336612469
rh_chr1_443667,"{Vv,Vv}",0.9957228170364207,0.9954173039675936,Vv,Vv,chr01,438310,True,3.9989413646190655e-06,2.913718791764753e-06,3.4745278224279743e-06,4.442731632518651e-06,0.0017465776061489397,8.973084640144933e-07,1.718430840802152e-06,2.6898254636033456e-06,0.00023134823831451014,1.8900234546492483e-06,3.250135040473686e-06,0.0007162586007852669,3.6016438825393047e-06,0.0015541212315731468,0.9957228170364207
rh_chr1_547952,"{Vv,Vv}",0.9958033378659937,0.9955035762849933,Vv,Vv,chr01,544389,False,1.6806034380841028e-06,1.5336161852802698e-06,1.7646706203274748e-06,2.1630879443568905e-06,0.001770640563321625,6.018699177683996e-07,1.0389171069383235e-06,1.4405841456651693e-06,0.00016560589111069723,9.472133620628835e-07,1.6711299070675487e-06,0.0006792561464996021,1.5402274581601078e-06,0.001566777612988665,0.9958033378659937
rh_chr1_631086,"{Vv,Vv}",0.9963129835312075,0.996049625212008,Vv,Vv,chr01,627268,True,1.321989982847099e-06,1.2809804177928763e-06,1.4752899000116125e-06,1.8100233643982034e-06,0.0015435706471487757,4.717746720538025e-07,8.649351907977961e-07,1.2026387590591062e-06,0.00016071948557950668,7.440533500257091e-07,1.3964409189456804e-06,0.0006033921438931392,1.210828160823545e-06,0.001367555237454241,0.9963129835312075
rh_chr1_741516,"{Vv,Vv}",0.9970222906929029,0.9968095971709674,Vv,Vv,chr01,737678,True,9.085846131682885e-07,9.718005081486216e-07,1.1203943981379498e-06,1.3759340651188585e-06,0.0012341208461984097,3.230514533628551e-07,6.536759042596015e-07,9.117783232467487e-07,0.00014564387856676222,5.106833539905058e-07,1.0598678479484606e-06,0.0004942770979695108,8.313723823140922e-07,0.0010950003415126869,0.9970222906929029
rh_chr1_1060803,"{Vv,Vv}",0.9992167036797461,0.9991607539425852,Vv,Vv,chr01,1049416,False,6.623801761189587e-08,7.882883078165885e-08,9.109018760823523e-08,1.1055392196281433e-07,0.0003163655743013846,2.41303101835259e-08,5.2850014354385567e-08,7.351501397985887e-08,4.998235350288609e-05,3.785376230871186e-08,8.528734950663032e-08,0.00013599215099984783,5.9421433975791884e-08,0.0002802764726073883,0.9992167036797461
rh_chr1_1170229,"{Vv,Vv}",0.9999100994820348,0.9999036780164658,Vv,Vv,chr01,1140710,False,4.733050399885234e-09,5.433257283279261e-09,6.565249236148672e-09,6.976672027648578e-09,3.587137536905237e-05,2.061132907165411e-09,3.7135083522895204e-09,4.865796053602481e-09,7.166162368673589e-06,3.08125348694572e-09,5.515257183775718e-09,1.7247783386430655e-05,3.544174758194104e-09,2.9568707489338333e-05,0.9999100994820348
rh_chr1_1304008,"{Vv,Vv}",0.9999844790810914,0.9999833704440265,Vv,Vv,chr01,1265000,False,9.062876307467381e-10,5.191330546864453e-10,1.2462115270352387e-09,6.867184643075341e-10,5.625508009322582e-06,3.85993959301052e-10,3.7545557544678636e-10,3.7982700285247847e-10,4.06839771745554e-06,8.405106122462419e-10,5.922213745638766e-10,3.702491283984502e-06,3.5061357147386103e-10,2.1182389249755893e-06,0.9999844790810914
