Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA1,NA1}",0.9987919139313041,0.9987056220692544,NA1,NA1,chr01,89866,False,1.3609682539823614e-06,1.632732811935259e-06,0.0002961272855972,1.6262792165149253e-06,1.6699541892585029e-06,1.359049054136847e-06,0.0002959056589262012,1.625672879740637e-06,1.6688083887558305e-06,0.9987919139313041,0.00029486606957170383,0.00030579903327397086,1.3465828167570373e-06,1.6617756021459126e-06,1.4361981134559919e-06
rh_chr1_268616,"{NA1,NA1}",0.9991123451188073,0.9990489411987221,NA1,NA1,chr01,263248,True,6.581079945522987e-07,8.108876052381791e-07,0.00021811418343770377,8.056382294341068e-07,8.402636024283298e-07,6.56740842472756e-07,0.0002178678080572136,8.053073724815842e-07,8.39377325774535e-07,0.9991123451188073,0.00021671216531907712,0.00022734662587257768,6.468500463333048e-07,8.335318745533473e-07,7.173936128636761e-07
rh_chr1_334737,"{NA1,NA1}",0.9992555766386131,0.9992024035413711,NA1,NA1,chr01,329439,True,4.728687442334399e-07,6.07416135383783e-07,0.00018285626077334501,6.026428275012381e-07,6.337269115297746e-07,4.7171487762870495e-07,0.00018260036221260907,6.024208608872452e-07,6.32943234558052e-07,0.9992555766386131,0.00018140006448112722,0.0001919265005501804,4.628188935346009e-07,6.275672169915124e-07,5.26053667480409e-07
rh_chr1_443667,"{NA1,NA1}",0.9995171601593897,0.9994826715993461,NA1,NA1,chr01,438310,True,2.3606756727943356e-07,3.155831330847582e-07,0.00011823146970647273,3.116120473743863e-07,3.3673973512265453e-07,2.3526801150930127e-07,0.0001179598065466053,3.115735420075912e-07,3.361289471552544e-07,0.9995171601593897,0.00011668558935361402,0.00012704126355653079,2.2802408231145418e-07,3.315440280141358e-07,2.791703533391001e-07
rh_chr1_547952,"{NA1,NA1}",0.9998027822111653,0.9997886952262485,NA1,NA1,chr01,544389,False,1.0167904373144664e-07,1.2668510579639937e-07,4.733609954421876e-05,1.235201228875064e-07,1.42700013744505e-07,1.0122897622576884e-07,4.7048958187822436e-05,1.2366592103262784e-07,1.4226294609692447e-07,0.9998027822111653,4.570216695810862e-05,5.589981865294865e-05,9.561411522006186e-08,1.3847302482680597e-07,1.3491622215052413e-07
rh_chr1_631086,"{NA1,NA1}",0.9997436242028132,0.9997253116458712,NA1,NA1,chr01,627268,True,8.407760992501058e-08,1.0875748768909536e-07,6.148608286667771e-05,1.0580701270055238e-07,1.2336496321480667e-07,8.373478933539468e-08,6.106900170889585e-05,1.0601535563506085e-07,1.2297703754332783e-07,0.9997436242028132,5.911282023357673e-05,7.366071193625891e-05,7.859602457845585e-08,1.1938723888809885e-07,1.1446292192386671e-07
rh_chr1_741516,"{NA1,NA1}",0.9996920537212737,0.9996700575585075,NA1,NA1,chr01,737678,True,6.324425230533414e-08,8.685671014857408e-08,7.351531218857044e-05,8.419008043774144e-08,9.95717241378756e-08,6.304706557325794e-08,7.292403878285239e-05,8.448753278814136e-08,9.925054496098557e-08,0.9996920537212737,7.015100130649864e-05,9.053097648143293e-05,5.854044779593612e-08,9.592063846506998e-08,8.984097049335494e-08
rh_chr1_1060803,"{NA1,NA1}",0.9997147465989613,0.99969437135603,NA1,NA1,chr01,1049416,True,1.5858481732006455e-08,2.2441351998735613e-08,6.535807201410127e-05,2.0642226829292752e-08,2.922720103568416e-08,1.6109788285830092e-08,6.426768845037398e-05,2.1241778779570037e-08,2.9118086575468206e-08,0.9997147465989613,5.9154550193902024e-05,9.62470726428464e-05,1.3451476958418134e-08,2.6559486836630803e-08,3.136785845527737e-08
rh_chr1_1170229,"{NA1,NA1}",0.9997683590897914,0.9997518133104908,NA1,NA1,chr01,1140710,True,8.29786978210434e-09,1.2925705118603538e-08,5.119817694838965e-05,1.1418652662564899e-08,1.7687535301712587e-08,8.69524939349697e-09,4.995991704279861e-05,1.2127321358461026e-08,1.765182562177309e-08,0.9997683590897914,4.415357253634116e-05,8.619821769226867e-05,6.632026024633332e-09,1.5347187434866528e-08,2.02426160343556e-08
rh_chr1_1304008,"{NA1,NA1}",0.9998755934502983,0.9998667072681767,NA1,NA1,chr01,1265000,False,1.3665758073481117e-09,2.3035131032609348e-09,2.3344873776979067e-05,1.240945596962658e-09,3.984076133844745e-09,1.9774652673192007e-09,2.1903836320852398e-05,2.116352760862011e-09,4.060262975471854e-09,0.9998755934502983,1.5147008073564877e-05,6.398270257327675e-05,7.739158029057721e-10,2.1416090292129182e-09,8.164240515937976e-09
