Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9862371153500044,0.9852540521607189,Vv,Vv,chr01,89866,False,1.2196264510503739e-05,8.41609182863312e-06,3.140823854692869e-05,1.3333769594453268e-05,0.0025399420209287955,3.76901350966605e-06,1.2885317979657886e-05,6.55712997707398e-06,0.0015972262551858928,1.9778435560287096e-05,1.7573081518878232e-05,0.0068306971362301,8.479684138084493e-06,0.0026606222104867436,0.9862371153500044
rh_chr1_268616,"{Vv,Vv}",0.987525950886537,0.9866349473784326,Vv,Vv,chr01,263248,False,6.808353806632707e-06,3.7118534249878564e-06,2.147913204086363e-05,7.536191844491154e-06,0.002199217083933454,5.158097825782081e-07,3.6546948905299896e-06,1.721306099666571e-06,0.0012303349496928379,5.145907147223591e-06,7.190014723164046e-06,0.006655499170386269,2.8969962720566127e-06,0.0023283376494181943,0.987525950886537
rh_chr1_334737,"{Vv,Vv}",0.9896540203175485,0.988915021768802,Vv,Vv,chr01,329439,False,5.1675385840074465e-06,2.5187706775329592e-06,1.5736734703926447e-05,5.582365414421879e-06,0.0019812543046239662,3.0809395845029924e-07,2.402313041801975e-06,1.1439530813621237e-06,0.0009615988268094744,3.495147731871994e-06,5.118204338534368e-06,0.005431570527560269,1.9881290090109997e-06,0.001928094772916874,0.9896540203175485
rh_chr1_443667,"{Vv,Vv}",0.9930268917309057,0.9925288125688276,Vv,Vv,chr01,438310,False,2.667864427590064e-06,1.0157579159894372e-06,7.281490418240684e-06,2.5674393620235175e-06,0.001583252988656234,1.0497276677284342e-07,9.10547426571396e-07,4.3103470139083775e-07,0.0006206964869307196,1.4142053197312741e-06,2.170356418691686e-06,0.003496177690794523,7.861390618484516e-07,0.0012536312948939008,0.9930268917309057
rh_chr1_547952,"{Vv,Vv}",0.9962192754535476,0.9959492237002295,Vv,Vv,chr01,544389,False,7.495368597856074e-07,1.703954072016285e-07,1.0212003329241816e-06,3.744599274065182e-07,0.00117396853377602,1.8821616085187825e-08,1.0118320839435553e-07,5.255114586664475e-08,0.00040596236391770093,1.386864272864678e-07,2.1385524314385993e-07,0.0015894206174642718,8.017104354149797e-08,0.0006084521700827545,0.9962192754535476
rh_chr1_631086,"{Vv,Vv}",0.9974908373100286,0.9973116114036021,Vv,Vv,chr01,627268,False,5.927901231499114e-07,9.632509260163747e-08,5.904301477408133e-07,2.2337465677232416e-07,0.001033811397902595,9.27501418205985e-09,5.3408312214279064e-08,2.8073809805362284e-08,0.00022903414212627795,7.208214455217636e-08,1.1733140294613454e-07,0.0008928637747988826,4.1740843154732355e-08,0.0003516285435965428,0.9974908373100286
rh_chr1_741516,"{Vv,Vv}",0.9979750253485324,0.997830384301999,Vv,Vv,chr01,737678,False,4.01635361171704e-07,7.882030920397278e-08,4.467496318960298e-07,1.7991358946952137e-07,0.0008258830603170061,7.0867923243876725e-09,4.6558722389864984e-08,2.4917424626645367e-08,0.000192605783735173,5.397107229250554e-08,9.896301586735795e-08,0.0007111926146945596,3.0806477797571704e-08,0.0002939237703237483,0.9979750253485324
rh_chr1_1060803,"{Vv,Vv}",0.9994266873307851,0.9993857364258412,Vv,Vv,chr01,1049416,False,9.388486619633612e-09,4.596667824064701e-09,1.0727520717401813e-08,4.472430757322544e-09,0.00019169680720512695,1.2491723671186114e-09,3.410407947678341e-09,1.6411148234071961e-09,0.00011412451488621778,2.0571947643825626e-09,3.008843897156326e-09,0.00018477110943183482,8.772045587627356e-10,8.267880864744737e-05,0.9994266873307851
rh_chr1_1170229,"{Vv,Vv}",0.9996869078947368,0.9996645441729323,Vv,Vv,chr01,1140710,False,1.53082486566914e-09,9.824880986976531e-10,2.08616692854319e-09,9.511621034585973e-10,9.585179313064089e-05,3.1336188363721954e-10,8.985134216561686e-10,4.2847966687555626e-10,6.415589462763454e-05,5.931404536372536e-10,8.095862316815219e-10,0.00010496122754539302,2.0951774156659905e-10,4.8114386718186974e-05,0.9996869078947368
rh_chr1_1304008,"{Vv,Vv}",0.9998505532832821,0.9998398785178022,Vv,Vv,chr01,1265000,False,2.1232616692331275e-10,3.7697968502766466e-10,2.900005589159809e-10,1.5367074152869394e-10,4.164984477016674e-05,1.8633152575776588e-10,3.515521859584476e-10,1.848386579174265e-10,4.6560677674842133e-05,1.0903387747386448e-10,1.406565911930982e-10,4.3070878401180236e-05,4.232667107884855e-11,1.816326815503185e-05,0.9998505532832821
rh_chr1_1400565,"{Vv,Vv}",0.9998417694280708,0.9998304672443615,Vv,Vv,chr01,1361620,False,1.1207063318136866e-10,5.007423998860872e-10,1.932568934063015e-10,1.1629499197605246e-10,4.332730987666216e-05,2.0078899470584884e-10,4.722744896242223e-10,2.748001029040764e-10,5.116295632706781e-05,8.344682447702534e-11,1.1416746465595056e-10,4.3900372414898395e-05,4.313955945143332e-11,1.9837822328250294e-05,0.9998417694280708
rh_chr1_1482273,"{Vv,Vv}",0.9998204370296759,0.9998076111032242,Vv,Vv,chr01,1441962,False,1.9188859104223133e-10,1.5905630103069054e-09,3.893898751413636e-10,2.02841623998855e-10,4.8656642715845785e-05,5.804233685291464e-10,1.4904784995603812e-09,8.102782532593447e-10,6.059498523156125e-05,1.6609183358188006e-10,2.0138388054263485e-10,4.81671839285758e-05,8.112294990717093e-11,2.213845398621489e-05,0.9998204370296759
rh_chr1_1623606,"{Vv,Vv}",0.9997829375331676,0.999767433071251,Vv,Vv,chr01,1583376,True,7.604568391566733e-10,2.45614632303806e-09,1.7740762254577905e-09,1.3706845633357447e-09,5.689464606845181e-05,9.17018611249304e-10,2.4953317713727e-09,1.8303636488648146e-09,5.947001016878192e-05,8.647144073771765e-10,1.4188477201718686e-09,6.0306573108110436e-05,5.542661834311482e-10,4.037679558069485e-05,0.9997829375331676
rh_chr1_1879893,"{Vv,Vv}",0.9998445583478337,0.999833455372679,Vv,Vv,chr01,1839399,False,4.3029959326109364e-10,5.749428086623631e-10,1.1337548592529152e-09,1.0722919187253915e-09,3.9441297038164e-05,1.6505993806793492e-10,8.023050204016603e-10,7.596465485598137e-10,2.5087688242954078e-05,7.53818895855553e-10,1.3208904469321847e-09,4.995576145329118e-05,6.227615915658767e-10,4.0949269660330256e-05,0.9998445583478337
rh_chr1_1999515,"{Vv,Vv}",0.9998240837301401,0.999811518282293,Vv,Vv,chr01,1959058,False,5.289308637255528e-10,5.342887925453795e-10,1.467876908678889e-09,1.6410786472825817e-09,4.629338719055838e-05,9.471117549980155e-11,8.553787297479932e-10,9.93187707096399e-10,2.632530207361958e-05,8.612288214184106e-10,1.8759999511317536e-09,5.260712072961577e-05,9.223157944629926e-10,5.0680684868781996e-05,0.9998240837301401
rh_chr1_2145831,"{Vv,Vv}",0.999819312296871,0.9998064060323618,Vv,Vv,chr01,2106048,False,9.011889084357512e-10,8.726559765049542e-10,1.939505851742902e-09,2.1346629279653894e-09,5.272235389791711e-05,1.8014864176254958e-10,9.559028772589803e-10,1.0572206774678119e-09,2.4850936176882097e-05,8.910879934025576e-10,2.1182105041405655e-09,5.0695770295935586e-05,1.0211651250730378e-09,5.2406571008691555e-05,0.999819312296871
rh_chr1_2306205,"{Vv,Vv}",0.9998612048858437,0.9998512909491183,Vv,Vv,chr01,2265211,False,7.372837306913965e-10,6.851563430613489e-10,1.4344943556762505e-09,1.6060479558459073e-09,4.282103033491248e-05,1.3211705746745861e-10,6.443214551952826e-10,7.163825728815949e-10,1.8083953613825203e-05,5.791457235756253e-10,1.5148546456134619e-09,3.740200074297179e-05,7.062590075660336e-10,4.047937340168032e-05,0.9998612048858437
rh_chr1_2424927,"{Vv,Vv}",0.9999233281989666,0.9999178516417498,Vv,Vv,chr01,2384046,False,4.282744319558689e-10,3.8172112369538077e-10,7.134565549391729e-10,8.28473161197479e-10,2.521722615726549e-05,7.22803941219209e-11,3.297339676786801e-10,3.7466215672940906e-10,9.576544888411487e-06,2.810679937515221e-10,8.108835824287805e-10,1.9547880955210047e-05,3.6587569005779693e-10,2.2325562603533714e-05,0.9999233281989666
rh_chr1_2618562,"{Vv,Vv}",0.9999416794692536,0.9999375137170574,Vv,Vv,chr01,2577582,False,4.025463597852119e-10,2.1372212723381574e-10,1.7789796102663675e-10,3.506607956174262e-10,3.089806214170836e-05,4.561770129990423e-11,6.694931286678637e-11,1.2956683916161932e-10,8.287467320890417e-06,3.408191646631633e-11,1.1507974479641565e-10,6.443389782695e-06,1.0636438631017743e-10,1.2689969013956168e-05,0.9999416794692536
