Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.8813960033118444,0.8729242892626905,Vv,Vv,chr01,89866,True,0.0005159329828999017,0.0003331786828561728,0.00041152804428631185,0.0005197703187152824,0.04270395025721473,0.00011716346485490038,0.00021009407383198596,0.00031958853925884444,0.009294733858444999,0.00027243364404254264,0.00039727526386476656,0.022424175846826787,0.0004879266237847216,0.04059624508727362,0.8813960033118444
rh_chr1_268616,"{Vv,Vv}",0.888695298511954,0.8807449626913793,Vv,Vv,chr01,263248,True,0.0003311858892249509,0.00021900798115608483,0.0002697581752081276,0.0003397908338635025,0.04152734386510425,7.680518414295522e-05,0.00013851699841788636,0.0002098347587234301,0.007315538246420775,0.00017532729472915007,0.0002599049002294156,0.020760395808831256,0.000312274417483163,0.03936901713451105,0.888695298511954
rh_chr1_334737,"{Vv,Vv}",0.8915195661944584,0.8837709637797768,Vv,Vv,chr01,329439,True,0.00026328880108230474,0.0001786711575947207,0.0002185575100884237,0.00027354977723682725,0.04106299773777696,6.456688348154848e-05,0.000114946594829209,0.0001712367198397622,0.006540530927658629,0.0001412138202930946,0.00021043626943078477,0.020107477612084732,0.0002478831900089607,0.0388850768041358,0.8915195661944584
rh_chr1_443667,"{Vv,Vv}",0.8962372933341911,0.8888256714294904,Vv,Vv,chr01,438310,True,0.0001536558158577808,0.00011318337080001312,0.00013483404443027192,0.0001645800507079124,0.04027988255860123,4.72329179238668e-05,7.760268116462672e-05,0.00010866775594276454,0.005241294639951467,8.760418298342095e-05,0.00012962040238422517,0.01901107575879497,0.00014406387661621564,0.0380694086096501,0.8962372933341911
rh_chr1_547952,"{Vv,Vv}",0.9009094724218685,0.8938315775948591,Vv,Vv,chr01,544389,False,4.977349577904193e-05,5.187682538692091e-05,5.530023211417572e-05,5.9811666576693474e-05,0.03949383243714823,3.415746964458424e-05,4.4427436417221846e-05,5.027888579680275e-05,0.003946109519077409,3.8839468768223354e-05,5.2993180870528914e-05,0.017915979604934133,4.590115623429548e-05,0.037251246199383324,0.9009094724218685
rh_chr1_631086,"{Vv,Vv}",0.911289724227504,0.90495327595804,Vv,Vv,chr01,627268,True,4.13800113845634e-05,4.472947558428617e-05,4.781662315473574e-05,5.163009058353767e-05,0.03532360032602676,2.8501411778710966e-05,3.814730644818312e-05,4.326880370904738e-05,0.003680212128974848,3.2290376093661684e-05,4.563677146289938e-05,0.016109871035864767,3.7844105506104435e-05,0.03318534730592387,0.911289724227504
rh_chr1_741516,"{Vv,Vv}",0.925208214643785,0.9198659442611982,Vv,Vv,chr01,737678,True,3.1328042961320843e-05,3.574327495747853e-05,3.8395228466742663e-05,4.128924567920482e-05,0.029755804953747956,2.1750317216185597e-05,3.032457549070915e-05,3.447312295601052e-05,0.0032842931582234922,2.448764891550086e-05,3.6393628937488775e-05,0.013673613417308224,2.824112892093501e-05,0.027755647612433737,0.925208214643785
rh_chr1_1060803,"{Vv,Vv}",0.9651447523411405,0.9626550917940792,Vv,Vv,chr01,1049416,True,8.614273413305033e-06,9.641804220495201e-06,1.0792331766849545e-05,1.063618533374562e-05,0.01394004615640329,6.538639874459815e-06,8.10088802214603e-06,8.981923492089553e-06,0.0019053154460257655,7.036628661899297e-06,9.373299148338491e-06,0.006598646049393665,6.811623719064292e-06,0.012324712409384321,0.9651447523411405
rh_chr1_1170229,"{Vv,Vv}",0.9769627892524686,0.9753172741990735,Vv,Vv,chr01,1140710,True,5.25742900921968e-06,5.871418703535521e-06,6.973242496811906e-06,6.48271506004197e-06,0.009291640949318298,4.100286774661027e-06,4.914783420543703e-06,5.3787343481780806e-06,0.001429152201644666,4.449473691573531e-06,5.715273228612548e-06,0.004476147141418225,3.8136312826936687e-06,0.00778731346713429,0.9769627892524686
rh_chr1_1304008,"{Vv,Vv}",0.993173958460608,0.9926863840649371,Vv,Vv,chr01,1265000,False,2.407189644676792e-06,1.8301782233143112e-06,2.9912027794531786e-06,2.2181506973501986e-06,0.002943661916462164,1.8005646812117246e-06,1.51267040658923e-06,1.5678689276010039e-06,0.0007269717817106428,2.225998054906783e-06,1.9566702472718684e-06,0.0015460477892339632,1.4465158218027928e-06,0.0015894030425010939,0.993173958460608
