Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9727527727605322,0.9708065422434273,Vv,Vv,chr01,89866,False,3.190871253639951e-05,1.1248344736324602e-05,1.6924518588874516e-05,1.2609205648069033e-05,0.019160079005378652,1.529961994947623e-06,2.6538617580493377e-06,3.192172413586935e-06,0.0018844174201087772,3.5616773714168638e-06,3.824631702030648e-06,0.0026553989321101436,3.7600577295918957e-06,0.0034561187373908717,0.9727527727605322
rh_chr1_268616,"{Vv,Vv}",0.9771974803115014,0.9755687289051801,Vv,Vv,chr01,263248,False,1.8621113372769882e-05,3.509415807105269e-06,9.156289252415356e-06,4.341530393197566e-06,0.018290224736957395,3.343692916755627e-07,7.347838807583866e-07,1.0097188025057463e-06,0.0006946546279713691,1.8168258784626e-06,1.3675618686912077e-06,0.0014798341671856952,1.4519439229996809e-06,0.002295462603913481,0.9771974803115014
rh_chr1_334737,"{Vv,Vv}",0.9789885737653912,0.9774877576057762,Vv,Vv,chr01,329439,False,4.35168069444045e-06,8.053853922831697e-07,2.445304079319428e-06,1.3410071198605034e-06,0.01792211938808009,1.6785259336273013e-07,3.821685154043707e-07,5.527352444940025e-07,0.0002337900767158617,1.0328488926092731e-06,7.740581985613499e-07,0.0009971907851817135,8.495362249115899e-07,0.001845623407675879,0.9789885737653912
rh_chr1_443667,"{Vv,Vv}",0.9798545943901765,0.9784156368466177,Vv,Vv,chr01,438310,True,2.440469155095025e-06,5.106440235972061e-07,1.4381429984652491e-06,8.400579872430176e-07,0.01714048778540208,9.900011174878102e-08,2.270794683259388e-07,3.2039005838171516e-07,0.00018606047093522668,5.797954529922011e-07,4.503043483279195e-07,0.0009582648921061982,4.711880767851466e-07,0.001853215389699109,0.9798545943901765
rh_chr1_547952,"{Vv,Vv}",0.980731304130698,0.9793549687114621,Vv,Vv,chr01,544389,False,5.555164407640538e-07,1.659328185681846e-07,4.109234248745254e-07,2.2959919703612192e-07,0.01637509767860565,5.042403859107639e-08,8.668038577432167e-08,9.775161317454547e-08,0.00012948233364117498,1.7409564728308444e-07,1.2854200756957212e-07,0.000910683707526632,1.070128717536245e-07,0.001851425671083208,0.980731304130698
rh_chr1_631086,"{Vv,Vv}",0.9838482355467364,0.982694538085789,Vv,Vv,chr01,627268,True,3.9929332696461633e-07,1.7480079115771218e-07,3.401079980999097e-07,2.236943460066376e-07,0.013655540590451142,3.1834164867069967e-08,6.11034509762559e-08,7.164418880220774e-08,0.000134004613826428,1.1271183888964812e-07,9.576316276291145e-08,0.0007963113007173096,7.280827049311451e-08,0.001564324186729782,0.9838482355467364
rh_chr1_741516,"{Vv,Vv}",0.9880429671657602,0.987188893391886,Vv,Vv,chr01,737678,False,1.5696776495210675e-07,9.684243432215487e-08,1.6260348404622216e-07,1.1923089416332283e-07,0.01003735710223929,1.0866769112272389e-08,2.534250841035857e-08,3.0732954928184983e-08,0.00012332527707939757,4.067453965805978e-08,4.211649601904598e-08,0.0006281918003454469,2.727835019571123e-08,0.0011674459983799037,0.9880429671657602
rh_chr1_1060803,"{Vv,Vv}",0.9947557319043583,0.9943811413260981,Vv,Vv,chr01,1049416,True,6.45833095884625e-08,6.525302733709557e-08,8.663282636215885e-08,7.955516903508194e-08,0.004282911653129611,2.626558721557161e-09,8.750473615469086e-09,1.2285711869474507e-08,8.85154848942712e-05,1.0770504289973984e-08,1.8651649887271563e-08,0.00035143952420243303,1.0245395185237427e-08,0.0005210420787894666,0.9947557319043583
rh_chr1_1170229,"{Vv,Vv}",0.9967799865209127,0.9965499855581208,Vv,Vv,chr01,1140710,False,1.3795174113983577e-08,1.583631013092871e-08,2.1929708932208573e-08,2.422268288277365e-08,0.0025997923395909956,5.609064680445532e-10,2.3366577665646543e-09,3.814878411518726e-09,5.700883964929513e-05,2.7727589274214247e-09,6.143284181694184e-09,0.00025017795886356686,3.2786991268898806e-09,0.00031293964992246907,0.9967799865209127
rh_chr1_1304008,"{Vv,Vv}",0.9983719312220066,0.9982556405950072,Vv,Vv,chr01,1265000,False,3.3937360012018706e-09,6.478147053781866e-09,5.821393186502437e-09,4.77657169909793e-09,0.0013006566309277994,2.2661205761138666e-10,9.724871895233933e-10,1.1797965093814595e-09,2.9118621594919147e-05,7.672803461072186e-10,1.4215915638773297e-09,0.00017128438248824023,5.421389451933517e-10,0.0001269835632279004,0.9983719312220066
