Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9636291500782851,0.961031232226734,Vv,Vv,chr01,89866,True,0.00013144682930876368,7.13916050535851e-05,7.452631964936821e-05,8.943867712557681e-05,0.015573091949054067,3.2747366602531837e-05,3.993406018702896e-05,4.7335689584245446e-05,0.00588989426477075,3.694159601802863e-05,4.979033835597687e-05,0.006476203610699479,5.190663851743506e-05,0.007806200976788059,0.9636291500782851
rh_chr1_268616,"{Vv,Vv}",0.9720021723443576,0.9700023275118117,Vv,Vv,chr01,263248,False,6.573087015354459e-05,2.180553465657136e-05,2.3707297498479443e-05,3.599455363156806e-05,0.013739099180627453,8.85614224411206e-06,9.959857020449711e-06,1.4538984709424927e-05,0.0038231572872422835,1.049801482322858e-05,1.5742807928554678e-05,0.004423560941829691,1.967931547823612e-05,0.005785496867798856,0.9720021723443576
rh_chr1_334737,"{Vv,Vv}",0.972963365890589,0.9710321777399168,Vv,Vv,chr01,329439,True,5.152606879717259e-05,1.7016075468911473e-05,1.8336996355947124e-05,2.9664249428416756e-05,0.013272844393100624,6.707297071905554e-06,7.5458789099837225e-06,1.1809657170306606e-05,0.0036877046777171424,7.85375127413947e-06,1.2707642778123581e-05,0.00427489709676163,1.622147572198428e-05,0.005621798848854753,0.972963365890589
rh_chr1_443667,"{Vv,Vv}",0.9745792377583656,0.9727634690268203,Vv,Vv,chr01,438310,False,2.9203313576791352e-05,9.204716457356718e-06,9.588124004427776e-06,1.9351454010035497e-05,0.012497385326582476,3.3428761469195943e-06,3.6207450878653247e-06,7.358726288977586e-06,0.0034553432349764984,3.702424668289022e-06,7.758988384709353e-06,0.004020875366609645,1.0750013351557566e-05,0.005343276931488852,0.9745792377583656
rh_chr1_547952,"{Vv,Vv}",0.9755040069168527,0.9737542931251993,Vv,Vv,chr01,544389,True,2.4295927445695014e-05,7.852429887042486e-06,8.050045519177941e-06,1.6561387638471767e-05,0.012002596178446847,2.7395643509072426e-06,3.002178057674368e-06,6.239436392533699e-06,0.0033441068110730628,3.006154169419764e-06,6.453095298411977e-06,0.0038809283147209855,8.981472942801913e-06,0.005181180087204323,0.9755040069168527
rh_chr1_631086,"{Vv,Vv}",0.9762497004106044,0.9745532504399333,Vv,Vv,chr01,627268,True,2.05949370512427e-05,6.771502985044048e-06,6.827553802412022e-06,1.4402474206331504e-05,0.011611432147509999,2.2780119027727827e-06,2.5076272185617592e-06,5.367170344089795e-06,0.003250802532637533,2.473002640553215e-06,5.439326521776172e-06,0.0037653335646194016,7.642026323377857e-06,0.005048427711632479,0.9762497004106044
rh_chr1_741516,"{Vv,Vv}",0.9772753521363462,0.9756521630032281,Vv,Vv,chr01,737678,False,1.581596991107644e-05,5.270954469444578e-06,5.140319187891059e-06,1.1501728888619563e-05,0.011083872806985463,1.6729021750851131e-06,1.8193208292636883e-06,4.184106316013125e-06,0.003117718904312057,1.773461222366366e-06,4.070402405444572e-06,0.0036027368021429463,5.904483238493568e-06,0.0048631657015696704,0.9772753521363462
rh_chr1_1060803,"{Vv,Vv}",0.9786018220150567,0.9770733807304179,Vv,Vv,chr01,1049416,True,1.5134853780522935e-05,6.687100815740334e-06,6.1529578416358745e-06,1.2489410542381676e-05,0.01025037027310599,1.8288665056761001e-06,2.259634243661243e-06,4.73601954628502e-06,0.003014110772008768,1.8635037502806088e-06,4.315844560660183e-06,0.0034237809786049093,5.5305254729042025e-06,0.004648917244163865,0.9786018220150567
rh_chr1_1170229,"{Vv,Vv}",0.9790417332314705,0.9775447141765755,Vv,Vv,chr01,1140710,False,1.4881351787416077e-05,6.995229150402615e-06,6.3371504314338794e-06,1.2684136674237705e-05,0.009996017978009693,1.8487011045558416e-06,2.33807778330625e-06,4.851725925199566e-06,0.0029698773730172778,1.8607454628682896e-06,4.335654549171624e-06,0.0033577660180333637,5.396193908200716e-06,0.004573076432692427,0.9790417332314705
rh_chr1_1304008,"{Vv,Vv}",0.9803831103380283,0.9789819039336017,Vv,Vv,chr01,1265000,True,1.2965121286145425e-05,6.29742684273468e-06,6.5466441412382925e-06,1.1537802228187529e-05,0.009192426518100911,1.602218728775425e-06,2.356246899888336e-06,4.3800321601426964e-06,0.0027271412355565,1.854842602612831e-06,4.3220434906222315e-06,0.0033480995857963994,4.756344351940071e-06,0.004292603599785603,0.9803831103380283
