Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9994377160014829,0.9993975528587317,Vv,Vv,chr01,89866,False,5.008296370514206e-07,5.18624874407361e-07,5.277954527229294e-07,5.255484909992703e-07,0.00019124307366305302,2.725620622284559e-07,4.1532566194574626e-07,4.1261715620782547e-07,0.00011934564878379649,2.8925322116696503e-07,4.211333119849179e-07,0.00012494508076277896,2.8352899974140986e-07,0.00012258297643908276,0.9994377160014829
rh_chr1_268616,"{Vv,Vv}",0.9997942847262679,0.9997795907781442,Vv,Vv,chr01,263248,False,4.5466876051333737e-08,2.745336563868047e-08,2.930420038182534e-08,3.018430627431294e-08,0.00010915931099265879,6.787544258866609e-09,1.1003383757481789e-08,1.140836491570713e-08,2.8830263582384577e-05,8.701344913930557e-09,1.2585521038653887e-08,3.5086361211881006e-05,9.213851314239374e-09,3.244722918670568e-05,0.9997942847262679
rh_chr1_334737,"{Vv,Vv}",0.9998796065482622,0.9998710070159953,Vv,Vv,chr01,329439,False,7.738998911949607e-09,5.9901644017694565e-09,6.436087222992804e-09,6.974573213090017e-09,8.942064320415787e-05,1.998096437549292e-09,2.959745423444839e-09,3.2522367581089067e-09,7.018888192678309e-06,2.3274841115500457e-09,3.5055196000609508e-09,1.350888335860387e-05,2.8646760058299487e-09,1.040098940018845e-05,0.9998796065482622
rh_chr1_443667,"{Vv,Vv}",0.9999113019526038,0.9999049663777898,Vv,Vv,chr01,438310,False,3.3166254412932046e-09,2.804274182872658e-09,3.035600228230576e-09,3.371061000562119e-09,5.6757020801580245e-05,7.478047420692946e-10,1.2763874117868419e-09,1.4441550629375152e-09,8.413232088553475e-06,8.9351007116938e-10,1.5837342601646123e-09,1.2091144674875573e-05,1.207089437398705e-09,1.141696958936122e-05,0.9999113019526038
rh_chr1_547952,"{Vv,Vv}",0.999971066872654,0.9999690002207008,Vv,Vv,chr01,544389,False,7.483412295841893e-10,4.876865387090285e-10,5.582695184733738e-10,7.213989010113143e-10,1.7871492723125198e-05,1.0150081189851735e-10,1.6773018156406172e-10,2.4969490017055617e-10,2.4844965717883306e-06,1.343240976969073e-10,2.915839963971337e-10,3.4416856267297576e-06,2.7672409373448526e-10,5.131715170095781e-06,0.999971066872654
rh_chr1_631086,"{Vv,Vv}",0.999947323174314,0.9999435605439079,Vv,Vv,chr01,627268,False,5.84655225725851e-10,4.3862327305053676e-10,5.096444787207688e-10,6.625477727073434e-10,2.4149492602915485e-05,7.954961547501877e-11,1.5109008510837564e-10,2.371196979449662e-10,6.421289881352003e-06,1.063948800075463e-10,2.8127970326868457e-10,7.803505519551363e-06,2.3726565049921793e-10,1.4299249511812956e-05,0.999947323174314
rh_chr1_741516,"{Vv,Vv}",0.9999426103486821,0.9999385110878737,Vv,Vv,chr01,737678,False,3.29691871281889e-10,3.2580219675858123e-10,3.991502035534802e-10,5.174868720041274e-10,2.5815632438166615e-05,4.967236148108335e-11,1.163051891532264e-10,2.1167856090487775e-10,4.908142093313067e-06,6.61356656547712e-11,2.625058065055519e-10,6.8634991194416696e-06,1.6494590198716617e-10,1.979993429233213e-05,0.9999426103486821
rh_chr1_1060803,"{Vv,Vv}",0.9999672136238434,0.9999648717398323,Vv,Vv,chr01,1049416,False,1.961450257178112e-11,3.078652810213414e-11,3.566911218542426e-11,4.3199088235181427e-11,9.596279995808393e-06,1.0457613589927773e-11,2.1543681018313197e-11,2.869911660435482e-11,6.523780606841461e-06,1.3195991262328325e-11,3.311706852198775e-11,6.9796823679469815e-06,1.9194181331861256e-11,9.686377709019887e-06,0.9999672136238434
rh_chr1_1170229,"{Vv,Vv}",0.9999942268755083,0.9999938145094732,Vv,Vv,chr01,1140710,False,2.7807605286392985e-12,6.390179663128887e-12,6.3499614223626e-12,7.67269594676247e-12,1.127161710624735e-06,2.8582236037212016e-12,5.2695138200621676e-12,6.7340344025207374e-12,1.1039876710093193e-06,2.19685990462241e-12,6.644852334145928e-12,1.1423591951708073e-06,3.022829527157962e-12,2.3995659949653977e-06,0.9999942268755083
rh_chr1_1304008,"{Vv,Vv}",0.9999962965028157,0.9999960319673026,Vv,Vv,chr01,1265000,False,1.653843245552272e-12,2.5535348377278534e-12,3.0447053230833906e-12,2.2958440394691208e-12,4.574351050996797e-07,7.379115309628131e-12,2.5628824243806694e-12,2.8256358631128933e-12,2.4101189120754973e-06,2.2728889883094474e-12,2.4259996015278783e-12,4.989375601171033e-07,1.1568935762193957e-12,3.3697743565129105e-07,0.9999962965028157
rh_chr1_1400565,"{Vv,Vv}",0.9999886166345224,0.9999878035369884,Vv,Vv,chr01,1361620,False,8.107878818864447e-12,1.2780789667941451e-11,1.4528013649084236e-11,5.441907211804455e-12,2.944986334429232e-06,3.575173276171136e-11,1.2650816540619897e-11,1.505733374006026e-11,3.4725779262597755e-06,1.4237097478746487e-11,5.506989672930972e-12,4.074162906288753e-06,3.837719626425196e-12,8.915104103882869e-07,0.9999886166345224
rh_chr1_1482273,"{Vv,Vv}",0.9999649339087393,0.999962429187935,Vv,Vv,chr01,1441962,False,2.8431393107650482e-11,6.612859318727488e-11,5.554338948060346e-11,3.6746805792602026e-11,5.051063815375744e-06,1.7535053788531995e-10,7.209319823200973e-11,6.792703146971604e-11,1.9948012264982696e-05,3.525713432411112e-11,4.1269996737000104e-11,5.444422641012645e-06,1.9171443667299502e-11,4.621994619733765e-06,0.9999649339087393
rh_chr1_1623606,"{Vv,Vv}",0.9999086167657717,0.9999020893918983,Vv,Vv,chr01,1583376,True,2.1963623886704375e-10,5.31282716375671e-10,3.7054738171326945e-10,3.405726515461827e-10,2.1199372458623508e-05,3.7711314242498484e-10,5.366852979768291e-10,5.087025559874013e-10,2.9552870111660627e-05,2.200824508372637e-10,3.4623955215618233e-10,2.1245473770312824e-05,1.8571230346774279e-10,1.9381881313355678e-05,0.9999086167657717
