Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.999610962000566,0.999583173572035,Vv,Vv,chr01,89866,False,2.1722282327514362e-07,3.4132203825970694e-07,3.418602684842914e-07,3.427604293486437e-07,0.0001002041518299436,2.024255985851735e-07,3.347229930394151e-07,3.3550680187571804e-07,9.489678737142523e-05,2.0336568584136674e-07,3.359878001344849e-07,9.524681992461521e-05,2.0495464683278324e-07,9.583011122235231e-05,0.999610962000566
rh_chr1_268616,"{Vv,Vv}",0.9999849787984098,0.9999839058554391,Vv,Vv,chr01,263248,False,1.937010283086016e-09,1.9513377166968145e-09,2.0313838212591163e-09,2.168108827126184e-09,7.83985999119875e-06,1.146771757913237e-09,1.870288776221549e-09,1.8872381492136763e-09,1.910068208746031e-06,1.1623809695837673e-09,1.908368263729214e-09,2.3011510995012375e-06,1.211099812298327e-09,2.9528483023770965e-06,0.9999849787984098
rh_chr1_334737,"{Vv,Vv}",0.9999982730102184,0.9999981496538054,Vv,Vv,chr01,329439,False,1.4077372943513122e-10,1.401858870240543e-10,1.4641266811701646e-10,1.612488442146859e-10,7.403970136338658e-07,8.038924383079158e-11,1.3260565751096912e-10,1.3811711696941825e-10,2.753939470692281e-07,8.227987761955551e-11,1.4023839499144642e-10,3.193347294165654e-07,9.863472988795412e-11,3.9060320544201297e-07,0.9999982730102184
rh_chr1_443667,"{Vv,Vv}",0.9999983372390769,0.9999982184704396,Vv,Vv,chr01,438310,False,7.1362828652030025e-12,6.1948849144331465e-12,6.561596179047051e-12,1.0586803295351559e-11,4.569567540166561e-07,3.387425312198884e-12,5.355454279845361e-12,8.35612029475807e-12,3.103684330799585e-07,3.5694267684353584e-12,8.59792961020166e-12,3.4902086608149077e-07,1.4903549226712598e-11,5.463402204567803e-07,0.9999983372390769
rh_chr1_547952,"{Vv,Vv}",0.9999933672788841,0.9999928935130901,Vv,Vv,chr01,544389,False,5.0828053572545185e-12,4.620471163012348e-12,4.920768145433202e-12,1.5367982032231793e-11,1.3357262423392419e-06,2.1969172837658154e-12,3.169320706732936e-12,1.2137170858592064e-11,7.70472342739453e-07,2.395781314816532e-12,1.2500530616317564e-11,8.288888929149994e-07,4.391176687911226e-11,3.6975273343844988e-06,0.9999933672788841
rh_chr1_631086,"{Vv,Vv}",0.9999423151636115,0.9999381948181553,Vv,Vv,chr01,627268,False,4.961746232650947e-11,5.399611584113814e-11,5.7289841907323604e-11,2.0181945125344181e-10,1.157012778555423e-05,2.2652679986978465e-11,3.5802763836244096e-11,1.637967990590196e-10,5.8013183004187245e-06,2.4481923043437827e-11,1.6742684726335087e-10,6.364003053668745e-06,6.644391256367605e-10,3.3947945925804176e-05,0.9999423151636115
rh_chr1_741516,"{Vv,Vv}",0.9999330540695103,0.9999282722173325,Vv,Vv,chr01,737678,False,8.88144828180482e-11,1.2841626527766958e-10,1.4741783317295336e-10,3.4634805167370205e-10,1.8635443410473e-05,3.404404585333796e-11,7.404390305475107e-11,2.4937495572899483e-10,5.244382397423097e-06,3.918580410867678e-11,2.8389564349454944e-10,6.877010029820953e-06,4.357643724372705e-10,3.618726734656873e-05,0.9999330540695103
rh_chr1_1060803,"{Vv,Vv}",0.9999367542103613,0.9999322366539586,Vv,Vv,chr01,1049416,False,1.156897832027819e-10,1.9973013854612083e-10,2.0351358415384792e-10,3.250720085348828e-10,1.5614858772194283e-05,9.225720596475742e-11,1.5920257125305884e-10,2.801092591117628e-10,1.2801456058526672e-05,9.088628300957335e-11,2.838737776852444e-10,1.2860987404484598e-05,2.023127647214351e-10,2.1966534756188267e-05,0.9999367542103613
rh_chr1_1170229,"{Vv,Vv}",0.9999844054852711,0.9999832915913619,Vv,Vv,chr01,1140710,False,1.115075630287887e-11,2.4938086855145114e-11,2.4199860769570327e-11,4.316126597252918e-11,3.093736055043095e-06,1.3113106902923562e-11,2.2177043800660117e-11,4.202794520462276e-11,3.3391510050498227e-06,1.0052892740513419e-11,4.016055931282373e-11,2.9419171218117484e-06,2.6341257905772414e-11,6.2194532241911254e-06,0.9999844054852711
rh_chr1_1304008,"{Vv,Vv}",0.9999947751552942,0.999994401952101,Vv,Vv,chr01,1265000,False,2.8801522700957133e-12,6.523588617630235e-12,5.285067981922058e-12,6.522356502300411e-12,6.939773960317942e-07,1.0094853486439836e-11,6.562087939873402e-12,7.834588407835138e-12,3.178375924370777e-06,3.1674454094714995e-12,6.8418714323522214e-12,7.358332404570693e-07,3.5691343769564932e-12,6.165988637555714e-07,0.9999947751552942
