Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA1,NA2}",0.8608607381629565,0.8509222194603105,NA1,NA2,chr01,89866,False,9.218919760402064e-05,3.312784726407589e-05,0.006591624939404636,0.004353468821883175,0.00015668220774125982,8.203190618517106e-06,0.0023200814488924058,0.0019721429453036093,2.7279581172992e-05,0.10742781344222,0.8608607381629565,0.006606348642944409,0.005792450373717901,0.0037124328794050894,4.541631887123885e-05
rh_chr1_268616,"{NA1,NA2}",0.8786470955699397,0.8699790309677925,NA1,NA2,chr01,263248,False,4.980459165111544e-05,7.1191375820967035e-06,0.004104839916416646,0.0020310967646318973,0.00011461761470475168,1.2431402509956624e-06,0.0008644533575969324,0.0005973850845984168,7.5192520146187905e-06,0.1046886372446458,0.8786470955699397,0.004917017940106162,0.0018826432969050095,0.002072268642392036,1.4258446563775294e-05
rh_chr1_334737,"{NA1,NA2}",0.8892472628207665,0.8813363530222498,NA1,NA2,chr01,329439,False,2.1817481862324166e-05,2.7571558908946175e-06,0.002696257226231461,0.000328183180908859,4.645288379675749e-05,4.0846734624832164e-07,0.00035983455319745297,9.290323032670819e-05,2.6459707104023203e-06,0.10406340228443499,0.8892472628207665,0.0024456084052697467,0.00036040987223525794,0.00032624919102925397,5.807275993071434e-06
rh_chr1_443667,"{NA1,NA2}",0.8898994120117416,0.8820350842982946,NA1,NA2,chr01,438310,False,1.0879352001809432e-05,1.4062616289755765e-06,0.002329036907373952,0.00019173282928457806,2.4444527702391866e-05,1.753693205764916e-07,0.0002232315488657805,5.4283750076183716e-05,1.3530959878493777e-06,0.10510247894614806,0.8898994120117416,0.0017601719208841017,0.00021131217783868858,0.0001869675676666671,3.1137334787049326e-06
rh_chr1_547952,"{NA1,NA2}",0.8905833716463237,0.8827678981924897,NA1,NA2,chr01,544389,False,2.531887837048249e-06,3.843321863623639e-07,0.0019570102950711124,5.1343683210327464e-05,8.525165653015194e-06,6.394593050782698e-08,7.977399760508358e-05,1.203142618799173e-05,5.486273826467468e-07,0.10611807388777396,0.8905833716463237,0.0010817315447445716,5.871395214669039e-05,4.440917529343211e-05,1.4864326537171833e-06
rh_chr1_631086,"{NA1,NA2}",0.8902956849857641,0.8824596624847472,NA1,NA2,chr01,627268,True,1.5780923387334574e-06,2.629121564809394e-07,0.0016024295299430285,3.590933268944374e-05,5.9668008818945315e-06,4.006572300392751e-08,7.627794961020169e-05,9.721581627642417e-06,3.952270730712123e-07,0.10689040923667387,0.8902956849857641,0.001004050407399613,4.345933703862114e-05,3.2731492911982446e-05,1.0830481682525292e-06
rh_chr1_741516,"{NA1,NA2}",0.8899490637520999,0.8820882825915356,NA1,NA2,chr01,737678,False,6.661984999626798e-07,1.2263327554673928e-07,0.001123963553106236,1.1273211679557346e-05,3.1298670129952477e-06,1.6866355957244984e-08,6.29944505129845e-05,3.447232758514245e-06,2.1379570420268715e-07,0.10792133376293828,0.8899490637520999,0.0008924440707721872,1.7052736671844188e-05,1.3659891592858533e-05,6.179770188889846e-07
rh_chr1_1060803,"{NA1,NA2}",0.8816938386029501,0.8732433985031609,NA1,NA2,chr01,1049416,False,1.8128816161676257e-07,4.744386318346878e-08,0.0006455375210611304,1.6362080695454625e-05,1.334746779355244e-06,7.1451698680075995e-09,8.579844978353073e-05,1.1589630678871054e-05,1.1814462689583029e-07,0.11649655078653612,0.8816938386029501,0.0009832264321893596,3.250539144792889e-05,3.255984686766181e-05,3.4248918881147383e-07
rh_chr1_1170229,"{NA1,NA2}",0.8793499466962322,0.8707320857459631,NA1,NA2,chr01,1140710,False,9.456469370264104e-08,2.7406141904008925e-08,0.000486921030471838,1.2377761163916093e-05,9.388734489677584e-07,3.81930382375294e-09,7.19242017970978e-05,8.71368177284874e-06,8.807933262612244e-08,0.11901857178530652,0.8793499466962322,0.000990789149368798,2.6736464374009057e-05,3.2609352563050124e-05,2.571340287502363e-07
rh_chr1_1304008,"{NA1,NA2}",0.8749412857378658,0.8660085204334276,NA1,NA2,chr01,1265000,False,2.1984525917419845e-08,5.450535874208992e-09,0.0003000399326020185,3.593468558640331e-06,1.8574120852730346e-07,6.715969162303374e-10,4.935652406770136e-05,1.4942554927296458e-06,1.4916986831561668e-08,0.12399087038884879,0.8749412857378658,0.0007025307275264486,5.146595487060462e-06,5.393854766109214e-06,5.97499304675238e-08
