Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Mus,Mus}",0.9962580001055249,0.9959907143987767,Mus,Mus,chr01,89866,False,4.3761595884889676e-07,0.00016363581996516196,6.412828211145728e-07,1.517318161085182e-06,7.086388577229283e-07,0.9962580001055249,0.00017216887063190457,0.0030078366523811303,0.0003877249035713412,4.652374626840341e-07,1.5340260566599622e-06,7.241147047703233e-07,2.3412592880799087e-06,1.6720801347853486e-06,5.92074479583294e-07
rh_chr1_268616,"{Mus,Mus}",0.9973839381030597,0.9971970765389926,Mus,Mus,chr01,263248,False,6.092748866283119e-08,4.414072441028372e-05,7.63847419585498e-08,2.433931613806941e-07,9.89413788271397e-08,0.9973839381030597,5.3571387108670144e-05,0.0023801424733025174,0.00013650244943727655,6.548131365152558e-08,2.4654103863677585e-07,1.0248228356063504e-07,3.809218436532557e-07,3.145383519016517e-07,1.1525107925891744e-07
rh_chr1_334737,"{Mus,Mus}",0.9987752639745958,0.9986877828299241,Mus,Mus,chr01,329439,False,3.930086566166636e-08,2.2497223907872357e-05,4.667546910003639e-08,1.532186492962584e-07,6.482564132289945e-08,0.9987752639745958,2.679768298026321e-05,0.0010952308891173288,7.90979089207853e-05,4.220514170094008e-08,1.5506612839660365e-07,6.711601686531031e-08,2.49249707727274e-07,2.1145123839259503e-07,8.321161939069788e-08
rh_chr1_443667,"{Mus,Mus}",0.9988496817209676,0.9987675161296081,Mus,Mus,chr01,438310,True,2.6521821593658407e-08,4.243374505874302e-05,3.258078174710235e-08,1.1348567179671081e-07,4.685843198134658e-08,0.9988496817209676,4.601536776237866e-05,0.0009538437915323176,0.00010721936664551441,2.8458898539163577e-08,1.1473206760427433e-07,4.849056103852467e-08,1.730613214112389e-07,1.6094839460021447e-07,6.087008331534711e-08
rh_chr1_547952,"{Mus,Mus}",0.998951844543406,0.9988769762965064,Mus,Mus,chr01,544389,False,1.5780915594544334e-08,5.41496646518844e-05,2.0409490183645202e-08,7.407367447208964e-08,3.0697028346821593e-08,0.998951844543406,5.7034371120558875e-05,0.0008094247474671057,0.0001270272752483211,1.690647607942612e-08,7.480989187080897e-08,3.1732608959399125e-08,1.049757067412545e-07,1.091919711920846e-07,4.0820342828302905e-08
rh_chr1_631086,"{Mus,Mus}",0.9989523321136087,0.9988774986931521,Mus,Mus,chr01,627268,True,1.3665892150862292e-08,6.983695822988842e-05,1.8806062276840724e-08,7.254178129431747e-08,2.8761843660975165e-08,0.9989523321136087,7.233312739829974e-05,0.0007488617332105032,0.00015614622568512515,1.4605229700528118e-08,7.316655575131719e-08,2.9680283144183112e-08,9.366398136942108e-08,1.0775646196380406e-07,3.7193776374099496e-08
rh_chr1_741516,"{Mus,Mus}",0.9989806230578416,0.998907810419116,Mus,Mus,chr01,737678,True,1.1081103019622064e-08,8.363929015333973e-05,1.675776953573796e-08,6.668042253289181e-08,2.6082065120412995e-08,0.9989806230578416,8.561957924819918e-05,0.0006616911891259503,0.00018799115999934362,1.1786804308859408e-08,6.716235995619593e-08,2.683104744087052e-08,7.671181063575228e-08,1.0012783797142476e-07,3.2502411053601917e-08
rh_chr1_1060803,"{Mus,Mus}",0.9992315073440587,0.9991766150114915,Mus,Mus,chr01,1049416,True,3.1674572746949756e-09,7.878910168695915e-05,4.866164890594541e-09,1.814570967428263e-08,9.131038680640096e-09,0.9992315073440587,7.932189579790734e-05,0.00037518692930027883,0.00023506018043137887,3.303889400745462e-09,1.820737181069937e-08,9.276713704721017e-09,1.9637942026781668e-08,3.269187589129608e-08,1.612056150339837e-08
rh_chr1_1170229,"{Mus,Mus}",0.999352580380866,0.9993063361223565,Mus,Mus,chr01,1140710,False,1.2016354204975622e-09,6.512053799963471e-05,1.9158710418239093e-09,6.8584032129800905e-09,3.4673374487914347e-09,0.999352580380866,6.523286783583495e-05,0.00028017352842295485,0.0002368383505440779,1.2497454228385003e-09,6.880957211633808e-09,3.4825088095817614e-09,7.204482492048836e-09,1.1831657987351699e-08,1.0241732278020516e-08
rh_chr1_1304008,"{Mus,Mus}",0.9994062118388791,0.9993637983987991,Mus,Mus,chr01,1265000,False,9.060886025950691e-10,5.829341548606668e-05,1.5717766387016383e-09,4.857534044592668e-09,2.0924500612086875e-09,0.9994062118388791,5.793605478859346e-05,0.00020855233413982663,0.000268966474406682,9.348620203509166e-10,4.877704934818089e-09,2.0344499394171763e-09,4.659333680446245e-09,6.0469006578722325e-09,1.1901199159963195e-08
