Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9271897561815161,0.9219890244801958,Vv,Vv,chr01,89866,False,2.408029820874766e-05,0.000464686730839512,3.599065593823477e-05,0.00027093517167163967,0.006714365360766241,0.0004346737574336537,0.0004569265538663091,0.0004727645988961658,0.033937882853102896,3.9097206065527084e-05,0.0002679766606417157,0.00713039460957483,0.0002967425186859774,0.022263726842792424,0.9271897561815161
rh_chr1_268616,"{Vv,Vv}",0.9406765774283786,0.9364391901018343,Vv,Vv,chr01,263248,True,1.4091034320277697e-05,0.00031686335056950205,2.1688392586576772e-05,0.00016190950094079317,0.005398579621272569,0.0002814220718773042,0.0003115777122444907,0.00032526163109500257,0.028753451461159256,2.249128295972554e-05,0.0001602019983895636,0.005733143446361306,0.00017977769958611744,0.01764296336825883,0.9406765774283786
rh_chr1_334737,"{Vv,Vv}",0.9458829659948597,0.9420174635659211,Vv,Vv,chr01,329439,True,1.0906090359235545e-05,0.00027230438048378734,1.7270715283740413e-05,0.0001303512441442033,0.004866235992400942,0.00023140519312745292,0.00026771716506162463,0.00028039003772158534,0.02673869490011942,1.7306748190088467e-05,0.00012896402137515094,0.005169389601846315,0.0001440025313288254,0.015842095383698095,0.9458829659948597
rh_chr1_443667,"{Vv,Vv}",0.9545777824054229,0.9513333382915246,Vv,Vv,chr01,438310,True,6.170870263403827e-06,0.000203673526243707,1.0161319883844744e-05,8.240939960379664e-05,0.003953229610899302,0.00015601470111904715,0.00020011577856145161,0.0002107974226080555,0.023378844897233138,9.715633749486635e-06,8.147178223456859e-05,0.004204312850203733,9.244332522925147e-05,0.012832856476744281,0.9545777824054229
rh_chr1_547952,"{Vv,Vv}",0.9631810406131577,0.960551114942669,Vv,Vv,chr01,544389,False,2.3762219281406097e-06,0.00014682234722219748,4.146435101582018e-06,4.425363214401359e-05,0.003018646970620413,9.231137274537344e-05,0.00014405704924494087,0.0001526148855596294,0.020050670920574994,3.734986273903783e-06,4.362074181582753e-05,0.0032185230510364945,5.2451567130020236e-05,0.009844729205444807,0.9631810406131577
rh_chr1_631086,"{Vv,Vv}",0.9680247537873726,0.9657408076293278,Vv,Vv,chr01,627268,True,2.082868819999761e-06,0.00011736528987974979,3.901715321465974e-06,3.733727091217141e-05,0.0027238392441848985,6.823483795227775e-05,0.00011500082428503657,0.00012255321507194318,0.016949923125973196,3.186250795525915e-06,3.6785164654732565e-05,0.0029094611026492657,4.275216619103682e-05,0.00884282313593598,0.9680247537873726
rh_chr1_741516,"{Vv,Vv}",0.9745608991029198,0.972743820467414,Vv,Vv,chr01,737678,False,1.6520528715419159e-06,8.245502375454227e-05,3.399406207174883e-06,2.8794773025604197e-05,0.002304524425108832,4.1631853574316035e-05,8.049541932674823e-05,8.659823413716444e-05,0.012792816711719434,2.45802750240519e-06,2.832529812624568e-05,0.0024713911069885104,3.1277928276851876e-05,0.007483280636460887,0.9745608991029198
rh_chr1_1060803,"{Vv,Vv}",0.9896367248649643,0.9888964909267475,Vv,Vv,chr01,1049416,True,2.8307920817705297e-07,1.0532067926611888e-05,6.302734193653813e-07,4.375336449758063e-06,0.0009278923428736429,5.954921964948445e-06,1.1701396580247991e-05,1.2497596378013926e-05,0.004796205570657062,5.603621332778333e-07,4.929690531367191e-06,0.0011334950352330899,5.901066324357023e-06,0.0034483163953557983,0.9896367248649643
rh_chr1_1170229,"{Vv,Vv}",0.9941324571323503,0.9937133469275182,Vv,Vv,chr01,1140710,False,8.787844740455108e-08,2.871728902664157e-06,2.095747443018767e-07,1.4224150336965283e-06,0.0004870918057588183,1.9042894229484131e-06,3.881322401049888e-06,3.7943355421659268e-06,0.0024239740725163703,2.6843048104676313e-07,1.943036957419105e-06,0.0007046538234281579,2.367402117286489e-06,0.002233072751896333,0.9941324571323503
rh_chr1_1304008,"{Vv,Vv}",0.9962539047696151,0.9959863265388733,Vv,Vv,chr01,1265000,False,2.1004540193210734e-08,6.801763612384389e-07,4.3319333361057855e-08,3.048487936703518e-07,0.0002995587007248657,6.114411387108668e-07,8.658275273112201e-07,9.543849254124455e-07,0.0017291949046328505,5.598398018013254e-08,3.940453452043796e-07,0.00040200847585821435,5.858271674165661e-07,0.0013108162900562859,0.9962539047696151
rh_chr1_1400565,"{Vv,Vv}",0.9965638657441616,0.9963184275830302,Vv,Vv,chr01,1361620,False,1.3574412997209424e-08,3.857064258295848e-07,2.8818516951043993e-08,1.9264563819331198e-07,0.000299777965749902,3.3014284190073436e-07,4.846382617886383e-07,5.772916156104398e-07,0.001546205212280009,3.294721188141114e-08,2.44847300940421e-07,0.00038513299774467355,3.6944492612640493e-07,0.0012023580229115474,0.9965638657441616
rh_chr1_1482273,"{Vv,Vv}",0.9966694833743109,0.9964315893296188,Vv,Vv,chr01,1441962,True,1.579825975662093e-08,3.5368223587955767e-07,3.460499002070349e-08,1.8508790862732473e-07,0.00031674405110216936,2.9304422529129215e-07,4.3580646659059184e-07,5.256923111125512e-07,0.001464099261151788,3.268265113594331e-08,2.2891324295292706e-07,0.0003897190190563297,3.254222468482109e-07,0.001157523559840521,0.9966694833743109
rh_chr1_1623606,"{Vv,Vv}",0.9968971313641884,0.9966754978902019,Vv,Vv,chr01,1583376,True,1.7467750628069836e-08,2.837213401228903e-07,3.8720374292559534e-08,1.5942070207632523e-07,0.0003357583838635546,2.2189083476776503e-07,3.3826561502314856e-07,4.158547860233944e-07,0.0013097535926725919,2.9537580282165678e-08,1.8901563345678276e-07,0.00038698138385456814,2.451582021936284e-07,0.0010684362226019435,0.9968971313641884
rh_chr1_1879893,"{Vv,Vv}",0.997445098759914,0.9972626058141937,Vv,Vv,chr01,1839399,True,1.1276024616437765e-08,1.1351008027647267e-07,2.2855387906244864e-08,7.165379148922685e-08,0.0003349238070004427,8.060949399834419e-08,1.2512158203264954e-07,1.5905077589486804e-07,0.0009982924772030297,1.4503551584748531e-08,7.788181432742749e-08,0.00034688130191865083,9.386332578749267e-08,0.00087403332813594,0.997445098759914
