Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9869427433544897,0.9860100821655247,Vv,Vv,chr01,89866,False,3.00396810314492e-06,3.3578323475152243e-06,3.7211231467972335e-06,3.773976530697973e-06,0.005730961882031126,1.997142699956246e-06,3.0436425858348744e-06,3.0968971430947396e-06,0.0004714053459713714,2.5377887667942287e-06,3.459279395799443e-06,0.0031976412585685956,2.6164221981223246e-06,0.003626640086021389,0.9869427433544897
rh_chr1_268616,"{Vv,Vv}",0.9945826681693314,0.9941957158957122,Vv,Vv,chr01,263248,True,7.91181840634478e-07,8.721078332756343e-07,9.862059716458562e-07,1.0004516856053907e-06,0.0023634403145600807,5.065251508956576e-07,7.856817875951849e-07,8.003716050830697e-07,0.00021172754325305025,6.689056814414165e-07,9.137064238806148e-07,0.001329387416806191,6.892438882545447e-07,0.0015047621741809095,0.9945826681693314
rh_chr1_334737,"{Vv,Vv}",0.9975317230276597,0.9973554175296354,Vv,Vv,chr01,329439,False,4.3334099047021947e-07,4.7327745878786675e-07,5.434207680322779e-07,5.510158329066405e-07,0.001072869440173202,2.702529280732379e-07,4.259699435493208e-07,4.3402748469972265e-07,9.832097823717522e-05,3.679740692080195e-07,5.034803748284254e-07,0.0006066981198286328,3.7863751377678e-07,0.0006860070367369458,0.9975317230276597
rh_chr1_443667,"{Vv,Vv}",0.9985616555212319,0.9984589166298913,Vv,Vv,chr01,438310,True,1.9839950487490428e-07,2.273284919087637e-07,2.687670831875384e-07,2.7222335034863147e-07,0.0006193051243046817,1.1725011470582947e-07,2.0418139578607032e-07,2.0813064625063336e-07,6.230465260870815e-05,1.701230456221335e-07,2.489805674232317e-07,0.0003547175242024376,1.744423445018941e-07,0.00039992735110760497,0.9985616555212319
rh_chr1_547952,"{Vv,Vv}",0.9995988049461648,0.9995701481566052,Vv,Vv,chr01,544389,False,7.363372324706678e-08,7.290865966096332e-08,9.411426156061598e-08,9.478472653298001e-08,0.00016998782722842354,3.8549811419740454e-08,6.590223182226612e-08,6.709837362232047e-08,1.7192113136787154e-05,6.51593278530274e-08,8.783934831313867e-08,0.00010054451213793936,6.605718085835964e-08,0.00011274455368721908,0.9995988049461648
rh_chr1_631086,"{Vv,Vv}",0.9995877292489592,0.9995582813381706,Vv,Vv,chr01,627268,False,6.012657039326066e-08,6.195780492492802e-08,8.175087322589971e-08,8.227673986077931e-08,0.000163989560081019,3.022877426050216e-08,5.5596927146393245e-08,5.667660175068276e-08,2.8357386812098458e-05,5.332715770044079e-08,7.60053541417098e-08,0.00010437822828117373,5.390738377812436e-08,0.00011493372167923884,0.9995877292489592
rh_chr1_741516,"{Vv,Vv}",0.9996002645260631,0.9995717119922105,Vv,Vv,chr01,737678,True,4.3987609309000214e-08,4.8359581993242705e-08,6.596723090445498e-08,6.625760519544815e-08,0.00014924531926380062,2.085703555978644e-08,4.30550735413709e-08,4.394438538238737e-08,3.6311990626325475e-05,3.934238692993527e-08,6.111449211926997e-08,0.00010266478872089402,3.950564285792586e-08,0.00011104098428203398,0.9996002645260631
rh_chr1_1060803,"{Vv,Vv}",0.9998044803127109,0.9997905146207616,Vv,Vv,chr01,1049416,False,7.129918534562431e-09,4.365745952313822e-09,1.2810260284142859e-08,1.2058883456067514e-08,6.582125133698834e-05,1.971562323321953e-09,3.916354718695173e-09,3.9374344030971e-09,1.6021577979658845e-05,7.755358836026177e-09,1.2181013099710656e-08,5.56581843897114e-05,6.8280635890690775e-09,5.794571898750772e-05,0.9998044803127109
rh_chr1_1170229,"{Vv,Vv}",0.9999209475008165,0.9999153008937319,Vv,Vv,chr01,1140710,False,2.334640055766034e-09,1.631371097621809e-09,4.626413712409864e-09,4.078679995469983e-09,2.4049693509876895e-05,7.07555407680558e-10,1.509576565479877e-09,1.4193585213626138e-09,7.84293543606111e-06,2.765846667134623e-09,4.27567032608304e-09,2.2320302682980073e-05,2.065300350584521e-09,2.4814153141932685e-05,0.9999209475008165
rh_chr1_1304008,"{Vv,Vv}",0.9999814077072618,0.9999800796863519,Vv,Vv,chr01,1265000,False,3.2087131301150094e-10,1.7081660652607845e-10,7.041191268311266e-10,4.491630145256993e-10,4.779001944665543e-06,1.0050850479451023e-10,2.131778772483989e-10,1.3516148961074488e-10,4.313537733983144e-06,5.969840737589363e-10,6.202758687418777e-10,6.319229695054442e-06,2.320667027002356e-10,3.176980219900967e-06,0.9999814077072618
