Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA1,Vv}",0.5333197875006589,0.4999854866078488,NA1,Vv,chr01,89866,False,0.00045991000864031877,0.0021354195161614182,0.006533497467990873,0.0004140796810226044,0.02850985445867314,0.0005231627985817033,0.04568025327333959,0.0015195920084699248,0.006951258822984255,0.07944210971282113,0.008325584718385242,0.5333197875006589,0.0003125465559559927,0.01424876697690659,0.2716241764994084
rh_chr1_268616,"{NA1,Vv}",0.5515377311709037,0.5195047119688253,NA1,Vv,chr01,263248,False,0.0003668966301568592,0.002032870856251264,0.005782171240502447,0.00033704651491227604,0.028127120937424213,0.0003049916845165378,0.04609595098202178,0.001412135216388816,0.005602242830350903,0.07890587703073772,0.007650198407495743,0.5515377311709037,0.00024440774464735943,0.013335468577044098,0.2582648901766465
rh_chr1_334737,"{NA1,Vv}",0.574157924485018,0.543740633376805,NA1,Vv,chr01,329439,True,0.0003216034926424127,0.0019863577886519487,0.005501978065385604,0.0003124822936418803,0.027214683246385152,0.00023310693588311562,0.0467818942566271,0.0013866711841335473,0.005176254249500554,0.07928098124018551,0.007571322000360719,0.574157924485018,0.00022631540470551762,0.013232940231715418,0.2366154851251635
rh_chr1_443667,"{NA1,Vv}",0.6114120820569456,0.5836558022038704,NA1,Vv,chr01,438310,False,0.0002521855583799754,0.0019067761001702614,0.005020375943457822,0.00027262059060101027,0.02564531205690806,0.00011326431802754727,0.04795288134648855,0.001343479780836828,0.00435103914360842,0.0799422512902838,0.007434990403948891,0.6114120820569456,0.00019743425235037505,0.012980946505022004,0.20117436065297073
rh_chr1_547952,"{NA1,Vv}",0.6470002133453032,0.6217859428699677,NA1,Vv,chr01,544389,False,0.0001835507167474423,0.001849321208985462,0.00444386214149087,0.00023187765129915856,0.02400241059164252,3.522029936003679e-05,0.04960903823996147,0.001318436255298924,0.003819956409056459,0.08050617687037029,0.0072641483495709605,0.6470002133453032,0.00016953628969204064,0.012691493536688244,0.1668747580945329
rh_chr1_631086,"{NA1,Vv}",0.6551402790881938,0.6305074418802077,NA1,Vv,chr01,627268,True,0.0001753083089195123,0.001667399917102516,0.005558284188457019,0.00023693115786960602,0.021674544252578438,3.666941996926226e-05,0.04827885238558589,0.0012037899281767829,0.0037296309881638323,0.09513297388739923,0.008323503722504642,0.6551402790881938,0.00016231926699997043,0.011745293304337101,0.14693422018374241
rh_chr1_741516,"{NA1,Vv}",0.6647863319131952,0.6408424984784235,NA1,Vv,chr01,737678,True,0.0001601051549454381,0.0014298658407923364,0.006908465093668569,0.00023410154594953684,0.018577017669637527,3.6988144261758944e-05,0.04647787953504201,0.001052428669875111,0.003512664761127053,0.11550688670685129,0.009694034749608975,0.6647863319131952,0.000149801114992999,0.010403723114535857,0.12106970598551618
rh_chr1_1060803,"{NA1,Vv}",0.6846411876996491,0.6621155582496241,NA1,Vv,chr01,1049416,True,9.24875025389222e-05,0.00074940043741645,0.009824925094267627,0.00016194328513300418,0.009530085739177086,2.7647994717098853e-05,0.04114109610098605,0.0006108133536295632,0.0022723700358202484,0.1800081173167527,0.013243700767672669,0.6846411876996491,9.532047135166766e-05,0.0059906968315794505,0.05161020736930836
rh_chr1_1170229,"{NA1,Vv}",0.6883848446252233,0.6661266192413107,NA1,Vv,chr01,1140710,True,6.842135476288792e-05,0.0005817709616899819,0.01042399895801237,0.0001296911056835512,0.007107863746900278,2.2271590469453193e-05,0.03950205857509579,0.0004949242322546327,0.001811011844242758,0.19969203493358317,0.014191646948340162,0.6883848446252233,7.446814233603125e-05,0.00467443465933932,0.032840558322066254
rh_chr1_1304008,"{NA1,Vv}",0.6919773023423517,0.6699756810810911,NA1,Vv,chr01,1265000,False,3.272898793419161e-05,0.00036030911640039855,0.011035724577696769,7.596454235186782e-05,0.0038354794407411048,1.3192731401511642e-05,0.037195601288843964,0.0003381380015050237,0.0010945966863094164,0.2276850932324777,0.015396469622254272,0.6919773023423517,4.243362276477772e-05,0.002808821251282999,0.008108144555684232
