Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9871060278454281,0.9861850298343873,Vv,Vv,chr01,89866,False,2.479010628073408e-06,2.647153559864906e-06,2.9203647239713707e-06,2.9959625288384087e-06,0.005835892666028404,1.4846712296407708e-06,2.291684854571505e-06,2.358842750253181e-06,0.00045219304663415605,1.8668742055557207e-06,2.6228231896336965e-06,0.0030604135763866217,1.981038294837428e-06,0.0035218244395574406,0.9871060278454281
rh_chr1_268616,"{Vv,Vv}",0.9947487278706768,0.9943736370042966,Vv,Vv,chr01,263248,False,2.1520150195154992e-07,1.622311713996338e-07,1.8255354469336004e-07,2.0313736373731475e-07,0.0024699730179557197,6.553215683728485e-08,9.629433714569359e-08,1.118298163000437e-07,0.0001905837024564527,8.642628360271125e-08,1.2750147100833664e-07,0.0011904096259169647,1.14107540824572e-07,0.0013989409678064767,0.9947487278706768
rh_chr1_334737,"{Vv,Vv}",0.9964901821351718,0.9962394808591126,Vv,Vv,chr01,329439,False,6.208429298036945e-08,5.001327720958808e-08,5.670963972253981e-08,6.322126730723596e-08,0.001668699821025929,1.7225673584349627e-08,2.9019420147412623e-08,3.380503262655855e-08,0.00013025504744864814,2.3141858548244948e-08,3.902062934047508e-08,0.0007849715164261648,3.083441919123314e-08,0.000925486404416768,0.9964901821351718
rh_chr1_443667,"{Vv,Vv}",0.9981125695434998,0.9979777530823212,Vv,Vv,chr01,438310,True,2.6189460464667172e-08,2.3651029665922126e-08,2.7974261619443043e-08,3.1071878988282596e-08,0.0009234434367351961,5.713332677086838e-09,1.309408685179539e-08,1.530836162484637e-08,7.268918824962262e-05,8.622471870328917e-09,1.891125277850883e-08,0.00040685519147163875,1.1581655462924978e-08,0.0004842605222516713,0.9981125695434998
rh_chr1_547952,"{Vv,Vv}",0.9997284686621348,0.999709073566573,Vv,Vv,chr01,544389,False,4.466911859794858e-09,1.5175588057511477e-09,1.8476216049644843e-09,2.310764274924948e-09,0.00019072661625713143,2.0824292544016087e-10,4.975778136445717e-10,7.004411779023472e-10,5.533851475850774e-06,3.58226089235535e-10,9.130008263118331e-10,2.9466982206072587e-05,7.282769866031781e-10,4.579033930380724e-05,0.9997284686621348
rh_chr1_631086,"{Vv,Vv}",0.9998063158924065,0.9997924813132927,Vv,Vv,chr01,627268,False,3.062728921098993e-09,5.440527707479348e-10,6.815115291518974e-10,1.0057473798547536e-09,0.00015855281344691148,7.32108629408328e-11,2.1012273294637994e-10,3.390396917572395e-10,2.370404180166554e-06,1.4884279951156809e-10,4.675907322945086e-10,9.354120125188517e-06,3.768063904045075e-10,2.339986018730695e-05,0.9998063158924065
rh_chr1_741516,"{Vv,Vv}",0.9998570432328271,0.9998468320351719,Vv,Vv,chr01,737678,False,9.329042020004172e-10,4.02552589049629e-10,4.692112969794873e-10,6.268393979389991e-10,0.0001112638917592974,3.2783666191603825e-11,1.0139148874170616e-10,1.529707161221753e-10,2.207017724938257e-06,6.608606146419635e-11,2.1191431917301135e-10,5.203529997338829e-06,1.2929774459044995e-10,2.4279201739837847e-05,0.9998570432328271
rh_chr1_1060803,"{Vv,Vv}",0.9999363637656107,0.9999318183202972,Vv,Vv,chr01,1049416,False,9.6515045261965e-11,1.1609615396682093e-10,1.428637538875627e-10,1.3515585639209117e-10,3.0360644257585744e-05,2.0220364252144072e-11,3.5808585933316494e-11,4.52007768462193e-11,9.000904118775071e-06,3.8552400948753403e-11,5.890559370675279e-11,1.0341980957975255e-05,3.28149785650408e-11,1.3931982921521523e-05,0.9999363637656107
rh_chr1_1170229,"{Vv,Vv}",0.9999679991335957,0.9999657133574239,Vv,Vv,chr01,1140710,False,7.615766373132159e-11,1.199777085004747e-10,1.6162189192851837e-10,1.301404451180676e-10,1.2218964204912963e-05,2.661135630387309e-11,6.13306422443004e-11,6.153872632468341e-11,5.4640372813800626e-06,6.511222305176141e-11,8.769583696776873e-11,6.622648736340886e-06,3.333103384090087e-11,7.69439266408049e-06,0.9999679991335957
rh_chr1_1304008,"{Vv,Vv}",0.9999832778664025,0.9999820834282884,Vv,Vv,chr01,1265000,False,3.871266177628498e-11,4.308366615804202e-11,1.1940717973561382e-10,5.940766988040116e-11,3.6351374557793044e-06,2.068610854125774e-11,4.2320706909012915e-11,2.9486415156500224e-11,4.625329043983133e-06,1.2766254100593046e-10,9.127481495936701e-11,6.116626197144825e-06,2.6604346540400314e-11,2.344442254545028e-06,0.9999832778664025
rh_chr1_1400565,"{Vv,Vv}",0.9999543305451399,0.9999510684412214,Vv,Vv,chr01,1361620,False,5.585676923305539e-11,6.87675036325661e-11,1.9092292109790383e-10,8.245769534721541e-11,7.989394735639823e-06,3.745133353888914e-11,8.251394035382721e-11,6.525862479966348e-11,4.136347165196991e-06,4.2567770840880586e-10,1.9104160808300472e-10,2.7566864121335867e-05,5.992318631199698e-11,5.975588966540583e-06,0.9999543305451399
rh_chr1_1482273,"{Vv,Vv}",0.9999097555244237,0.999903309490454,Vv,Vv,chr01,1441962,False,1.0690389553587795e-10,1.5899469145810786e-10,4.1396373371987134e-10,2.04645250663854e-10,1.2998552646942266e-05,7.30164599288821e-11,1.8900016001698792e-10,1.3689845063503417e-10,8.059531235863456e-06,1.0838760271289989e-09,6.636730583835795e-10,5.143728880255073e-05,1.5111451409676058e-10,1.774592080470613e-05,0.9999097555244237
rh_chr1_1623606,"{Vv,Vv}",0.999877511051073,0.9998687618404354,Vv,Vv,chr01,1583376,True,2.819855051708103e-10,5.048280672814288e-10,1.138765203592489e-09,6.511779179443291e-10,2.397723142104354e-05,2.139138028218775e-10,9.281679787584498e-10,5.442789478999146e-10,1.9705903413349743e-05,1.0972526727093352e-09,1.3540235878561273e-09,5.093138854648842e-05,3.4957396456495237e-10,2.786736157846005e-05,0.999877511051073
rh_chr1_1879893,"{Vv,Vv}",0.9999481402581347,0.9999444359908586,Vv,Vv,chr01,1839399,False,9.318524377178383e-11,1.5410479070657856e-10,2.798133142589826e-10,2.1091155004906936e-10,1.1545287908194634e-05,6.04582670123946e-11,2.251119576230898e-10,1.67429497144185e-10,8.435170231760726e-06,1.8257161856880246e-10,3.217348017619198e-10,1.7954792824722097e-05,1.1141507566391397e-10,1.3922684164506596e-05,0.9999481402581347
rh_chr1_1999515,"{Vv,Vv}",0.9999798227855391,0.9999783815559348,Vv,Vv,chr01,1959058,False,4.07153617893361e-11,5.252965992458284e-11,8.40774389194045e-11,7.806557780134865e-11,5.7970007802127505e-06,1.8452514108084423e-11,6.076983984837217e-11,5.282896969958194e-11,3.365472243138012e-06,4.3731132668741095e-11,8.601661527740455e-11,5.592885284636446e-06,3.821013561225838e-11,5.42130075560208e-06,0.9999798227855391
rh_chr1_2145831,"{Vv,Vv}",0.9999410289418369,0.9999368167233966,Vv,Vv,chr01,2106048,True,1.8663173830389599e-10,1.9285421236521907e-10,2.2624630968382442e-10,2.719097903028817e-10,1.9122854009553587e-05,7.995200207432772e-11,1.7236248233368736e-10,1.8053682942913133e-10,1.122036455949124e-05,1.0067176375653555e-10,2.129914736182821e-10,1.2510845859653483e-05,1.3957087415520213e-10,1.6115230006904416e-05,0.9999410289418369
rh_chr1_2306205,"{Vv,Vv}",0.9999605476334043,0.9999577296072188,Vv,Vv,chr01,2265211,False,1.9093649725097066e-10,1.1886747824492658e-10,1.2925181635762508e-10,2.718062226046432e-10,1.8208050394931252e-05,4.65138940117289e-11,1.050515713643257e-10,1.1181466986720254e-10,4.316114066002017e-06,5.356205279443787e-11,1.2189153513290393e-10,4.60194157540386e-06,1.074109594218422e-10,1.232500345266246e-05,0.9999605476334043
