marker,chrom,pos
Muscat_CM,chr05,4062044
Muscat_CT,chr05,4061806
P1_1_7679179_1002_VariantMasked,chr02,5068888
P1_1_7687844_1002_VariantMasked,chr02,5062632
P1_apt3_7641402_1002_VariantMasked,chr02,5074924
P2_INP1_7819486_1002_VariantMasked,chr02,4949627
REN4_PsGc31_1268945_1269945,chr08,12581166
REN4_PsGc31_1387489_1388489,chr18,35120616
REN4_PsGc31_555062_556062,chr18,34135737
rh_chr1_10143990,chr01,10087616
rh_chr1_10197542,chr01,10141108
rh_chr1_10270991,chr01,10214574
rh_chr1_10327568,chr01,10271205
rh_chr1_10502666,chr01,10455471
rh_chr1_1060803,chr01,1049416
rh_chr1_10608149,chr01,10560797
rh_chr1_10668596,chr01,10621020
rh_chr1_10871127,chr01,10828008
rh_chr1_11081651,chr01,11038354
rh_chr1_11409494,chr01,11365884
rh_chr1_1170229,chr01,1140710
rh_chr1_11721015,chr01,11657832
rh_chr1_11933074,chr01,11870063
rh_chr1_12209767,chr01,12142706
rh_chr1_12424864,chr01,12356248
rh_chr1_12562013,chr01,12493327
rh_chr1_12633525,chr01,12565742
rh_chr1_12754531,chr01,12666078
rh_chr1_12827804,chr01,12739314
rh_chr1_12892148,chr01,12803646
rh_chr1_12994384,chr01,12907415
rh_chr1_1304008,chr01,1265000
rh_chr1_13061028,chr01,12974137
rh_chr1_13380398,chr01,13305448
rh_chr1_13579877,chr01,13107362
rh_chr1_1400565,chr01,1361620
rh_chr1_14682355,chr01,13761095
rh_chr1_14789269,chr01,13652144
rh_chr1_1482273,chr01,1441962
rh_chr1_15601127,chr01,19186510
rh_chr1_1623606,chr01,1583376
rh_chr1_16657949,chr01,20241866
rh_chr1_16914460,chr01,20492036
rh_chr1_17053165,chr01,20630864
rh_chr1_17438406,chr01,21014584
rh_chr1_17642169,chr01,21217962
rh_chr1_17835220,chr01,21411247
rh_chr1_18659545,chr01,22225654
rh_chr1_18751108,chr01,22316420
rh_chr1_1879893,chr01,1839399
rh_chr1_18877141,chr01,22437610
rh_chr1_19421864,chr01,22984146
rh_chr1_19567235,chr01,23114578
rh_chr1_19658817,chr01,23206078
rh_chr1_19775332,chr01,23322055
rh_chr1_1999515,chr01,1959058
rh_chr1_20000089,chr01,23546829
rh_chr1_20297007,chr01,23847020
rh_chr1_20434288,chr01,23984240
rh_chr1_20624760,chr01,24168496
rh_chr1_20722844,chr01,24266422
rh_chr1_20843669,chr01,24387358
rh_chr1_20914451,chr01,24458004
rh_chr1_20986109,chr01,24529718
rh_chr1_21185705,chr01,24729406
rh_chr1_21277450,chr01,24820377
rh_chr1_2145831,chr01,2106048
rh_chr1_21821786,chr01,25357219
rh_chr1_21945869,chr01,25480690
rh_chr1_22123159,chr01,25659262
rh_chr1_22193391,chr01,25729272
rh_chr1_22284028,chr01,25820024
rh_chr1_22352558,chr01,25886133
rh_chr1_22424733,chr01,25958276
rh_chr1_22582321,chr01,26115892
rh_chr1_22701079,chr01,26234681
rh_chr1_22874519,chr01,26424501
rh_chr1_22974826,chr01,26524925
rh_chr1_23051638,chr01,26601719
rh_chr1_2306205,chr01,2265211
rh_chr1_23108100,chr01,26658150
rh_chr1_23329538,chr01,26877766
rh_chr1_23665313,chr01,27238254
rh_chr1_23733091,chr01,27306045
rh_chr1_23872484,chr01,27445346
rh_chr1_24215944,chr01,27788822
rh_chr1_2424927,chr01,2384046
rh_chr1_2618562,chr01,2577582
rh_chr1_268616,chr01,263248
rh_chr1_2718543,chr01,2677534
rh_chr1_2822616,chr01,2781082
rh_chr1_2955463,chr01,2913710
rh_chr1_3008587,chr01,2966940
rh_chr1_3077430,chr01,3035452
rh_chr1_3142598,chr01,3100650
rh_chr1_3325315,chr01,3282755
rh_chr1_334737,chr01,329439
rh_chr1_3523735,chr01,3481846
rh_chr1_3758335,chr01,3716202
rh_chr1_3875541,chr01,3833574
rh_chr1_3959025,chr01,3919488
rh_chr1_4330482,chr01,4291652
rh_chr1_443667,chr01,438310
