Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA2,Vv}",0.8220949051478579,0.8093873983727049,NA2,Vv,chr01,89866,False,3.303350710444427e-05,0.00015512380085753094,0.0001075159567037939,0.026269243924031866,0.0015626371102047004,5.223697828964141e-05,0.0004241129683571927,0.008578383111834207,0.0031474933761628933,0.00014229829175961447,0.08385661762424815,0.003226746509069718,0.047220340815113046,0.8220949051478579,0.0031293108784052445
rh_chr1_268616,"{NA2,Vv}",0.8369811850071035,0.8253369839361824,NA2,Vv,chr01,263248,False,1.9920095213401087e-05,5.266012522680728e-05,7.384927953038504e-05,0.024467718174549867,0.0010239542308175538,1.2526038706771302e-05,0.00016439699415618815,0.0060757881984256756,0.001061633796830506,7.31250185201534e-05,0.08315930906095209,0.0026827310456137457,0.04252017688842137,0.8369811850071035,0.0016310260459318823
rh_chr1_334737,"{NA2,Vv}",0.8480747586138694,0.8372229556577172,NA2,Vv,chr01,329439,False,1.539839945543636e-05,2.1359467445396857e-05,4.518910403122226e-05,0.02381544063897152,0.0008254358437610581,3.013597094629021e-06,5.2117929649878254e-05,0.005062538107326648,0.0003019271414003237,3.68371241991647e-05,0.0785490172690424,0.001480886566698356,0.04058450203564081,0.8480747586138694,0.0011315781614137674
rh_chr1_443667,"{NA2,Vv}",0.8626683684044839,0.8528589661476613,NA2,Vv,chr01,438310,True,1.679389069481686e-05,1.3665662210924463e-05,4.379319773642113e-05,0.022587008532815638,0.0009290375657433738,1.5235594067326437e-06,3.163681990421058e-05,0.0033825141582960578,0.00021851158427579185,3.188797781725711e-05,0.07076415036178944,0.0014478334410362899,0.03672603900157254,0.8626683684044839,0.0011372358422166691
rh_chr1_547952,"{NA2,Vv}",0.8770052528556673,0.8682199137739293,NA2,Vv,chr01,544389,False,1.773364507044475e-05,6.091859240244739e-06,4.062498851169599e-05,0.021361967960791733,0.0010247323607571039,6.184619289592739e-07,1.4315675568111333e-05,0.0017160524016685166,0.00012669467412996962,2.6814158908268008e-05,0.0632099231139995,0.0013897123434401287,0.03292264814006535,0.8770052528556673,0.0011368173602526448
rh_chr1_631086,"{NA2,Vv}",0.8958238572724492,0.8883827042204813,NA2,Vv,chr01,627268,False,1.7040222792760633e-05,3.957992691985909e-06,3.2740206231838066e-05,0.019322621657115475,0.001127392809200066,3.412156043020908e-07,9.746576954607789e-06,0.0011818313049584406,0.00011003468693873267,2.047734959855506e-05,0.05242773101913289,0.0013662513157126517,0.02736683125166796,0.8958238572724492,0.0011891451189505052
rh_chr1_741516,"{NA2,Vv}",0.9086116559096334,0.9020839170460359,NA2,Vv,chr01,737678,False,1.2050679082603936e-05,2.654760882022164e-06,2.544789141343744e-05,0.01647068338677419,0.0009591783537276978,1.747866016019871e-07,6.549980110729208e-06,0.0008913897837296191,8.335904970564838e-05,1.5885780301535267e-05,0.0463259694204408,0.001241574667533422,0.024355656688887086,0.9086116559096334,0.00099776886117619
rh_chr1_1060803,"{NA2,Vv}",0.9441281994390622,0.9401373565418524,NA2,Vv,chr01,1049416,False,2.651180418718351e-06,2.7967680617492483e-07,6.9832040890560094e-06,0.00830878994982949,0.00041227094935852084,1.3164044268362566e-08,6.973614030009201e-07,0.00026361236929537454,1.693446700916885e-05,5.197244566130795e-06,0.030077597425890248,0.0008081910148988331,0.015557229244351892,0.9441281994390622,0.00041135330897679596
rh_chr1_1170229,"{NA2,Vv}",0.9575429327740194,0.9545102851150208,NA2,Vv,chr01,1140710,False,9.696616459286362e-07,1.375828643302427e-07,2.79119039279079e-06,0.005138032646641544,0.00023189054126686589,4.706870108102731e-09,2.935968063980965e-07,0.0002250424886296543,1.179589758217131e-05,2.1884215571922784e-06,0.02384461082668835,0.0006543688942332397,0.012073457043349233,0.9575429327740194,0.0002714837274528647
rh_chr1_1304008,"{NA2,Vv}",0.9722125629871451,0.9702277460576555,NA2,Vv,chr01,1265000,False,1.7271602141817659e-07,5.0876577445357477e-08,4.528908813846695e-07,0.0032761471350354543,6.0877701355717555e-05,2.1064064407063004e-09,1.425828155588936e-07,0.00025228307096827315,4.2309803188336945e-06,3.165792404245527e-07,0.015040637320792045,0.00013984593701447823,0.00900004876928233,0.9722125629871451,1.2228346144995198e-05
