Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9893558061253924,0.9885955065629205,Vv,Vv,chr01,89866,False,1.217973143316204e-05,1.7236993384848734e-05,1.2790703316657092e-05,1.2920252115046084e-05,0.0024314289172148403,1.922413944886188e-05,1.682949271435482e-05,1.6765374049642097e-05,0.003475830468108791,1.1291083050758713e-05,1.2509806391083021e-05,0.0022994995234511748,1.149215413030484e-05,0.002294195235798008,0.9893558061253924
rh_chr1_268616,"{Vv,Vv}",0.9907231826009778,0.990060552786762,Vv,Vv,chr01,263248,True,7.0557821268106275e-06,1.0776022789856699e-05,7.480391451549085e-06,7.626859636120605e-06,0.002092307716705887,1.20080072953724e-05,1.0524614771083237e-05,1.0471653858321716e-05,0.00318658671419545,6.472635595840678e-06,7.36729348078069e-06,0.001957893698018759,6.698826519276439e-06,0.0019535471825770884,0.9907231826009778
rh_chr1_334737,"{Vv,Vv}",0.9912684683960687,0.9906447875672165,Vv,Vv,chr01,329439,True,5.385977632207033e-06,8.644532136136297e-06,5.811852076648838e-06,5.963865709919689e-06,0.00195619554172399,9.516419254700157e-06,8.452578239807339e-06,8.40311145086563e-06,0.003069674903987789,4.917708074838898e-06,5.76169480992929e-06,0.00182081606997349,5.152074298724965e-06,0.0018168352745621525,0.9912684683960687
rh_chr1_443667,"{Vv,Vv}",0.9921964135359599,0.9916390145028142,Vv,Vv,chr01,438310,True,2.8741208915579777e-06,5.238551312815776e-06,3.19020832578306e-06,3.350995314815192e-06,0.0017241167522892512,5.627749299878509e-06,5.145683982834024e-06,5.101664386370518e-06,0.002869382775856645,2.5940134624688946e-06,3.2444685397461623e-06,0.0015871287595238441,2.840671708566378e-06,0.00158375004914548,0.9921964135359599
rh_chr1_547952,"{Vv,Vv}",0.9931364814010946,0.9926462300726013,Vv,Vv,chr01,544389,False,7.591220679142649e-07,2.1888644336059144e-06,9.353806056313827e-07,1.1039543421099789e-06,0.001488211033085198,2.1394248766521178e-06,2.193485763325102e-06,2.154122186793429e-06,0.002664692540483485,6.60912681284799e-07,1.0914835510480858e-06,0.0013496309556562745,9.179334559693796e-07,0.0013468393857161663,0.9931364814010946
rh_chr1_631086,"{Vv,Vv}",0.9935949218381401,0.9931374162551502,Vv,Vv,chr01,627268,True,6.387958274552183e-07,1.8963390968448437e-06,8.381421511461043e-07,9.712863701702414e-07,0.0013861036907429206,1.8089351205811994e-06,1.9175234241127186e-06,1.8828303507174271e-06,0.00251705595382226,5.51938422657596e-07,9.67672133846301e-07,0.0012457758167949218,7.708669180340733e-07,0.0012438983706842357,0.9935949218381401
rh_chr1_741516,"{Vv,Vv}",0.9942356524817715,0.9938239133733265,Vv,Vv,chr01,737678,True,4.861420704495252e-07,1.5085643023699196e-06,7.02694156454332e-07,7.921084504470872e-07,0.0012424749417161275,1.3873029535102294e-06,1.5529555130692116e-06,1.5235986306968299e-06,0.0023132249331665705,4.151407485311865e-07,8.013019980720068e-07,0.001099784328508552,5.888966515821216e-07,0.0010991046093620795,0.9942356524817715
rh_chr1_1060803,"{Vv,Vv}",0.9962331709564984,0.9959641117391055,Vv,Vv,chr01,1049416,True,9.118896855950509e-08,2.9140490051357806e-07,2.2077069722712339e-07,1.9303485333616594e-07,0.0007894244492023302,2.806751522402779e-07,4.097476288160691e-07,3.920648663370294e-07,0.0016927911346879018,7.026381283205449e-08,2.4558375925713033e-07,0.0006398462260306357,1.4406406107144074e-07,0.0006424284348804702,0.9962331709564984
rh_chr1_1170229,"{Vv,Vv}",0.9968687680717073,0.9966451086482578,Vv,Vv,chr01,1140710,False,1.0805311184617107e-08,4.301611343394163e-08,1.3034924546709977e-07,8.26068115700975e-08,0.0006437457199105062,2.7683459281730975e-08,1.846060993022397e-07,1.6812038375377225e-07,0.0014989359029300097,5.819446022743102e-09,1.4942472831541553e-07,0.0004920910742769661,6.3454490246081e-08,0.0004955933450866597,0.9968687680717073
rh_chr1_1304008,"{Vv,Vv}",0.9983163393008617,0.9981960778223519,Vv,Vv,chr01,1265000,False,1.4965193797694479e-09,1.067076362823718e-08,1.3851212759108814e-08,7.390564746900583e-09,0.00026943480009378185,1.0382347206204382e-08,4.241027513713024e-08,2.8946423866332695e-08,0.000990344808451065,1.1563100698127979e-09,1.4716372609185765e-08,0.00025026172015061687,6.249370469347773e-09,0.00017348210028286941,0.9983163393008617
rh_chr1_1400565,"{Vv,Vv}",0.998545984110569,0.9984421258327526,Vv,Vv,chr01,1361620,False,6.497899170093535e-10,9.648101516340749e-09,4.704300749409319e-09,2.276416764665727e-09,0.0002257589485176644,7.398968978954948e-09,2.9776997954114387e-08,1.6556797501275152e-08,0.0008589521945349465,7.497231534466006e-10,4.649796409657961e-09,0.0002353005923834643,2.0157304879434527e-09,0.00013392572737144553,0.998545984110569
rh_chr1_1482273,"{Vv,Vv}",0.9986413430072087,0.9985442960791522,Vv,Vv,chr01,1441962,False,7.885947821345649e-10,1.993832285054099e-08,4.1043754155983214e-09,1.567263973491648e-09,0.0002071886364060168,1.2923468534755467e-08,4.185199778599107e-08,1.9562205675712016e-08,0.0008004811192763114,1.2298268283871873e-09,3.049504203821914e-09,0.00023680980859896818,1.270783778418761e-09,0.00011407114216619266,0.9986413430072087
rh_chr1_1623606,"{Vv,Vv}",0.9987994086810268,0.998713652158243,Vv,Vv,chr01,1583376,True,2.7773216740148765e-09,2.4764301394155962e-08,1.1009551974414313e-08,5.929579050939614e-09,0.00018896341525677488,1.4062133904158321e-08,4.732473555956923e-08,2.6200839340783592e-08,0.0006231703486599989,6.114712167973652e-09,9.39010936684192e-09,0.00025831426128611334,2.6145842010905243e-09,0.00012999310590166218,0.9987994086810268
