Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA1,Vv}",0.562716367901928,0.5314818227520658,NA1,Vv,chr01,89866,False,0.00020692117245741572,0.00023502068194484696,0.0027547204081811126,0.00033209349839499416,0.02310885187385674,0.00016021331107108873,0.0034713872417685113,0.000369643598852739,0.015926604635103144,0.006161131275113614,0.0034553501779486396,0.562716367901928,0.00047729521577347627,0.041177754486097444,0.33944664452150813
rh_chr1_268616,"{NA1,Vv}",0.582452693706852,0.5526278861144843,NA1,Vv,chr01,263248,False,0.00014798536672961356,0.00018452962132434205,0.002152129376130434,0.0002554292698200003,0.02238615684569215,0.00011400889030249618,0.0029108120920985445,0.0003015450976098141,0.014969241219162804,0.004969042311562956,0.0028571839217600152,0.582452693706852,0.0003790191630959019,0.04115487435991596,0.32476534875794294
rh_chr1_334737,"{NA1,Vv}",0.5889115796495643,0.5595481210531046,NA1,Vv,chr01,329439,True,0.00011798916708481948,0.00015867355512656556,0.0017625937109205492,0.00020962809565709358,0.022141266308377348,9.08683531411079e-05,0.0025311797358199806,0.0002604512064689854,0.014655950417258224,0.0040381939032601115,0.002373937164440726,0.5889115796495643,0.0003115578779690725,0.04103469563027837,0.3214014352246328
rh_chr1_443667,"{NA1,Vv}",0.5996072060693155,0.5710077207885523,NA1,Vv,chr01,438310,True,7.102943659661468e-05,0.00011765314877229467,0.0011111606512079905,0.00013569444174994712,0.02171797235639037,5.5347416672720656e-05,0.0018964027588588477,0.00019444994344574877,0.01411846817332652,0.0025002702910551585,0.0015676761146775956,0.5996072060693155,0.00020389526848456197,0.04081834332385415,0.3158844306055918
rh_chr1_547952,"{NA1,Vv}",0.6101147205837137,0.582265772053979,NA1,Vv,chr01,544389,False,2.8027358964153952e-05,7.990141618561861e-05,0.00046338400493556184,6.57893969737801e-05,0.021280678095427476,2.368083051276076e-05,0.001265306332124693,0.00013251178702542566,0.013567906755335226,0.0009937975072811611,0.0007681739298661973,0.6101147205837137,0.00010280420631822062,0.040584833525486114,0.3105284842698498
rh_chr1_631086,"{NA1,Vv}",0.6160950317652851,0.5886732483199484,NA1,Vv,chr01,627268,True,2.640377955249226e-05,7.354478984334372e-05,0.0004609420442940526,6.391488493118249e-05,0.020844864694803355,2.1601700758478428e-05,0.0011904323356547312,0.00012299325782354293,0.013212141432241125,0.0009537879322217063,0.0007549469050044362,0.6160950317652851,9.756968549557495e-05,0.040239030226301604,0.30584279456578933
rh_chr1_741516,"{NA1,Vv}",0.6241149958413909,0.5972660669729187,NA1,Vv,chr01,737678,True,2.4185550517671583e-05,6.522286805116377e-05,0.0004531309174766025,6.1023613795434856e-05,0.020246580391667716,1.8875360526231032e-05,0.0010870140372695543,0.00011040598274446196,0.012717904398868675,0.0008960436689869211,0.0007324251244623519,0.6241149958413909,9.054397244642611e-05,0.03976350858965483,0.29961813968214107
rh_chr1_1060803,"{NA1,Vv}",0.6471043965409331,0.6218975677224283,NA1,Vv,chr01,1049416,True,1.7786086447016045e-05,4.2340618900382696e-05,0.00040214233319477616,5.0435041662809305e-05,0.018450075926417984,1.1669392328705078e-05,0.0007715245889588671,7.507329811755956e-05,0.011198954753127668,0.0007047622717226915,0.0006377996015858338,0.6471043965409331,7.061961788224486e-05,0.038331781044532866,0.28213063888418755
rh_chr1_1170229,"{NA1,Vv}",0.6539274653933558,0.6292079986357383,NA1,Vv,chr01,1140710,True,1.58466796954486e-05,3.629701814300858e-05,0.00037889369616411956,4.694570463885214e-05,0.017892228113565174,9.669822934561102e-06,0.0006722060408512304,6.532198140232427e-05,0.01071824902343655,0.0006400825642708894,0.0006011679432096224,0.6539274653933558,6.467500626370285e-05,0.037885485271986055,0.2770454657400828
rh_chr1_1304008,"{NA1,Vv}",0.6632882162055153,0.6392373745059092,NA1,Vv,chr01,1265000,True,1.322421306140762e-05,2.840068908140642e-05,0.00034098709466724074,4.1878178131524445e-05,0.017110424346319892,7.097251985596435e-06,0.0005317695963498064,5.2301729430735926e-05,0.010038314780340311,0.0005457376531833954,0.0005446051343410989,0.6632882162055153,5.658819647428767e-05,0.03725920596706759,0.2701412489640504
rh_chr1_1400565,"{NA1,Vv}",0.6706216634856886,0.6470946394489521,NA1,Vv,chr01,1361620,False,1.1205142054489127e-05,2.2621975574895996e-05,0.00030644574186117657,3.775414120290097e-05,0.01648457397239759,5.222290186964694e-06,0.00041831987084534007,4.248608169405588e-05,0.009489212733702113,0.00046723536663509146,0.0004952092674023443,0.6706216634856886,5.0302041288116176e-05,0.036757120524923775,0.2647906273645424
rh_chr1_1482273,"{NA1,Vv}",0.6787541646567734,0.6558080335608286,NA1,Vv,chr01,1441962,True,1.1376508544431869e-05,2.186607379791572e-05,0.00033432020909069564,3.931101926151434e-05,0.016034317007005312,4.933197535744546e-06,0.00041215963520903825,4.0796918626112184e-05,0.009103159723635604,0.00048007888685336174,0.0005198335784237352,0.6787541646567734,4.977441687972355e-05,0.03645149606809454,0.25774241210026905
rh_chr1_1623606,"{NA1,Vv}",0.6931661253908391,0.6712494200616134,NA1,Vv,chr01,1583376,True,1.1461151049018302e-05,2.0267801567418398e-05,0.00037769015401984654,4.138470135252249e-05,0.015204720991372576,4.350845967217743e-06,0.00039566939232206434,3.74383855466351e-05,0.008383457205819057,0.0004967522817229151,0.0005568579657391861,0.6931661253908391,4.854258659902156e-05,0.035881853029456644,0.2453734281166268
rh_chr1_1879893,"{NA1,Vv}",0.71958320356422,0.6995534323902357,NA1,Vv,chr01,1839399,True,1.0990742646969194e-05,1.6640342577644868e-05,0.00043695790891221776,4.311320017734852e-05,0.013582779940922118,3.146199292622152e-06,0.00034661981604002727,3.022811939593291e-05,0.006950448788844703,0.000506480190867009,0.0006026050831844171,0.71958320356422,4.539196753911691e-05,0.03474813245900199,0.2230932616763779
rh_chr1_1999515,"{NA1,Vv}",0.7320659004576087,0.712927750490295,NA1,Vv,chr01,1959058,True,1.0495451855337237e-05,1.4808473843862774e-05,0.00045586323280582744,4.3196815189966173e-05,0.012770315981205881,2.5371652508035035e-06,0.00031478586348682245,2.6567590460918537e-05,0.006222246169999274,0.000500622358630836,0.0006142869448509251,0.7320659004576087,4.346287201562343e-05,0.034171238818553364,0.212743671804242
