Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9970382825002159,0.9968267312502312,Vv,Vv,chr01,89866,False,4.221085355136621e-06,4.640303127604604e-06,4.574033566786887e-06,4.718463158408101e-06,0.0008825553292072292,3.3204516720738492e-06,4.2181247526908395e-06,4.298842883639326e-06,0.000664531893795994,3.1731000521797115e-06,4.228141648592422e-06,0.0006584858721122547,3.356564151145667e-06,0.0007153952943003638,0.9970382825002159
rh_chr1_268616,"{Vv,Vv}",0.9988072756519305,0.9987220810556399,Vv,Vv,chr01,263248,False,1.3225631469089928e-06,1.2928473049643697e-06,1.2365934611861703e-06,1.2787323311474534e-06,0.0004534146482585745,1.216517747424177e-06,1.2781747962431208e-06,1.254871164035527e-06,0.0002268336270382723,1.0905664611947627e-06,1.1940652373627907e-06,0.0002205509300022436,1.0660434359528131e-06,0.00027969416768408714,0.9988072756519305
rh_chr1_334737,"{Vv,Vv}",0.9988474961789758,0.9987651744774741,Vv,Vv,chr01,329439,True,1.0445310324836946e-06,1.0473214928701059e-06,9.979527923737866e-07,1.0298143097819192e-06,0.00042861216042465737,9.721408507580159e-07,1.0352172457548457e-06,1.0147364456231962e-06,0.00022641414031623325,8.639650420139854e-07,9.621136832046474e-07,0.00021772370984123678,8.406932917205051e-07,0.000269945324255507,0.9988474961789758
rh_chr1_443667,"{Vv,Vv}",0.9989389475286922,0.9988631580664559,Vv,Vv,chr01,438310,True,6.32391357709043e-07,6.620038118960765e-07,6.246004050021042e-07,6.412339217424425e-07,0.00038152981021415203,6.057904353998171e-07,6.550569239259732e-07,6.391178756342272e-07,0.00021928875054659158,5.271779832694082e-07,6.003606780227968e-07,0.0002066307539775007,5.072028567110596e-07,0.00024750822032028726,0.9989389475286922
rh_chr1_547952,"{Vv,Vv}",0.9990581414846803,0.9989908658764431,Vv,Vv,chr01,544389,False,2.9482577759421784e-07,3.32712547079536e-07,3.079991533026033e-07,3.1331501097399504e-07,0.00032813899984217125,2.990710833844577e-07,3.3076586814394995e-07,3.19467571318727e-07,0.000204643300980279,2.497139702161827e-07,2.9484853942042953e-07,0.00018811160529253463,2.3482757979151682e-07,0.00021798706210356453,0.9990581414846803
rh_chr1_631086,"{Vv,Vv}",0.9990649347082967,0.9989981443303179,Vv,Vv,chr01,627268,True,2.426373293801775e-07,2.8747026192796394e-07,2.6477383972617957e-07,2.687646906732637e-07,0.00031472651022290785,2.5000527878871353e-07,2.8455142951678103e-07,2.7448429599112937e-07,0.00021150822941782023,2.0597581584969105e-07,2.522373495022789e-07,0.00019121108587815728,1.925243977302258e-07,0.0002150960414953047,0.9990649347082967
rh_chr1_741516,"{Vv,Vv}",0.9991016139510623,0.9990374435189954,Vv,Vv,chr01,737678,True,1.7948485152195272e-07,2.2908768130523685e-07,2.09341137034783e-07,2.1180483012590758e-07,0.0002900134200809773,1.8990322127758427e-07,2.2572663757310204e-07,2.1712647143141368e-07,0.00021372005867631135,1.531054967136716e-07,1.9821905436081684e-07,0.00018838567174001814,1.416591704352647e-07,0.0002043114398885715,0.9991016139510623
rh_chr1_1060803,"{Vv,Vv}",0.9993763066009466,0.9993317570724427,Vv,Vv,chr01,1049416,True,3.161696583717516e-08,4.683973421890298e-08,3.720314071006739e-08,3.556478241443865e-08,0.00017784235246976287,4.3905898343993186e-08,4.773978389330572e-08,4.229534996255697e-08,0.00017710744595348903,2.8849455770311994e-08,3.422366504994445e-08,0.00013740558180799312,2.3981605417963953e-08,0.0001309657984405525,0.9993763066009466
rh_chr1_1170229,"{Vv,Vv}",0.9995042350385857,0.9994688232556275,Vv,Vv,chr01,1140710,False,7.221873883695001e-09,1.488513069328199e-08,9.090876974115817e-09,8.043092937747801e-09,0.000133210680096428,1.5311381599360817e-08,1.645887375497724e-08,1.231349198135327e-08,0.00015442622404625758,7.203128722397334e-09,8.080663464681846e-09,0.00011048500685203657,5.0919256710648165e-09,9.753934997989527e-05,0.9995042350385857
rh_chr1_1304008,"{Vv,Vv}",0.9995793783320195,0.9995493339271637,Vv,Vv,chr01,1265000,False,1.906853198863265e-09,8.25473100038484e-09,2.833339567528965e-09,1.9946374247922222e-09,0.00010240353744058044,8.809668682271171e-09,1.0100432376787577e-08,5.762845438977523e-09,0.0001481431860341595,2.292086279316916e-09,2.244885153416046e-09,9.539652911787696e-05,1.0276780774040374e-09,7.463318823066016e-05,0.9995793783320195
rh_chr1_1400565,"{Vv,Vv}",0.9995915164098162,0.9995623390105174,Vv,Vv,chr01,1361620,False,1.4832865153083142e-09,7.7641451833618e-09,2.8719893857695317e-09,1.6784782495592786e-09,9.34120380436004e-05,6.4864579874043965e-09,1.0149533666372223e-08,4.717219587676892e-09,0.00015046635753011845,2.070779035277243e-09,2.093297260742927e-09,9.629138608162815e-05,6.074786928154906e-10,6.82738858628122e-05,0.9995915164098162
rh_chr1_1482273,"{Vv,Vv}",0.9995772245534637,0.9995470263072825,Vv,Vv,chr01,1441962,False,1.327397820070467e-09,9.431870461628003e-09,3.005561088272304e-09,1.9097406547717873e-09,8.930762370217188e-05,7.423596074618783e-09,1.2055999958663358e-08,6.536891541161272e-09,0.00016566089987373725,1.9397900003955813e-09,2.3571471053260197e-09,9.776153681236976e-05,7.006823167952698e-10,6.999869747103654e-05,0.9995772245534637
