Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.9878023545985265,0.986931094212707,Vv,Vv,chr01,89866,False,1.9450055815645466e-05,7.272579834442968e-06,3.300371698894778e-05,8.759844383358795e-06,0.0018656475725395286,3.1780059730534985e-06,1.8377502956345145e-05,4.9387436265000445e-06,0.0007842967169309645,3.243857238681036e-05,2.0402445235201425e-05,0.008293927834373587,4.674482858193419e-06,0.0011012773275708922,0.9878023545985265
rh_chr1_268616,"{Vv,Vv}",0.9893610458389148,0.9886011205416945,Vv,Vv,chr01,263248,False,1.3018849174333208e-05,1.8602772360639165e-06,1.4238149079229635e-05,2.7903076997080982e-06,0.0014588419923789004,6.417445393182205e-07,1.292288508955267e-06,9.431355208209483e-07,0.0003351178637602467,2.4536062091504064e-06,2.774605415838406e-06,0.00813947372215055,9.742877270611882e-07,0.0006645333316849674,0.9893610458389148
rh_chr1_334737,"{Vv,Vv}",0.9917938827938901,0.9912077315648823,Vv,Vv,chr01,329439,False,1.1800058524552606e-05,1.0639661102857965e-06,1.0388537144467204e-05,1.8257142508543345e-06,0.0013664453741314957,3.9242877386215743e-07,8.321177849687528e-07,6.064733341695117e-07,0.00021648709649411287,1.7603355206929615e-06,1.827864604751911e-06,0.006132988358942518,6.277741751324282e-07,0.00045907110631799604,0.9917938827938901
rh_chr1_443667,"{Vv,Vv}",0.9944466375943952,0.9940499688511377,Vv,Vv,chr01,438310,False,8.726481349239363e-06,4.5034187931483625e-07,6.8775932814497835e-06,9.804230958208988e-07,0.001070832962228379,1.5862691573334952e-07,2.956022847624321e-07,2.491764759317679e-07,9.923502898722616e-05,9.74854573623873e-07,7.449673179392477e-07,0.0041170070153925846,2.883282475144088e-07,0.00024654100357528695,0.9944466375943952
rh_chr1_547952,"{Vv,Vv}",0.997276720826787,0.9970822008858432,Vv,Vv,chr01,544389,False,5.959598878545488e-06,2.5923938963253434e-07,3.659346363862344e-06,6.513076691308537e-07,0.0006978270842457596,6.346074703557779e-08,1.2153371076568585e-07,9.978155148748349e-08,5.077027712532088e-05,3.6606697486851696e-07,3.0515676277306936e-07,0.0018178759143177173,1.4030886534083621e-07,0.00014518009661081805,0.997276720826787
rh_chr1_631086,"{Vv,Vv}",0.9979610658787645,0.9978154277272477,Vv,Vv,chr01,627268,False,4.656034122939868e-06,1.8570851153965566e-07,2.470870119541014e-06,5.219244615883372e-07,0.0006174579598450185,3.131373792487268e-08,6.49018524240232e-08,4.912356766791574e-08,4.1890035415260304e-05,1.6145943724220268e-07,1.5247357606477562e-07,0.0012440871843610924,7.893315198288255e-08,0.00012712619907512683,0.9979610658787645
rh_chr1_741516,"{Vv,Vv}",0.9985515471099833,0.9984480861892678,Vv,Vv,chr01,737678,False,3.2036028446715034e-06,1.2979079234620983e-07,1.5643869703299714e-06,4.1942614015341997e-07,0.0005016300670777492,2.1768654931588825e-08,5.780012817392237e-08,3.273720343156068e-08,3.5720258878900606e-05,1.0581904206871748e-07,1.1088046806469009e-07,0.0007862527776458686,5.76116998653271e-08,0.00011914596247021766,0.9985515471099833
rh_chr1_1060803,"{Vv,Vv}",0.999603451967493,0.9995751271080282,Vv,Vv,chr01,1049416,False,4.177743197955582e-07,3.4028541993003746e-08,1.8728484729266534e-07,5.542995870612065e-08,0.00012889330344589635,7.051010936452279e-09,1.7983591002066594e-08,7.600675303889872e-09,3.315383461488414e-05,1.77665550764674e-08,1.833783135050006e-08,0.00019566192537378934,8.421788018496698e-09,3.8067289952893245e-05,0.999603451967493
rh_chr1_1170229,"{Vv,Vv}",0.999732726015464,0.9997136350165686,Vv,Vv,chr01,1140710,False,2.3797091936879534e-07,2.469399031449126e-08,1.1064769483823202e-07,3.3690695327115276e-08,8.147288279486256e-05,5.4778194028975846e-09,1.3622718634717644e-08,5.536779196578558e-09,3.674172088689089e-05,1.0957410078394387e-08,1.1869051398878734e-08,0.00012157221931188143,5.015060894355342e-09,2.7027679402894624e-05,0.999732726015464
rh_chr1_1304008,"{Vv,Vv}",0.9998679924561883,0.999858563345916,Vv,Vv,chr01,1265000,False,1.0497629423475777e-07,1.3382048855019613e-08,4.4611488771515717e-08,1.4128401646102504e-08,3.145574284979003e-05,3.816840573182413e-09,7.80678063229148e-09,3.1062537405034323e-09,4.20717738146621e-05,5.440574405335524e-09,5.432691077578186e-09,4.5922796429083746e-05,2.4030909672328296e-09,1.2352126253188073e-05,0.9998679924561883
