Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.996415297964658,0.9961592478192764,Vv,Vv,chr01,89866,False,6.6174731574854554e-06,5.131824693865757e-06,5.199200300859229e-06,5.348288838510557e-06,0.0016378627549907183,2.0094011186538326e-06,2.964697567956562e-06,3.065690045614782e-06,0.0006080991966226679,2.127141188924348e-06,3.127095969521519e-06,0.0006357589393774748,2.31972313085534e-06,0.0006650706083388522,0.996415297964658
rh_chr1_268616,"{Vv,Vv}",0.998169885433223,0.9980391629641675,Vv,Vv,chr01,263248,False,9.693213838850962e-07,5.062488127412489e-07,5.237254544850511e-07,6.216450513392642e-07,0.0012372611859425336,1.1467072827753331e-07,1.5427013403779106e-07,2.0278690010525516e-07,0.00016708185325386618,1.315040171069432e-07,2.1413166237251714e-07,0.00019582717140310783,2.172870470610063e-07,0.00022628876498594907,0.998169885433223
rh_chr1_334737,"{Vv,Vv}",0.9985595205069862,0.9984566291146281,Vv,Vv,chr01,329439,False,3.273409664303983e-07,2.0740739140833506e-07,2.1446613523151297e-07,2.7904179760810623e-07,0.0011462763028996794,7.133185277217802e-08,9.002677031415514e-08,1.2603673882028368e-07,6.898723297345907e-05,7.781660013684195e-08,1.3112869370359915e-07,9.77933218845615e-05,1.4036038416252414e-07,0.00012575767792556074,0.9985595205069862
rh_chr1_443667,"{Vv,Vv}",0.9987300272791585,0.9986393149419556,Vv,Vv,chr01,438310,False,2.555683905210435e-07,1.6932274925922615e-07,1.7559070904964026e-07,2.3485343610249613e-07,0.0009730582914460697,4.994620773322442e-08,6.664870579334897e-08,9.790826781571929e-08,7.300847461824549e-05,5.506101603458944e-08,1.0239941086720052e-07,9.657718589022282e-05,1.069539099982796e-07,0.00012601451608383078,0.9987300272791585
rh_chr1_547952,"{Vv,Vv}",0.9989259834417702,0.9988492679733252,Vv,Vv,chr01,544389,False,1.931233169480819e-07,1.3330806910905018e-07,1.3877648046998723e-07,1.929951187640951e-07,0.0007976894910624438,3.291647927665786e-08,4.71222634330334e-08,7.424329217772245e-08,6.913671377735513e-05,3.681264049137905e-08,7.809801944635617e-08,8.763880377234133e-05,7.939949760531923e-08,0.00011854475443995678,0.9989259834417702
rh_chr1_631086,"{Vv,Vv}",0.9990437356556421,0.9989754310596165,Vv,Vv,chr01,627268,False,1.5265089371416094e-07,1.1027227403101927e-07,1.1521058718219359e-07,1.6598561808257132e-07,0.0006912194319044093,2.269876718196482e-08,3.550944010831575e-08,5.996460814420277e-08,6.675078619907093e-05,2.5796272465639897e-08,6.338539986792871e-08,8.22094036722213e-05,6.209210426727868e-08,0.00011527115661720944,0.9990437356556421
rh_chr1_741516,"{Vv,Vv}",0.9992284080502288,0.999173294339531,Vv,Vv,chr01,737678,False,1.0442442582188154e-07,8.00198521323497e-08,8.422680419052947e-08,1.301968352155283e-07,0.0005430432184345105,1.154090953291396e-08,2.1533229416745436e-08,4.2639644992230523e-08,5.6380925867101214e-05,1.368275204617571e-08,4.545562918698441e-08,6.781132353457709e-05,4.222658127424662e-08,0.00010378053527119641,0.9992284080502288
rh_chr1_1060803,"{Vv,Vv}",0.9998548379227364,0.9998444692029319,Vv,Vv,chr01,1049416,False,1.2508820020682145e-09,1.1414029369269658e-09,1.2171918420988984e-09,1.6699505202241186e-09,8.910084118774774e-05,1.740018048366565e-10,3.147243299417705e-10,5.406649699956161e-10,1.567210325787253e-05,1.8191962391240118e-10,5.883180995743505e-10,1.6724587153284764e-05,4.763393573309644e-10,2.365699026915811e-05,0.9998548379227364
rh_chr1_1170229,"{Vv,Vv}",0.9999805406170285,0.9999791506611019,Vv,Vv,chr01,1140710,False,1.1030801889078598e-10,1.3907688913215922e-10,1.1561870766223066e-10,1.4988425508083755e-10,9.065562470315841e-06,5.192910556206044e-11,4.041079722673307e-11,6.538665879511275e-11,3.2363249566167765e-06,1.7784066201789664e-11,5.3753428910852565e-11,2.250448559899488e-06,3.928593128456309e-11,4.906263546882462e-06,0.9999805406170285
rh_chr1_1304008,"{Vv,Vv}",0.9999867554506823,0.9999858094114453,Vv,Vv,chr01,1265000,False,3.668508431041063e-11,4.976181855905397e-11,4.115838328483054e-11,3.8264492047831215e-11,2.5538161795326104e-06,1.0920505456145606e-10,2.0952825069139593e-11,2.7708143228220577e-11,8.025015858398526e-06,1.1646090244207787e-11,1.8578978448657892e-11,1.424763917455421e-06,1.187434414317864e-11,1.2405875270688468e-06,0.9999867554506823
rh_chr1_1400565,"{Vv,Vv}",0.9999713296924836,0.9999692818133753,Vv,Vv,chr01,1361620,False,4.652320639302079e-11,8.490030343459017e-11,6.111875950113219e-11,4.3512720636066956e-11,5.684323463509095e-06,3.645059690341213e-10,6.127897154749721e-11,6.544972257119861e-11,1.5025830875050705e-05,3.0966802919297565e-11,2.915021942493859e-11,5.5567050281585516e-06,1.9828321475086678e-11,2.4026409147391752e-06,0.9999713296924836
