Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA1,Vv}",0.8603378696011637,0.8503620031441039,NA1,Vv,chr01,89866,True,0.00048729135083955364,0.00037409870729683347,0.008183342337598357,0.0004836132439987747,0.029942500854770914,0.00023126886359790702,0.007547205895712173,0.0003553359127424887,0.009677356120394302,0.014657236975059655,0.008109987165684396,0.8603378696011637,0.00044629819805611646,0.02777880301209109,0.031387791760993794
rh_chr1_268616,"{NA1,Vv}",0.878855766167568,0.8702026066081086,NA1,Vv,chr01,263248,True,0.00033195470925336044,0.0002625916540849991,0.006333836442587613,0.000333083840907431,0.028531845477744094,0.0001656679710775306,0.005727949578054713,0.00024840387070983535,0.007781051813524812,0.010929684220544274,0.006263621460207011,0.878855766167568,0.00030046767803124574,0.02631634848954275,0.027617726626162374
rh_chr1_334737,"{NA1,Vv}",0.8860160911154186,0.8778743833379484,NA1,Vv,chr01,329439,True,0.00027651042394192203,0.000224419333432632,0.005611112891751323,0.00027955136536416406,0.02797847468890029,0.00014481482480010975,0.005017214273645701,0.0002120332600613792,0.007039706333207208,0.009497261821113236,0.005542143480623192,0.8860160911154186,0.0002486876803364907,0.025742928713640686,0.026169049793762958
rh_chr1_443667,"{NA1,Vv}",0.8979038579224533,0.8906112763454856,NA1,Vv,chr01,438310,True,0.00019060792163542444,0.00016573256411424696,0.004402930840549994,0.00019508174614050143,0.02705111731697143,0.00011627455666151286,0.0038292376928395666,0.00015637164546715668,0.0058000621867062155,0.00712806455958823,0.004336061853673862,0.8979038579224533,0.00016886115822950382,0.02478226382700953,0.023773474207959694
rh_chr1_547952,"{NA1,Vv}",0.9096206638390814,0.9031649969704443,NA1,Vv,chr01,544389,False,0.0001129627628111992,0.00011420280620526595,0.003201892334772927,0.00011778127063322601,0.02612642392466745,9.506404506525948e-05,0.002648499383879509,0.00010786673889338432,0.00456731861562869,0.0048041650991855304,0.0031371349881648245,0.9096206638390814,9.719331533676198e-05,0.023824715214150485,0.021424115661524204
rh_chr1_631086,"{NA1,Vv}",0.9160894528714087,0.9100958423622236,NA1,Vv,chr01,627268,True,9.652117623379854e-05,9.968624601575877e-05,0.002913810725257046,0.00010185218030463739,0.023953131219083188,8.477763978101513e-05,0.002467451258898269,9.36985569922696e-05,0.004478409523286062,0.004334249893218121,0.0028515017229199446,0.9160894528714087,8.163196017217124e-05,0.021701536957462228,0.020652288068966743
rh_chr1_741516,"{NA1,Vv}",0.9247956259423419,0.9194238849382235,NA1,Vv,chr01,737678,True,7.700977663032076e-05,8.14801669874368e-05,0.002515084033747779,8.240569232037945e-05,0.02105725698124101,7.204884952885393e-05,0.002218086365830278,7.595799833604688e-05,0.004338836791867549,0.003699310323989715,0.002456228100494023,0.9247956259423419,6.327167496165223e-05,0.018871731731297543,0.019595665570425445
rh_chr1_1060803,"{NA1,Vv}",0.9499240315003205,0.9463471766074862,NA1,Vv,chr01,1049416,True,3.820674193492324e-05,3.640420752472282e-05,0.0012970396936279713,3.763128969577525e-05,0.012880192597593368,4.262291136757556e-05,0.001462728156187849,3.220869381502129e-05,0.003814687406937052,0.0018476667072951788,0.0012490881885657426,0.9499240315003205,2.756295301697328e-05,0.010876851541458635,0.016433077410658636
rh_chr1_1170229,"{NA1,Vv}",0.9574481964178417,0.954408781876259,NA1,Vv,chr01,1140710,True,3.068948999332784e-05,2.6500408540915508e-05,0.0009133426214647524,2.9582200937932386e-05,0.010478697909300434,3.5498559394315366e-05,0.0012260623634672055,2.268051543758124e-05,0.003624173098716147,0.0012891257065107162,0.0008689127182232982,0.9574481964178417,2.0918398466575594e-05,0.008527643633861885,0.015457975957843149
rh_chr1_1304008,"{NA1,Vv}",0.9678098002541792,0.9655105002723349,NA1,Vv,chr01,1265000,False,2.3786440896777694e-05,1.500477201242163e-05,0.00037146636958460796,2.1740961749017243e-05,0.007206328287250876,2.7089199788440204e-05,0.0008925651604593274,1.1690575690370549e-05,0.003337938639821466,0.0005160231479526255,0.00033206323407570083,0.9678098002541792,1.5171255661716394e-05,0.005325629820973548,0.014093701879903954
