Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{Vv,Vv}",0.988401820772988,0.98757337939963,Vv,Vv,chr01,89866,False,2.079092733502537e-05,2.1569037691807283e-05,1.5841796293949784e-05,1.7793054185072452e-05,0.00324481162072633,2.205906540624453e-05,1.622430672100269e-05,1.8085504430539186e-05,0.0036438270327798046,1.0379881916974741e-05,1.2772999472471937e-05,0.002072149200719792,1.334249070283711e-05,0.0024685323086302263,0.988401820772988
rh_chr1_268616,"{Vv,Vv}",0.9897456736876289,0.9890132218081739,Vv,Vv,chr01,263248,True,1.3938509696960452e-05,1.4117136537508019e-05,9.936438041860796e-06,1.1505389372956747e-05,0.002934685680622248,1.4498711769840654e-05,9.943956176429348e-06,1.1427681045961218e-05,0.003359357091258727,6.038422827050992e-06,7.677089868325133e-06,0.0017202199395539078,8.169155095849345e-06,0.0021328111105035235,0.9897456736876289
rh_chr1_334737,"{Vv,Vv}",0.9902819817583682,0.9895878375982516,Vv,Vv,chr01,329439,True,1.1602325684651152e-05,1.1595185575636279e-05,8.034412253694874e-06,9.450642425394692e-06,0.002809732107972136,1.1875837120912913e-05,7.884123965682882e-06,9.217201667613573e-06,0.0032442657647296503,4.66984610629614e-06,6.092294161144167e-06,0.001579142400529323,6.477342995727141e-06,0.0019979787564439527,0.9902819817583682
rh_chr1_443667,"{Vv,Vv}",0.9911951486652363,0.9905662307127532,Vv,Vv,chr01,438310,False,7.985928566799541e-06,7.532880049422787e-06,5.021338404489077e-06,6.179311785752676e-06,0.0025961234304470076,7.771699565472141e-06,4.600409505784561e-06,5.6787775452281355e-06,0.0030469683215339567,2.6586802068038525e-06,3.6125889323797e-06,0.001338804147257571,3.927615003474646e-06,0.0017679862059595888,0.9911951486652363
rh_chr1_547952,"{Vv,Vv}",0.9919996549194928,0.9914282016994566,Vv,Vv,chr01,544389,False,4.752737931674099e-06,4.459749576436718e-06,2.3493860751756237e-06,3.3259331818097484e-06,0.0023722008535386114,5.329751508837153e-06,2.011931761026725e-06,3.029002778940346e-06,0.0029659168942428003,1.0246175098971095e-06,1.5255124362778544e-06,0.0010900392928592632,1.8475082177349933e-06,0.0015425319088886663,0.9919996549194928
rh_chr1_631086,"{Vv,Vv}",0.9922713477277233,0.9917193011368464,Vv,Vv,chr01,627268,True,4.472830358223083e-06,4.3025403927307725e-06,2.145118731863022e-06,3.138415865957196e-06,0.002329238807495609,4.9645307612649525e-06,1.842210910834854e-06,2.8553268157555995e-06,0.002884390028263613,8.761837503772708e-07,1.371454122336016e-06,0.0010137963765618468,1.6617361126292036e-06,0.0014735967121336294,0.9922713477277233
rh_chr1_741516,"{Vv,Vv}",0.9926627565571526,0.9921386677398064,Vv,Vv,chr01,737678,True,4.107789730162024e-06,4.072351039772992e-06,1.8660492468501703e-06,2.8786947576258638e-06,0.002264712182283576,4.489561083821858e-06,1.604461513249558e-06,2.6102682595807046e-06,0.0027687269228417843,6.937747766851434e-07,1.1651415866357242e-06,0.0009046125341884837,1.4256417620176393e-06,0.0013742780697770856,0.9926627565571526
rh_chr1_1060803,"{Vv,Vv}",0.9939519600517082,0.9935199571982587,Vv,Vv,chr01,1049416,True,3.1044038179308715e-06,3.2134755251372764e-06,9.519288630909353e-07,2.001596633432909e-06,0.002037181235210553,3.1927695967955422e-06,7.856842989224253e-07,1.7530525606941927e-06,0.0023981425366292383,2.56174560068356e-07,4.985512692290404e-07,0.0005489010693670852,8.118671805915496e-07,0.001047245602779183,0.9939519600517082
rh_chr1_1170229,"{Vv,Vv}",0.994379553888436,0.9939780934518957,Vv,Vv,chr01,1140710,False,2.8412822797910945e-06,2.9860439579115137e-06,7.335131540702885e-07,1.7873082701746545e-06,0.001958028860933686,2.8584269960181986e-06,5.880045058880831e-07,1.5420478489294088e-06,0.0022775496583055314,1.763581559343109e-07,3.637917723032981e-07,0.00043167704978637104,6.720578055822134e-07,0.0009386417077918225,0.994379553888436
rh_chr1_1304008,"{Vv,Vv}",0.9954479793199026,0.9951228349856099,Vv,Vv,chr01,1265000,False,2.023137592321021e-06,2.0637377880144297e-06,4.641106309938828e-07,1.1302399867087584e-06,0.001663800659286429,1.8982387978021795e-06,3.4133715542656845e-07,9.064005289616126e-07,0.0019084227059944143,9.247557501780999e-08,1.93923044441283e-07,0.00030276653560255465,3.7426655410734234e-07,0.0006675429115602068,0.9954479793199026
rh_chr1_1400565,"{Vv,Vv}",0.9954357446302345,0.995109726389537,Vv,Vv,chr01,1361620,False,1.947826880760247e-06,1.9918923558739494e-06,4.768936108179219e-07,1.099863901114194e-06,0.0017211461316914908,1.6752790805587614e-06,3.4709809253456905e-07,8.549507322125718e-07,0.001836979736988356,8.724815338665093e-08,1.9421005305303503e-07,0.000326049090503502,3.435735306052493e-07,0.0006710615741911524,0.9954357446302345
rh_chr1_1482273,"{Vv,Vv}",0.9953629598728817,0.9950317427209446,Vv,Vv,chr01,1441962,True,1.9112635017842816e-06,1.9847091138792593e-06,4.915560539554698e-07,1.0998446181736105e-06,0.0017849921370210952,1.5575503239236382e-06,3.561761611600165e-07,8.424529173346176e-07,0.0018134758478701453,8.357019906811973e-08,1.978378611820218e-07,0.00034385298329216174,3.2829575630701536e-07,0.0006858659024282205,0.9953629598728817
rh_chr1_1623606,"{Vv,Vv}",0.9952766552653023,0.9949392734985382,Vv,Vv,chr01,1583376,True,1.8439108686002449e-06,1.9439479328604618e-06,5.062584078058989e-07,1.0865920317426858e-06,0.0018874649580302798,1.348888333401089e-06,3.559266078367429e-07,8.027712349496444e-07,0.0017620235322655037,7.62715273665286e-08,1.9804551275979943e-07,0.00036419124151091943,2.999344904518037e-07,0.0007012024559433084,0.9952766552653023
