Marker,UnorderedCall,DiplPostProb,DiplCertainty,Hap1Clade,Hap2Clade,Chrom,Pos,MissingMarkers,"{EA,EA}","{EA,Mus}","{EA,NA1}","{EA,NA2}","{EA,Vv}","{Mus,Mus}","{Mus,NA1}","{Mus,NA2}","{Mus,Vv}","{NA1,NA1}","{NA1,NA2}","{NA1,Vv}","{NA2,NA2}","{NA2,Vv}","{Vv,Vv}"
rh_chr1_93619,"{NA2,NA2}",0.7458070711460059,0.7276504333707206,NA2,NA2,chr01,89866,True,0.0007119945512046458,0.0006832397561873352,0.001597017524337916,0.04040419843410594,0.0010256174784509602,0.0003065684350655201,0.0017824323361392675,0.02277334296960931,0.0006134756210870664,0.002420061126921447,0.13023834618693264,0.0021980126177598377,0.7458070711460059,0.048519873473505164,0.0009187483426869272
rh_chr1_268616,"{NA2,NA2}",0.7513525491833315,0.7335920169821409,NA2,NA2,chr01,263248,True,0.0005313595523277389,0.0005446233510310952,0.0012351085130948994,0.03918769313620813,0.0008361638991423143,0.00020047018022737692,0.0014656956764479924,0.021133754719562622,0.00045348913767008514,0.0018515914523358425,0.1311758930105897,0.0018323627268139555,0.7513525491833315,0.04749713152578797,0.0007021139354286426
rh_chr1_334737,"{NA2,NA2}",0.7534998092649127,0.735892652783835,NA2,NA2,chr01,329439,True,0.000465226271411539,0.0004948008734315527,0.0010973502528224956,0.038708175865749275,0.0007663012185474078,0.00016306761404837294,0.001345672336703387,0.02049047599988112,0.0003952739999143965,0.0016359613364975013,0.1315301279492002,0.0016930449068640922,0.7534998092649127,0.047092607594147226,0.0006221045158686738
rh_chr1_443667,"{NA2,NA2}",0.7570904701232152,0.7397397894177306,NA2,NA2,chr01,438310,True,0.00035901397893631074,0.00041385270093858396,0.0008687541149042774,0.03790046117813586,0.0006516845736240052,0.0001044925684109587,0.0011467984708670939,0.019410696982966557,0.0003002577220094852,0.0012818604020137553,0.1321075530320137,0.0014617425335989214,0.7570904701232152,0.04640947648472292,0.0004928851336424444
rh_chr1_547952,"{NA2,NA2}",0.7606500964650804,0.7435536747840147,NA2,NA2,chr01,544389,False,0.0002589617134823718,0.00033751410441409165,0.0006447827333749508,0.037090754339522046,0.0005416555833781163,5.130150453199586e-05,0.0009524763450291009,0.01833261216659066,0.00020988217137327312,0.0009379458688273335,0.13266420438043136,0.0012349545327467882,0.7606500964650804,0.04572265718595406,0.00037020090526346765
rh_chr1_631086,"{NA2,NA2}",0.7627814682464406,0.7458372874069006,NA2,NA2,chr01,627268,True,0.00023347417791254817,0.0002919160102656807,0.0005927777724739814,0.03669756285055885,0.00048290574819542803,4.362338386598423e-05,0.0008256870444980409,0.017322646303132273,0.0001816660352144669,0.0008511573619719722,0.13331306714155208,0.001099360951529567,0.7627814682464406,0.04495788873365619,0.00032479823873235247
rh_chr1_741516,"{NA2,NA2}",0.7656640468765606,0.7489257645106007,NA2,NA2,chr01,737678,True,0.00019987580730595794,0.00023253424225468323,0.0005208284457260996,0.036159775769654325,0.0004053905749996835,3.398220948021854e-05,0.0006562945895200344,0.015962428615195607,0.00014457832212276813,0.0007340898941625323,0.1341776358264893,0.000917391632799808,0.7656640468765606,0.04392543090875778,0.000265716284970655
rh_chr1_1060803,"{NA2,NA2}",0.7741117736155948,0.757976900302423,NA2,NA2,chr01,1049416,False,0.000106674804433499,6.746522699773335e-05,0.0002990233636445049,0.03455243529674134,0.00018565296153776964,1.0208531886829688e-05,0.00016962852748007794,0.01202695778152897,3.895403446204216e-05,0.00039343095186214065,0.13661843524497505,0.0003902804951509729,0.7741117736155948,0.04092269142444385,0.00010638773926049539
rh_chr1_1170229,"{NA2,NA2}",0.7756205038443013,0.7595933969760371,NA2,NA2,chr01,1140710,True,7.988671127329348e-05,5.148653417928538e-05,0.0002288299957076467,0.03392818600362264,0.00013335734122711006,7.907194934296915e-06,0.00013084337744494895,0.011952054734949683,2.9116347534606704e-05,0.00028964525398925817,0.136941313332563,0.00026610006109994706,0.7756205038443013,0.04026791077453944,7.285849263367204e-05
rh_chr1_1304008,"{NA2,NA2}",0.7777201060135362,0.7618429707287888,NA2,NA2,chr01,1265000,False,4.4280089174732536e-05,2.956976892128134e-05,0.00013122748797068497,0.0330648787376073,6.314980639559582e-05,4.6633994267779866e-06,7.64759057195659e-05,0.011834185930430565,1.5044030801911298e-05,0.00014740618735088079,0.1373813252331984,9.609458122533382e-05,0.7777201060135362,0.0393634439707357,2.814885750503974e-05
rh_chr1_1400565,"{NA2,NA2}",0.7784177624596424,0.7625904597781883,NA2,NA2,chr01,1361620,False,1.8875186783571345e-05,1.417449677713166e-05,5.9886557117898664e-05,0.03229901584662638,2.8087564670349318e-05,2.3884345942458956e-06,3.874933129716843e-05,0.011726090151634252,7.870786576396826e-06,5.187347417542841e-05,0.13768639505149585,3.4490193734384306e-05,0.7784177624596424,0.03960624762928018,8.092835594335996e-06
rh_chr1_1482273,"{NA2,NA2}",0.7789763225626121,0.76318891703137,NA2,NA2,chr01,1441962,True,1.6946255345266375e-05,1.3192805558758728e-05,5.667928383201586e-05,0.03162419248264221,2.646253767867876e-05,2.2932642403619304e-06,3.667647106989548e-05,0.011625493370932004,7.975524525459131e-06,4.9710709453590354e-05,0.13777852304895913,3.516507644847572e-05,0.7789763225626121,0.039742480487444075,7.886119258023965e-06
rh_chr1_1623606,"{NA2,NA2}",0.7800003983381272,0.7642861410765648,NA2,NA2,chr01,1583376,True,1.33951528139303e-05,1.1064944458399027e-05,4.929233620027043e-05,0.030427646802721853,2.274594647774043e-05,2.018144599486828e-06,3.189412143170509e-05,0.011432030224636932,7.661377401454585e-06,4.4566988947796355e-05,0.13794315792288284,3.470275991077838e-05,0.7800003983381272,0.03997229059828527,7.134341104196235e-06
rh_chr1_1879893,"{NA2,NA2}",0.7819880631773224,0.7664157819757026,NA2,NA2,chr01,1839399,True,6.53047349785203e-06,5.972572603803682e-06,3.0281849100220673e-05,0.02823227393868535,1.3260094512827315e-05,1.1753910763417234e-06,1.950978716456327e-05,0.01102839121903755,5.442072226656669e-06,3.0846577204834306e-05,0.13824931664403772,2.843741152315276e-05,0.7819880631773224,0.04035603449226501,4.4642997415764165e-06
rh_chr1_1999515,"{NA2,NA2}",0.7829741674080721,0.7674723222229344,NA2,NA2,chr01,1959058,False,3.2086699247736986e-06,3.2440532464808708e-06,1.9118825292018348e-05,0.02719359750780708,7.784688473184301e-06,6.383392959155291e-07,1.2185500105314848e-05,0.010816261187039981,3.7201178380919665e-06,2.2474706711026375e-05,0.13839645952427915,2.3166141541932378e-05,0.7829741674080721,0.04052135384361986,2.6194867530038334e-06
rh_chr1_2145831,"{NA2,NA2}",0.7813936518092621,0.7657789126527809,NA2,NA2,chr01,2106048,True,3.270130152311219e-06,3.910035687912745e-06,2.1816283634670583e-05,0.026905854156744194,8.599812599890165e-06,8.979508316068206e-07,1.4301512049322642e-05,0.011100492601228508,5.005620499620278e-06,2.3101668701905316e-05,0.13876461823638844,2.9368713660079716e-05,0.7813936518092621,0.04172178863354156,3.3228350177828347e-06
rh_chr1_2306205,"{NA2,NA2}",0.7797455564670167,0.7640130962146607,NA2,NA2,chr01,2265211,True,2.934678420367195e-06,4.044076609763503e-06,2.2506305860080574e-05,0.026575318741038544,8.238758247664871e-06,1.0141559762387628e-06,1.4856290007789972e-05,0.01138302109733613,5.7019954576697995e-06,2.1660163440332648e-05,0.13916749768528766,3.34842536881361e-05,0.7797455564670167,0.04301071616058016,3.449171032794665e-06
rh_chr1_2424927,"{NA2,NA2}",0.7785581481503797,0.762740873018264,NA2,NA2,chr01,2384046,True,2.418926970817275e-06,3.754616152281642e-06,2.152411679937586e-05,0.02631560545980966,7.116256190711255e-06,9.820869792590112e-07,1.4091798101954099e-05,0.011576859071018714,5.725222883650915e-06,1.9137927414018553e-05,0.1394710753438894,3.4776467492497324e-05,0.7785581481503797,0.04396570062780662,3.0839281112472326e-06
